command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_b6dcbe08_15035.c								
ANR	2	Function	ppc405ep_init	1:0:0:2633							
ANR	3	FunctionDef	"ppc405ep_init (target_phys_addr_t ram_bases [ 2 ] , target_phys_addr_t ram_sizes [ 2 ] , uint32_t sysclk , qemu_irq * * picp , int do_init)"		2	0					
ANR	4	CompoundStatement		5:0:213:2633	2	0					
ANR	5	IdentifierDeclStatement	"clk_setup_t clk_setup [ PPC405EP_CLK_NB ] , tlb_clk_setup ;"	6:4:219:272	2	0	True				
ANR	6	IdentifierDecl	clk_setup [ PPC405EP_CLK_NB ]		2	0					
ANR	7	IdentifierDeclType	clk_setup_t [ PPC405EP_CLK_NB ]		2	0					
ANR	8	Identifier	clk_setup		2	1					
ANR	9	Identifier	PPC405EP_CLK_NB		2	2					
ANR	10	IdentifierDecl	tlb_clk_setup		2	1					
ANR	11	IdentifierDeclType	clk_setup_t		2	0					
ANR	12	Identifier	tlb_clk_setup		2	1					
ANR	13	IdentifierDeclStatement	"qemu_irq dma_irqs [ 4 ] , gpt_irqs [ 5 ] , mal_irqs [ 4 ] ;"	7:4:278:324	2	1	True				
ANR	14	IdentifierDecl	dma_irqs [ 4 ]		2	0					
ANR	15	IdentifierDeclType	qemu_irq [ 4 ]		2	0					
ANR	16	Identifier	dma_irqs		2	1					
ANR	17	PrimaryExpression	4		2	2					
ANR	18	IdentifierDecl	gpt_irqs [ 5 ]		2	1					
ANR	19	IdentifierDeclType	qemu_irq [ 5 ]		2	0					
ANR	20	Identifier	gpt_irqs		2	1					
ANR	21	PrimaryExpression	5		2	2					
ANR	22	IdentifierDecl	mal_irqs [ 4 ]		2	2					
ANR	23	IdentifierDeclType	qemu_irq [ 4 ]		2	0					
ANR	24	Identifier	mal_irqs		2	1					
ANR	25	PrimaryExpression	4		2	2					
ANR	26	IdentifierDeclStatement	CPUState * env ;	8:4:330:343	2	2	True				
ANR	27	IdentifierDecl	* env		2	0					
ANR	28	IdentifierDeclType	CPUState *		2	0					
ANR	29	Identifier	env		2	1					
ANR	30	IdentifierDeclStatement	"qemu_irq * pic , * irqs ;"	9:4:349:369	2	3	True				
ANR	31	IdentifierDecl	* pic		2	0					
ANR	32	IdentifierDeclType	qemu_irq *		2	0					
ANR	33	Identifier	pic		2	1					
ANR	34	IdentifierDecl	* irqs		2	1					
ANR	35	IdentifierDeclType	qemu_irq *		2	0					
ANR	36	Identifier	irqs		2	1					
ANR	37	ExpressionStatement	"memset ( clk_setup , 0 , sizeof ( clk_setup ) )"	11:4:376:415	2	4	True				
ANR	38	CallExpression	"memset ( clk_setup , 0 , sizeof ( clk_setup ) )"		2	0					
ANR	39	Callee	memset		2	0					
ANR	40	Identifier	memset		2	0					
ANR	41	ArgumentList	clk_setup		2	1					
ANR	42	Argument	clk_setup		2	0					
ANR	43	Identifier	clk_setup		2	0					
ANR	44	Argument	0		2	1					
ANR	45	PrimaryExpression	0		2	0					
ANR	46	Argument	sizeof ( clk_setup )		2	2					
ANR	47	SizeofExpression	sizeof ( clk_setup )		2	0					
ANR	48	Sizeof	sizeof		2	0					
ANR	49	SizeofOperand	clk_setup		2	1					
ANR	50	ExpressionStatement	"env = ppc4xx_init ( ""405ep"" , & clk_setup [ PPC405EP_CPU_CLK ] , & tlb_clk_setup , sysclk )"	13:4:441:543	2	5	True				
ANR	51	AssignmentExpression	"env = ppc4xx_init ( ""405ep"" , & clk_setup [ PPC405EP_CPU_CLK ] , & tlb_clk_setup , sysclk )"		2	0		=			
ANR	52	Identifier	env		2	0					
ANR	53	CallExpression	"ppc4xx_init ( ""405ep"" , & clk_setup [ PPC405EP_CPU_CLK ] , & tlb_clk_setup , sysclk )"		2	1					
ANR	54	Callee	ppc4xx_init		2	0					
ANR	55	Identifier	ppc4xx_init		2	0					
ANR	56	ArgumentList	"""405ep"""		2	1					
ANR	57	Argument	"""405ep"""		2	0					
ANR	58	PrimaryExpression	"""405ep"""		2	0					
ANR	59	Argument	& clk_setup [ PPC405EP_CPU_CLK ]		2	1					
ANR	60	UnaryOperationExpression	& clk_setup [ PPC405EP_CPU_CLK ]		2	0					
ANR	61	UnaryOperator	&		2	0					
ANR	62	ArrayIndexing	clk_setup [ PPC405EP_CPU_CLK ]		2	1					
ANR	63	Identifier	clk_setup		2	0					
ANR	64	Identifier	PPC405EP_CPU_CLK		2	1					
ANR	65	Argument	& tlb_clk_setup		2	2					
ANR	66	UnaryOperationExpression	& tlb_clk_setup		2	0					
ANR	67	UnaryOperator	&		2	0					
ANR	68	Identifier	tlb_clk_setup		2	1					
ANR	69	Argument	sysclk		2	3					
ANR	70	Identifier	sysclk		2	0					
ANR	71	ExpressionStatement	clk_setup [ PPC405EP_CPU_CLK ] . cb = tlb_clk_setup . cb	15:4:549:598	2	6	True				
ANR	72	AssignmentExpression	clk_setup [ PPC405EP_CPU_CLK ] . cb = tlb_clk_setup . cb		2	0		=			
ANR	73	MemberAccess	clk_setup [ PPC405EP_CPU_CLK ] . cb		2	0					
ANR	74	ArrayIndexing	clk_setup [ PPC405EP_CPU_CLK ]		2	0					
ANR	75	Identifier	clk_setup		2	0					
ANR	76	Identifier	PPC405EP_CPU_CLK		2	1					
ANR	77	Identifier	cb		2	1					
ANR	78	MemberAccess	tlb_clk_setup . cb		2	1					
ANR	79	Identifier	tlb_clk_setup		2	0					
ANR	80	Identifier	cb		2	1					
ANR	81	ExpressionStatement	clk_setup [ PPC405EP_CPU_CLK ] . opaque = tlb_clk_setup . opaque	16:4:604:661	2	7	True				
ANR	82	AssignmentExpression	clk_setup [ PPC405EP_CPU_CLK ] . opaque = tlb_clk_setup . opaque		2	0		=			
