start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
10	11	IS_AST_PARENT	
12	13	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
14	15	IS_AST_PARENT	
14	18	IS_AST_PARENT	
12	14	IS_AST_PARENT	
10	12	IS_AST_PARENT	
9	10	IS_AST_PARENT	
4	9	IS_AST_PARENT	
21	22	IS_AST_PARENT	
21	23	IS_AST_PARENT	
20	21	IS_AST_PARENT	
25	26	IS_AST_PARENT	
25	27	IS_AST_PARENT	
24	25	IS_AST_PARENT	
24	28	IS_AST_PARENT	
20	24	IS_AST_PARENT	
19	20	IS_AST_PARENT	
4	19	IS_AST_PARENT	
31	32	IS_AST_PARENT	
30	31	IS_AST_PARENT	
34	35	IS_AST_PARENT	
33	34	IS_AST_PARENT	
36	37	IS_AST_PARENT	
33	36	IS_AST_PARENT	
38	39	IS_AST_PARENT	
33	38	IS_AST_PARENT	
30	33	IS_AST_PARENT	
29	30	IS_AST_PARENT	
4	29	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	40	IS_AST_PARENT	
3	41	IS_AST_PARENT	
43	44	IS_AST_PARENT	
43	45	IS_AST_PARENT	
42	43	IS_AST_PARENT	
3	42	IS_AST_PARENT	
46	43	FLOWS_TO	
43	5	FLOWS_TO	
5	9	FLOWS_TO	
9	19	FLOWS_TO	
19	29	FLOWS_TO	
29	47	FLOWS_TO	
5	48	DEF	
6	48	DEF	
9	48	DEF	
10	48	DEF	
29	48	USE	
34	48	USE	
9	49	USE	
10	49	USE	
19	49	USE	
20	49	USE	
19	49	DEF	
20	49	DEF	
29	50	USE	
36	50	USE	
29	51	USE	
38	51	USE	
43	52	DEF	
9	52	USE	
15	52	USE	
19	52	USE	
21	52	USE	
29	53	USE	
9	54	USE	
10	54	USE	
19	54	USE	
20	54	USE	
9	29	REACHES	sum1
19	47	REACHES	* sum
43	9	REACHES	sum
43	19	REACHES	sum
46	43	CONTROLS	
46	5	CONTROLS	
46	9	CONTROLS	
46	19	CONTROLS	
46	29	CONTROLS	
43	5	DOM	
46	46	DOM	
9	19	DOM	
19	29	DOM	
5	9	DOM	
29	47	DOM	
46	43	DOM	
9	5	POST_DOM	
47	29	POST_DOM	
29	19	POST_DOM	
43	46	POST_DOM	
19	9	POST_DOM	
47	47	POST_DOM	
5	43	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	46	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
