start	end	type	var
103	104	IS_AST_PARENT	
102	103	IS_AST_PARENT	
108	109	IS_AST_PARENT	
107	108	IS_AST_PARENT	
107	110	IS_AST_PARENT	
106	107	IS_AST_PARENT	
105	106	IS_AST_PARENT	
102	105	IS_AST_PARENT	
118	119	IS_AST_PARENT	
118	120	IS_AST_PARENT	
117	118	IS_AST_PARENT	
117	121	IS_AST_PARENT	
116	117	IS_AST_PARENT	
116	122	IS_AST_PARENT	
115	116	IS_AST_PARENT	
114	115	IS_AST_PARENT	
126	127	IS_AST_PARENT	
126	128	IS_AST_PARENT	
125	126	IS_AST_PARENT	
125	129	IS_AST_PARENT	
124	125	IS_AST_PARENT	
123	124	IS_AST_PARENT	
114	123	IS_AST_PARENT	
113	114	IS_AST_PARENT	
112	113	IS_AST_PARENT	
132	133	IS_AST_PARENT	
131	132	IS_AST_PARENT	
135	136	IS_AST_PARENT	
134	135	IS_AST_PARENT	
131	134	IS_AST_PARENT	
130	131	IS_AST_PARENT	
112	130	IS_AST_PARENT	
111	112	IS_AST_PARENT	
102	111	IS_AST_PARENT	
101	102	IS_AST_PARENT	
100	101	IS_AST_PARENT	
100	137	IS_AST_PARENT	
100	138	IS_AST_PARENT	
140	141	IS_AST_PARENT	
140	142	IS_AST_PARENT	
139	140	IS_AST_PARENT	
143	144	IS_AST_PARENT	
143	145	IS_AST_PARENT	
139	143	IS_AST_PARENT	
100	139	IS_AST_PARENT	
146	140	FLOWS_TO	
140	143	FLOWS_TO	
143	103	FLOWS_TO	
103	106	FLOWS_TO	
103	113	FLOWS_TO	
106	147	FLOWS_TO	
113	130	FLOWS_TO	
130	147	FLOWS_TO	
143	148	DEF	
103	148	USE	
140	149	DEF	
113	149	USE	
126	149	USE	
118	149	USE	
130	149	USE	
135	149	USE	
113	150	USE	
116	150	USE	
117	150	USE	
125	150	USE	
124	150	USE	
113	151	USE	
124	151	USE	
116	151	USE	
113	152	USE	
124	152	USE	
116	152	USE	
117	152	USE	
125	152	USE	
143	103	REACHES	async
140	113	REACHES	qxl
140	130	REACHES	qxl
146	140	CONTROLS	
146	143	CONTROLS	
146	103	CONTROLS	
103	106	CONTROLS	
103	113	CONTROLS	
103	130	CONTROLS	
146	140	DOM	
103	106	DOM	
103	113	DOM	
140	143	DOM	
103	147	DOM	
113	130	DOM	
146	146	DOM	
143	103	DOM	
143	140	POST_DOM	
147	106	POST_DOM	
130	113	POST_DOM	
103	143	POST_DOM	
147	147	POST_DOM	
147	130	POST_DOM	
140	146	POST_DOM	
147	103	POST_DOM	
99	100	IS_FUNCTION_OF_AST	
99	146	IS_FUNCTION_OF_CFG	
98	99	IS_FILE_OF	
