command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	153	File	tmp/qemu_c80d1df5_6977.c								
ANR	154	Function	gen_op_arith_subf	1:0:0:2267							
ANR	155	FunctionDef	"gen_op_arith_subf (DisasContext * ctx , TCGv ret , TCGv arg1 , TCGv arg2 , bool add_ca , bool compute_ca , bool compute_ov , bool compute_rc0)"		154	0					
ANR	156	CompoundStatement		4:0:227:2267	154	0					
ANR	157	IdentifierDeclStatement	TCGv t0 = ret ;	5:4:233:246	154	0	True				
ANR	158	IdentifierDecl	t0 = ret		154	0					
ANR	159	IdentifierDeclType	TCGv		154	0					
ANR	160	Identifier	t0		154	1					
ANR	161	AssignmentExpression	t0 = ret		154	2		=			
ANR	162	Identifier	ret		154	0					
ANR	163	Identifier	ret		154	1					
ANR	164	IfStatement	if ( compute_ca || compute_ov )		154	1					
ANR	165	Condition	compute_ca || compute_ov	7:8:257:280	154	0	True				
ANR	166	OrExpression	compute_ca || compute_ov		154	0		||			
ANR	167	Identifier	compute_ca		154	0					
ANR	168	Identifier	compute_ov		154	1					
ANR	169	CompoundStatement		4:34:55:55	154	1					
ANR	170	ExpressionStatement	t0 = tcg_temp_new ( )	8:8:293:312	154	0	True				
ANR	171	AssignmentExpression	t0 = tcg_temp_new ( )		154	0		=			
ANR	172	Identifier	t0		154	0					
ANR	173	CallExpression	tcg_temp_new ( )		154	1					
ANR	174	Callee	tcg_temp_new		154	0					
ANR	175	Identifier	tcg_temp_new		154	0					
ANR	176	ArgumentList			154	1					
ANR	177	IfStatement	if ( compute_ca )		154	2					
ANR	178	Condition	compute_ca	11:8:329:338	154	0	True				
ANR	179	Identifier	compute_ca		154	0					
ANR	180	CompoundStatement		8:20:113:113	154	1					
ANR	181	IfStatement	if ( NARROW_MODE ( ctx ) )		154	0					
ANR	182	Condition	NARROW_MODE ( ctx )	13:12:398:413	154	0	True				
ANR	183	CallExpression	NARROW_MODE ( ctx )		154	0					
ANR	184	Callee	NARROW_MODE		154	0					
ANR	185	Identifier	NARROW_MODE		154	0					
ANR	186	ArgumentList	ctx		154	1					
