start	end	type	var
7	8	IS_AST_PARENT	
6	7	IS_AST_PARENT	
10	11	IS_AST_PARENT	
9	10	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	15	IS_AST_PARENT	
12	13	IS_AST_PARENT	
9	12	IS_AST_PARENT	
17	18	IS_AST_PARENT	
17	19	IS_AST_PARENT	
16	17	IS_AST_PARENT	
9	16	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
22	23	IS_AST_PARENT	
22	24	IS_AST_PARENT	
21	22	IS_AST_PARENT	
21	25	IS_AST_PARENT	
20	21	IS_AST_PARENT	
4	20	IS_AST_PARENT	
28	29	IS_AST_PARENT	
28	30	IS_AST_PARENT	
27	28	IS_AST_PARENT	
26	27	IS_AST_PARENT	
31	32	IS_AST_PARENT	
35	36	IS_AST_PARENT	
35	37	IS_AST_PARENT	
34	35	IS_AST_PARENT	
33	34	IS_AST_PARENT	
39	40	IS_AST_PARENT	
38	39	IS_AST_PARENT	
44	45	IS_AST_PARENT	
44	46	IS_AST_PARENT	
43	44	IS_AST_PARENT	
43	47	IS_AST_PARENT	
42	43	IS_AST_PARENT	
42	48	IS_AST_PARENT	
41	42	IS_AST_PARENT	
38	41	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	54	IS_AST_PARENT	
51	52	IS_AST_PARENT	
51	55	IS_AST_PARENT	
50	51	IS_AST_PARENT	
58	59	IS_AST_PARENT	
58	60	IS_AST_PARENT	
57	58	IS_AST_PARENT	
57	61	IS_AST_PARENT	
56	57	IS_AST_PARENT	
56	62	IS_AST_PARENT	
50	56	IS_AST_PARENT	
49	50	IS_AST_PARENT	
38	49	IS_AST_PARENT	
63	64	IS_AST_PARENT	
38	63	IS_AST_PARENT	
65	66	IS_AST_PARENT	
38	65	IS_AST_PARENT	
38	67	IS_AST_PARENT	
33	38	IS_AST_PARENT	
31	33	IS_AST_PARENT	
31	68	IS_AST_PARENT	
31	69	IS_AST_PARENT	
72	73	IS_AST_PARENT	
72	74	IS_AST_PARENT	
71	72	IS_AST_PARENT	
70	71	IS_AST_PARENT	
76	77	IS_AST_PARENT	
75	76	IS_AST_PARENT	
80	81	IS_AST_PARENT	
80	82	IS_AST_PARENT	
79	80	IS_AST_PARENT	
79	83	IS_AST_PARENT	
78	79	IS_AST_PARENT	
75	78	IS_AST_PARENT	
86	87	IS_AST_PARENT	
86	88	IS_AST_PARENT	
85	86	IS_AST_PARENT	
85	89	IS_AST_PARENT	
84	85	IS_AST_PARENT	
75	84	IS_AST_PARENT	
92	93	IS_AST_PARENT	
92	94	IS_AST_PARENT	
91	92	IS_AST_PARENT	
91	95	IS_AST_PARENT	
90	91	IS_AST_PARENT	
75	90	IS_AST_PARENT	
96	97	IS_AST_PARENT	
75	96	IS_AST_PARENT	
98	99	IS_AST_PARENT	
75	98	IS_AST_PARENT	
75	100	IS_AST_PARENT	
70	75	IS_AST_PARENT	
31	70	IS_AST_PARENT	
31	101	IS_AST_PARENT	
31	102	IS_AST_PARENT	
105	106	IS_AST_PARENT	
105	107	IS_AST_PARENT	
104	105	IS_AST_PARENT	
103	104	IS_AST_PARENT	
109	110	IS_AST_PARENT	
108	109	IS_AST_PARENT	
113	114	IS_AST_PARENT	
115	116	IS_AST_PARENT	
117	118	IS_AST_PARENT	
117	119	IS_AST_PARENT	
115	117	IS_AST_PARENT	
113	115	IS_AST_PARENT	
112	113	IS_AST_PARENT	
120	121	IS_AST_PARENT	
120	122	IS_AST_PARENT	
112	120	IS_AST_PARENT	
111	112	IS_AST_PARENT	
108	111	IS_AST_PARENT	
125	126	IS_AST_PARENT	
125	127	IS_AST_PARENT	
124	125	IS_AST_PARENT	
124	128	IS_AST_PARENT	
123	124	IS_AST_PARENT	
108	123	IS_AST_PARENT	
131	132	IS_AST_PARENT	
131	133	IS_AST_PARENT	
130	131	IS_AST_PARENT	
130	134	IS_AST_PARENT	
129	130	IS_AST_PARENT	
108	129	IS_AST_PARENT	
137	138	IS_AST_PARENT	
137	139	IS_AST_PARENT	
136	137	IS_AST_PARENT	
136	140	IS_AST_PARENT	
135	136	IS_AST_PARENT	
108	135	IS_AST_PARENT	
141	142	IS_AST_PARENT	
108	141	IS_AST_PARENT	
143	144	IS_AST_PARENT	
108	143	IS_AST_PARENT	
108	145	IS_AST_PARENT	
103	108	IS_AST_PARENT	
31	103	IS_AST_PARENT	
31	146	IS_AST_PARENT	
31	147	IS_AST_PARENT	
150	151	IS_AST_PARENT	
150	152	IS_AST_PARENT	
149	150	IS_AST_PARENT	
148	149	IS_AST_PARENT	
154	155	IS_AST_PARENT	
153	154	IS_AST_PARENT	
156	157	IS_AST_PARENT	
153	156	IS_AST_PARENT	
158	159	IS_AST_PARENT	
153	158	IS_AST_PARENT	
153	160	IS_AST_PARENT	
148	153	IS_AST_PARENT	
31	148	IS_AST_PARENT	
31	161	IS_AST_PARENT	
31	162	IS_AST_PARENT	
165	166	IS_AST_PARENT	
165	167	IS_AST_PARENT	
164	165	IS_AST_PARENT	
163	164	IS_AST_PARENT	
171	172	IS_AST_PARENT	
171	173	IS_AST_PARENT	
170	171	IS_AST_PARENT	
170	174	IS_AST_PARENT	
169	170	IS_AST_PARENT	
168	169	IS_AST_PARENT	
175	176	IS_AST_PARENT	
168	175	IS_AST_PARENT	
163	168	IS_AST_PARENT	
31	163	IS_AST_PARENT	
179	180	IS_AST_PARENT	
179	181	IS_AST_PARENT	
178	179	IS_AST_PARENT	
177	178	IS_AST_PARENT	
183	184	IS_AST_PARENT	
182	183	IS_AST_PARENT	
188	189	IS_AST_PARENT	
188	190	IS_AST_PARENT	
187	188	IS_AST_PARENT	
187	191	IS_AST_PARENT	
186	187	IS_AST_PARENT	
185	186	IS_AST_PARENT	
195	196	IS_AST_PARENT	
195	197	IS_AST_PARENT	
194	195	IS_AST_PARENT	
194	198	IS_AST_PARENT	
193	194	IS_AST_PARENT	
192	193	IS_AST_PARENT	
185	192	IS_AST_PARENT	
182	185	IS_AST_PARENT	
199	200	IS_AST_PARENT	
182	199	IS_AST_PARENT	
201	202	IS_AST_PARENT	
182	201	IS_AST_PARENT	
182	203	IS_AST_PARENT	
177	182	IS_AST_PARENT	
31	177	IS_AST_PARENT	
31	204	IS_AST_PARENT	
31	205	IS_AST_PARENT	
208	209	IS_AST_PARENT	
208	210	IS_AST_PARENT	
207	208	IS_AST_PARENT	
206	207	IS_AST_PARENT	
212	213	IS_AST_PARENT	
211	212	IS_AST_PARENT	
214	215	IS_AST_PARENT	
211	214	IS_AST_PARENT	
216	217	IS_AST_PARENT	
211	216	IS_AST_PARENT	
211	218	IS_AST_PARENT	
206	211	IS_AST_PARENT	
31	206	IS_AST_PARENT	
31	219	IS_AST_PARENT	
31	220	IS_AST_PARENT	
