command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_dd26eb43_8553.c								
ANR	2	Function	sd_app_command	1:0:0:2770							
ANR	3	FunctionDef	"sd_app_command (SDState * sd , SDRequest req)"		2	0					
ANR	4	CompoundStatement		3:0:100:2770	2	0					
ANR	5	ExpressionStatement	"DPRINTF ( ""ACMD%d 0x%08x\\n"" , req . cmd , req . arg )"	4:4:106:150	2	0	True				
ANR	6	CallExpression	"DPRINTF ( ""ACMD%d 0x%08x\\n"" , req . cmd , req . arg )"		2	0					
ANR	7	Callee	DPRINTF		2	0					
ANR	8	Identifier	DPRINTF		2	0					
ANR	9	ArgumentList	"""ACMD%d 0x%08x\\n"""		2	1					
ANR	10	Argument	"""ACMD%d 0x%08x\\n"""		2	0					
ANR	11	PrimaryExpression	"""ACMD%d 0x%08x\\n"""		2	0					
ANR	12	Argument	req . cmd		2	1					
ANR	13	MemberAccess	req . cmd		2	0					
ANR	14	Identifier	req		2	0					
ANR	15	Identifier	cmd		2	1					
ANR	16	Argument	req . arg		2	2					
ANR	17	MemberAccess	req . arg		2	0					
ANR	18	Identifier	req		2	0					
ANR	19	Identifier	arg		2	1					
ANR	20	ExpressionStatement	sd -> card_status |= APP_CMD	5:4:156:182	2	1	True				
ANR	21	AssignmentExpression	sd -> card_status |= APP_CMD		2	0		|=			
ANR	22	PtrMemberAccess	sd -> card_status		2	0					
ANR	23	Identifier	sd		2	0					
ANR	24	Identifier	card_status		2	1					
ANR	25	Identifier	APP_CMD		2	1					
ANR	26	SwitchStatement	switch ( req . cmd )		2	2					
ANR	27	Condition	req . cmd	6:12:196:202	2	0	True				
ANR	28	MemberAccess	req . cmd		2	0					
ANR	29	Identifier	req		2	0					
ANR	30	Identifier	cmd		2	1					
ANR	31	CompoundStatement		4:21:104:104	2	1					
ANR	32	Label	case 6 :	7:4:211:217	2	0	True				
ANR	33	SwitchStatement	switch ( sd -> state )		2	1					
ANR	34	Condition	sd -> state	8:16:263:271	2	0	True				
ANR	35	PtrMemberAccess	sd -> state		2	0					
ANR	36	Identifier	sd		2	0					
ANR	37	Identifier	state		2	1					
ANR	38	CompoundStatement		6:27:173:173	2	1					
ANR	39	Label	case sd_transfer_state :	9:8:284:306	2	0	True				
ANR	40	Identifier	sd_transfer_state		2	0					
ANR	41	ExpressionStatement	sd -> sd_status [ 0 ] &= 0x3f	10:12:320:344	2	1	True				
ANR	42	AssignmentExpression	sd -> sd_status [ 0 ] &= 0x3f		2	0		&=			
ANR	43	ArrayIndexing	sd -> sd_status [ 0 ]		2	0					
ANR	44	PtrMemberAccess	sd -> sd_status		2	0					
ANR	45	Identifier	sd		2	0					
ANR	46	Identifier	sd_status		2	1					
ANR	47	PrimaryExpression	0		2	1					
ANR	48	PrimaryExpression	0x3f		2	1					
ANR	49	ExpressionStatement	sd -> sd_status [ 0 ] |= ( req . arg & 0x03 ) << 6	11:12:358:399	2	2	True				
ANR	50	AssignmentExpression	sd -> sd_status [ 0 ] |= ( req . arg & 0x03 ) << 6		2	0		|=			
ANR	51	ArrayIndexing	sd -> sd_status [ 0 ]		2	0					
