command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_e63ecc6f_2829.c								
ANR	2	Function	ppc6xx_set_irq	1:0:0:3461							
ANR	3	FunctionDef	"ppc6xx_set_irq (void * opaque , int pin , int level)"		2	0					
ANR	4	CompoundStatement		2:0:62:3461	2	0					
ANR	5	IdentifierDeclStatement	CPUState * env = opaque ;	3:4:68:90	2	0	True				
ANR	6	IdentifierDecl	* env = opaque		2	0					
ANR	7	IdentifierDeclType	CPUState *		2	0					
ANR	8	Identifier	env		2	1					
ANR	9	AssignmentExpression	* env = opaque		2	2		=			
ANR	10	Identifier	opaque		2	0					
ANR	11	Identifier	opaque		2	1					
ANR	12	IdentifierDeclStatement	int cur_level ;	4:4:96:109	2	1	True				
ANR	13	IdentifierDecl	cur_level		2	0					
ANR	14	IdentifierDeclType	int		2	0					
ANR	15	Identifier	cur_level		2	1					
ANR	16	IfStatement	if ( loglevel & CPU_LOG_INT )		2	2					
ANR	17	Condition	loglevel & CPU_LOG_INT	7:8:147:168	2	0	True				
ANR	18	BitAndExpression	loglevel & CPU_LOG_INT		2	0		&			
ANR	19	Identifier	loglevel		2	0					
ANR	20	Identifier	CPU_LOG_INT		2	1					
ANR	21	CompoundStatement		6:32:108:108	2	1					
ANR	22	ExpressionStatement	"fprintf ( logfile , ""%s: env %p pin %d level %d\\n"" , __func__ , env , pin , level )"	8:8:181:272	2	0	True				
ANR	23	CallExpression	"fprintf ( logfile , ""%s: env %p pin %d level %d\\n"" , __func__ , env , pin , level )"		2	0					
ANR	24	Callee	fprintf		2	0					
ANR	25	Identifier	fprintf		2	0					
ANR	26	ArgumentList	logfile		2	1					
ANR	27	Argument	logfile		2	0					
ANR	28	Identifier	logfile		2	0					
ANR	29	Argument	"""%s: env %p pin %d level %d\\n"""		2	1					
ANR	30	PrimaryExpression	"""%s: env %p pin %d level %d\\n"""		2	0					
ANR	31	Argument	__func__		2	2					
ANR	32	Identifier	__func__		2	0					
ANR	33	Argument	env		2	3					
ANR	34	Identifier	env		2	0					
ANR	35	Argument	pin		2	4					
ANR	36	Identifier	pin		2	0					
ANR	37	Argument	level		2	5					
ANR	38	Identifier	level		2	0					
ANR	39	ExpressionStatement	cur_level = ( env -> irq_input_state >> pin ) & 1	12:4:291:336	2	3	True				
ANR	40	AssignmentExpression	cur_level = ( env -> irq_input_state >> pin ) & 1		2	0		=			
ANR	41	Identifier	cur_level		2	0					
ANR	42	BitAndExpression	( env -> irq_input_state >> pin ) & 1		2	1		&			
ANR	43	ShiftExpression	env -> irq_input_state >> pin		2	0		>>			
ANR	44	PtrMemberAccess	env -> irq_input_state		2	0					
ANR	45	Identifier	env		2	0					
ANR	46	Identifier	irq_input_state		2	1					
ANR	47	Identifier	pin		2	1					
ANR	48	PrimaryExpression	1		2	1					
ANR	49	IfStatement	if ( ( cur_level == 1 && level == 0 ) || ( cur_level == 0 && level != 0 ) )		2	4					
ANR	50	Condition	( cur_level == 1 && level == 0 ) || ( cur_level == 0 && level != 0 )	14:8:387:450	2	0	True				
ANR	51	OrExpression	( cur_level == 1 && level == 0 ) || ( cur_level == 0 && level != 0 )		2	0		||			
ANR	52	AndExpression	cur_level == 1 && level == 0		2	0		&&			
ANR	53	EqualityExpression	cur_level == 1		2	0		==			
ANR	54	Identifier	cur_level		2	0					
ANR	55	PrimaryExpression	1		2	1					
ANR	56	EqualityExpression	level == 0		2	1		==			
ANR	57	Identifier	level		2	0					
ANR	58	PrimaryExpression	0		2	1					
ANR	59	AndExpression	cur_level == 0 && level != 0		2	1		&&			
ANR	60	EqualityExpression	cur_level == 0		2	0		==			
ANR	61	Identifier	cur_level		2	0					
ANR	62	PrimaryExpression	0		2	1					
ANR	63	EqualityExpression	level != 0		2	1		!=			
ANR	64	Identifier	level		2	0					
ANR	65	PrimaryExpression	0		2	1					
ANR	66	CompoundStatement		13:74:390:390	2	1					
ANR	67	SwitchStatement	switch ( pin )		2	0					
ANR	68	Condition	pin	15:16:471:473	2	0	True				
ANR	69	Identifier	pin		2	0					
ANR	70	CompoundStatement		14:21:413:413	2	1					
ANR	71	Label	case PPC6xx_INPUT_INT :	16:8:486:507	2	0	True				
ANR	72	Identifier	PPC6xx_INPUT_INT		2	0					
ANR	73	IfStatement	if ( loglevel & CPU_LOG_INT )		2	1					
ANR	74	Condition	loglevel & CPU_LOG_INT	19:16:600:621	2	0	True				
ANR	75	BitAndExpression	loglevel & CPU_LOG_INT		2	0		&			
ANR	76	Identifier	loglevel		2	0					
ANR	77	Identifier	CPU_LOG_INT		2	1					
ANR	78	CompoundStatement		18:40:561:561	2	1					
ANR	79	ExpressionStatement	"fprintf ( logfile , ""%s: set the external IRQ state to %d\\n"" , __func__ , level )"	20:16:642:741	2	0	True				
ANR	80	CallExpression	"fprintf ( logfile , ""%s: set the external IRQ state to %d\\n"" , __func__ , level )"		2	0					
ANR	81	Callee	fprintf		2	0					
ANR	82	Identifier	fprintf		2	0					
ANR	83	ArgumentList	logfile		2	1					
ANR	84	Argument	logfile		2	0					
ANR	85	Identifier	logfile		2	0					
ANR	86	Argument	"""%s: set the external IRQ state to %d\\n"""		2	1					
ANR	87	PrimaryExpression	"""%s: set the external IRQ state to %d\\n"""		2	0					
ANR	88	Argument	__func__		2	2					
ANR	89	Identifier	__func__		2	0					
ANR	90	Argument	level		2	3					
ANR	91	Identifier	level		2	0					
ANR	92	ExpressionStatement	"ppc_set_irq ( env , PPC_INTERRUPT_EXT , level )"	24:12:776:818	2	2	True				
ANR	93	CallExpression	"ppc_set_irq ( env , PPC_INTERRUPT_EXT , level )"		2	0					
ANR	94	Callee	ppc_set_irq		2	0					
ANR	95	Identifier	ppc_set_irq		2	0					
ANR	96	ArgumentList	env		2	1					
ANR	97	Argument	env		2	0					
ANR	98	Identifier	env		2	0					
ANR	99	Argument	PPC_INTERRUPT_EXT		2	1					
ANR	100	Identifier	PPC_INTERRUPT_EXT		2	0					
ANR	101	Argument	level		2	2					
ANR	102	Identifier	level		2	0					
ANR	103	BreakStatement	break ;	25:12:832:837	2	3	True				
ANR	104	Label	case PPC6xx_INPUT_SMI :	26:8:847:868	2	4	True				
ANR	105	Identifier	PPC6xx_INPUT_SMI		2	0					
ANR	106	IfStatement	if ( loglevel & CPU_LOG_INT )		2	5					
ANR	107	Condition	loglevel & CPU_LOG_INT	29:16:961:982	2	0	True				
ANR	108	BitAndExpression	loglevel & CPU_LOG_INT		2	0		&			
ANR	109	Identifier	loglevel		2	0					
ANR	110	Identifier	CPU_LOG_INT		2	1					
ANR	111	CompoundStatement		28:40:922:922	2	1					
ANR	112	ExpressionStatement	"fprintf ( logfile , ""%s: set the SMI IRQ state to %d\\n"" , __func__ , level )"	30:16:1003:1097	2	0	True				
ANR	113	CallExpression	"fprintf ( logfile , ""%s: set the SMI IRQ state to %d\\n"" , __func__ , level )"		2	0					
ANR	114	Callee	fprintf		2	0					
ANR	115	Identifier	fprintf		2	0					
ANR	116	ArgumentList	logfile		2	1					
ANR	117	Argument	logfile		2	0					
ANR	118	Identifier	logfile		2	0					
ANR	119	Argument	"""%s: set the SMI IRQ state to %d\\n"""		2	1					
ANR	120	PrimaryExpression	"""%s: set the SMI IRQ state to %d\\n"""		2	0					
ANR	121	Argument	__func__		2	2					
ANR	122	Identifier	__func__		2	0					
ANR	123	Argument	level		2	3					
ANR	124	Identifier	level		2	0					
ANR	125	ExpressionStatement	"ppc_set_irq ( env , PPC_INTERRUPT_SMI , level )"	34:12:1132:1174	2	6	True				
ANR	126	CallExpression	"ppc_set_irq ( env , PPC_INTERRUPT_SMI , level )"		2	0					
ANR	127	Callee	ppc_set_irq		2	0					
ANR	128	Identifier	ppc_set_irq		2	0					
ANR	129	ArgumentList	env		2	1					
ANR	130	Argument	env		2	0					
ANR	131	Identifier	env		2	0					
ANR	132	Argument	PPC_INTERRUPT_SMI		2	1					
ANR	133	Identifier	PPC_INTERRUPT_SMI		2	0					
ANR	134	Argument	level		2	2					
ANR	135	Identifier	level		2	0					
ANR	136	BreakStatement	break ;	35:12:1188:1193	2	7	True				
ANR	137	Label	case PPC6xx_INPUT_MCP :	36:8:1203:1224	2	8	True				
ANR	138	Identifier	PPC6xx_INPUT_MCP		2	0					
ANR	139	IfStatement	if ( cur_level == 1 && level == 0 )		2	9					
ANR	140	Condition	cur_level == 1 && level == 0	41:16:1429:1456	2	0	True				
ANR	141	AndExpression	cur_level == 1 && level == 0		2	0		&&			
ANR	142	EqualityExpression	cur_level == 1		2	0		==			
ANR	143	Identifier	cur_level		2	0					
ANR	144	PrimaryExpression	1		2	1					
ANR	145	EqualityExpression	level == 0		2	1		==			
ANR	146	Identifier	level		2	0					
ANR	147	PrimaryExpression	0		2	1					
ANR	148	CompoundStatement		40:46:1396:1396	2	1					
ANR	149	IfStatement	if ( loglevel & CPU_LOG_INT )		2	0					
ANR	150	Condition	loglevel & CPU_LOG_INT	43:20:1508:1529	2	0	True				
ANR	151	BitAndExpression	loglevel & CPU_LOG_INT		2	0		&			
ANR	152	Identifier	loglevel		2	0					
ANR	153	Identifier	CPU_LOG_INT		2	1					
ANR	154	CompoundStatement		42:44:1469:1469	2	1					
ANR	155	ExpressionStatement	"fprintf ( logfile , ""%s: raise machine check state\\n"" , __func__ )"	44:20:1554:1643	2	0	True				
ANR	156	CallExpression	"fprintf ( logfile , ""%s: raise machine check state\\n"" , __func__ )"		2	0					
ANR	157	Callee	fprintf		2	0					
ANR	158	Identifier	fprintf		2	0					
ANR	159	ArgumentList	logfile		2	1					
ANR	160	Argument	logfile		2	0					
ANR	161	Identifier	logfile		2	0					
ANR	162	Argument	"""%s: raise machine check state\\n"""		2	1					
ANR	163	PrimaryExpression	"""%s: raise machine check state\\n"""		2	0					
ANR	164	Argument	__func__		2	2					
ANR	165	Identifier	__func__		2	0					
ANR	166	ExpressionStatement	"ppc_set_irq ( env , PPC_INTERRUPT_MCK , 1 )"	48:16:1686:1724	2	1	True				
ANR	167	CallExpression	"ppc_set_irq ( env , PPC_INTERRUPT_MCK , 1 )"		2	0					
ANR	168	Callee	ppc_set_irq		2	0					
ANR	169	Identifier	ppc_set_irq		2	0					
ANR	170	ArgumentList	env		2	1					
ANR	171	Argument	env		2	0					
ANR	172	Identifier	env		2	0					
ANR	173	Argument	PPC_INTERRUPT_MCK		2	1					
ANR	174	Identifier	PPC_INTERRUPT_MCK		2	0					
ANR	175	Argument	1		2	2					
ANR	176	PrimaryExpression	1		2	0					
ANR	177	BreakStatement	break ;	50:12:1752:1757	2	10	True				
ANR	178	Label	case PPC6xx_INPUT_CKSTP_IN :	51:8:1767:1793	2	11	True				
ANR	179	Identifier	PPC6xx_INPUT_CKSTP_IN		2	0					
ANR	180	IfStatement	if ( level )		2	12					
ANR	181	Condition	level	54:16:1921:1925	2	0	True				
ANR	182	Identifier	level		2	0					
ANR	183	CompoundStatement		53:23:1865:1865	2	1					
ANR	184	IfStatement	if ( loglevel & CPU_LOG_INT )		2	0					
ANR	185	Condition	loglevel & CPU_LOG_INT	56:20:1977:1998	2	0	True				
ANR	186	BitAndExpression	loglevel & CPU_LOG_INT		2	0		&			
ANR	187	Identifier	loglevel		2	0					
ANR	188	Identifier	CPU_LOG_INT		2	1					
ANR	189	CompoundStatement		55:44:1938:1938	2	1					
ANR	190	ExpressionStatement	"fprintf ( logfile , ""%s: stop the CPU\\n"" , __func__ )"	57:20:2023:2071	2	0	True				
ANR	191	CallExpression	"fprintf ( logfile , ""%s: stop the CPU\\n"" , __func__ )"		2	0					
ANR	192	Callee	fprintf		2	0					
ANR	193	Identifier	fprintf		2	0					
ANR	194	ArgumentList	logfile		2	1					
ANR	195	Argument	logfile		2	0					
ANR	196	Identifier	logfile		2	0					
ANR	197	Argument	"""%s: stop the CPU\\n"""		2	1					
ANR	198	PrimaryExpression	"""%s: stop the CPU\\n"""		2	0					
ANR	199	Argument	__func__		2	2					
ANR	200	Identifier	__func__		2	0					
ANR	201	ExpressionStatement	env -> halted = 1	60:16:2114:2129	2	1	True				
ANR	202	AssignmentExpression	env -> halted = 1		2	0		=			
ANR	203	PtrMemberAccess	env -> halted		2	0					
ANR	204	Identifier	env		2	0					
ANR	205	Identifier	halted		2	1					
ANR	206	PrimaryExpression	1		2	1					
ANR	207	ElseStatement	else		2	0					
ANR	208	CompoundStatement		60:19:2087:2087	2	0					
ANR	209	IfStatement	if ( loglevel & CPU_LOG_INT )		2	0					
ANR	210	Condition	loglevel & CPU_LOG_INT	63:20:2199:2220	2	0	True				
ANR	211	BitAndExpression	loglevel & CPU_LOG_INT		2	0		&			
ANR	212	Identifier	loglevel		2	0					
ANR	213	Identifier	CPU_LOG_INT		2	1					
ANR	214	CompoundStatement		62:44:2160:2160	2	1					
ANR	215	ExpressionStatement	"fprintf ( logfile , ""%s: restart the CPU\\n"" , __func__ )"	64:20:2245:2296	2	0	True				
ANR	216	CallExpression	"fprintf ( logfile , ""%s: restart the CPU\\n"" , __func__ )"		2	0					
ANR	217	Callee	fprintf		2	0					
ANR	218	Identifier	fprintf		2	0					
ANR	219	ArgumentList	logfile		2	1					
ANR	220	Argument	logfile		2	0					
ANR	221	Identifier	logfile		2	0					
ANR	222	Argument	"""%s: restart the CPU\\n"""		2	1					
ANR	223	PrimaryExpression	"""%s: restart the CPU\\n"""		2	0					
ANR	224	Argument	__func__		2	2					
ANR	225	Identifier	__func__		2	0					
ANR	226	ExpressionStatement	env -> halted = 0	67:16:2339:2354	2	1	True				
ANR	227	AssignmentExpression	env -> halted = 0		2	0		=			
ANR	228	PtrMemberAccess	env -> halted		2	0					
ANR	229	Identifier	env		2	0					
ANR	230	Identifier	halted		2	1					
ANR	231	PrimaryExpression	0		2	1					
ANR	232	BreakStatement	break ;	69:12:2382:2387	2	13	True				
ANR	233	Label	case PPC6xx_INPUT_HRESET :	70:8:2397:2421	2	14	True				
ANR	234	Identifier	PPC6xx_INPUT_HRESET		2	0					
ANR	235	IfStatement	if ( level )		2	15					
ANR	236	Condition	level	72:16:2486:2490	2	0	True				
ANR	237	Identifier	level		2	0					
ANR	238	CompoundStatement		71:23:2430:2430	2	1					
ANR	239	IfStatement	if ( loglevel & CPU_LOG_INT )		2	0					
ANR	240	Condition	loglevel & CPU_LOG_INT	75:20:2562:2583	2	0	True				
ANR	241	BitAndExpression	loglevel & CPU_LOG_INT		2	0		&			
ANR	242	Identifier	loglevel		2	0					
ANR	243	Identifier	CPU_LOG_INT		2	1					
ANR	244	CompoundStatement		74:44:2523:2523	2	1					
ANR	245	ExpressionStatement	"fprintf ( logfile , ""%s: reset the CPU\\n"" , __func__ )"	76:20:2608:2657	2	0	True				
ANR	246	CallExpression	"fprintf ( logfile , ""%s: reset the CPU\\n"" , __func__ )"		2	0					
ANR	247	Callee	fprintf		2	0					
ANR	248	Identifier	fprintf		2	0					
ANR	249	ArgumentList	logfile		2	1					
ANR	250	Argument	logfile		2	0					
ANR	251	Identifier	logfile		2	0					
ANR	252	Argument	"""%s: reset the CPU\\n"""		2	1					
ANR	253	PrimaryExpression	"""%s: reset the CPU\\n"""		2	0					
ANR	254	Argument	__func__		2	2					
ANR	255	Identifier	__func__		2	0					
ANR	256	ExpressionStatement	cpu_reset ( env )	79:16:2700:2714	2	1	True				
ANR	257	CallExpression	cpu_reset ( env )		2	0					
ANR	258	Callee	cpu_reset		2	0					
ANR	259	Identifier	cpu_reset		2	0					
ANR	260	ArgumentList	env		2	1					
ANR	261	Argument	env		2	0					
ANR	262	Identifier	env		2	0					
ANR	263	BreakStatement	break ;	82:12:2749:2754	2	16	True				
ANR	264	Label	case PPC6xx_INPUT_SRESET :	83:8:2764:2788	2	17	True				
ANR	265	Identifier	PPC6xx_INPUT_SRESET		2	0					
ANR	266	IfStatement	if ( loglevel & CPU_LOG_INT )		2	18					
ANR	267	Condition	loglevel & CPU_LOG_INT	85:16:2833:2854	2	0	True				
ANR	268	BitAndExpression	loglevel & CPU_LOG_INT		2	0		&			
ANR	269	Identifier	loglevel		2	0					
ANR	270	Identifier	CPU_LOG_INT		2	1					
ANR	271	CompoundStatement		84:40:2794:2794	2	1					
ANR	272	ExpressionStatement	"fprintf ( logfile , ""%s: set the RESET IRQ state to %d\\n"" , __func__ , level )"	86:16:2875:2971	2	0	True				
ANR	273	CallExpression	"fprintf ( logfile , ""%s: set the RESET IRQ state to %d\\n"" , __func__ , level )"		2	0					
ANR	274	Callee	fprintf		2	0					
ANR	275	Identifier	fprintf		2	0					
ANR	276	ArgumentList	logfile		2	1					
ANR	277	Argument	logfile		2	0					
ANR	278	Identifier	logfile		2	0					
ANR	279	Argument	"""%s: set the RESET IRQ state to %d\\n"""		2	1					
