start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	15	IS_AST_PARENT	
12	13	IS_AST_PARENT	
12	16	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	17	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
19	20	IS_AST_PARENT	
19	21	IS_AST_PARENT	
18	19	IS_AST_PARENT	
22	23	IS_AST_PARENT	
22	24	IS_AST_PARENT	
25	26	IS_AST_PARENT	
27	28	IS_AST_PARENT	
27	29	IS_AST_PARENT	
25	27	IS_AST_PARENT	
22	25	IS_AST_PARENT	
18	22	IS_AST_PARENT	
4	18	IS_AST_PARENT	
31	32	IS_AST_PARENT	
31	33	IS_AST_PARENT	
30	31	IS_AST_PARENT	
4	30	IS_AST_PARENT	
35	36	IS_AST_PARENT	
35	37	IS_AST_PARENT	
34	35	IS_AST_PARENT	
4	34	IS_AST_PARENT	
39	40	IS_AST_PARENT	
39	41	IS_AST_PARENT	
38	39	IS_AST_PARENT	
42	43	IS_AST_PARENT	
42	44	IS_AST_PARENT	
38	42	IS_AST_PARENT	
45	46	IS_AST_PARENT	
45	47	IS_AST_PARENT	
38	45	IS_AST_PARENT	
48	49	IS_AST_PARENT	
48	50	IS_AST_PARENT	
38	48	IS_AST_PARENT	
4	38	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	54	IS_AST_PARENT	
51	52	IS_AST_PARENT	
55	56	IS_AST_PARENT	
55	57	IS_AST_PARENT	
51	55	IS_AST_PARENT	
58	59	IS_AST_PARENT	
58	60	IS_AST_PARENT	
51	58	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	63	IS_AST_PARENT	
51	61	IS_AST_PARENT	
4	51	IS_AST_PARENT	
65	66	IS_AST_PARENT	
65	67	IS_AST_PARENT	
64	65	IS_AST_PARENT	
68	69	IS_AST_PARENT	
68	70	IS_AST_PARENT	
64	68	IS_AST_PARENT	
71	72	IS_AST_PARENT	
71	73	IS_AST_PARENT	
64	71	IS_AST_PARENT	
4	64	IS_AST_PARENT	
75	76	IS_AST_PARENT	
75	77	IS_AST_PARENT	
78	79	IS_AST_PARENT	
78	80	IS_AST_PARENT	
75	78	IS_AST_PARENT	
74	75	IS_AST_PARENT	
81	82	IS_AST_PARENT	
81	83	IS_AST_PARENT	
84	85	IS_AST_PARENT	
84	86	IS_AST_PARENT	
81	84	IS_AST_PARENT	
74	81	IS_AST_PARENT	
4	74	IS_AST_PARENT	
88	89	IS_AST_PARENT	
88	90	IS_AST_PARENT	
88	91	IS_AST_PARENT	
92	93	IS_AST_PARENT	
94	95	IS_AST_PARENT	
92	94	IS_AST_PARENT	
88	92	IS_AST_PARENT	
87	88	IS_AST_PARENT	
4	87	IS_AST_PARENT	
98	99	IS_AST_PARENT	
97	98	IS_AST_PARENT	
102	103	IS_AST_PARENT	
102	104	IS_AST_PARENT	
101	102	IS_AST_PARENT	
100	101	IS_AST_PARENT	
105	106	IS_AST_PARENT	
100	105	IS_AST_PARENT	
107	108	IS_AST_PARENT	
100	107	IS_AST_PARENT	
109	110	IS_AST_PARENT	
100	109	IS_AST_PARENT	
97	100	IS_AST_PARENT	
96	97	IS_AST_PARENT	
4	96	IS_AST_PARENT	
113	114	IS_AST_PARENT	
112	113	IS_AST_PARENT	
117	118	IS_AST_PARENT	
117	119	IS_AST_PARENT	
116	117	IS_AST_PARENT	
115	116	IS_AST_PARENT	
120	121	IS_AST_PARENT	
115	120	IS_AST_PARENT	
123	124	IS_AST_PARENT	
123	125	IS_AST_PARENT	
122	123	IS_AST_PARENT	
115	122	IS_AST_PARENT	
126	127	IS_AST_PARENT	
115	126	IS_AST_PARENT	
112	115	IS_AST_PARENT	
111	112	IS_AST_PARENT	
4	111	IS_AST_PARENT	
129	130	IS_AST_PARENT	
131	132	IS_AST_PARENT	
133	134	IS_AST_PARENT	
133	135	IS_AST_PARENT	
131	133	IS_AST_PARENT	
129	131	IS_AST_PARENT	
128	129	IS_AST_PARENT	
4	128	IS_AST_PARENT	
137	138	IS_AST_PARENT	
137	139	IS_AST_PARENT	
136	137	IS_AST_PARENT	
4	136	IS_AST_PARENT	
144	145	IS_AST_PARENT	
143	144	IS_AST_PARENT	
147	148	IS_AST_PARENT	
146	147	IS_AST_PARENT	
150	151	IS_AST_PARENT	
150	152	IS_AST_PARENT	
149	150	IS_AST_PARENT	
146	149	IS_AST_PARENT	
153	154	IS_AST_PARENT	
146	153	IS_AST_PARENT	
143	146	IS_AST_PARENT	
142	143	IS_AST_PARENT	
142	155	IS_AST_PARENT	
141	142	IS_AST_PARENT	
140	141	IS_AST_PARENT	
140	156	IS_AST_PARENT	
4	140	IS_AST_PARENT	
159	160	IS_AST_PARENT	
158	159	IS_AST_PARENT	
163	164	IS_AST_PARENT	
163	165	IS_AST_PARENT	
162	163	IS_AST_PARENT	
161	162	IS_AST_PARENT	
166	167	IS_AST_PARENT	
161	166	IS_AST_PARENT	
168	169	IS_AST_PARENT	
161	168	IS_AST_PARENT	
171	172	IS_AST_PARENT	
171	173	IS_AST_PARENT	
170	171	IS_AST_PARENT	
161	170	IS_AST_PARENT	
175	176	IS_AST_PARENT	
175	177	IS_AST_PARENT	
174	175	IS_AST_PARENT	
161	174	IS_AST_PARENT	
179	180	IS_AST_PARENT	
179	181	IS_AST_PARENT	
178	179	IS_AST_PARENT	
161	178	IS_AST_PARENT	
158	161	IS_AST_PARENT	
157	158	IS_AST_PARENT	
4	157	IS_AST_PARENT	
185	186	IS_AST_PARENT	
185	187	IS_AST_PARENT	
184	185	IS_AST_PARENT	
184	188	IS_AST_PARENT	
183	184	IS_AST_PARENT	
182	183	IS_AST_PARENT	
182	189	IS_AST_PARENT	
4	182	IS_AST_PARENT	
192	193	IS_AST_PARENT	
191	192	IS_AST_PARENT	
195	196	IS_AST_PARENT	
194	195	IS_AST_PARENT	
198	199	IS_AST_PARENT	
198	200	IS_AST_PARENT	
197	198	IS_AST_PARENT	
194	197	IS_AST_PARENT	
191	194	IS_AST_PARENT	
190	191	IS_AST_PARENT	
4	190	IS_AST_PARENT	
202	203	IS_AST_PARENT	
206	207	IS_AST_PARENT	
205	206	IS_AST_PARENT	
210	211	IS_AST_PARENT	
210	212	IS_AST_PARENT	
209	210	IS_AST_PARENT	
208	209	IS_AST_PARENT	
213	214	IS_AST_PARENT	
208	213	IS_AST_PARENT	
205	208	IS_AST_PARENT	
204	205	IS_AST_PARENT	
204	215	IS_AST_PARENT	
202	204	IS_AST_PARENT	
201	202	IS_AST_PARENT	
4	201	IS_AST_PARENT	
218	219	IS_AST_PARENT	
218	220	IS_AST_PARENT	
217	218	IS_AST_PARENT	
216	217	IS_AST_PARENT	
216	221	IS_AST_PARENT	
4	216	IS_AST_PARENT	
224	225	IS_AST_PARENT	
223	224	IS_AST_PARENT	
227	228	IS_AST_PARENT	
226	227	IS_AST_PARENT	
230	231	IS_AST_PARENT	
230	232	IS_AST_PARENT	
229	230	IS_AST_PARENT	
226	229	IS_AST_PARENT	
233	234	IS_AST_PARENT	
226	233	IS_AST_PARENT	
223	226	IS_AST_PARENT	
222	223	IS_AST_PARENT	
4	222	IS_AST_PARENT	
237	238	IS_AST_PARENT	
236	237	IS_AST_PARENT	
241	242	IS_AST_PARENT	
241	243	IS_AST_PARENT	
240	241	IS_AST_PARENT	
239	240	IS_AST_PARENT	
244	245	IS_AST_PARENT	
239	244	IS_AST_PARENT	
246	247	IS_AST_PARENT	
239	246	IS_AST_PARENT	
248	249	IS_AST_PARENT	
239	248	IS_AST_PARENT	
236	239	IS_AST_PARENT	
235	236	IS_AST_PARENT	
4	235	IS_AST_PARENT	
251	252	IS_AST_PARENT	
255	256	IS_AST_PARENT	
254	255	IS_AST_PARENT	
259	260	IS_AST_PARENT	
259	261	IS_AST_PARENT	
258	259	IS_AST_PARENT	
257	258	IS_AST_PARENT	
262	263	IS_AST_PARENT	
257	262	IS_AST_PARENT	
254	257	IS_AST_PARENT	
253	254	IS_AST_PARENT	
253	264	IS_AST_PARENT	
251	253	IS_AST_PARENT	
250	251	IS_AST_PARENT	
4	250	IS_AST_PARENT	
267	268	IS_AST_PARENT	
267	269	IS_AST_PARENT	
266	267	IS_AST_PARENT	
265	266	IS_AST_PARENT	
265	270	IS_AST_PARENT	
4	265	IS_AST_PARENT	
272	273	IS_AST_PARENT	
272	274	IS_AST_PARENT	
271	272	IS_AST_PARENT	
4	271	IS_AST_PARENT	
277	278	IS_AST_PARENT	
277	279	IS_AST_PARENT	
276	277	IS_AST_PARENT	
275	276	IS_AST_PARENT	
275	280	IS_AST_PARENT	
4	275	IS_AST_PARENT	
285	286	IS_AST_PARENT	
285	287	IS_AST_PARENT	
284	285	IS_AST_PARENT	
284	288	IS_AST_PARENT	
283	284	IS_AST_PARENT	
282	283	IS_AST_PARENT	
290	291	IS_AST_PARENT	
290	292	IS_AST_PARENT	
289	290	IS_AST_PARENT	
282	289	IS_AST_PARENT	
294	295	IS_AST_PARENT	
297	298	IS_AST_PARENT	
296	297	IS_AST_PARENT	
301	302	IS_AST_PARENT	
301	303	IS_AST_PARENT	
300	301	IS_AST_PARENT	
299	300	IS_AST_PARENT	
304	305	IS_AST_PARENT	
299	304	IS_AST_PARENT	
296	299	IS_AST_PARENT	
294	296	IS_AST_PARENT	
293	294	IS_AST_PARENT	
282	293	IS_AST_PARENT	
308	309	IS_AST_PARENT	
308	310	IS_AST_PARENT	
307	308	IS_AST_PARENT	
306	307	IS_AST_PARENT	
306	311	IS_AST_PARENT	
282	306	IS_AST_PARENT	
313	314	IS_AST_PARENT	
317	318	IS_AST_PARENT	
316	317	IS_AST_PARENT	
321	322	IS_AST_PARENT	
321	323	IS_AST_PARENT	
320	321	IS_AST_PARENT	
319	320	IS_AST_PARENT	
324	325	IS_AST_PARENT	
319	324	IS_AST_PARENT	
316	319	IS_AST_PARENT	
315	316	IS_AST_PARENT	
315	326	IS_AST_PARENT	
313	315	IS_AST_PARENT	
312	313	IS_AST_PARENT	
282	312	IS_AST_PARENT	
329	330	IS_AST_PARENT	
329	331	IS_AST_PARENT	
328	329	IS_AST_PARENT	
327	328	IS_AST_PARENT	
327	332	IS_AST_PARENT	
282	327	IS_AST_PARENT	
334	335	IS_AST_PARENT	
338	339	IS_AST_PARENT	
337	338	IS_AST_PARENT	
342	343	IS_AST_PARENT	
342	344	IS_AST_PARENT	
341	342	IS_AST_PARENT	
340	341	IS_AST_PARENT	
345	346	IS_AST_PARENT	
340	345	IS_AST_PARENT	
337	340	IS_AST_PARENT	
336	337	IS_AST_PARENT	
336	347	IS_AST_PARENT	
334	336	IS_AST_PARENT	
333	334	IS_AST_PARENT	
282	333	IS_AST_PARENT	
350	351	IS_AST_PARENT	
350	352	IS_AST_PARENT	
349	350	IS_AST_PARENT	
348	349	IS_AST_PARENT	
348	353	IS_AST_PARENT	
282	348	IS_AST_PARENT	
355	356	IS_AST_PARENT	
357	358	IS_AST_PARENT	
357	359	IS_AST_PARENT	
355	357	IS_AST_PARENT	
354	355	IS_AST_PARENT	
282	354	IS_AST_PARENT	
362	363	IS_AST_PARENT	
362	364	IS_AST_PARENT	
361	362	IS_AST_PARENT	
360	361	IS_AST_PARENT	
360	365	IS_AST_PARENT	
282	360	IS_AST_PARENT	
369	370	IS_AST_PARENT	
372	373	IS_AST_PARENT	
371	372	IS_AST_PARENT	
376	377	IS_AST_PARENT	
376	378	IS_AST_PARENT	
375	376	IS_AST_PARENT	
374	375	IS_AST_PARENT	
379	380	IS_AST_PARENT	
374	379	IS_AST_PARENT	
371	374	IS_AST_PARENT	
369	371	IS_AST_PARENT	
368	369	IS_AST_PARENT	
367	368	IS_AST_PARENT	
383	384	IS_AST_PARENT	
383	385	IS_AST_PARENT	
382	383	IS_AST_PARENT	
381	382	IS_AST_PARENT	
381	386	IS_AST_PARENT	
367	381	IS_AST_PARENT	
389	390	IS_AST_PARENT	
389	391	IS_AST_PARENT	
388	389	IS_AST_PARENT	
387	388	IS_AST_PARENT	
396	397	IS_AST_PARENT	
396	398	IS_AST_PARENT	
395	396	IS_AST_PARENT	
399	400	IS_AST_PARENT	
399	401	IS_AST_PARENT	
395	399	IS_AST_PARENT	
394	395	IS_AST_PARENT	
393	394	IS_AST_PARENT	
404	405	IS_AST_PARENT	
404	406	IS_AST_PARENT	
403	404	IS_AST_PARENT	
402	403	IS_AST_PARENT	
393	402	IS_AST_PARENT	
410	411	IS_AST_PARENT	
410	412	IS_AST_PARENT	
409	410	IS_AST_PARENT	
408	409	IS_AST_PARENT	
415	416	IS_AST_PARENT	
415	417	IS_AST_PARENT	
414	415	IS_AST_PARENT	
413	414	IS_AST_PARENT	
408	413	IS_AST_PARENT	
407	408	IS_AST_PARENT	
393	407	IS_AST_PARENT	
392	393	IS_AST_PARENT	
387	392	IS_AST_PARENT	
367	387	IS_AST_PARENT	
419	420	IS_AST_PARENT	
422	423	IS_AST_PARENT	
421	422	IS_AST_PARENT	
426	427	IS_AST_PARENT	
426	428	IS_AST_PARENT	
425	426	IS_AST_PARENT	
424	425	IS_AST_PARENT	
429	430	IS_AST_PARENT	
424	429	IS_AST_PARENT	
421	424	IS_AST_PARENT	
419	421	IS_AST_PARENT	
418	419	IS_AST_PARENT	
367	418	IS_AST_PARENT	
432	433	IS_AST_PARENT	
434	435	IS_AST_PARENT	
434	436	IS_AST_PARENT	
432	434	IS_AST_PARENT	
431	432	IS_AST_PARENT	
367	431	IS_AST_PARENT	
439	440	IS_AST_PARENT	
439	441	IS_AST_PARENT	
438	439	IS_AST_PARENT	
437	438	IS_AST_PARENT	
437	442	IS_AST_PARENT	
367	437	IS_AST_PARENT	
445	446	IS_AST_PARENT	
444	445	IS_AST_PARENT	
449	450	IS_AST_PARENT	
449	451	IS_AST_PARENT	
448	449	IS_AST_PARENT	
447	448	IS_AST_PARENT	
452	453	IS_AST_PARENT	
447	452	IS_AST_PARENT	
454	455	IS_AST_PARENT	
447	454	IS_AST_PARENT	
456	457	IS_AST_PARENT	
447	456	IS_AST_PARENT	
458	459	IS_AST_PARENT	
447	458	IS_AST_PARENT	
444	447	IS_AST_PARENT	
443	444	IS_AST_PARENT	
367	443	IS_AST_PARENT	
461	462	IS_AST_PARENT	
460	461	IS_AST_PARENT	
464	465	IS_AST_PARENT	
463	464	IS_AST_PARENT	
468	469	IS_AST_PARENT	
468	470	IS_AST_PARENT	
467	468	IS_AST_PARENT	
466	467	IS_AST_PARENT	
472	473	IS_AST_PARENT	
472	474	IS_AST_PARENT	
471	472	IS_AST_PARENT	
466	471	IS_AST_PARENT	
463	466	IS_AST_PARENT	
477	478	IS_AST_PARENT	
477	479	IS_AST_PARENT	
476	477	IS_AST_PARENT	
481	482	IS_AST_PARENT	
480	481	IS_AST_PARENT	
485	486	IS_AST_PARENT	
485	487	IS_AST_PARENT	
484	485	IS_AST_PARENT	
483	484	IS_AST_PARENT	
488	489	IS_AST_PARENT	
483	488	IS_AST_PARENT	
480	483	IS_AST_PARENT	
476	480	IS_AST_PARENT	
475	476	IS_AST_PARENT	
463	475	IS_AST_PARENT	
492	493	IS_AST_PARENT	
492	494	IS_AST_PARENT	
491	492	IS_AST_PARENT	
496	497	IS_AST_PARENT	
495	496	IS_AST_PARENT	
500	501	IS_AST_PARENT	
500	502	IS_AST_PARENT	
499	500	IS_AST_PARENT	
498	499	IS_AST_PARENT	
503	504	IS_AST_PARENT	
498	503	IS_AST_PARENT	
495	498	IS_AST_PARENT	
491	495	IS_AST_PARENT	
490	491	IS_AST_PARENT	
463	490	IS_AST_PARENT	
507	508	IS_AST_PARENT	
507	509	IS_AST_PARENT	
506	507	IS_AST_PARENT	
511	512	IS_AST_PARENT	
510	511	IS_AST_PARENT	
515	516	IS_AST_PARENT	
515	517	IS_AST_PARENT	
514	515	IS_AST_PARENT	
513	514	IS_AST_PARENT	
518	519	IS_AST_PARENT	
513	518	IS_AST_PARENT	
510	513	IS_AST_PARENT	
506	510	IS_AST_PARENT	
505	506	IS_AST_PARENT	
463	505	IS_AST_PARENT	
522	523	IS_AST_PARENT	
522	524	IS_AST_PARENT	
521	522	IS_AST_PARENT	
521	525	IS_AST_PARENT	
520	521	IS_AST_PARENT	
463	520	IS_AST_PARENT	
528	529	IS_AST_PARENT	
527	528	IS_AST_PARENT	
