start	end	type	var
3969	3970	IS_AST_PARENT	
3969	3971	IS_AST_PARENT	
3968	3969	IS_AST_PARENT	
3972	3973	IS_AST_PARENT	
3972	3974	IS_AST_PARENT	
3968	3972	IS_AST_PARENT	
3967	3968	IS_AST_PARENT	
3976	3977	IS_AST_PARENT	
3976	3978	IS_AST_PARENT	
3979	3980	IS_AST_PARENT	
3979	3981	IS_AST_PARENT	
3976	3979	IS_AST_PARENT	
3975	3976	IS_AST_PARENT	
3967	3975	IS_AST_PARENT	
3983	3984	IS_AST_PARENT	
3983	3985	IS_AST_PARENT	
3986	3987	IS_AST_PARENT	
3988	3989	IS_AST_PARENT	
3988	3990	IS_AST_PARENT	
3986	3988	IS_AST_PARENT	
3983	3986	IS_AST_PARENT	
3982	3983	IS_AST_PARENT	
3967	3982	IS_AST_PARENT	
3992	3993	IS_AST_PARENT	
3992	3994	IS_AST_PARENT	
3992	3995	IS_AST_PARENT	
3991	3992	IS_AST_PARENT	
3996	3997	IS_AST_PARENT	
3996	3998	IS_AST_PARENT	
3996	3999	IS_AST_PARENT	
3991	3996	IS_AST_PARENT	
3967	3991	IS_AST_PARENT	
4001	4002	IS_AST_PARENT	
4001	4003	IS_AST_PARENT	
4000	4001	IS_AST_PARENT	
3967	4000	IS_AST_PARENT	
4005	4006	IS_AST_PARENT	
4005	4007	IS_AST_PARENT	
4008	4009	IS_AST_PARENT	
4008	4010	IS_AST_PARENT	
4005	4008	IS_AST_PARENT	
4004	4005	IS_AST_PARENT	
3967	4004	IS_AST_PARENT	
4012	4013	IS_AST_PARENT	
4012	4014	IS_AST_PARENT	
4011	4012	IS_AST_PARENT	
3967	4011	IS_AST_PARENT	
4016	4017	IS_AST_PARENT	
4016	4018	IS_AST_PARENT	
4019	4020	IS_AST_PARENT	
4019	4021	IS_AST_PARENT	
4016	4019	IS_AST_PARENT	
4015	4016	IS_AST_PARENT	
3967	4015	IS_AST_PARENT	
4023	4024	IS_AST_PARENT	
4023	4025	IS_AST_PARENT	
4022	4023	IS_AST_PARENT	
3967	4022	IS_AST_PARENT	
4028	4029	IS_AST_PARENT	
4028	4030	IS_AST_PARENT	
4027	4028	IS_AST_PARENT	
4027	4031	IS_AST_PARENT	
4026	4027	IS_AST_PARENT	
3967	4026	IS_AST_PARENT	
4034	4035	IS_AST_PARENT	
4034	4036	IS_AST_PARENT	
4033	4034	IS_AST_PARENT	
4038	4039	IS_AST_PARENT	
4037	4038	IS_AST_PARENT	
4041	4042	IS_AST_PARENT	
4040	4041	IS_AST_PARENT	
4037	4040	IS_AST_PARENT	
4033	4037	IS_AST_PARENT	
4032	4033	IS_AST_PARENT	
3967	4032	IS_AST_PARENT	
4044	4045	IS_AST_PARENT	
4047	4048	IS_AST_PARENT	
4046	4047	IS_AST_PARENT	
4051	4052	IS_AST_PARENT	
4051	4053	IS_AST_PARENT	
4050	4051	IS_AST_PARENT	
4049	4050	IS_AST_PARENT	
4054	4055	IS_AST_PARENT	
4049	4054	IS_AST_PARENT	
4056	4057	IS_AST_PARENT	
4049	4056	IS_AST_PARENT	
4059	4060	IS_AST_PARENT	
4059	4061	IS_AST_PARENT	
4058	4059	IS_AST_PARENT	
4049	4058	IS_AST_PARENT	
4046	4049	IS_AST_PARENT	
4044	4046	IS_AST_PARENT	
4043	4044	IS_AST_PARENT	
3967	4043	IS_AST_PARENT	
4064	4065	IS_AST_PARENT	
4063	4064	IS_AST_PARENT	
4067	4068	IS_AST_PARENT	
4066	4067	IS_AST_PARENT	
4069	4070	IS_AST_PARENT	
4066	4069	IS_AST_PARENT	
4072	4073	IS_AST_PARENT	
4072	4074	IS_AST_PARENT	
4071	4072	IS_AST_PARENT	
4066	4071	IS_AST_PARENT	
4063	4066	IS_AST_PARENT	
4062	4063	IS_AST_PARENT	
3967	4062	IS_AST_PARENT	
4076	4077	IS_AST_PARENT	
4075	4076	IS_AST_PARENT	
4081	4082	IS_AST_PARENT	
4080	4081	IS_AST_PARENT	
4084	4085	IS_AST_PARENT	
4083	4084	IS_AST_PARENT	
4086	4087	IS_AST_PARENT	
4083	4086	IS_AST_PARENT	
4080	4083	IS_AST_PARENT	
4079	4080	IS_AST_PARENT	
4078	4079	IS_AST_PARENT	
4089	4090	IS_AST_PARENT	
4091	4092	IS_AST_PARENT	
4091	4093	IS_AST_PARENT	
4089	4091	IS_AST_PARENT	
4088	4089	IS_AST_PARENT	
4078	4088	IS_AST_PARENT	
4094	4095	IS_AST_PARENT	
4078	4094	IS_AST_PARENT	
4075	4078	IS_AST_PARENT	
3967	4075	IS_AST_PARENT	
4097	4098	IS_AST_PARENT	
4100	4101	IS_AST_PARENT	
4099	4100	IS_AST_PARENT	
4103	4104	IS_AST_PARENT	
4102	4103	IS_AST_PARENT	
4105	4106	IS_AST_PARENT	
4102	4105	IS_AST_PARENT	
4099	4102	IS_AST_PARENT	
4097	4099	IS_AST_PARENT	
4096	4097	IS_AST_PARENT	
3967	4096	IS_AST_PARENT	
4109	4110	IS_AST_PARENT	
4108	4109	IS_AST_PARENT	
4113	4114	IS_AST_PARENT	
4115	4116	IS_AST_PARENT	
4115	4117	IS_AST_PARENT	
4113	4115	IS_AST_PARENT	
4112	4113	IS_AST_PARENT	
4111	4112	IS_AST_PARENT	
4108	4111	IS_AST_PARENT	
4107	4108	IS_AST_PARENT	
3967	4107	IS_AST_PARENT	
4120	4121	IS_AST_PARENT	
4119	4120	IS_AST_PARENT	
4124	4125	IS_AST_PARENT	
4126	4127	IS_AST_PARENT	
4126	4128	IS_AST_PARENT	
4124	4126	IS_AST_PARENT	
4123	4124	IS_AST_PARENT	
4122	4123	IS_AST_PARENT	
4119	4122	IS_AST_PARENT	
4118	4119	IS_AST_PARENT	
3967	4118	IS_AST_PARENT	
4131	4132	IS_AST_PARENT	
4130	4131	IS_AST_PARENT	
4135	4136	IS_AST_PARENT	
4137	4138	IS_AST_PARENT	
4137	4139	IS_AST_PARENT	
4135	4137	IS_AST_PARENT	
4134	4135	IS_AST_PARENT	
4133	4134	IS_AST_PARENT	
4130	4133	IS_AST_PARENT	
4129	4130	IS_AST_PARENT	
3967	4129	IS_AST_PARENT	
4142	4143	IS_AST_PARENT	
4142	4144	IS_AST_PARENT	
4141	4142	IS_AST_PARENT	
4145	4146	IS_AST_PARENT	
4145	4147	IS_AST_PARENT	
4141	4145	IS_AST_PARENT	
4140	4141	IS_AST_PARENT	
3967	4140	IS_AST_PARENT	
4150	4151	IS_AST_PARENT	
4149	4150	IS_AST_PARENT	
4153	4154	IS_AST_PARENT	
4152	4153	IS_AST_PARENT	
4155	4156	IS_AST_PARENT	
4152	4155	IS_AST_PARENT	
4158	4159	IS_AST_PARENT	
4158	4160	IS_AST_PARENT	
4157	4158	IS_AST_PARENT	
4152	4157	IS_AST_PARENT	
4149	4152	IS_AST_PARENT	
4148	4149	IS_AST_PARENT	
3967	4148	IS_AST_PARENT	
4163	4164	IS_AST_PARENT	
4162	4163	IS_AST_PARENT	
4166	4167	IS_AST_PARENT	
4165	4166	IS_AST_PARENT	
4168	4169	IS_AST_PARENT	
4165	4168	IS_AST_PARENT	
4171	4172	IS_AST_PARENT	
4171	4173	IS_AST_PARENT	
4170	4171	IS_AST_PARENT	
4165	4170	IS_AST_PARENT	
4162	4165	IS_AST_PARENT	
4161	4162	IS_AST_PARENT	
3967	4161	IS_AST_PARENT	
