command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	3964	File	tmp/qemu_498f2140_20291.c								
ANR	3965	Function	sd_open	1:0:0:2768							
ANR	3966	FunctionDef	"sd_open (BlockDriverState * bs , QDict * options , int flags , Error * * errp)"		3965	0					
ANR	3967	CompoundStatement		3:0:101:2768	3965	0					
ANR	3968	IdentifierDeclStatement	"int ret , fd ;"	4:4:107:118	3965	0	True				
ANR	3969	IdentifierDecl	ret		3965	0					
ANR	3970	IdentifierDeclType	int		3965	0					
ANR	3971	Identifier	ret		3965	1					
ANR	3972	IdentifierDecl	fd		3965	1					
ANR	3973	IdentifierDeclType	int		3965	0					
ANR	3974	Identifier	fd		3965	1					
ANR	3975	IdentifierDeclStatement	uint32_t vid = 0 ;	5:4:124:140	3965	1	True				
ANR	3976	IdentifierDecl	vid = 0		3965	0					
ANR	3977	IdentifierDeclType	uint32_t		3965	0					
ANR	3978	Identifier	vid		3965	1					
ANR	3979	AssignmentExpression	vid = 0		3965	2		=			
ANR	3980	Identifier	vid		3965	0					
ANR	3981	PrimaryExpression	0		3965	1					
ANR	3982	IdentifierDeclStatement	BDRVSheepdogState * s = bs -> opaque ;	6:4:146:179	3965	2	True				
ANR	3983	IdentifierDecl	* s = bs -> opaque		3965	0					
ANR	3984	IdentifierDeclType	BDRVSheepdogState *		3965	0					
ANR	3985	Identifier	s		3965	1					
ANR	3986	AssignmentExpression	* s = bs -> opaque		3965	2		=			
ANR	3987	Identifier	s		3965	0					
ANR	3988	PtrMemberAccess	bs -> opaque		3965	1					
ANR	3989	Identifier	bs		3965	0					
ANR	3990	Identifier	opaque		3965	1					
ANR	3991	IdentifierDeclStatement	"char vdi [ SD_MAX_VDI_LEN ] , tag [ SD_MAX_VDI_TAG_LEN ] ;"	7:4:185:234	3965	3	True				
ANR	3992	IdentifierDecl	vdi [ SD_MAX_VDI_LEN ]		3965	0					
ANR	3993	IdentifierDeclType	char [ SD_MAX_VDI_LEN ]		3965	0					
ANR	3994	Identifier	vdi		3965	1					
ANR	3995	Identifier	SD_MAX_VDI_LEN		3965	2					
ANR	3996	IdentifierDecl	tag [ SD_MAX_VDI_TAG_LEN ]		3965	1					
ANR	3997	IdentifierDeclType	char [ SD_MAX_VDI_TAG_LEN ]		3965	0					
ANR	3998	Identifier	tag		3965	1					
ANR	3999	Identifier	SD_MAX_VDI_TAG_LEN		3965	2					
ANR	4000	IdentifierDeclStatement	uint32_t snapid ;	8:4:240:255	3965	4	True				
ANR	4001	IdentifierDecl	snapid		3965	0					
ANR	4002	IdentifierDeclType	uint32_t		3965	0					
ANR	4003	Identifier	snapid		3965	1					
ANR	4004	IdentifierDeclStatement	char * buf = NULL ;	9:4:261:277	3965	5	True				
ANR	4005	IdentifierDecl	* buf = NULL		3965	0					
ANR	4006	IdentifierDeclType	char *		3965	0					
ANR	4007	Identifier	buf		3965	1					
ANR	4008	AssignmentExpression	* buf = NULL		3965	2		=			
ANR	4009	Identifier	NULL		3965	0					
ANR	4010	Identifier	NULL		3965	1					
ANR	4011	IdentifierDeclStatement	QemuOpts * opts ;	10:4:283:297	3965	6	True				
ANR	4012	IdentifierDecl	* opts		3965	0					
ANR	4013	IdentifierDeclType	QemuOpts *		3965	0					
ANR	4014	Identifier	opts		3965	1					
ANR	4015	IdentifierDeclStatement	Error * local_err = NULL ;	11:4:303:326	3965	7	True				
ANR	4016	IdentifierDecl	* local_err = NULL		3965	0					
ANR	4017	IdentifierDeclType	Error *		3965	0					
ANR	4018	Identifier	local_err		3965	1					
ANR	4019	AssignmentExpression	* local_err = NULL		3965	2		=			
ANR	4020	Identifier	NULL		3965	0					
ANR	4021	Identifier	NULL		3965	1					
ANR	4022	IdentifierDeclStatement	const char * filename ;	12:4:332:352	3965	8	True				
ANR	4023	IdentifierDecl	* filename		3965	0					
ANR	4024	IdentifierDeclType	const char *		3965	0					
ANR	4025	Identifier	filename		3965	1					
ANR	4026	ExpressionStatement	s -> bs = bs	14:4:359:369	3965	9	True				
ANR	4027	AssignmentExpression	s -> bs = bs		3965	0		=			
ANR	4028	PtrMemberAccess	s -> bs		3965	0					
ANR	4029	Identifier	s		3965	0					
ANR	4030	Identifier	bs		3965	1					
ANR	4031	Identifier	bs		3965	1					
ANR	4032	ExpressionStatement	s -> aio_context = bdrv_get_aio_context ( bs )	15:4:375:416	3965	10	True				
ANR	4033	AssignmentExpression	s -> aio_context = bdrv_get_aio_context ( bs )		3965	0		=			
ANR	4034	PtrMemberAccess	s -> aio_context		3965	0					
ANR	4035	Identifier	s		3965	0					
ANR	4036	Identifier	aio_context		3965	1					
ANR	4037	CallExpression	bdrv_get_aio_context ( bs )		3965	1					
ANR	4038	Callee	bdrv_get_aio_context		3965	0					
ANR	4039	Identifier	bdrv_get_aio_context		3965	0					
ANR	4040	ArgumentList	bs		3965	1					
ANR	4041	Argument	bs		3965	0					
ANR	4042	Identifier	bs		3965	0					
ANR	4043	ExpressionStatement	"opts = qemu_opts_create ( & runtime_opts , NULL , 0 , & error_abort )"	17:4:423:484	3965	11	True				
ANR	4044	AssignmentExpression	"opts = qemu_opts_create ( & runtime_opts , NULL , 0 , & error_abort )"		3965	0		=			
ANR	4045	Identifier	opts		3965	0					
ANR	4046	CallExpression	"qemu_opts_create ( & runtime_opts , NULL , 0 , & error_abort )"		3965	1					
ANR	4047	Callee	qemu_opts_create		3965	0					
ANR	4048	Identifier	qemu_opts_create		3965	0					
ANR	4049	ArgumentList	& runtime_opts		3965	1					
ANR	4050	Argument	& runtime_opts		3965	0					
ANR	4051	UnaryOperationExpression	& runtime_opts		3965	0					
ANR	4052	UnaryOperator	&		3965	0					
ANR	4053	Identifier	runtime_opts		3965	1					
ANR	4054	Argument	NULL		3965	1					
ANR	4055	Identifier	NULL		3965	0					
ANR	4056	Argument	0		3965	2					
ANR	4057	PrimaryExpression	0		3965	0					
ANR	4058	Argument	& error_abort		3965	3					
ANR	4059	UnaryOperationExpression	& error_abort		3965	0					
ANR	4060	UnaryOperator	&		3965	0					
ANR	4061	Identifier	error_abort		3965	1					
ANR	4062	ExpressionStatement	"qemu_opts_absorb_qdict ( opts , options , & local_err )"	18:4:490:539	3965	12	True				
