start	end	type	var
4675	4676	IS_AST_PARENT	
4675	4677	IS_AST_PARENT	
4674	4675	IS_AST_PARENT	
4673	4674	IS_AST_PARENT	
4680	4681	IS_AST_PARENT	
4683	4684	IS_AST_PARENT	
4682	4683	IS_AST_PARENT	
4687	4688	IS_AST_PARENT	
4689	4690	IS_AST_PARENT	
4689	4691	IS_AST_PARENT	
4687	4689	IS_AST_PARENT	
4686	4687	IS_AST_PARENT	
4685	4686	IS_AST_PARENT	
4682	4685	IS_AST_PARENT	
4680	4682	IS_AST_PARENT	
4679	4680	IS_AST_PARENT	
4678	4679	IS_AST_PARENT	
4693	4694	IS_AST_PARENT	
4692	4693	IS_AST_PARENT	
4678	4692	IS_AST_PARENT	
4673	4678	IS_AST_PARENT	
4697	4698	IS_AST_PARENT	
4696	4697	IS_AST_PARENT	
4701	4702	IS_AST_PARENT	
4703	4704	IS_AST_PARENT	
4703	4705	IS_AST_PARENT	
4701	4703	IS_AST_PARENT	
4700	4701	IS_AST_PARENT	
4699	4700	IS_AST_PARENT	
4696	4699	IS_AST_PARENT	
4695	4696	IS_AST_PARENT	
4673	4695	IS_AST_PARENT	
4708	4709	IS_AST_PARENT	
4710	4711	IS_AST_PARENT	
4710	4712	IS_AST_PARENT	
4708	4710	IS_AST_PARENT	
4707	4708	IS_AST_PARENT	
4706	4707	IS_AST_PARENT	
4716	4717	IS_AST_PARENT	
4715	4716	IS_AST_PARENT	
4720	4721	IS_AST_PARENT	
4722	4723	IS_AST_PARENT	
4722	4724	IS_AST_PARENT	
4720	4722	IS_AST_PARENT	
4719	4720	IS_AST_PARENT	
4718	4719	IS_AST_PARENT	
4715	4718	IS_AST_PARENT	
4714	4715	IS_AST_PARENT	
4713	4714	IS_AST_PARENT	
4725	4726	IS_AST_PARENT	
4713	4725	IS_AST_PARENT	
4706	4713	IS_AST_PARENT	
4673	4706	IS_AST_PARENT	
4728	4729	IS_AST_PARENT	
4731	4732	IS_AST_PARENT	
4731	4733	IS_AST_PARENT	
