command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4670	File	tmp/qemu_c2b38b27_8565.c								
ANR	4671	Function	timerlist_expired	1:0:0:523							
ANR	4672	FunctionDef	timerlist_expired (QEMUTimerList * timer_list)		4671	0					
ANR	4673	CompoundStatement		2:0:50:523	4671	0					
ANR	4674	IdentifierDeclStatement	int64_t expire_time ;	3:4:56:75	4671	0	True				
ANR	4675	IdentifierDecl	expire_time		4671	0					
ANR	4676	IdentifierDeclType	int64_t		4671	0					
ANR	4677	Identifier	expire_time		4671	1					
ANR	4678	IfStatement	if ( ! atomic_read ( & timer_list -> active_timers ) )		4671	1					
ANR	4679	Condition	! atomic_read ( & timer_list -> active_timers )	5:8:86:125	4671	0	True				
ANR	4680	UnaryOperationExpression	! atomic_read ( & timer_list -> active_timers )		4671	0					
ANR	4681	UnaryOperator	!		4671	0					
ANR	4682	CallExpression	atomic_read ( & timer_list -> active_timers )		4671	1					
ANR	4683	Callee	atomic_read		4671	0					
ANR	4684	Identifier	atomic_read		4671	0					
ANR	4685	ArgumentList	& timer_list -> active_timers		4671	1					
ANR	4686	Argument	& timer_list -> active_timers		4671	0					
ANR	4687	UnaryOperationExpression	& timer_list -> active_timers		4671	0					
ANR	4688	UnaryOperator	&		4671	0					
ANR	4689	PtrMemberAccess	timer_list -> active_timers		4671	1					
ANR	4690	Identifier	timer_list		4671	0					
ANR	4691	Identifier	active_timers		4671	1					
ANR	4692	CompoundStatement		4:50:77:77	4671	1					
ANR	4693	ReturnStatement	return false ;	6:8:138:150	4671	0	True				
ANR	4694	Identifier	false		4671	0					
ANR	4695	ExpressionStatement	qemu_mutex_lock ( & timer_list -> active_timers_lock )	9:4:163:211	4671	2	True				
ANR	4696	CallExpression	qemu_mutex_lock ( & timer_list -> active_timers_lock )		4671	0					
ANR	4697	Callee	qemu_mutex_lock		4671	0					
ANR	4698	Identifier	qemu_mutex_lock		4671	0					
ANR	4699	ArgumentList	& timer_list -> active_timers_lock		4671	1					
ANR	4700	Argument	& timer_list -> active_timers_lock		4671	0					
ANR	4701	UnaryOperationExpression	& timer_list -> active_timers_lock		4671	0					
ANR	4702	UnaryOperator	&		4671	0					
ANR	4703	PtrMemberAccess	timer_list -> active_timers_lock		4671	1					
ANR	4704	Identifier	timer_list		4671	0					
ANR	4705	Identifier	active_timers_lock		4671	1					
ANR	4706	IfStatement	if ( ! timer_list -> active_timers )		4671	3					
