start	end	type	var
4877	4878	IS_AST_PARENT	
4877	4879	IS_AST_PARENT	
4880	4881	IS_AST_PARENT	
4883	4884	IS_AST_PARENT	
4882	4883	IS_AST_PARENT	
4887	4888	IS_AST_PARENT	
4889	4890	IS_AST_PARENT	
4889	4891	IS_AST_PARENT	
4887	4889	IS_AST_PARENT	
4886	4887	IS_AST_PARENT	
4885	4886	IS_AST_PARENT	
4892	4893	IS_AST_PARENT	
4885	4892	IS_AST_PARENT	
4882	4885	IS_AST_PARENT	
4880	4882	IS_AST_PARENT	
4877	4880	IS_AST_PARENT	
4876	4877	IS_AST_PARENT	
4875	4876	IS_AST_PARENT	
4895	4896	IS_AST_PARENT	
4895	4897	IS_AST_PARENT	
4898	4899	IS_AST_PARENT	
4901	4902	IS_AST_PARENT	
4900	4901	IS_AST_PARENT	
4904	4905	IS_AST_PARENT	
4903	4904	IS_AST_PARENT	
4900	4903	IS_AST_PARENT	
4898	4900	IS_AST_PARENT	
4895	4898	IS_AST_PARENT	
4894	4895	IS_AST_PARENT	
4875	4894	IS_AST_PARENT	
4907	4908	IS_AST_PARENT	
4907	4909	IS_AST_PARENT	
4910	4911	IS_AST_PARENT	
4910	4912	IS_AST_PARENT	
4907	4910	IS_AST_PARENT	
4906	4907	IS_AST_PARENT	
4875	4906	IS_AST_PARENT	
4914	4915	IS_AST_PARENT	
4914	4916	IS_AST_PARENT	
4917	4918	IS_AST_PARENT	
4920	4921	IS_AST_PARENT	
4919	4920	IS_AST_PARENT	
4923	4924	IS_AST_PARENT	
4922	4923	IS_AST_PARENT	
4925	4926	IS_AST_PARENT	
4922	4925	IS_AST_PARENT	
4919	4922	IS_AST_PARENT	
4917	4919	IS_AST_PARENT	
4914	4917	IS_AST_PARENT	
4913	4914	IS_AST_PARENT	
4875	4913	IS_AST_PARENT	
4928	4929	IS_AST_PARENT	
4928	4930	IS_AST_PARENT	
4931	4932	IS_AST_PARENT	
4934	4935	IS_AST_PARENT	
4933	4934	IS_AST_PARENT	
4937	4938	IS_AST_PARENT	
4936	4937	IS_AST_PARENT	
4933	4936	IS_AST_PARENT	
4931	4933	IS_AST_PARENT	
4928	4931	IS_AST_PARENT	
4927	4928	IS_AST_PARENT	
4875	4927	IS_AST_PARENT	
4940	4941	IS_AST_PARENT	
4940	4942	IS_AST_PARENT	
4943	4944	IS_AST_PARENT	
4946	4947	IS_AST_PARENT	
4945	4946	IS_AST_PARENT	
4950	4951	IS_AST_PARENT	
4950	4952	IS_AST_PARENT	
4949	4950	IS_AST_PARENT	
4948	4949	IS_AST_PARENT	
4945	4948	IS_AST_PARENT	
4943	4945	IS_AST_PARENT	
4940	4943	IS_AST_PARENT	
4939	4940	IS_AST_PARENT	
4875	4939	IS_AST_PARENT	
4954	4955	IS_AST_PARENT	
4954	4956	IS_AST_PARENT	
4953	4954	IS_AST_PARENT	
4875	4953	IS_AST_PARENT	
4958	4959	IS_AST_PARENT	
4958	4960	IS_AST_PARENT	
4961	4962	IS_AST_PARENT	
4961	4963	IS_AST_PARENT	
4958	4961	IS_AST_PARENT	
4957	4958	IS_AST_PARENT	
4875	4957	IS_AST_PARENT	
4966	4967	IS_AST_PARENT	
4965	4966	IS_AST_PARENT	
4970	4971	IS_AST_PARENT	
4970	4972	IS_AST_PARENT	
4969	4970	IS_AST_PARENT	
4968	4969	IS_AST_PARENT	
4965	4968	IS_AST_PARENT	
4964	4965	IS_AST_PARENT	
4875	4964	IS_AST_PARENT	
4975	4976	IS_AST_PARENT	
4974	4975	IS_AST_PARENT	
4980	4981	IS_AST_PARENT	
4982	4983	IS_AST_PARENT	
4982	4984	IS_AST_PARENT	
4980	4982	IS_AST_PARENT	
4979	4980	IS_AST_PARENT	
4979	4985	IS_AST_PARENT	
4978	4979	IS_AST_PARENT	
4977	4978	IS_AST_PARENT	
4974	4977	IS_AST_PARENT	
4973	4974	IS_AST_PARENT	
4875	4973	IS_AST_PARENT	
4988	4989	IS_AST_PARENT	
4990	4991	IS_AST_PARENT	
4990	4992	IS_AST_PARENT	
4988	4990	IS_AST_PARENT	
4987	4988	IS_AST_PARENT	
4986	4987	IS_AST_PARENT	
4994	4995	IS_AST_PARENT	
4994	4996	IS_AST_PARENT	
4993	4994	IS_AST_PARENT	
4986	4993	IS_AST_PARENT	
4997	4998	IS_AST_PARENT	
4999	5000	IS_AST_PARENT	
4999	5001	IS_AST_PARENT	
4997	4999	IS_AST_PARENT	
4986	4997	IS_AST_PARENT	
5003	5004	IS_AST_PARENT	
5006	5007	IS_AST_PARENT	
5005	5006	IS_AST_PARENT	
5009	5010	IS_AST_PARENT	
5008	5009	IS_AST_PARENT	
5011	5012	IS_AST_PARENT	
5008	5011	IS_AST_PARENT	
5005	5008	IS_AST_PARENT	
5003	5005	IS_AST_PARENT	
5002	5003	IS_AST_PARENT	
4986	5002	IS_AST_PARENT	
4875	4986	IS_AST_PARENT	
5014	5015	IS_AST_PARENT	
5017	5018	IS_AST_PARENT	
5016	5017	IS_AST_PARENT	
5021	5022	IS_AST_PARENT	
5021	5023	IS_AST_PARENT	
5020	5021	IS_AST_PARENT	
5019	5020	IS_AST_PARENT	
5025	5026	IS_AST_PARENT	
5027	5028	IS_AST_PARENT	
5027	5029	IS_AST_PARENT	
5025	5027	IS_AST_PARENT	
5024	5025	IS_AST_PARENT	
5019	5024	IS_AST_PARENT	
5030	5031	IS_AST_PARENT	
5019	5030	IS_AST_PARENT	
5016	5019	IS_AST_PARENT	
5014	5016	IS_AST_PARENT	
5013	5014	IS_AST_PARENT	
4875	5013	IS_AST_PARENT	
5034	5035	IS_AST_PARENT	
5034	5036	IS_AST_PARENT	
5033	5034	IS_AST_PARENT	
5032	5033	IS_AST_PARENT	
5040	5041	IS_AST_PARENT	
5039	5040	IS_AST_PARENT	
5043	5044	IS_AST_PARENT	
