start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
12	13	IS_AST_PARENT	
11	12	IS_AST_PARENT	
15	16	IS_AST_PARENT	
14	15	IS_AST_PARENT	
11	14	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
19	20	IS_AST_PARENT	
19	21	IS_AST_PARENT	
18	19	IS_AST_PARENT	
22	23	IS_AST_PARENT	
22	24	IS_AST_PARENT	
18	22	IS_AST_PARENT	
17	18	IS_AST_PARENT	
4	17	IS_AST_PARENT	
27	28	IS_AST_PARENT	
27	29	IS_AST_PARENT	
26	27	IS_AST_PARENT	
26	30	IS_AST_PARENT	
25	26	IS_AST_PARENT	
4	25	IS_AST_PARENT	
33	34	IS_AST_PARENT	
33	35	IS_AST_PARENT	
32	33	IS_AST_PARENT	
32	36	IS_AST_PARENT	
31	32	IS_AST_PARENT	
4	31	IS_AST_PARENT	
39	40	IS_AST_PARENT	
39	41	IS_AST_PARENT	
38	39	IS_AST_PARENT	
38	42	IS_AST_PARENT	
37	38	IS_AST_PARENT	
4	37	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	43	IS_AST_PARENT	
3	44	IS_AST_PARENT	
46	47	IS_AST_PARENT	
46	48	IS_AST_PARENT	
45	46	IS_AST_PARENT	
49	50	IS_AST_PARENT	
49	51	IS_AST_PARENT	
45	49	IS_AST_PARENT	
3	45	IS_AST_PARENT	
52	46	FLOWS_TO	
46	49	FLOWS_TO	
49	5	FLOWS_TO	
5	17	FLOWS_TO	
17	25	FLOWS_TO	
25	31	FLOWS_TO	
31	37	FLOWS_TO	
37	53	FLOWS_TO	
37	54	USE	
38	54	USE	
49	55	DEF	
17	56	USE	
18	56	USE	
31	57	USE	
32	57	USE	
46	58	DEF	
5	58	USE	
15	58	USE	
17	59	DEF	
18	59	DEF	
25	59	DEF	
26	59	DEF	
31	59	DEF	
32	59	DEF	
37	59	DEF	
38	59	DEF	
25	60	DEF	
26	60	DEF	
37	61	DEF	
38	61	DEF	
17	62	DEF	
18	62	DEF	
31	63	DEF	
32	63	DEF	
5	64	DEF	
6	64	DEF	
9	64	DEF	
17	64	USE	
19	64	USE	
25	64	USE	
27	64	USE	
31	64	USE	
33	64	USE	
37	64	USE	
39	64	USE	
5	65	USE	
9	65	USE	
46	5	REACHES	klass
5	17	REACHES	dc
5	25	REACHES	dc
5	31	REACHES	dc
5	37	REACHES	dc
52	46	CONTROLS	
52	49	CONTROLS	
52	5	CONTROLS	
52	17	CONTROLS	
52	25	CONTROLS	
52	31	CONTROLS	
52	37	CONTROLS	
17	25	DOM	
37	53	DOM	
52	52	DOM	
46	49	DOM	
31	37	DOM	
52	46	DOM	
49	5	DOM	
25	31	DOM	
5	17	DOM	
53	53	POST_DOM	
31	25	POST_DOM	
46	52	POST_DOM	
5	49	POST_DOM	
53	37	POST_DOM	
49	46	POST_DOM	
37	31	POST_DOM	
17	5	POST_DOM	
25	17	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	52	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
