command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_efec3dd6_19730.c								
ANR	2	Function	pic_common_class_init	1:0:0:246							
ANR	3	FunctionDef	"pic_common_class_init (ObjectClass * klass , void * data)"		2	0					
ANR	4	CompoundStatement		2:0:66:246	2	0					
ANR	5	IdentifierDeclStatement	DeviceClass * dc = DEVICE_CLASS ( klass ) ;	3:4:72:109	2	0	True				
ANR	6	IdentifierDecl	* dc = DEVICE_CLASS ( klass )		2	0					
ANR	7	IdentifierDeclType	DeviceClass *		2	0					
ANR	8	Identifier	dc		2	1					
ANR	9	AssignmentExpression	* dc = DEVICE_CLASS ( klass )		2	2		=			
ANR	10	Identifier	dc		2	0					
ANR	11	CallExpression	DEVICE_CLASS ( klass )		2	1					
ANR	12	Callee	DEVICE_CLASS		2	0					
ANR	13	Identifier	DEVICE_CLASS		2	0					
ANR	14	ArgumentList	klass		2	1					
ANR	15	Argument	klass		2	0					
ANR	16	Identifier	klass		2	0					
ANR	17	ExpressionStatement	dc -> vmsd = & vmstate_pic_common	5:4:116:146	2	1	True				
ANR	18	AssignmentExpression	dc -> vmsd = & vmstate_pic_common		2	0		=			
ANR	19	PtrMemberAccess	dc -> vmsd		2	0					
ANR	20	Identifier	dc		2	0					
ANR	21	Identifier	vmsd		2	1					
ANR	22	UnaryOperationExpression	& vmstate_pic_common		2	1					
ANR	23	UnaryOperator	&		2	0					
ANR	24	Identifier	vmstate_pic_common		2	1					
ANR	25	ExpressionStatement	dc -> no_user = 1	6:4:152:167	2	2	True				
ANR	26	AssignmentExpression	dc -> no_user = 1		2	0		=			
ANR	27	PtrMemberAccess	dc -> no_user		2	0					
ANR	28	Identifier	dc		2	0					
ANR	29	Identifier	no_user		2	1					
ANR	30	PrimaryExpression	1		2	1					
ANR	31	ExpressionStatement	dc -> props = pic_properties_common	7:4:173:206	2	3	True				
ANR	32	AssignmentExpression	dc -> props = pic_properties_common		2	0		=			
ANR	33	PtrMemberAccess	dc -> props		2	0					
ANR	34	Identifier	dc		2	0					
ANR	35	Identifier	props		2	1					
ANR	36	Identifier	pic_properties_common		2	1					
ANR	37	ExpressionStatement	dc -> realize = pic_common_realize	8:4:212:244	2	4	True				
ANR	38	AssignmentExpression	dc -> realize = pic_common_realize		2	0		=			
ANR	39	PtrMemberAccess	dc -> realize		2	0					
ANR	40	Identifier	dc		2	0					
ANR	41	Identifier	realize		2	1					
ANR	42	Identifier	pic_common_realize		2	1					
ANR	43	ReturnType	static void		2	1					
ANR	44	Identifier	pic_common_class_init		2	2					
ANR	45	ParameterList	"ObjectClass * klass , void * data"		2	3					
ANR	46	Parameter	ObjectClass * klass	1:34:34:51	2	0	True				
ANR	47	ParameterType	ObjectClass *		2	0					
ANR	48	Identifier	klass		2	1					
ANR	49	Parameter	void * data	1:54:54:63	2	1	True				
ANR	50	ParameterType	void *		2	0					
ANR	51	Identifier	data		2	1					
ANR	52	CFGEntryNode	ENTRY		2		True				
ANR	53	CFGExitNode	EXIT		2		True				
ANR	54	Symbol	pic_common_realize		2						
ANR	55	Symbol	data		2						
ANR	56	Symbol	& vmstate_pic_common		2						
ANR	57	Symbol	pic_properties_common		2						
ANR	58	Symbol	klass		2						
ANR	59	Symbol	* dc		2						
ANR	60	Symbol	dc -> no_user		2						
ANR	61	Symbol	dc -> realize		2						
ANR	62	Symbol	dc -> vmsd		2						
ANR	63	Symbol	dc -> props		2						
ANR	64	Symbol	dc		2						
ANR	65	Symbol	DEVICE_CLASS		2						
