command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4146	File	tmp/qemu_185b4338_12041.c								
ANR	4147	Function	nbd_send_request	1:0:0:738							
ANR	4148	FunctionDef	"nbd_send_request (int csock , struct nbd_request * request)"		4147	0					
ANR	4149	CompoundStatement		2:0:65:738	4147	0					
ANR	4150	IdentifierDeclStatement	uint8_t buf [ 4 + 4 + 8 + 8 + 4 ] ;	3:4:71:101	4147	0	True				
ANR	4151	IdentifierDecl	buf [ 4 + 4 + 8 + 8 + 4 ]		4147	0					
ANR	4152	IdentifierDeclType	uint8_t [ 4 + 4 + 8 + 8 + 4 ]		4147	0					
ANR	4153	Identifier	buf		4147	1					
ANR	4154	AdditiveExpression	4 + 4 + 8 + 8 + 4		4147	2		+			
ANR	4155	PrimaryExpression	4		4147	0					
ANR	4156	AdditiveExpression	4 + 8 + 8 + 4		4147	1		+			
ANR	4157	PrimaryExpression	4		4147	0					
ANR	4158	AdditiveExpression	8 + 8 + 4		4147	1		+			
ANR	4159	PrimaryExpression	8		4147	0					
ANR	4160	AdditiveExpression	8 + 4		4147	1		+			
ANR	4161	PrimaryExpression	8		4147	0					
ANR	4162	PrimaryExpression	4		4147	1					
ANR	4163	ExpressionStatement	"cpu_to_be32w ( ( uint32_t * ) buf , NBD_REQUEST_MAGIC )"	5:4:108:155	4147	1	True				
ANR	4164	CallExpression	"cpu_to_be32w ( ( uint32_t * ) buf , NBD_REQUEST_MAGIC )"		4147	0					
ANR	4165	Callee	cpu_to_be32w		4147	0					
ANR	4166	Identifier	cpu_to_be32w		4147	0					
ANR	4167	ArgumentList	( uint32_t * ) buf		4147	1					
ANR	4168	Argument	( uint32_t * ) buf		4147	0					
ANR	4169	CastExpression	( uint32_t * ) buf		4147	0					
ANR	4170	CastTarget	uint32_t *		4147	0					
ANR	4171	Identifier	buf		4147	1					
ANR	4172	Argument	NBD_REQUEST_MAGIC		4147	1					
ANR	4173	Identifier	NBD_REQUEST_MAGIC		4147	0					
ANR	4174	ExpressionStatement	"cpu_to_be32w ( ( uint32_t * ) ( buf + 4 ) , request -> type )"	6:4:161:210	4147	2	True				
ANR	4175	CallExpression	"cpu_to_be32w ( ( uint32_t * ) ( buf + 4 ) , request -> type )"		4147	0					
ANR	4176	Callee	cpu_to_be32w		4147	0					
ANR	4177	Identifier	cpu_to_be32w		4147	0					
ANR	4178	ArgumentList	( uint32_t * ) ( buf + 4 )		4147	1					
ANR	4179	Argument	( uint32_t * ) ( buf + 4 )		4147	0					
ANR	4180	CastExpression	( uint32_t * ) ( buf + 4 )		4147	0					
ANR	4181	CastTarget	uint32_t *		4147	0					
