command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4761	File	tmp/qemu_498f2140_20291.c								
ANR	4762	Function	sd_open	1:0:0:2768							
ANR	4763	FunctionDef	"sd_open (BlockDriverState * bs , QDict * options , int flags , Error * * errp)"		4762	0					
ANR	4764	CompoundStatement		3:0:101:2768	4762	0					
ANR	4765	IdentifierDeclStatement	"int ret , fd ;"	4:4:107:118	4762	0	True				
ANR	4766	IdentifierDecl	ret		4762	0					
ANR	4767	IdentifierDeclType	int		4762	0					
ANR	4768	Identifier	ret		4762	1					
ANR	4769	IdentifierDecl	fd		4762	1					
ANR	4770	IdentifierDeclType	int		4762	0					
ANR	4771	Identifier	fd		4762	1					
ANR	4772	IdentifierDeclStatement	uint32_t vid = 0 ;	5:4:124:140	4762	1	True				
ANR	4773	IdentifierDecl	vid = 0		4762	0					
ANR	4774	IdentifierDeclType	uint32_t		4762	0					
ANR	4775	Identifier	vid		4762	1					
ANR	4776	AssignmentExpression	vid = 0		4762	2		=			
ANR	4777	Identifier	vid		4762	0					
ANR	4778	PrimaryExpression	0		4762	1					
ANR	4779	IdentifierDeclStatement	BDRVSheepdogState * s = bs -> opaque ;	6:4:146:179	4762	2	True				
ANR	4780	IdentifierDecl	* s = bs -> opaque		4762	0					
ANR	4781	IdentifierDeclType	BDRVSheepdogState *		4762	0					
ANR	4782	Identifier	s		4762	1					
ANR	4783	AssignmentExpression	* s = bs -> opaque		4762	2		=			
ANR	4784	Identifier	s		4762	0					
ANR	4785	PtrMemberAccess	bs -> opaque		4762	1					
ANR	4786	Identifier	bs		4762	0					
ANR	4787	Identifier	opaque		4762	1					
ANR	4788	IdentifierDeclStatement	"char vdi [ SD_MAX_VDI_LEN ] , tag [ SD_MAX_VDI_TAG_LEN ] ;"	7:4:185:234	4762	3	True				
ANR	4789	IdentifierDecl	vdi [ SD_MAX_VDI_LEN ]		4762	0					
ANR	4790	IdentifierDeclType	char [ SD_MAX_VDI_LEN ]		4762	0					
ANR	4791	Identifier	vdi		4762	1					
ANR	4792	Identifier	SD_MAX_VDI_LEN		4762	2					
ANR	4793	IdentifierDecl	tag [ SD_MAX_VDI_TAG_LEN ]		4762	1					
ANR	4794	IdentifierDeclType	char [ SD_MAX_VDI_TAG_LEN ]		4762	0					
ANR	4795	Identifier	tag		4762	1					
ANR	4796	Identifier	SD_MAX_VDI_TAG_LEN		4762	2					
ANR	4797	IdentifierDeclStatement	uint32_t snapid ;	8:4:240:255	4762	4	True				
ANR	4798	IdentifierDecl	snapid		4762	0					
ANR	4799	IdentifierDeclType	uint32_t		4762	0					
ANR	4800	Identifier	snapid		4762	1					
ANR	4801	IdentifierDeclStatement	char * buf = NULL ;	9:4:261:277	4762	5	True				
ANR	4802	IdentifierDecl	* buf = NULL		4762	0					
ANR	4803	IdentifierDeclType	char *		4762	0					
ANR	4804	Identifier	buf		4762	1					
ANR	4805	AssignmentExpression	* buf = NULL		4762	2		=			
ANR	4806	Identifier	NULL		4762	0					
ANR	4807	Identifier	NULL		4762	1					
ANR	4808	IdentifierDeclStatement	QemuOpts * opts ;	10:4:283:297	4762	6	True				
ANR	4809	IdentifierDecl	* opts		4762	0					
ANR	4810	IdentifierDeclType	QemuOpts *		4762	0					
ANR	4811	Identifier	opts		4762	1					
ANR	4812	IdentifierDeclStatement	Error * local_err = NULL ;	11:4:303:326	4762	7	True				
ANR	4813	IdentifierDecl	* local_err = NULL		4762	0					
ANR	4814	IdentifierDeclType	Error *		4762	0					
ANR	4815	Identifier	local_err		4762	1					
ANR	4816	AssignmentExpression	* local_err = NULL		4762	2		=			
ANR	4817	Identifier	NULL		4762	0					
ANR	4818	Identifier	NULL		4762	1					
ANR	4819	IdentifierDeclStatement	const char * filename ;	12:4:332:352	4762	8	True				
ANR	4820	IdentifierDecl	* filename		4762	0					
ANR	4821	IdentifierDeclType	const char *		4762	0					
ANR	4822	Identifier	filename		4762	1					
ANR	4823	ExpressionStatement	s -> bs = bs	14:4:359:369	4762	9	True				
ANR	4824	AssignmentExpression	s -> bs = bs		4762	0		=			
ANR	4825	PtrMemberAccess	s -> bs		4762	0					
ANR	4826	Identifier	s		4762	0					
ANR	4827	Identifier	bs		4762	1					
ANR	4828	Identifier	bs		4762	1					
ANR	4829	ExpressionStatement	s -> aio_context = bdrv_get_aio_context ( bs )	15:4:375:416	4762	10	True				
ANR	4830	AssignmentExpression	s -> aio_context = bdrv_get_aio_context ( bs )		4762	0		=			
ANR	4831	PtrMemberAccess	s -> aio_context		4762	0					
ANR	4832	Identifier	s		4762	0					
ANR	4833	Identifier	aio_context		4762	1					
ANR	4834	CallExpression	bdrv_get_aio_context ( bs )		4762	1					
ANR	4835	Callee	bdrv_get_aio_context		4762	0					
ANR	4836	Identifier	bdrv_get_aio_context		4762	0					
ANR	4837	ArgumentList	bs		4762	1					
ANR	4838	Argument	bs		4762	0					
ANR	4839	Identifier	bs		4762	0					
ANR	4840	ExpressionStatement	"opts = qemu_opts_create ( & runtime_opts , NULL , 0 , & error_abort )"	17:4:423:484	4762	11	True				
ANR	4841	AssignmentExpression	"opts = qemu_opts_create ( & runtime_opts , NULL , 0 , & error_abort )"		4762	0		=			
ANR	4842	Identifier	opts		4762	0					
ANR	4843	CallExpression	"qemu_opts_create ( & runtime_opts , NULL , 0 , & error_abort )"		4762	1					
ANR	4844	Callee	qemu_opts_create		4762	0					
ANR	4845	Identifier	qemu_opts_create		4762	0					
ANR	4846	ArgumentList	& runtime_opts		4762	1					
ANR	4847	Argument	& runtime_opts		4762	0					
ANR	4848	UnaryOperationExpression	& runtime_opts		4762	0					
ANR	4849	UnaryOperator	&		4762	0					
ANR	4850	Identifier	runtime_opts		4762	1					
ANR	4851	Argument	NULL		4762	1					
ANR	4852	Identifier	NULL		4762	0					
ANR	4853	Argument	0		4762	2					
ANR	4854	PrimaryExpression	0		4762	0					
ANR	4855	Argument	& error_abort		4762	3					
ANR	4856	UnaryOperationExpression	& error_abort		4762	0					
ANR	4857	UnaryOperator	&		4762	0					
ANR	4858	Identifier	error_abort		4762	1					
ANR	4859	ExpressionStatement	"qemu_opts_absorb_qdict ( opts , options , & local_err )"	18:4:490:539	4762	12	True				
ANR	4860	CallExpression	"qemu_opts_absorb_qdict ( opts , options , & local_err )"		4762	0					
ANR	4861	Callee	qemu_opts_absorb_qdict		4762	0					
ANR	4862	Identifier	qemu_opts_absorb_qdict		4762	0					
ANR	4863	ArgumentList	opts		4762	1					
ANR	4864	Argument	opts		4762	0					
ANR	4865	Identifier	opts		4762	0					
ANR	4866	Argument	options		4762	1					
ANR	4867	Identifier	options		4762	0					
ANR	4868	Argument	& local_err		4762	2					
ANR	4869	UnaryOperationExpression	& local_err		4762	0					
ANR	4870	UnaryOperator	&		4762	0					
ANR	4871	Identifier	local_err		4762	1					
ANR	4872	IfStatement	if ( local_err )		4762	13					
ANR	4873	Condition	local_err	19:8:549:557	4762	0	True				
ANR	4874	Identifier	local_err		4762	0					
ANR	4875	CompoundStatement		17:19:458:458	4762	1					
ANR	4876	ExpressionStatement	"error_propagate ( errp , local_err )"	20:8:570:602	4762	0	True				
ANR	4877	CallExpression	"error_propagate ( errp , local_err )"		4762	0					
ANR	4878	Callee	error_propagate		4762	0					
ANR	4879	Identifier	error_propagate		4762	0					
ANR	4880	ArgumentList	errp		4762	1					
ANR	4881	Argument	errp		4762	0					
ANR	4882	Identifier	errp		4762	0					
ANR	4883	Argument	local_err		4762	1					
ANR	4884	Identifier	local_err		4762	0					
ANR	4885	ExpressionStatement	ret = - EINVAL	21:8:612:625	4762	1	True				
ANR	4886	AssignmentExpression	ret = - EINVAL		4762	0		=			
ANR	4887	Identifier	ret		4762	0					
ANR	4888	UnaryOperationExpression	- EINVAL		4762	1					
ANR	4889	UnaryOperator	-		4762	0					
ANR	4890	Identifier	EINVAL		4762	1					
ANR	4891	GotoStatement	goto out ;	22:8:635:643	4762	2	True				
ANR	4892	Identifier	out		4762	0					
ANR	4893	ExpressionStatement	"filename = qemu_opt_get ( opts , ""filename"" )"	25:4:656:697	4762	14	True				
ANR	4894	AssignmentExpression	"filename = qemu_opt_get ( opts , ""filename"" )"		4762	0		=			
ANR	4895	Identifier	filename		4762	0					
ANR	4896	CallExpression	"qemu_opt_get ( opts , ""filename"" )"		4762	1					
ANR	4897	Callee	qemu_opt_get		4762	0					
ANR	4898	Identifier	qemu_opt_get		4762	0					
ANR	4899	ArgumentList	opts		4762	1					
ANR	4900	Argument	opts		4762	0					
ANR	4901	Identifier	opts		4762	0					
ANR	4902	Argument	"""filename"""		4762	1					
ANR	4903	PrimaryExpression	"""filename"""		4762	0					
ANR	4904	ExpressionStatement	QLIST_INIT ( & s -> inflight_aio_head )	27:4:704:737	4762	15	True				
ANR	4905	CallExpression	QLIST_INIT ( & s -> inflight_aio_head )		4762	0					
ANR	4906	Callee	QLIST_INIT		4762	0					
ANR	4907	Identifier	QLIST_INIT		4762	0					
ANR	4908	ArgumentList	& s -> inflight_aio_head		4762	1					
ANR	4909	Argument	& s -> inflight_aio_head		4762	0					
