start	end	type	var
5854	5855	IS_AST_PARENT	
5854	5856	IS_AST_PARENT	
5857	5858	IS_AST_PARENT	
5860	5861	IS_AST_PARENT	
5859	5860	IS_AST_PARENT	
5864	5865	IS_AST_PARENT	
5866	5867	IS_AST_PARENT	
5866	5868	IS_AST_PARENT	
5864	5866	IS_AST_PARENT	
5863	5864	IS_AST_PARENT	
5862	5863	IS_AST_PARENT	
5869	5870	IS_AST_PARENT	
5862	5869	IS_AST_PARENT	
5859	5862	IS_AST_PARENT	
5857	5859	IS_AST_PARENT	
5854	5857	IS_AST_PARENT	
5853	5854	IS_AST_PARENT	
5852	5853	IS_AST_PARENT	
5872	5873	IS_AST_PARENT	
5872	5874	IS_AST_PARENT	
5875	5876	IS_AST_PARENT	
5878	5879	IS_AST_PARENT	
5877	5878	IS_AST_PARENT	
5881	5882	IS_AST_PARENT	
5880	5881	IS_AST_PARENT	
5877	5880	IS_AST_PARENT	
5875	5877	IS_AST_PARENT	
5872	5875	IS_AST_PARENT	
5871	5872	IS_AST_PARENT	
5852	5871	IS_AST_PARENT	
5884	5885	IS_AST_PARENT	
5884	5886	IS_AST_PARENT	
5887	5888	IS_AST_PARENT	
5887	5889	IS_AST_PARENT	
5884	5887	IS_AST_PARENT	
5883	5884	IS_AST_PARENT	
5852	5883	IS_AST_PARENT	
5891	5892	IS_AST_PARENT	
5891	5893	IS_AST_PARENT	
5894	5895	IS_AST_PARENT	
5897	5898	IS_AST_PARENT	
5896	5897	IS_AST_PARENT	
5900	5901	IS_AST_PARENT	
5899	5900	IS_AST_PARENT	
5902	5903	IS_AST_PARENT	
5899	5902	IS_AST_PARENT	
5896	5899	IS_AST_PARENT	
5894	5896	IS_AST_PARENT	
5891	5894	IS_AST_PARENT	
5890	5891	IS_AST_PARENT	
5852	5890	IS_AST_PARENT	
5905	5906	IS_AST_PARENT	
5905	5907	IS_AST_PARENT	
5908	5909	IS_AST_PARENT	
5911	5912	IS_AST_PARENT	
5910	5911	IS_AST_PARENT	
5914	5915	IS_AST_PARENT	
5913	5914	IS_AST_PARENT	
5910	5913	IS_AST_PARENT	
5908	5910	IS_AST_PARENT	
5905	5908	IS_AST_PARENT	
5904	5905	IS_AST_PARENT	
5852	5904	IS_AST_PARENT	
5917	5918	IS_AST_PARENT	
5917	5919	IS_AST_PARENT	
5920	5921	IS_AST_PARENT	
5923	5924	IS_AST_PARENT	
5922	5923	IS_AST_PARENT	
5927	5928	IS_AST_PARENT	
5927	5929	IS_AST_PARENT	
5926	5927	IS_AST_PARENT	
5925	5926	IS_AST_PARENT	
5922	5925	IS_AST_PARENT	
5920	5922	IS_AST_PARENT	
5917	5920	IS_AST_PARENT	
5916	5917	IS_AST_PARENT	
5852	5916	IS_AST_PARENT	
5931	5932	IS_AST_PARENT	
5931	5933	IS_AST_PARENT	
5930	5931	IS_AST_PARENT	
5852	5930	IS_AST_PARENT	
5935	5936	IS_AST_PARENT	
5935	5937	IS_AST_PARENT	
5938	5939	IS_AST_PARENT	
5938	5940	IS_AST_PARENT	
5935	5938	IS_AST_PARENT	
5934	5935	IS_AST_PARENT	
5852	5934	IS_AST_PARENT	
5943	5944	IS_AST_PARENT	
5942	5943	IS_AST_PARENT	
5947	5948	IS_AST_PARENT	
5947	5949	IS_AST_PARENT	
5946	5947	IS_AST_PARENT	
5945	5946	IS_AST_PARENT	
5942	5945	IS_AST_PARENT	
5941	5942	IS_AST_PARENT	
5852	5941	IS_AST_PARENT	
5952	5953	IS_AST_PARENT	
5951	5952	IS_AST_PARENT	
5957	5958	IS_AST_PARENT	
5959	5960	IS_AST_PARENT	
5959	5961	IS_AST_PARENT	
5957	5959	IS_AST_PARENT	
5956	5957	IS_AST_PARENT	
5956	5962	IS_AST_PARENT	
5955	5956	IS_AST_PARENT	
5954	5955	IS_AST_PARENT	
5951	5954	IS_AST_PARENT	
5950	5951	IS_AST_PARENT	
5852	5950	IS_AST_PARENT	
5965	5966	IS_AST_PARENT	
5967	5968	IS_AST_PARENT	
5967	5969	IS_AST_PARENT	
5965	5967	IS_AST_PARENT	
5964	5965	IS_AST_PARENT	
5963	5964	IS_AST_PARENT	
5971	5972	IS_AST_PARENT	
5971	5973	IS_AST_PARENT	
5970	5971	IS_AST_PARENT	
