start	end	type	var
6317	6318	IS_AST_PARENT	
6317	6319	IS_AST_PARENT	
6320	6321	IS_AST_PARENT	
6323	6324	IS_AST_PARENT	
6322	6323	IS_AST_PARENT	
6326	6327	IS_AST_PARENT	
6325	6326	IS_AST_PARENT	
6322	6325	IS_AST_PARENT	
6320	6322	IS_AST_PARENT	
6317	6320	IS_AST_PARENT	
6316	6317	IS_AST_PARENT	
6315	6316	IS_AST_PARENT	
6329	6330	IS_AST_PARENT	
6329	6331	IS_AST_PARENT	
6332	6333	IS_AST_PARENT	
6335	6336	IS_AST_PARENT	
6334	6335	IS_AST_PARENT	
6338	6339	IS_AST_PARENT	
6337	6338	IS_AST_PARENT	
6334	6337	IS_AST_PARENT	
6332	6334	IS_AST_PARENT	
6329	6332	IS_AST_PARENT	
6328	6329	IS_AST_PARENT	
6315	6328	IS_AST_PARENT	
6342	6343	IS_AST_PARENT	
6342	6344	IS_AST_PARENT	
6341	6342	IS_AST_PARENT	
6346	6347	IS_AST_PARENT	
6346	6348	IS_AST_PARENT	
6345	6346	IS_AST_PARENT	
6345	6349	IS_AST_PARENT	
6341	6345	IS_AST_PARENT	
6340	6341	IS_AST_PARENT	
6315	6340	IS_AST_PARENT	
6352	6353	IS_AST_PARENT	
6352	6354	IS_AST_PARENT	
6351	6352	IS_AST_PARENT	
6356	6357	IS_AST_PARENT	
6356	6358	IS_AST_PARENT	
6355	6356	IS_AST_PARENT	
6355	6359	IS_AST_PARENT	
6351	6355	IS_AST_PARENT	
6350	6351	IS_AST_PARENT	
6315	6350	IS_AST_PARENT	
6362	6363	IS_AST_PARENT	
6362	6364	IS_AST_PARENT	
6361	6362	IS_AST_PARENT	
6365	6366	IS_AST_PARENT	
6365	6367	IS_AST_PARENT	
6361	6365	IS_AST_PARENT	
6360	6361	IS_AST_PARENT	
6315	6360	IS_AST_PARENT	
6370	6371	IS_AST_PARENT	
6370	6372	IS_AST_PARENT	
6369	6370	IS_AST_PARENT	
6374	6375	IS_AST_PARENT	
6374	6376	IS_AST_PARENT	
6373	6374	IS_AST_PARENT	
6373	6377	IS_AST_PARENT	
6369	6373	IS_AST_PARENT	
6368	6369	IS_AST_PARENT	
6315	6368	IS_AST_PARENT	
6380	6381	IS_AST_PARENT	
6380	6382	IS_AST_PARENT	
