command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6312	File	tmp/qemu_cec56a73_616.c								
ANR	6313	Function	cpu_state_reset	1:0:0:6666							
ANR	6314	FunctionDef	cpu_state_reset (CPUMIPSState * env)		6313	0					
ANR	6315	CompoundStatement		2:0:40:6666	6313	0					
ANR	6316	IdentifierDeclStatement	MIPSCPU * cpu = mips_env_get_cpu ( env ) ;	3:4:46:82	6313	0	True				
ANR	6317	IdentifierDecl	* cpu = mips_env_get_cpu ( env )		6313	0					
ANR	6318	IdentifierDeclType	MIPSCPU *		6313	0					
ANR	6319	Identifier	cpu		6313	1					
ANR	6320	AssignmentExpression	* cpu = mips_env_get_cpu ( env )		6313	2		=			
ANR	6321	Identifier	cpu		6313	0					
ANR	6322	CallExpression	mips_env_get_cpu ( env )		6313	1					
ANR	6323	Callee	mips_env_get_cpu		6313	0					
ANR	6324	Identifier	mips_env_get_cpu		6313	0					
ANR	6325	ArgumentList	env		6313	1					
ANR	6326	Argument	env		6313	0					
ANR	6327	Identifier	env		6313	0					
ANR	6328	IdentifierDeclStatement	CPUState * cs = CPU ( cpu ) ;	4:4:88:111	6313	1	True				
ANR	6329	IdentifierDecl	* cs = CPU ( cpu )		6313	0					
ANR	6330	IdentifierDeclType	CPUState *		6313	0					
ANR	6331	Identifier	cs		6313	1					
ANR	6332	AssignmentExpression	* cs = CPU ( cpu )		6313	2		=			
ANR	6333	Identifier	cs		6313	0					
ANR	6334	CallExpression	CPU ( cpu )		6313	1					
ANR	6335	Callee	CPU		6313	0					
ANR	6336	Identifier	CPU		6313	0					
ANR	6337	ArgumentList	cpu		6313	1					
ANR	6338	Argument	cpu		6313	0					
ANR	6339	Identifier	cpu		6313	0					
ANR	6340	ExpressionStatement	env -> CP0_PRid = env -> cpu_model -> CP0_PRid	6:4:167:207	6313	2	True				
ANR	6341	AssignmentExpression	env -> CP0_PRid = env -> cpu_model -> CP0_PRid		6313	0		=			
ANR	6342	PtrMemberAccess	env -> CP0_PRid		6313	0					
ANR	6343	Identifier	env		6313	0					
ANR	6344	Identifier	CP0_PRid		6313	1					
ANR	6345	PtrMemberAccess	env -> cpu_model -> CP0_PRid		6313	1					
ANR	6346	PtrMemberAccess	env -> cpu_model		6313	0					
ANR	6347	Identifier	env		6313	0					
ANR	6348	Identifier	cpu_model		6313	1					
ANR	6349	Identifier	CP0_PRid		6313	1					
ANR	6350	ExpressionStatement	env -> CP0_Config0 = env -> cpu_model -> CP0_Config0	7:4:213:259	6313	3	True				
ANR	6351	AssignmentExpression	env -> CP0_Config0 = env -> cpu_model -> CP0_Config0		6313	0		=			
ANR	6352	PtrMemberAccess	env -> CP0_Config0		6313	0					
ANR	6353	Identifier	env		6313	0					
ANR	6354	Identifier	CP0_Config0		6313	1					
ANR	6355	PtrMemberAccess	env -> cpu_model -> CP0_Config0		6313	1					
ANR	6356	PtrMemberAccess	env -> cpu_model		6313	0					
ANR	6357	Identifier	env		6313	0					
ANR	6358	Identifier	cpu_model		6313	1					
ANR	6359	Identifier	CP0_Config0		6313	1					
ANR	6360	ExpressionStatement	env -> CP0_Config0 |= ( 1 << CP0C0_BE )	9:4:295:330	6313	4	True				
ANR	6361	AssignmentExpression	env -> CP0_Config0 |= ( 1 << CP0C0_BE )		6313	0		|=			
ANR	6362	PtrMemberAccess	env -> CP0_Config0		6313	0					
ANR	6363	Identifier	env		6313	0					
ANR	6364	Identifier	CP0_Config0		6313	1					
ANR	6365	ShiftExpression	1 << CP0C0_BE		6313	1		<<			
ANR	6366	PrimaryExpression	1		6313	0					
ANR	6367	Identifier	CP0C0_BE		6313	1					
ANR	6368	ExpressionStatement	env -> CP0_Config1 = env -> cpu_model -> CP0_Config1	11:4:343:389	6313	5	True				
ANR	6369	AssignmentExpression	env -> CP0_Config1 = env -> cpu_model -> CP0_Config1		6313	0		=			
ANR	6370	PtrMemberAccess	env -> CP0_Config1		6313	0					
ANR	6371	Identifier	env		6313	0					
ANR	6372	Identifier	CP0_Config1		6313	1					
ANR	6373	PtrMemberAccess	env -> cpu_model -> CP0_Config1		6313	1					
ANR	6374	PtrMemberAccess	env -> cpu_model		6313	0					
ANR	6375	Identifier	env		6313	0					
ANR	6376	Identifier	cpu_model		6313	1					
ANR	6377	Identifier	CP0_Config1		6313	1					
ANR	6378	ExpressionStatement	env -> CP0_Config2 = env -> cpu_model -> CP0_Config2	12:4:395:441	6313	6	True				
ANR	6379	AssignmentExpression	env -> CP0_Config2 = env -> cpu_model -> CP0_Config2		6313	0		=			
ANR	6380	PtrMemberAccess	env -> CP0_Config2		6313	0					
ANR	6381	Identifier	env		6313	0					
ANR	6382	Identifier	CP0_Config2		6313	1					
ANR	6383	PtrMemberAccess	env -> cpu_model -> CP0_Config2		6313	1					
ANR	6384	PtrMemberAccess	env -> cpu_model		6313	0					
ANR	6385	Identifier	env		6313	0					
ANR	6386	Identifier	cpu_model		6313	1					
ANR	6387	Identifier	CP0_Config2		6313	1					
ANR	6388	ExpressionStatement	env -> CP0_Config3 = env -> cpu_model -> CP0_Config3	13:4:447:493	6313	7	True				
ANR	6389	AssignmentExpression	env -> CP0_Config3 = env -> cpu_model -> CP0_Config3		6313	0		=			
ANR	6390	PtrMemberAccess	env -> CP0_Config3		6313	0					
ANR	6391	Identifier	env		6313	0					
ANR	6392	Identifier	CP0_Config3		6313	1					
ANR	6393	PtrMemberAccess	env -> cpu_model -> CP0_Config3		6313	1					
ANR	6394	PtrMemberAccess	env -> cpu_model		6313	0					
ANR	6395	Identifier	env		6313	0					
ANR	6396	Identifier	cpu_model		6313	1					
ANR	6397	Identifier	CP0_Config3		6313	1					
ANR	6398	ExpressionStatement	env -> CP0_Config4 = env -> cpu_model -> CP0_Config4	14:4:499:545	6313	8	True				
ANR	6399	AssignmentExpression	env -> CP0_Config4 = env -> cpu_model -> CP0_Config4		6313	0		=			
ANR	6400	PtrMemberAccess	env -> CP0_Config4		6313	0					
ANR	6401	Identifier	env		6313	0					
ANR	6402	Identifier	CP0_Config4		6313	1					
ANR	6403	PtrMemberAccess	env -> cpu_model -> CP0_Config4		6313	1					
ANR	6404	PtrMemberAccess	env -> cpu_model		6313	0					
ANR	6405	Identifier	env		6313	0					
ANR	6406	Identifier	cpu_model		6313	1					
ANR	6407	Identifier	CP0_Config4		6313	1					
ANR	6408	ExpressionStatement	env -> CP0_Config4_rw_bitmask = env -> cpu_model -> CP0_Config4_rw_bitmask	15:4:551:619	6313	9	True				
ANR	6409	AssignmentExpression	env -> CP0_Config4_rw_bitmask = env -> cpu_model -> CP0_Config4_rw_bitmask		6313	0		=			
ANR	6410	PtrMemberAccess	env -> CP0_Config4_rw_bitmask		6313	0					
ANR	6411	Identifier	env		6313	0					
ANR	6412	Identifier	CP0_Config4_rw_bitmask		6313	1					
ANR	6413	PtrMemberAccess	env -> cpu_model -> CP0_Config4_rw_bitmask		6313	1					
ANR	6414	PtrMemberAccess	env -> cpu_model		6313	0					
ANR	6415	Identifier	env		6313	0					
ANR	6416	Identifier	cpu_model		6313	1					
