start	end	type	var
72	73	IS_AST_PARENT	
72	74	IS_AST_PARENT	
75	76	IS_AST_PARENT	
78	79	IS_AST_PARENT	
77	78	IS_AST_PARENT	
81	82	IS_AST_PARENT	
80	81	IS_AST_PARENT	
83	84	IS_AST_PARENT	
80	83	IS_AST_PARENT	
85	86	IS_AST_PARENT	
80	85	IS_AST_PARENT	
77	80	IS_AST_PARENT	
75	77	IS_AST_PARENT	
72	75	IS_AST_PARENT	
71	72	IS_AST_PARENT	
70	71	IS_AST_PARENT	
89	90	IS_AST_PARENT	
89	91	IS_AST_PARENT	
88	89	IS_AST_PARENT	
93	94	IS_AST_PARENT	
92	93	IS_AST_PARENT	
92	95	IS_AST_PARENT	
88	92	IS_AST_PARENT	
87	88	IS_AST_PARENT	
70	87	IS_AST_PARENT	
98	99	IS_AST_PARENT	
97	98	IS_AST_PARENT	
102	103	IS_AST_PARENT	
102	104	IS_AST_PARENT	
101	102	IS_AST_PARENT	
100	101	IS_AST_PARENT	
108	109	IS_AST_PARENT	
108	110	IS_AST_PARENT	
107	108	IS_AST_PARENT	
107	111	IS_AST_PARENT	
106	107	IS_AST_PARENT	
113	114	IS_AST_PARENT	
113	115	IS_AST_PARENT	
112	113	IS_AST_PARENT	
112	116	IS_AST_PARENT	
106	112	IS_AST_PARENT	
105	106	IS_AST_PARENT	
100	105	IS_AST_PARENT	
117	118	IS_AST_PARENT	
100	117	IS_AST_PARENT	
97	100	IS_AST_PARENT	
96	97	IS_AST_PARENT	
70	96	IS_AST_PARENT	
69	70	IS_AST_PARENT	
69	119	IS_AST_PARENT	
69	120	IS_AST_PARENT	
122	123	IS_AST_PARENT	
122	124	IS_AST_PARENT	
121	122	IS_AST_PARENT	
125	126	IS_AST_PARENT	
125	127	IS_AST_PARENT	
121	125	IS_AST_PARENT	
69	121	IS_AST_PARENT	
128	122	FLOWS_TO	
122	125	FLOWS_TO	
125	71	FLOWS_TO	
71	87	FLOWS_TO	
87	96	FLOWS_TO	
96	129	FLOWS_TO	
96	130	USE	
101	130	USE	
71	131	USE	
75	131	USE	
87	132	USE	
88	132	USE	
122	133	DEF	
71	133	USE	
81	133	USE	
87	134	DEF	
88	134	DEF	
96	134	USE	
101	134	USE	
105	134	USE	
96	135	USE	
105	135	USE	
96	136	USE	
105	136	USE	
125	137	DEF	
87	138	DEF	
88	138	DEF	
71	139	USE	
83	139	USE	
71	140	DEF	
72	140	DEF	
75	140	DEF	
87	140	USE	
89	140	USE	
96	140	USE	
102	140	USE	
113	140	USE	
108	140	USE	
71	141	USE	
85	141	USE	
122	71	REACHES	dcbase
87	96	REACHES	* dc
71	87	REACHES	dc
71	96	REACHES	dc
128	122	CONTROLS	
128	125	CONTROLS	
128	71	CONTROLS	
128	87	CONTROLS	
128	96	CONTROLS	
128	128	DOM	
87	96	DOM	
71	87	DOM	
96	129	DOM	
122	125	DOM	
128	122	DOM	
125	71	DOM	
122	128	POST_DOM	
129	96	POST_DOM	
129	129	POST_DOM	
96	87	POST_DOM	
71	125	POST_DOM	
125	122	POST_DOM	
87	71	POST_DOM	
68	69	IS_FUNCTION_OF_AST	
68	128	IS_FUNCTION_OF_CFG	
67	68	IS_FILE_OF	
