command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/FFmpeg_dc9f5260_650.c								
ANR	2	Function	decode_end	1:0:0:266							
ANR	3	FunctionDef	decode_end (AVCodecContext * avctx)		2	0					
ANR	4	CompoundStatement		2:0:45:266	2	0					
ANR	5	IdentifierDeclStatement	H264Context * h = avctx -> priv_data ;	3:4:51:84	2	0	True				
ANR	6	IdentifierDecl	* h = avctx -> priv_data		2	0					
ANR	7	IdentifierDeclType	H264Context *		2	0					
ANR	8	Identifier	h		2	1					
ANR	9	AssignmentExpression	* h = avctx -> priv_data		2	2		=			
ANR	10	Identifier	h		2	0					
ANR	11	PtrMemberAccess	avctx -> priv_data		2	1					
ANR	12	Identifier	avctx		2	0					
ANR	13	Identifier	priv_data		2	1					
ANR	14	IdentifierDeclStatement	MpegEncContext * s = & h -> s ;	4:4:90:115	2	1	True				
ANR	15	IdentifierDecl	* s = & h -> s		2	0					
ANR	16	IdentifierDeclType	MpegEncContext *		2	0					
ANR	17	Identifier	s		2	1					
ANR	18	AssignmentExpression	* s = & h -> s		2	2		=			
ANR	19	Identifier	s		2	0					
ANR	20	UnaryOperationExpression	& h -> s		2	1					
ANR	21	UnaryOperator	&		2	0					
ANR	22	PtrMemberAccess	h -> s		2	1					
ANR	23	Identifier	h		2	0					
ANR	24	Identifier	s		2	1					
ANR	25	ExpressionStatement	free_tables ( h )	7:4:127:141	2	2	True				
ANR	26	CallExpression	free_tables ( h )		2	0					
ANR	27	Callee	free_tables		2	0					
ANR	28	Identifier	free_tables		2	0					
ANR	29	ArgumentList	h		2	1					
ANR	30	Argument	h		2	0					
ANR	31	Identifier	h		2	0					
ANR	32	ExpressionStatement	MPV_common_end ( s )	8:4:182:199	2	3	True				
ANR	33	CallExpression	MPV_common_end ( s )		2	0					
ANR	34	Callee	MPV_common_end		2	0					
ANR	35	Identifier	MPV_common_end		2	0					
ANR	36	ArgumentList	s		2	1					
ANR	37	Argument	s		2	0					
ANR	38	Identifier	s		2	0					
ANR	39	ReturnStatement	return 0 ;	12:4:256:264	2	4	True				
ANR	40	PrimaryExpression	0		2	0					
ANR	41	ReturnType	static int		2	1					
ANR	42	Identifier	decode_end		2	2					
ANR	43	ParameterList	AVCodecContext * avctx		2	3					
ANR	44	Parameter	AVCodecContext * avctx	1:22:22:42	2	0	True				
ANR	45	ParameterType	AVCodecContext *		2	0					
ANR	46	Identifier	avctx		2	1					
ANR	47	CFGEntryNode	ENTRY		2		True				
ANR	48	CFGExitNode	EXIT		2		True				
ANR	49	Symbol	* avctx		2						
ANR	50	Symbol	& h -> s		2						
ANR	51	Symbol	s		2						
ANR	52	Symbol	h		2						
ANR	53	Symbol	avctx		2						
ANR	54	Symbol	avctx -> priv_data		2						
