start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	13	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
14	15	IS_AST_PARENT	
4	14	IS_AST_PARENT	
19	20	IS_AST_PARENT	
19	21	IS_AST_PARENT	
18	19	IS_AST_PARENT	
4	18	IS_AST_PARENT	
23	24	IS_AST_PARENT	
23	25	IS_AST_PARENT	
22	23	IS_AST_PARENT	
4	22	IS_AST_PARENT	
27	28	IS_AST_PARENT	
27	29	IS_AST_PARENT	
26	27	IS_AST_PARENT	
30	31	IS_AST_PARENT	
30	32	IS_AST_PARENT	
26	30	IS_AST_PARENT	
33	34	IS_AST_PARENT	
33	35	IS_AST_PARENT	
26	33	IS_AST_PARENT	
4	26	IS_AST_PARENT	
37	38	IS_AST_PARENT	
37	39	IS_AST_PARENT	
36	37	IS_AST_PARENT	
4	36	IS_AST_PARENT	
41	42	IS_AST_PARENT	
41	43	IS_AST_PARENT	
40	41	IS_AST_PARENT	
4	40	IS_AST_PARENT	
45	46	IS_AST_PARENT	
45	47	IS_AST_PARENT	
44	45	IS_AST_PARENT	
4	44	IS_AST_PARENT	
50	51	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	54	IS_AST_PARENT	
50	52	IS_AST_PARENT	
49	50	IS_AST_PARENT	
48	49	IS_AST_PARENT	
58	59	IS_AST_PARENT	
58	60	IS_AST_PARENT	
57	58	IS_AST_PARENT	
57	61	IS_AST_PARENT	
56	57	IS_AST_PARENT	
55	56	IS_AST_PARENT	
64	65	IS_AST_PARENT	
64	66	IS_AST_PARENT	
63	64	IS_AST_PARENT	
63	67	IS_AST_PARENT	
62	63	IS_AST_PARENT	
55	62	IS_AST_PARENT	
68	69	IS_AST_PARENT	
55	68	IS_AST_PARENT	
48	55	IS_AST_PARENT	
4	48	IS_AST_PARENT	
71	72	IS_AST_PARENT	
73	74	IS_AST_PARENT	
73	75	IS_AST_PARENT	
71	73	IS_AST_PARENT	
70	71	IS_AST_PARENT	
4	70	IS_AST_PARENT	
78	79	IS_AST_PARENT	
78	80	IS_AST_PARENT	
77	78	IS_AST_PARENT	
82	83	IS_AST_PARENT	
81	82	IS_AST_PARENT	
87	88	IS_AST_PARENT	
87	89	IS_AST_PARENT	
86	87	IS_AST_PARENT	
90	91	IS_AST_PARENT	
90	92	IS_AST_PARENT	
86	90	IS_AST_PARENT	
85	86	IS_AST_PARENT	
84	85	IS_AST_PARENT	
81	84	IS_AST_PARENT	
77	81	IS_AST_PARENT	
76	77	IS_AST_PARENT	
4	76	IS_AST_PARENT	
95	96	IS_AST_PARENT	
95	97	IS_AST_PARENT	
94	95	IS_AST_PARENT	
93	94	IS_AST_PARENT	
99	100	IS_AST_PARENT	
101	102	IS_AST_PARENT	
101	103	IS_AST_PARENT	
99	101	IS_AST_PARENT	
98	99	IS_AST_PARENT	
93	98	IS_AST_PARENT	
104	105	IS_AST_PARENT	
104	106	IS_AST_PARENT	
93	104	IS_AST_PARENT	
109	110	IS_AST_PARENT	
112	113	IS_AST_PARENT	
111	112	IS_AST_PARENT	
115	116	IS_AST_PARENT	
114	115	IS_AST_PARENT	
117	118	IS_AST_PARENT	
114	117	IS_AST_PARENT	
111	114	IS_AST_PARENT	
109	111	IS_AST_PARENT	
108	109	IS_AST_PARENT	
107	108	IS_AST_PARENT	
120	121	IS_AST_PARENT	
123	124	IS_AST_PARENT	
122	123	IS_AST_PARENT	
127	128	IS_AST_PARENT	
127	129	IS_AST_PARENT	
126	127	IS_AST_PARENT	
125	126	IS_AST_PARENT	
130	131	IS_AST_PARENT	
125	130	IS_AST_PARENT	
133	134	IS_AST_PARENT	
133	135	IS_AST_PARENT	
132	133	IS_AST_PARENT	
125	132	IS_AST_PARENT	
137	138	IS_AST_PARENT	
137	139	IS_AST_PARENT	
136	137	IS_AST_PARENT	
125	136	IS_AST_PARENT	
122	125	IS_AST_PARENT	
120	122	IS_AST_PARENT	
119	120	IS_AST_PARENT	
107	119	IS_AST_PARENT	
142	143	IS_AST_PARENT	
142	144	IS_AST_PARENT	
141	142	IS_AST_PARENT	
140	141	IS_AST_PARENT	
146	147	IS_AST_PARENT	
145	146	IS_AST_PARENT	
140	145	IS_AST_PARENT	
107	140	IS_AST_PARENT	
149	150	IS_AST_PARENT	
151	152	IS_AST_PARENT	
151	153	IS_AST_PARENT	
149	151	IS_AST_PARENT	
148	149	IS_AST_PARENT	
107	148	IS_AST_PARENT	
155	156	IS_AST_PARENT	
158	159	IS_AST_PARENT	
158	160	IS_AST_PARENT	
157	158	IS_AST_PARENT	
157	161	IS_AST_PARENT	
155	157	IS_AST_PARENT	
154	155	IS_AST_PARENT	
107	154	IS_AST_PARENT	
164	165	IS_AST_PARENT	
164	166	IS_AST_PARENT	
163	164	IS_AST_PARENT	
168	169	IS_AST_PARENT	
167	168	IS_AST_PARENT	
172	173	IS_AST_PARENT	
172	174	IS_AST_PARENT	
171	172	IS_AST_PARENT	
170	171	IS_AST_PARENT	
167	170	IS_AST_PARENT	
163	167	IS_AST_PARENT	
162	163	IS_AST_PARENT	
107	162	IS_AST_PARENT	
177	178	IS_AST_PARENT	
177	179	IS_AST_PARENT	
176	177	IS_AST_PARENT	
181	182	IS_AST_PARENT	
180	181	IS_AST_PARENT	
185	186	IS_AST_PARENT	
185	187	IS_AST_PARENT	
184	185	IS_AST_PARENT	
183	184	IS_AST_PARENT	
180	183	IS_AST_PARENT	
176	180	IS_AST_PARENT	
175	176	IS_AST_PARENT	
107	175	IS_AST_PARENT	
190	191	IS_AST_PARENT	
190	192	IS_AST_PARENT	
189	190	IS_AST_PARENT	
194	195	IS_AST_PARENT	
193	194	IS_AST_PARENT	
198	199	IS_AST_PARENT	
198	200	IS_AST_PARENT	
197	198	IS_AST_PARENT	
196	197	IS_AST_PARENT	
193	196	IS_AST_PARENT	
189	193	IS_AST_PARENT	
188	189	IS_AST_PARENT	
107	188	IS_AST_PARENT	
203	204	IS_AST_PARENT	
203	205	IS_AST_PARENT	
202	203	IS_AST_PARENT	
207	208	IS_AST_PARENT	
206	207	IS_AST_PARENT	
211	212	IS_AST_PARENT	
211	213	IS_AST_PARENT	
210	211	IS_AST_PARENT	
209	210	IS_AST_PARENT	
206	209	IS_AST_PARENT	
202	206	IS_AST_PARENT	
201	202	IS_AST_PARENT	
107	201	IS_AST_PARENT	
216	217	IS_AST_PARENT	
216	218	IS_AST_PARENT	
215	216	IS_AST_PARENT	
220	221	IS_AST_PARENT	
219	220	IS_AST_PARENT	
224	225	IS_AST_PARENT	
224	226	IS_AST_PARENT	
223	224	IS_AST_PARENT	
222	223	IS_AST_PARENT	
219	222	IS_AST_PARENT	
215	219	IS_AST_PARENT	
214	215	IS_AST_PARENT	
107	214	IS_AST_PARENT	
229	230	IS_AST_PARENT	
229	231	IS_AST_PARENT	
228	229	IS_AST_PARENT	
233	234	IS_AST_PARENT	
232	233	IS_AST_PARENT	
237	238	IS_AST_PARENT	
237	239	IS_AST_PARENT	
236	237	IS_AST_PARENT	
235	236	IS_AST_PARENT	
232	235	IS_AST_PARENT	
228	232	IS_AST_PARENT	
227	228	IS_AST_PARENT	
107	227	IS_AST_PARENT	
241	242	IS_AST_PARENT	
244	245	IS_AST_PARENT	
243	244	IS_AST_PARENT	
248	249	IS_AST_PARENT	
248	250	IS_AST_PARENT	
247	248	IS_AST_PARENT	
246	247	IS_AST_PARENT	
243	246	IS_AST_PARENT	
241	243	IS_AST_PARENT	
240	241	IS_AST_PARENT	
107	240	IS_AST_PARENT	
252	253	IS_AST_PARENT	
255	256	IS_AST_PARENT	
254	255	IS_AST_PARENT	
259	260	IS_AST_PARENT	
259	261	IS_AST_PARENT	
258	259	IS_AST_PARENT	
257	258	IS_AST_PARENT	
254	257	IS_AST_PARENT	
252	254	IS_AST_PARENT	
251	252	IS_AST_PARENT	
107	251	IS_AST_PARENT	
263	264	IS_AST_PARENT	
266	267	IS_AST_PARENT	
265	266	IS_AST_PARENT	
270	271	IS_AST_PARENT	
270	272	IS_AST_PARENT	
269	270	IS_AST_PARENT	
268	269	IS_AST_PARENT	
265	268	IS_AST_PARENT	
263	265	IS_AST_PARENT	
262	263	IS_AST_PARENT	
107	262	IS_AST_PARENT	
274	275	IS_AST_PARENT	
277	278	IS_AST_PARENT	
276	277	IS_AST_PARENT	
281	282	IS_AST_PARENT	
281	283	IS_AST_PARENT	
280	281	IS_AST_PARENT	
279	280	IS_AST_PARENT	
284	285	IS_AST_PARENT	
279	284	IS_AST_PARENT	
287	288	IS_AST_PARENT	
287	289	IS_AST_PARENT	
286	287	IS_AST_PARENT	
279	286	IS_AST_PARENT	
292	293	IS_AST_PARENT	
291	292	IS_AST_PARENT	
296	297	IS_AST_PARENT	
296	298	IS_AST_PARENT	
295	296	IS_AST_PARENT	
294	295	IS_AST_PARENT	
299	300	IS_AST_PARENT	
294	299	IS_AST_PARENT	
291	294	IS_AST_PARENT	
290	291	IS_AST_PARENT	
279	290	IS_AST_PARENT	
276	279	IS_AST_PARENT	
274	276	IS_AST_PARENT	
273	274	IS_AST_PARENT	
107	273	IS_AST_PARENT	
303	304	IS_AST_PARENT	
303	305	IS_AST_PARENT	
302	303	IS_AST_PARENT	
301	302	IS_AST_PARENT	
307	308	IS_AST_PARENT	
306	307	IS_AST_PARENT	
301	306	IS_AST_PARENT	
107	301	IS_AST_PARENT	
310	311	IS_AST_PARENT	
310	312	IS_AST_PARENT	
309	310	IS_AST_PARENT	
107	309	IS_AST_PARENT	
315	316	IS_AST_PARENT	
315	317	IS_AST_PARENT	
314	315	IS_AST_PARENT	
313	314	IS_AST_PARENT	
321	322	IS_AST_PARENT	
321	323	IS_AST_PARENT	
320	321	IS_AST_PARENT	
325	326	IS_AST_PARENT	
324	325	IS_AST_PARENT	
329	330	IS_AST_PARENT	
329	331	IS_AST_PARENT	
328	329	IS_AST_PARENT	
327	328	IS_AST_PARENT	
324	327	IS_AST_PARENT	
320	324	IS_AST_PARENT	
319	320	IS_AST_PARENT	
318	319	IS_AST_PARENT	
313	318	IS_AST_PARENT	
107	313	IS_AST_PARENT	
334	335	IS_AST_PARENT	
334	336	IS_AST_PARENT	
333	334	IS_AST_PARENT	
332	333	IS_AST_PARENT	
340	341	IS_AST_PARENT	
340	342	IS_AST_PARENT	
339	340	IS_AST_PARENT	
344	345	IS_AST_PARENT	
343	344	IS_AST_PARENT	
348	349	IS_AST_PARENT	
348	350	IS_AST_PARENT	
347	348	IS_AST_PARENT	
346	347	IS_AST_PARENT	
343	346	IS_AST_PARENT	
339	343	IS_AST_PARENT	
338	339	IS_AST_PARENT	
337	338	IS_AST_PARENT	
332	337	IS_AST_PARENT	
355	356	IS_AST_PARENT	
355	357	IS_AST_PARENT	
354	355	IS_AST_PARENT	
359	360	IS_AST_PARENT	
359	361	IS_AST_PARENT	
358	359	IS_AST_PARENT	
358	362	IS_AST_PARENT	
354	358	IS_AST_PARENT	
353	354	IS_AST_PARENT	
352	353	IS_AST_PARENT	
351	352	IS_AST_PARENT	
332	351	IS_AST_PARENT	
107	332	IS_AST_PARENT	
365	366	IS_AST_PARENT	
365	367	IS_AST_PARENT	
364	365	IS_AST_PARENT	
369	370	IS_AST_PARENT	
368	369	IS_AST_PARENT	
373	374	IS_AST_PARENT	
373	375	IS_AST_PARENT	
372	373	IS_AST_PARENT	
371	372	IS_AST_PARENT	
368	371	IS_AST_PARENT	
364	368	IS_AST_PARENT	
363	364	IS_AST_PARENT	
107	363	IS_AST_PARENT	
377	378	IS_AST_PARENT	
380	381	IS_AST_PARENT	
379	380	IS_AST_PARENT	
384	385	IS_AST_PARENT	
384	386	IS_AST_PARENT	
383	384	IS_AST_PARENT	
382	383	IS_AST_PARENT	
387	388	IS_AST_PARENT	
382	387	IS_AST_PARENT	
390	391	IS_AST_PARENT	
390	392	IS_AST_PARENT	
389	390	IS_AST_PARENT	
382	389	IS_AST_PARENT	
393	394	IS_AST_PARENT	
382	393	IS_AST_PARENT	
379	382	IS_AST_PARENT	
377	379	IS_AST_PARENT	
376	377	IS_AST_PARENT	
107	376	IS_AST_PARENT	
397	398	IS_AST_PARENT	
397	399	IS_AST_PARENT	
396	397	IS_AST_PARENT	
395	396	IS_AST_PARENT	
401	402	IS_AST_PARENT	
400	401	IS_AST_PARENT	
395	400	IS_AST_PARENT	
107	395	IS_AST_PARENT	
404	405	IS_AST_PARENT	
404	406	IS_AST_PARENT	
403	404	IS_AST_PARENT	
107	403	IS_AST_PARENT	
410	411	IS_AST_PARENT	
410	412	IS_AST_PARENT	
409	410	IS_AST_PARENT	
409	413	IS_AST_PARENT	
408	409	IS_AST_PARENT	
408	414	IS_AST_PARENT	
407	408	IS_AST_PARENT	
107	407	IS_AST_PARENT	
417	418	IS_AST_PARENT	
417	419	IS_AST_PARENT	
416	417	IS_AST_PARENT	
421	422	IS_AST_PARENT	
420	421	IS_AST_PARENT	
425	426	IS_AST_PARENT	
425	427	IS_AST_PARENT	
424	425	IS_AST_PARENT	
423	424	IS_AST_PARENT	
420	423	IS_AST_PARENT	
416	420	IS_AST_PARENT	
415	416	IS_AST_PARENT	
107	415	IS_AST_PARENT	
429	430	IS_AST_PARENT	
432	433	IS_AST_PARENT	
431	432	IS_AST_PARENT	
436	437	IS_AST_PARENT	
436	438	IS_AST_PARENT	
435	436	IS_AST_PARENT	
434	435	IS_AST_PARENT	
439	440	IS_AST_PARENT	
434	439	IS_AST_PARENT	
442	443	IS_AST_PARENT	
442	444	IS_AST_PARENT	
441	442	IS_AST_PARENT	
434	441	IS_AST_PARENT	
445	446	IS_AST_PARENT	
434	445	IS_AST_PARENT	
431	434	IS_AST_PARENT	
429	431	IS_AST_PARENT	
428	429	IS_AST_PARENT	
107	428	IS_AST_PARENT	
449	450	IS_AST_PARENT	
449	451	IS_AST_PARENT	
448	449	IS_AST_PARENT	
447	448	IS_AST_PARENT	
453	454	IS_AST_PARENT	
452	453	IS_AST_PARENT	
447	452	IS_AST_PARENT	
107	447	IS_AST_PARENT	
456	457	IS_AST_PARENT	
456	458	IS_AST_PARENT	
455	456	IS_AST_PARENT	
107	455	IS_AST_PARENT	
462	463	IS_AST_PARENT	
462	464	IS_AST_PARENT	
461	462	IS_AST_PARENT	
461	465	IS_AST_PARENT	
460	461	IS_AST_PARENT	
460	466	IS_AST_PARENT	
459	460	IS_AST_PARENT	
107	459	IS_AST_PARENT	
470	471	IS_AST_PARENT	
472	473	IS_AST_PARENT	
472	474	IS_AST_PARENT	
470	472	IS_AST_PARENT	
469	470	IS_AST_PARENT	
469	475	IS_AST_PARENT	
468	469	IS_AST_PARENT	
467	468	IS_AST_PARENT	
478	479	IS_AST_PARENT	
480	481	IS_AST_PARENT	
480	482	IS_AST_PARENT	
478	480	IS_AST_PARENT	
477	478	IS_AST_PARENT	
476	477	IS_AST_PARENT	
483	484	IS_AST_PARENT	
476	483	IS_AST_PARENT	
467	476	IS_AST_PARENT	
107	467	IS_AST_PARENT	
93	107	IS_AST_PARENT	
4	93	IS_AST_PARENT	
487	488	IS_AST_PARENT	
486	487	IS_AST_PARENT	
492	493	IS_AST_PARENT	
494	495	IS_AST_PARENT	
494	496	IS_AST_PARENT	
492	494	IS_AST_PARENT	
491	492	IS_AST_PARENT	
491	497	IS_AST_PARENT	
490	491	IS_AST_PARENT	
489	490	IS_AST_PARENT	
486	489	IS_AST_PARENT	
485	486	IS_AST_PARENT	
4	485	IS_AST_PARENT	
500	501	IS_AST_PARENT	
500	502	IS_AST_PARENT	
499	500	IS_AST_PARENT	
503	504	IS_AST_PARENT	
505	506	IS_AST_PARENT	
505	507	IS_AST_PARENT	
503	505	IS_AST_PARENT	
499	503	IS_AST_PARENT	
498	499	IS_AST_PARENT	
4	498	IS_AST_PARENT	
508	509	IS_AST_PARENT	
4	508	IS_AST_PARENT	
510	511	IS_AST_PARENT	
4	510	IS_AST_PARENT	
514	515	IS_AST_PARENT	
513	514	IS_AST_PARENT	
517	518	IS_AST_PARENT	
516	517	IS_AST_PARENT	
513	516	IS_AST_PARENT	
512	513	IS_AST_PARENT	
4	512	IS_AST_PARENT	
519	520	IS_AST_PARENT	
4	519	IS_AST_PARENT	
3	4	IS_AST_PARENT	
