command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_5839e53b_20787.c								
ANR	2	Function	qcow2_read_snapshots	1:0:0:2679							
ANR	3	FunctionDef	qcow2_read_snapshots (BlockDriverState * bs)		2	0					
ANR	4	CompoundStatement		2:0:47:2679	2	0					
ANR	5	IdentifierDeclStatement	BDRVQcowState * s = bs -> opaque ;	3:4:53:82	2	0	True				
ANR	6	IdentifierDecl	* s = bs -> opaque		2	0					
ANR	7	IdentifierDeclType	BDRVQcowState *		2	0					
ANR	8	Identifier	s		2	1					
ANR	9	AssignmentExpression	* s = bs -> opaque		2	2		=			
ANR	10	Identifier	s		2	0					
ANR	11	PtrMemberAccess	bs -> opaque		2	1					
ANR	12	Identifier	bs		2	0					
ANR	13	Identifier	opaque		2	1					
ANR	14	IdentifierDeclStatement	QCowSnapshotHeader h ;	4:4:88:108	2	1	True				
ANR	15	IdentifierDecl	h		2	0					
ANR	16	IdentifierDeclType	QCowSnapshotHeader		2	0					
ANR	17	Identifier	h		2	1					
ANR	18	IdentifierDeclStatement	QCowSnapshotExtraData extra ;	5:4:114:141	2	2	True				
ANR	19	IdentifierDecl	extra		2	0					
ANR	20	IdentifierDeclType	QCowSnapshotExtraData		2	0					
ANR	21	Identifier	extra		2	1					
ANR	22	IdentifierDeclStatement	QCowSnapshot * sn ;	6:4:147:163	2	3	True				
ANR	23	IdentifierDecl	* sn		2	0					
ANR	24	IdentifierDeclType	QCowSnapshot *		2	0					
ANR	25	Identifier	sn		2	1					
ANR	26	IdentifierDeclStatement	"int i , id_str_size , name_size ;"	7:4:169:198	2	4	True				
ANR	27	IdentifierDecl	i		2	0					
ANR	28	IdentifierDeclType	int		2	0					
ANR	29	Identifier	i		2	1					
ANR	30	IdentifierDecl	id_str_size		2	1					
ANR	31	IdentifierDeclType	int		2	0					
ANR	32	Identifier	id_str_size		2	1					
ANR	33	IdentifierDecl	name_size		2	2					
ANR	34	IdentifierDeclType	int		2	0					
ANR	35	Identifier	name_size		2	1					
ANR	36	IdentifierDeclStatement	int64_t offset ;	8:4:204:218	2	5	True				
ANR	37	IdentifierDecl	offset		2	0					
ANR	38	IdentifierDeclType	int64_t		2	0					
ANR	39	Identifier	offset		2	1					
ANR	40	IdentifierDeclStatement	uint32_t extra_data_size ;	9:4:224:248	2	6	True				
ANR	41	IdentifierDecl	extra_data_size		2	0					
ANR	42	IdentifierDeclType	uint32_t		2	0					
ANR	43	Identifier	extra_data_size		2	1					
ANR	44	IdentifierDeclStatement	int ret ;	10:4:254:261	2	7	True				
ANR	45	IdentifierDecl	ret		2	0					
ANR	46	IdentifierDeclType	int		2	0					
ANR	47	Identifier	ret		2	1					
ANR	48	IfStatement	if ( ! s -> nb_snapshots )		2	8					
ANR	49	Condition	! s -> nb_snapshots	12:8:272:287	2	0	True				
ANR	50	UnaryOperationExpression	! s -> nb_snapshots		2	0					
ANR	51	UnaryOperator	!		2	0					
ANR	52	PtrMemberAccess	s -> nb_snapshots		2	1					
ANR	53	Identifier	s		2	0					
ANR	54	Identifier	nb_snapshots		2	1					
ANR	55	CompoundStatement		11:26:242:242	2	1					
ANR	56	ExpressionStatement	s -> snapshots = NULL	13:8:300:319	2	0	True				
ANR	57	AssignmentExpression	s -> snapshots = NULL		2	0		=			
ANR	58	PtrMemberAccess	s -> snapshots		2	0					
ANR	59	Identifier	s		2	0					
ANR	60	Identifier	snapshots		2	1					
ANR	61	Identifier	NULL		2	1					
ANR	62	ExpressionStatement	s -> snapshots_size = 0	14:8:329:350	2	1	True				
ANR	63	AssignmentExpression	s -> snapshots_size = 0		2	0		=			
ANR	64	PtrMemberAccess	s -> snapshots_size		2	0					
ANR	65	Identifier	s		2	0					
ANR	66	Identifier	snapshots_size		2	1					
ANR	67	PrimaryExpression	0		2	1					
ANR	68	ReturnStatement	return 0 ;	15:8:360:368	2	2	True				
ANR	69	PrimaryExpression	0		2	0					
ANR	70	ExpressionStatement	offset = s -> snapshots_offset	18:4:381:409	2	9	True				
ANR	71	AssignmentExpression	offset = s -> snapshots_offset		2	0		=			
ANR	72	Identifier	offset		2	0					
ANR	73	PtrMemberAccess	s -> snapshots_offset		2	1					
ANR	74	Identifier	s		2	0					
ANR	75	Identifier	snapshots_offset		2	1					
ANR	76	ExpressionStatement	s -> snapshots = g_malloc0 ( s -> nb_snapshots * sizeof ( QCowSnapshot ) )	19:4:415:479	2	10	True				
ANR	77	AssignmentExpression	s -> snapshots = g_malloc0 ( s -> nb_snapshots * sizeof ( QCowSnapshot ) )		2	0		=			
ANR	78	PtrMemberAccess	s -> snapshots		2	0					
ANR	79	Identifier	s		2	0					
ANR	80	Identifier	snapshots		2	1					
ANR	81	CallExpression	g_malloc0 ( s -> nb_snapshots * sizeof ( QCowSnapshot ) )		2	1					
ANR	82	Callee	g_malloc0		2	0					
ANR	83	Identifier	g_malloc0		2	0					
ANR	84	ArgumentList	s -> nb_snapshots * sizeof ( QCowSnapshot )		2	1					
ANR	85	Argument	s -> nb_snapshots * sizeof ( QCowSnapshot )		2	0					
ANR	86	MultiplicativeExpression	s -> nb_snapshots * sizeof ( QCowSnapshot )		2	0		*			
ANR	87	PtrMemberAccess	s -> nb_snapshots		2	0					
ANR	88	Identifier	s		2	0					
ANR	89	Identifier	nb_snapshots		2	1					
ANR	90	SizeofExpression	sizeof ( QCowSnapshot )		2	1					
ANR	91	Sizeof	sizeof		2	0					
ANR	92	SizeofOperand	QCowSnapshot		2	1					
ANR	93	ForStatement	for ( i = 0 ; i < s -> nb_snapshots ; i ++ )		2	11					
ANR	94	ForInit	i = 0 ;	21:8:490:495	2	0	True				
ANR	95	AssignmentExpression	i = 0		2	0		=			
ANR	96	Identifier	i		2	0					
ANR	97	PrimaryExpression	0		2	1					
ANR	98	Condition	i < s -> nb_snapshots	21:15:497:515	2	1	True				
ANR	99	RelationalExpression	i < s -> nb_snapshots		2	0		<			
ANR	100	Identifier	i		2	0					
ANR	101	PtrMemberAccess	s -> nb_snapshots		2	1					
ANR	102	Identifier	s		2	0					
ANR	103	Identifier	nb_snapshots		2	1					
ANR	104	PostIncDecOperationExpression	i ++	21:36:518:520	2	2	True				
