start	end	type	var
8	9	IS_AST_PARENT	
8	10	IS_AST_PARENT	
7	8	IS_AST_PARENT	
7	11	IS_AST_PARENT	
6	7	IS_AST_PARENT	
5	6	IS_AST_PARENT	
12	13	IS_AST_PARENT	
5	12	IS_AST_PARENT	
4	5	IS_AST_PARENT	
18	19	IS_AST_PARENT	
17	18	IS_AST_PARENT	
22	23	IS_AST_PARENT	
25	26	IS_AST_PARENT	
25	27	IS_AST_PARENT	
24	25	IS_AST_PARENT	
24	28	IS_AST_PARENT	
22	24	IS_AST_PARENT	
21	22	IS_AST_PARENT	
20	21	IS_AST_PARENT	
17	20	IS_AST_PARENT	
16	17	IS_AST_PARENT	
16	29	IS_AST_PARENT	
15	16	IS_AST_PARENT	
14	15	IS_AST_PARENT	
30	31	IS_AST_PARENT	
14	30	IS_AST_PARENT	
4	14	IS_AST_PARENT	
32	33	IS_AST_PARENT	
4	32	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	34	IS_AST_PARENT	
3	35	IS_AST_PARENT	
37	38	IS_AST_PARENT	
37	39	IS_AST_PARENT	
36	37	IS_AST_PARENT	
3	36	IS_AST_PARENT	
40	37	FLOWS_TO	
37	6	FLOWS_TO	
6	12	FLOWS_TO	
6	15	FLOWS_TO	
12	41	FLOWS_TO	
15	30	FLOWS_TO	
15	32	FLOWS_TO	
30	41	FLOWS_TO	
32	41	FLOWS_TO	
37	42	DEF	
6	42	USE	
8	42	USE	
15	42	USE	
25	42	USE	
6	43	USE	
6	44	USE	
15	44	USE	
21	44	USE	
24	44	USE	
15	45	USE	
24	45	USE	
21	45	USE	
32	46	USE	
15	47	USE	
15	48	USE	
37	6	REACHES	p
37	15	REACHES	p
40	37	CONTROLS	
40	6	CONTROLS	
6	12	CONTROLS	
6	15	CONTROLS	
15	30	CONTROLS	
15	32	CONTROLS	
40	40	DOM	
6	41	DOM	
15	32	DOM	
40	37	DOM	
37	6	DOM	
6	15	DOM	
15	30	DOM	
6	12	DOM	
37	40	POST_DOM	
41	41	POST_DOM	
41	32	POST_DOM	
6	37	POST_DOM	
41	6	POST_DOM	
41	30	POST_DOM	
41	15	POST_DOM	
41	12	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	40	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
