command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	53	File	tmp/qemu_3df9caf8_23858.c								
ANR	54	Function	scsi_command_complete	1:0:0:1698							
ANR	55	FunctionDef	"scsi_command_complete (void * opaque , int ret)"		54	0					
ANR	56	CompoundStatement		2:0:57:1698	54	0					
ANR	57	IdentifierDeclStatement	int status ;	3:4:63:73	54	0	True				
ANR	58	IdentifierDecl	status		54	0					
ANR	59	IdentifierDeclType	int		54	0					
ANR	60	Identifier	status		54	1					
ANR	61	IdentifierDeclStatement	SCSIGenericReq * r = ( SCSIGenericReq * ) opaque ;	4:4:79:123	54	1	True				
ANR	62	IdentifierDecl	* r = ( SCSIGenericReq * ) opaque		54	0					
ANR	63	IdentifierDeclType	SCSIGenericReq *		54	0					
ANR	64	Identifier	r		54	1					
ANR	65	AssignmentExpression	* r = ( SCSIGenericReq * ) opaque		54	2		=			
ANR	66	Identifier	r		54	0					
ANR	67	CastExpression	( SCSIGenericReq * ) opaque		54	1					
ANR	68	CastTarget	SCSIGenericReq *		54	0					
ANR	69	Identifier	opaque		54	1					
ANR	70	ExpressionStatement	r -> req . aiocb = NULL	6:4:130:149	54	2	True				
ANR	71	AssignmentExpression	r -> req . aiocb = NULL		54	0		=			
ANR	72	MemberAccess	r -> req . aiocb		54	0					
ANR	73	PtrMemberAccess	r -> req		54	0					
ANR	74	Identifier	r		54	0					
ANR	75	Identifier	req		54	1					
ANR	76	Identifier	aiocb		54	1					
ANR	77	Identifier	NULL		54	1					
ANR	78	IfStatement	if ( r -> req . io_canceled )		54	3					
ANR	79	Condition	r -> req . io_canceled	7:8:159:176	54	0	True				
ANR	80	MemberAccess	r -> req . io_canceled		54	0					
ANR	81	PtrMemberAccess	r -> req		54	0					
ANR	82	Identifier	r		54	0					
ANR	83	Identifier	req		54	1					
ANR	84	Identifier	io_canceled		54	1					
ANR	85	CompoundStatement		6:28:121:121	54	1					
ANR	86	GotoStatement	goto done ;	8:8:189:198	54	0	True				
ANR	87	Identifier	done		54	0					
ANR	88	IfStatement	if ( r -> io_header . driver_status & SG_ERR_DRIVER_SENSE )		54	4					
ANR	89	Condition	r -> io_header . driver_status & SG_ERR_DRIVER_SENSE	10:8:214:261	54	0	True				
ANR	90	BitAndExpression	r -> io_header . driver_status & SG_ERR_DRIVER_SENSE		54	0		&			
ANR	91	MemberAccess	r -> io_header . driver_status		54	0					
ANR	92	PtrMemberAccess	r -> io_header		54	0					
ANR	93	Identifier	r		54	0					
ANR	94	Identifier	io_header		54	1					
ANR	95	Identifier	driver_status		54	1					
ANR	96	Identifier	SG_ERR_DRIVER_SENSE		54	1					
ANR	97	CompoundStatement		9:58:206:206	54	1					
ANR	98	ExpressionStatement	r -> req . sense_len = r -> io_header . sb_len_wr	11:8:274:315	54	0	True				
ANR	99	AssignmentExpression	r -> req . sense_len = r -> io_header . sb_len_wr		54	0		=			
ANR	100	MemberAccess	r -> req . sense_len		54	0					
ANR	101	PtrMemberAccess	r -> req		54	0					
ANR	102	Identifier	r		54	0					
ANR	103	Identifier	req		54	1					
ANR	104	Identifier	sense_len		54	1					
ANR	105	MemberAccess	r -> io_header . sb_len_wr		54	1					
ANR	106	PtrMemberAccess	r -> io_header		54	0					
ANR	107	Identifier	r		54	0					
ANR	108	Identifier	io_header		54	1					
ANR	109	Identifier	sb_len_wr		54	1					
ANR	110	IfStatement	if ( ret != 0 )		54	5					
ANR	111	Condition	ret != 0	14:8:332:339	54	0	True				
ANR	112	EqualityExpression	ret != 0		54	0		!=			
ANR	113	Identifier	ret		54	0					
ANR	114	PrimaryExpression	0		54	1					
ANR	115	CompoundStatement		13:18:284:284	54	1					
ANR	116	SwitchStatement	switch ( ret )		54	0					
ANR	117	Condition	ret	15:16:360:362	54	0	True				
ANR	118	Identifier	ret		54	0					
ANR	119	CompoundStatement		14:21:307:307	54	1					
ANR	120	Statement	case	16:8:375:378	54	0	True				
ANR	121	Statement	-	16:13:380:380	54	1	True				
ANR	122	Label	EDOM :	16:14:381:385	54	2	True				
ANR	123	Identifier	EDOM		54	0					
ANR	124	ExpressionStatement	status = TASK_SET_FULL	17:12:399:421	54	3	True				
ANR	125	AssignmentExpression	status = TASK_SET_FULL		54	0		=			
ANR	126	Identifier	status		54	0					
ANR	127	Identifier	TASK_SET_FULL		54	1					
ANR	128	BreakStatement	break ;	18:12:435:440	54	4	True				
ANR	129	Statement	case	19:8:450:453	54	5	True				
ANR	130	Statement	-	19:13:455:455	54	6	True				
ANR	131	Label	ENOMEM :	19:14:456:462	54	7	True				
ANR	132	Identifier	ENOMEM		54	0					
ANR	133	ExpressionStatement	status = CHECK_CONDITION	20:12:476:500	54	8	True				
ANR	134	AssignmentExpression	status = CHECK_CONDITION		54	0		=			
ANR	135	Identifier	status		54	0					
ANR	136	Identifier	CHECK_CONDITION		54	1					
ANR	137	ExpressionStatement	"scsi_req_build_sense ( & r -> req , SENSE_CODE ( TARGET_FAILURE ) )"	21:12:514:571	54	9	True				
ANR	138	CallExpression	"scsi_req_build_sense ( & r -> req , SENSE_CODE ( TARGET_FAILURE ) )"		54	0					
ANR	139	Callee	scsi_req_build_sense		54	0					
ANR	140	Identifier	scsi_req_build_sense		54	0					
ANR	141	ArgumentList	& r -> req		54	1					
ANR	142	Argument	& r -> req		54	0					
ANR	143	UnaryOperationExpression	& r -> req		54	0					
ANR	144	UnaryOperator	&		54	0					
ANR	145	PtrMemberAccess	r -> req		54	1					
ANR	146	Identifier	r		54	0					
ANR	147	Identifier	req		54	1					
ANR	148	Argument	SENSE_CODE ( TARGET_FAILURE )		54	1					
ANR	149	CallExpression	SENSE_CODE ( TARGET_FAILURE )		54	0					
ANR	150	Callee	SENSE_CODE		54	0					
ANR	151	Identifier	SENSE_CODE		54	0					
ANR	152	ArgumentList	TARGET_FAILURE		54	1					
ANR	153	Argument	TARGET_FAILURE		54	0					
ANR	154	Identifier	TARGET_FAILURE		54	0					
ANR	155	BreakStatement	break ;	22:12:585:590	54	10	True				
ANR	156	Label	default :	23:8:600:607	54	11	True				
ANR	157	Identifier	default		54	0					
ANR	158	ExpressionStatement	status = CHECK_CONDITION	24:12:621:645	54	12	True				
ANR	159	AssignmentExpression	status = CHECK_CONDITION		54	0		=			
ANR	160	Identifier	status		54	0					
ANR	161	Identifier	CHECK_CONDITION		54	1					
ANR	162	ExpressionStatement	"scsi_req_build_sense ( & r -> req , SENSE_CODE ( IO_ERROR ) )"	25:12:659:710	54	13	True				
ANR	163	CallExpression	"scsi_req_build_sense ( & r -> req , SENSE_CODE ( IO_ERROR ) )"		54	0					
ANR	164	Callee	scsi_req_build_sense		54	0					
ANR	165	Identifier	scsi_req_build_sense		54	0					
ANR	166	ArgumentList	& r -> req		54	1					
ANR	167	Argument	& r -> req		54	0					
ANR	168	UnaryOperationExpression	& r -> req		54	0					
ANR	169	UnaryOperator	&		54	0					
ANR	170	PtrMemberAccess	r -> req		54	1					
ANR	171	Identifier	r		54	0					
ANR	172	Identifier	req		54	1					
ANR	173	Argument	SENSE_CODE ( IO_ERROR )		54	1					
ANR	174	CallExpression	SENSE_CODE ( IO_ERROR )		54	0					
ANR	175	Callee	SENSE_CODE		54	0					
ANR	176	Identifier	SENSE_CODE		54	0					
ANR	177	ArgumentList	IO_ERROR		54	1					
ANR	178	Argument	IO_ERROR		54	0					
ANR	179	Identifier	IO_ERROR		54	0					
ANR	180	BreakStatement	break ;	26:12:724:729	54	14	True				
ANR	181	ElseStatement	else		54	0					
ANR	182	CompoundStatement		27:11:694:694	54	0					
ANR	183	IfStatement	if ( r -> io_header . host_status == SG_ERR_DID_NO_CONNECT || r -> io_header . host_status == SG_ERR_DID_BUS_BUSY || r -> io_header . host_status == SG_ERR_DID_TIME_OUT || ( r -> io_header . driver_status & SG_ERR_DRIVER_TIMEOUT ) )		54	0					
ANR	184	Condition	r -> io_header . host_status == SG_ERR_DID_NO_CONNECT || r -> io_header . host_status == SG_ERR_DID_BUS_BUSY || r -> io_header . host_status == SG_ERR_DID_TIME_OUT || ( r -> io_header . driver_status & SG_ERR_DRIVER_TIMEOUT )	29:12:766:1008	54	0	True				
ANR	185	OrExpression	r -> io_header . host_status == SG_ERR_DID_NO_CONNECT || r -> io_header . host_status == SG_ERR_DID_BUS_BUSY || r -> io_header . host_status == SG_ERR_DID_TIME_OUT || ( r -> io_header . driver_status & SG_ERR_DRIVER_TIMEOUT )		54	0		||			
ANR	186	EqualityExpression	r -> io_header . host_status == SG_ERR_DID_NO_CONNECT		54	0		==			
ANR	187	MemberAccess	r -> io_header . host_status		54	0					
ANR	188	PtrMemberAccess	r -> io_header		54	0					
ANR	189	Identifier	r		54	0					
ANR	190	Identifier	io_header		54	1					
ANR	191	Identifier	host_status		54	1					
ANR	192	Identifier	SG_ERR_DID_NO_CONNECT		54	1					
ANR	193	OrExpression	r -> io_header . host_status == SG_ERR_DID_BUS_BUSY || r -> io_header . host_status == SG_ERR_DID_TIME_OUT || ( r -> io_header . driver_status & SG_ERR_DRIVER_TIMEOUT )		54	1		||			
ANR	194	EqualityExpression	r -> io_header . host_status == SG_ERR_DID_BUS_BUSY		54	0		==			
ANR	195	MemberAccess	r -> io_header . host_status		54	0					
ANR	196	PtrMemberAccess	r -> io_header		54	0					
ANR	197	Identifier	r		54	0					
ANR	198	Identifier	io_header		54	1					
ANR	199	Identifier	host_status		54	1					
ANR	200	Identifier	SG_ERR_DID_BUS_BUSY		54	1					
ANR	201	OrExpression	r -> io_header . host_status == SG_ERR_DID_TIME_OUT || ( r -> io_header . driver_status & SG_ERR_DRIVER_TIMEOUT )		54	1		||			
ANR	202	EqualityExpression	r -> io_header . host_status == SG_ERR_DID_TIME_OUT		54	0		==			
ANR	203	MemberAccess	r -> io_header . host_status		54	0					
ANR	204	PtrMemberAccess	r -> io_header		54	0					
ANR	205	Identifier	r		54	0					
ANR	206	Identifier	io_header		54	1					
ANR	207	Identifier	host_status		54	1					
ANR	208	Identifier	SG_ERR_DID_TIME_OUT		54	1					
ANR	209	BitAndExpression	r -> io_header . driver_status & SG_ERR_DRIVER_TIMEOUT		54	1		&			
ANR	210	MemberAccess	r -> io_header . driver_status		54	0					
ANR	211	PtrMemberAccess	r -> io_header		54	0					
ANR	212	Identifier	r		54	0					
ANR	213	Identifier	io_header		54	1					
ANR	214	Identifier	driver_status		54	1					
ANR	215	Identifier	SG_ERR_DRIVER_TIMEOUT		54	1					
ANR	216	CompoundStatement		31:66:953:953	54	1					
ANR	217	ExpressionStatement	status = BUSY	33:12:1025:1038	54	0	True				
ANR	218	AssignmentExpression	status = BUSY		54	0		=			
ANR	219	Identifier	status		54	0					
ANR	220	Identifier	BUSY		54	1					
ANR	221	ExpressionStatement	"BADF ( ""Driver Timeout\\n"" )"	34:12:1052:1076	54	1	True				
ANR	222	CallExpression	"BADF ( ""Driver Timeout\\n"" )"		54	0					
ANR	223	Callee	BADF		54	0					
ANR	224	Identifier	BADF		54	0					
ANR	225	ArgumentList	"""Driver Timeout\\n"""		54	1					
ANR	226	Argument	"""Driver Timeout\\n"""		54	0					
ANR	227	PrimaryExpression	"""Driver Timeout\\n"""		54	0					
ANR	228	ElseStatement	else		54	0					
ANR	229	IfStatement	if ( r -> io_header . host_status )		54	0					
ANR	230	Condition	r -> io_header . host_status	35:19:1097:1120	54	0	True				
ANR	231	MemberAccess	r -> io_header . host_status		54	0					
ANR	232	PtrMemberAccess	r -> io_header		54	0					
ANR	233	Identifier	r		54	0					
ANR	234	Identifier	io_header		54	1					
ANR	235	Identifier	host_status		54	1					
ANR	236	CompoundStatement		34:45:1065:1065	54	1					
ANR	237	ExpressionStatement	status = CHECK_CONDITION	36:12:1137:1161	54	0	True				
ANR	238	AssignmentExpression	status = CHECK_CONDITION		54	0		=			
ANR	239	Identifier	status		54	0					
ANR	240	Identifier	CHECK_CONDITION		54	1					
ANR	241	ExpressionStatement	"scsi_req_build_sense ( & r -> req , SENSE_CODE ( I_T_NEXUS_LOSS ) )"	37:12:1175:1232	54	1	True				
ANR	242	CallExpression	"scsi_req_build_sense ( & r -> req , SENSE_CODE ( I_T_NEXUS_LOSS ) )"		54	0					
ANR	243	Callee	scsi_req_build_sense		54	0					
ANR	244	Identifier	scsi_req_build_sense		54	0					
ANR	245	ArgumentList	& r -> req		54	1					
ANR	246	Argument	& r -> req		54	0					
ANR	247	UnaryOperationExpression	& r -> req		54	0					
ANR	248	UnaryOperator	&		54	0					
ANR	249	PtrMemberAccess	r -> req		54	1					
ANR	250	Identifier	r		54	0					
ANR	251	Identifier	req		54	1					
