command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_db7dfd4c_8049.c								
ANR	2	Function	cubieboard_init	1:0:0:861							
ANR	3	FunctionDef	cubieboard_init (QEMUMachineInitArgs * args)		2	0					
ANR	4	CompoundStatement		2:0:55:861	2	0					
ANR	5	IdentifierDeclStatement	"CubieBoardState * s = g_new ( CubieBoardState , 1 ) ;"	3:4:61:107	2	0	True				
ANR	6	IdentifierDecl	"* s = g_new ( CubieBoardState , 1 )"		2	0					
ANR	7	IdentifierDeclType	CubieBoardState *		2	0					
ANR	8	Identifier	s		2	1					
ANR	9	AssignmentExpression	"* s = g_new ( CubieBoardState , 1 )"		2	2		=			
ANR	10	Identifier	s		2	0					
ANR	11	CallExpression	"g_new ( CubieBoardState , 1 )"		2	1					
ANR	12	Callee	g_new		2	0					
ANR	13	Identifier	g_new		2	0					
ANR	14	ArgumentList	CubieBoardState		2	1					
ANR	15	Argument	CubieBoardState		2	0					
ANR	16	Identifier	CubieBoardState		2	0					
ANR	17	Argument	1		2	1					
ANR	18	PrimaryExpression	1		2	0					
ANR	19	IdentifierDeclStatement	Error * err = NULL ;	4:4:113:130	2	1	True				
ANR	20	IdentifierDecl	* err = NULL		2	0					
ANR	21	IdentifierDeclType	Error *		2	0					
ANR	22	Identifier	err		2	1					
ANR	23	AssignmentExpression	* err = NULL		2	2		=			
ANR	24	Identifier	NULL		2	0					
ANR	25	Identifier	NULL		2	1					
ANR	26	ExpressionStatement	s -> a10 = AW_A10 ( object_new ( TYPE_AW_A10 ) )	6:4:137:177	2	2	True				
ANR	27	AssignmentExpression	s -> a10 = AW_A10 ( object_new ( TYPE_AW_A10 ) )		2	0		=			
ANR	28	PtrMemberAccess	s -> a10		2	0					
ANR	29	Identifier	s		2	0					
ANR	30	Identifier	a10		2	1					
ANR	31	CallExpression	AW_A10 ( object_new ( TYPE_AW_A10 ) )		2	1					
ANR	32	Callee	AW_A10		2	0					
ANR	33	Identifier	AW_A10		2	0					
ANR	34	ArgumentList	object_new ( TYPE_AW_A10 )		2	1					
ANR	35	Argument	object_new ( TYPE_AW_A10 )		2	0					
ANR	36	CallExpression	object_new ( TYPE_AW_A10 )		2	0					
ANR	37	Callee	object_new		2	0					
ANR	38	Identifier	object_new		2	0					
ANR	39	ArgumentList	TYPE_AW_A10		2	1					
ANR	40	Argument	TYPE_AW_A10		2	0					
ANR	41	Identifier	TYPE_AW_A10		2	0					
ANR	42	ExpressionStatement	"object_property_set_bool ( OBJECT ( s -> a10 ) , true , ""realized"" , & err )"	7:4:183:247	2	3	True				
ANR	43	CallExpression	"object_property_set_bool ( OBJECT ( s -> a10 ) , true , ""realized"" , & err )"		2	0					
ANR	44	Callee	object_property_set_bool		2	0					
ANR	45	Identifier	object_property_set_bool		2	0					
ANR	46	ArgumentList	OBJECT ( s -> a10 )		2	1					
ANR	47	Argument	OBJECT ( s -> a10 )		2	0					
ANR	48	CallExpression	OBJECT ( s -> a10 )		2	0					
ANR	49	Callee	OBJECT		2	0					
ANR	50	Identifier	OBJECT		2	0					
ANR	51	ArgumentList	s -> a10		2	1					
ANR	52	Argument	s -> a10		2	0					
ANR	53	PtrMemberAccess	s -> a10		2	0					
ANR	54	Identifier	s		2	0					
ANR	55	Identifier	a10		2	1					
ANR	56	Argument	true		2	1					
ANR	57	Identifier	true		2	0					
ANR	58	Argument	"""realized"""		2	2					
ANR	59	PrimaryExpression	"""realized"""		2	0					
ANR	60	Argument	& err		2	3					
ANR	61	UnaryOperationExpression	& err		2	0					
ANR	62	UnaryOperator	&		2	0					
ANR	63	Identifier	err		2	1					
ANR	64	IfStatement	if ( err != NULL )		2	4					
ANR	65	Condition	err != NULL	8:8:257:267	2	0	True				
ANR	66	EqualityExpression	err != NULL		2	0		!=			
ANR	67	Identifier	err		2	0					
ANR	68	Identifier	NULL		2	1					
ANR	69	CompoundStatement		7:21:214:214	2	1					
ANR	70	ExpressionStatement	"error_report ( ""Couldn't realize Allwinner A10: %s\\n"" , error_get_pretty ( err ) )"	9:8:280:371	2	0	True				
ANR	71	CallExpression	"error_report ( ""Couldn't realize Allwinner A10: %s\\n"" , error_get_pretty ( err ) )"		2	0					
ANR	72	Callee	error_report		2	0					
ANR	73	Identifier	error_report		2	0					
ANR	74	ArgumentList	"""Couldn't realize Allwinner A10: %s\\n"""		2	1					
ANR	75	Argument	"""Couldn't realize Allwinner A10: %s\\n"""		2	0					
ANR	76	PrimaryExpression	"""Couldn't realize Allwinner A10: %s\\n"""		2	0					
ANR	77	Argument	error_get_pretty ( err )		2	1					
ANR	78	CallExpression	error_get_pretty ( err )		2	0					
ANR	79	Callee	error_get_pretty		2	0					
ANR	80	Identifier	error_get_pretty		2	0					
ANR	81	ArgumentList	err		2	1					
ANR	82	Argument	err		2	0					
ANR	83	Identifier	err		2	0					
ANR	84	ExpressionStatement	exit ( 1 )	11:8:381:388	2	1	True				
ANR	85	CallExpression	exit ( 1 )		2	0					
ANR	86	Callee	exit		2	0					
ANR	87	Identifier	exit		2	0					
ANR	88	ArgumentList	1		2	1					
ANR	89	Argument	1		2	0					
ANR	90	PrimaryExpression	1		2	0					
ANR	91	ExpressionStatement	"memory_region_init_ram ( & s -> sdram , NULL , ""cubieboard.ram"" , args -> ram_size )"	14:4:401:474	2	5	True				
ANR	92	CallExpression	"memory_region_init_ram ( & s -> sdram , NULL , ""cubieboard.ram"" , args -> ram_size )"		2	0					
ANR	93	Callee	memory_region_init_ram		2	0					
ANR	94	Identifier	memory_region_init_ram		2	0					
ANR	95	ArgumentList	& s -> sdram		2	1					
ANR	96	Argument	& s -> sdram		2	0					
ANR	97	UnaryOperationExpression	& s -> sdram		2	0					
ANR	98	UnaryOperator	&		2	0					
ANR	99	PtrMemberAccess	s -> sdram		2	1					
ANR	100	Identifier	s		2	0					
ANR	101	Identifier	sdram		2	1					
ANR	102	Argument	NULL		2	1					
ANR	103	Identifier	NULL		2	0					
ANR	104	Argument	"""cubieboard.ram"""		2	2					
ANR	105	PrimaryExpression	"""cubieboard.ram"""		2	0					
ANR	106	Argument	args -> ram_size		2	3					
ANR	107	PtrMemberAccess	args -> ram_size		2	0					
ANR	108	Identifier	args		2	0					
ANR	109	Identifier	ram_size		2	1					
ANR	110	ExpressionStatement	vmstate_register_ram_global ( & s -> sdram )	15:4:480:518	2	6	True				
ANR	111	CallExpression	vmstate_register_ram_global ( & s -> sdram )		2	0					
ANR	112	Callee	vmstate_register_ram_global		2	0					
ANR	113	Identifier	vmstate_register_ram_global		2	0					
ANR	114	ArgumentList	& s -> sdram		2	1					
ANR	115	Argument	& s -> sdram		2	0					
ANR	116	UnaryOperationExpression	& s -> sdram		2	0					
ANR	117	UnaryOperator	&		2	0					
ANR	118	PtrMemberAccess	s -> sdram		2	1					
ANR	119	Identifier	s		2	0					
ANR	120	Identifier	sdram		2	1					
ANR	121	ExpressionStatement	"memory_region_add_subregion ( get_system_memory ( ) , AW_A10_SDRAM_BASE , & s -> sdram )"	16:4:524:634	2	7	True				
ANR	122	CallExpression	"memory_region_add_subregion ( get_system_memory ( ) , AW_A10_SDRAM_BASE , & s -> sdram )"		2	0					
ANR	123	Callee	memory_region_add_subregion		2	0					
ANR	124	Identifier	memory_region_add_subregion		2	0					
ANR	125	ArgumentList	get_system_memory ( )		2	1					
ANR	126	Argument	get_system_memory ( )		2	0					
ANR	127	CallExpression	get_system_memory ( )		2	0					
ANR	128	Callee	get_system_memory		2	0					
ANR	129	Identifier	get_system_memory		2	0					
ANR	130	ArgumentList			2	1					
ANR	131	Argument	AW_A10_SDRAM_BASE		2	1					
ANR	132	Identifier	AW_A10_SDRAM_BASE		2	0					
ANR	133	Argument	& s -> sdram		2	2					
ANR	134	UnaryOperationExpression	& s -> sdram		2	0					
ANR	135	UnaryOperator	&		2	0					
ANR	136	PtrMemberAccess	s -> sdram		2	1					
ANR	137	Identifier	s		2	0					
ANR	138	Identifier	sdram		2	1					
ANR	139	ExpressionStatement	cubieboard_binfo . ram_size = args -> ram_size	19:4:641:683	2	8	True				
ANR	140	AssignmentExpression	cubieboard_binfo . ram_size = args -> ram_size		2	0		=			
ANR	141	MemberAccess	cubieboard_binfo . ram_size		2	0					
ANR	142	Identifier	cubieboard_binfo		2	0					
ANR	143	Identifier	ram_size		2	1					
ANR	144	PtrMemberAccess	args -> ram_size		2	1					
ANR	145	Identifier	args		2	0					
ANR	146	Identifier	ram_size		2	1					
ANR	147	ExpressionStatement	cubieboard_binfo . kernel_filename = args -> kernel_filename	20:4:689:745	2	9	True				
ANR	148	AssignmentExpression	cubieboard_binfo . kernel_filename = args -> kernel_filename		2	0		=			
ANR	149	MemberAccess	cubieboard_binfo . kernel_filename		2	0					
ANR	150	Identifier	cubieboard_binfo		2	0					
ANR	151	Identifier	kernel_filename		2	1					
ANR	152	PtrMemberAccess	args -> kernel_filename		2	1					
ANR	153	Identifier	args		2	0					
ANR	154	Identifier	kernel_filename		2	1					
