start	end	type	var
610	611	IS_AST_PARENT	
610	612	IS_AST_PARENT	
609	610	IS_AST_PARENT	
613	614	IS_AST_PARENT	
613	615	IS_AST_PARENT	
609	613	IS_AST_PARENT	
616	617	IS_AST_PARENT	
616	618	IS_AST_PARENT	
619	620	IS_AST_PARENT	
619	621	IS_AST_PARENT	
616	619	IS_AST_PARENT	
609	616	IS_AST_PARENT	
622	623	IS_AST_PARENT	
622	624	IS_AST_PARENT	
625	626	IS_AST_PARENT	
628	629	IS_AST_PARENT	
628	630	IS_AST_PARENT	
627	628	IS_AST_PARENT	
631	632	IS_AST_PARENT	
631	633	IS_AST_PARENT	
627	631	IS_AST_PARENT	
625	627	IS_AST_PARENT	
622	625	IS_AST_PARENT	
609	622	IS_AST_PARENT	
634	635	IS_AST_PARENT	
634	636	IS_AST_PARENT	
609	634	IS_AST_PARENT	
608	609	IS_AST_PARENT	
638	639	IS_AST_PARENT	
638	640	IS_AST_PARENT	
641	642	IS_AST_PARENT	
641	643	IS_AST_PARENT	
638	641	IS_AST_PARENT	
637	638	IS_AST_PARENT	
644	645	IS_AST_PARENT	
644	646	IS_AST_PARENT	
647	648	IS_AST_PARENT	
647	649	IS_AST_PARENT	
644	647	IS_AST_PARENT	
637	644	IS_AST_PARENT	
608	637	IS_AST_PARENT	
651	652	IS_AST_PARENT	
651	653	IS_AST_PARENT	
650	651	IS_AST_PARENT	
608	650	IS_AST_PARENT	
655	656	IS_AST_PARENT	
655	657	IS_AST_PARENT	
658	659	IS_AST_PARENT	
658	660	IS_AST_PARENT	
655	658	IS_AST_PARENT	
654	655	IS_AST_PARENT	
661	662	IS_AST_PARENT	
661	663	IS_AST_PARENT	
664	665	IS_AST_PARENT	
664	666	IS_AST_PARENT	
661	664	IS_AST_PARENT	
654	661	IS_AST_PARENT	
667	668	IS_AST_PARENT	
667	669	IS_AST_PARENT	
670	671	IS_AST_PARENT	
670	672	IS_AST_PARENT	
667	670	IS_AST_PARENT	
654	667	IS_AST_PARENT	
608	654	IS_AST_PARENT	
674	675	IS_AST_PARENT	
674	676	IS_AST_PARENT	
