start	end	type	var
1072	1073	IS_AST_PARENT	
1072	1074	IS_AST_PARENT	
1075	1076	IS_AST_PARENT	
1075	1077	IS_AST_PARENT	
1072	1075	IS_AST_PARENT	
1071	1072	IS_AST_PARENT	
1070	1071	IS_AST_PARENT	
1079	1080	IS_AST_PARENT	
1079	1081	IS_AST_PARENT	
1082	1083	IS_AST_PARENT	
1085	1086	IS_AST_PARENT	
1084	1085	IS_AST_PARENT	
1088	1089	IS_AST_PARENT	
1087	1088	IS_AST_PARENT	
1091	1092	IS_AST_PARENT	
1091	1093	IS_AST_PARENT	
1090	1091	IS_AST_PARENT	
1087	1090	IS_AST_PARENT	
1084	1087	IS_AST_PARENT	
1082	1084	IS_AST_PARENT	
1079	1082	IS_AST_PARENT	
1078	1079	IS_AST_PARENT	
1070	1078	IS_AST_PARENT	
1096	1097	IS_AST_PARENT	
1096	1098	IS_AST_PARENT	
1095	1096	IS_AST_PARENT	
1094	1095	IS_AST_PARENT	
1102	1103	IS_AST_PARENT	
1101	1102	IS_AST_PARENT	
1105	1106	IS_AST_PARENT	
1104	1105	IS_AST_PARENT	
1101	1104	IS_AST_PARENT	
1100	1101	IS_AST_PARENT	
1099	1100	IS_AST_PARENT	
1109	1110	IS_AST_PARENT	
1108	1109	IS_AST_PARENT	
1112	1113	IS_AST_PARENT	
1111	1112	IS_AST_PARENT	
1108	1111	IS_AST_PARENT	
1107	1108	IS_AST_PARENT	
1099	1107	IS_AST_PARENT	
1094	1099	IS_AST_PARENT	
1070	1094	IS_AST_PARENT	
1114	1115	IS_AST_PARENT	
1070	1114	IS_AST_PARENT	
1069	1070	IS_AST_PARENT	
1069	1116	IS_AST_PARENT	
1069	1117	IS_AST_PARENT	
1119	1120	IS_AST_PARENT	
1119	1121	IS_AST_PARENT	
1118	1119	IS_AST_PARENT	
1069	1118	IS_AST_PARENT	
1122	1119	FLOWS_TO	
1119	1071	FLOWS_TO	
1071	1078	FLOWS_TO	
1078	1095	FLOWS_TO	
1095	1100	FLOWS_TO	
1095	1114	FLOWS_TO	
1100	1107	FLOWS_TO	
1107	1114	FLOWS_TO	
1114	1123	FLOWS_TO	
1119	1124	DEF	
1078	1124	USE	
1088	1124	USE	
1071	1125	DEF	
1075	1125	DEF	
1071	1125	USE	
1075	1125	USE	
1095	1125	USE	
1078	1126	USE	
1090	1126	USE	
1078	1127	DEF	
1079	1127	DEF	
1082	1127	DEF	
1114	1127	USE	
1071	1128	DEF	
1072	1128	DEF	
1095	1128	USE	
1100	1128	USE	
1105	1128	USE	
1107	1128	USE	
1112	1128	USE	
1078	1129	USE	
1082	1129	USE	
1119	1078	REACHES	path
1071	1095	REACHES	NULL
1078	1114	REACHES	fd
1071	1095	REACHES	local_err
1071	1100	REACHES	local_err
1071	1107	REACHES	local_err
1122	1119	CONTROLS	
1122	1071	CONTROLS	
1122	1078	CONTROLS	
1122	1095	CONTROLS	
1122	1114	CONTROLS	
1095	1100	CONTROLS	
1095	1107	CONTROLS	
1122	1122	DOM	
1119	1071	DOM	
1071	1078	DOM	
1114	1123	DOM	
1095	1114	DOM	
1100	1107	DOM	
1122	1119	DOM	
1078	1095	DOM	
1095	1100	DOM	
1119	1122	POST_DOM	
1123	1123	POST_DOM	
1095	1078	POST_DOM	
1078	1071	POST_DOM	
1123	1114	POST_DOM	
1114	1107	POST_DOM	
1071	1119	POST_DOM	
1114	1095	POST_DOM	
1107	1100	POST_DOM	
1068	1069	IS_FUNCTION_OF_AST	
1068	1122	IS_FUNCTION_OF_CFG	
1067	1068	IS_FILE_OF	
