start	end	type	var
1135	1136	IS_AST_PARENT	
1135	1137	IS_AST_PARENT	
1134	1135	IS_AST_PARENT	
1133	1134	IS_AST_PARENT	
1140	1141	IS_AST_PARENT	
1139	1140	IS_AST_PARENT	
1143	1144	IS_AST_PARENT	
1142	1143	IS_AST_PARENT	
1145	1146	IS_AST_PARENT	
1142	1145	IS_AST_PARENT	
1147	1148	IS_AST_PARENT	
1142	1147	IS_AST_PARENT	
1139	1142	IS_AST_PARENT	
1138	1139	IS_AST_PARENT	
1133	1138	IS_AST_PARENT	
1150	1151	IS_AST_PARENT	
1153	1154	IS_AST_PARENT	
1152	1153	IS_AST_PARENT	
1156	1157	IS_AST_PARENT	
1155	1156	IS_AST_PARENT	
1152	1155	IS_AST_PARENT	
1150	1152	IS_AST_PARENT	
1149	1150	IS_AST_PARENT	
1133	1149	IS_AST_PARENT	
1160	1161	IS_AST_PARENT	
1159	1160	IS_AST_PARENT	
1163	1164	IS_AST_PARENT	
1162	1163	IS_AST_PARENT	
1165	1166	IS_AST_PARENT	
1162	1165	IS_AST_PARENT	
1159	1162	IS_AST_PARENT	
1158	1159	IS_AST_PARENT	
1133	1158	IS_AST_PARENT	
1169	1170	IS_AST_PARENT	
1168	1169	IS_AST_PARENT	
1172	1173	IS_AST_PARENT	
1171	1172	IS_AST_PARENT	
1168	1171	IS_AST_PARENT	
1167	1168	IS_AST_PARENT	
1133	1167	IS_AST_PARENT	
1176	1177	IS_AST_PARENT	
1176	1178	IS_AST_PARENT	
1175	1176	IS_AST_PARENT	
1175	1179	IS_AST_PARENT	
1174	1175	IS_AST_PARENT	
1133	1174	IS_AST_PARENT	
1132	1133	IS_AST_PARENT	
1132	1180	IS_AST_PARENT	
1132	1181	IS_AST_PARENT	
1183	1184	IS_AST_PARENT	
1183	1185	IS_AST_PARENT	
1182	1183	IS_AST_PARENT	
1186	1187	IS_AST_PARENT	
1186	1188	IS_AST_PARENT	
1182	1186	IS_AST_PARENT	
1132	1182	IS_AST_PARENT	
1189	1183	FLOWS_TO	
1183	1186	FLOWS_TO	
1186	1134	FLOWS_TO	
1134	1138	FLOWS_TO	
1138	1149	FLOWS_TO	
1149	1158	FLOWS_TO	
1158	1167	FLOWS_TO	
1167	1174	FLOWS_TO	
1174	1190	FLOWS_TO	
1183	1191	DEF	
1138	1191	USE	
1143	1191	USE	
1174	1191	USE	
1176	1191	USE	
1186	1192	DEF	
1138	1192	USE	
1147	1192	USE	
1174	1193	USE	
1175	1193	USE	
1134	1194	DEF	
1135	1194	DEF	
1149	1194	DEF	
1150	1194	DEF	
1158	1194	USE	
1163	1194	USE	
1167	1194	USE	
1172	1194	USE	
1149	1195	USE	
1156	1195	USE	
1174	1196	DEF	
1175	1196	DEF	
1174	1197	DEF	
1175	1197	DEF	
1149	1198	USE	
1150	1198	USE	
1186	1138	REACHES	pc
1183	1138	REACHES	s
1183	1174	REACHES	s
1149	1158	REACHES	tmp
1149	1167	REACHES	tmp
1174	1190	REACHES	* s
1189	1183	CONTROLS	
1189	1186	CONTROLS	
1189	1134	CONTROLS	
1189	1138	CONTROLS	
1189	1149	CONTROLS	
1189	1158	CONTROLS	
1189	1167	CONTROLS	
1189	1174	CONTROLS	
1189	1183	DOM	
1134	1138	DOM	
1189	1189	DOM	
1174	1190	DOM	
1138	1149	DOM	
1149	1158	DOM	
1186	1134	DOM	
1158	1167	DOM	
1167	1174	DOM	
1183	1186	DOM	
1186	1183	POST_DOM	
1149	1138	POST_DOM	
1190	1190	POST_DOM	
1183	1189	POST_DOM	
1167	1158	POST_DOM	
1158	1149	POST_DOM	
1138	1134	POST_DOM	
1190	1174	POST_DOM	
1174	1167	POST_DOM	
1134	1186	POST_DOM	
1131	1132	IS_FUNCTION_OF_AST	
1131	1189	IS_FUNCTION_OF_CFG	
1130	1131	IS_FILE_OF	
