command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1199	File	tmp/qemu_a8170e5e_328.c								
ANR	1200	Function	gic_dist_readb	1:0:0:3379							
ANR	1201	FunctionDef	"gic_dist_readb (void * opaque , target_phys_addr_t offset)"		1200	0					
ANR	1202	CompoundStatement		2:0:72:3379	1200	0					
ANR	1203	IdentifierDeclStatement	GICState * s = ( GICState * ) opaque ;	3:4:78:110	1200	0	True				
ANR	1204	IdentifierDecl	* s = ( GICState * ) opaque		1200	0					
ANR	1205	IdentifierDeclType	GICState *		1200	0					
ANR	1206	Identifier	s		1200	1					
ANR	1207	AssignmentExpression	* s = ( GICState * ) opaque		1200	2		=			
ANR	1208	Identifier	s		1200	0					
ANR	1209	CastExpression	( GICState * ) opaque		1200	1					
ANR	1210	CastTarget	GICState *		1200	0					
ANR	1211	Identifier	opaque		1200	1					
ANR	1212	IdentifierDeclStatement	uint32_t res ;	4:4:116:128	1200	1	True				
ANR	1213	IdentifierDecl	res		1200	0					
ANR	1214	IdentifierDeclType	uint32_t		1200	0					
ANR	1215	Identifier	res		1200	1					
ANR	1216	IdentifierDeclStatement	int irq ;	5:4:134:141	1200	2	True				
ANR	1217	IdentifierDecl	irq		1200	0					
ANR	1218	IdentifierDeclType	int		1200	0					
ANR	1219	Identifier	irq		1200	1					
ANR	1220	IdentifierDeclStatement	int i ;	6:4:147:152	1200	3	True				
ANR	1221	IdentifierDecl	i		1200	0					
ANR	1222	IdentifierDeclType	int		1200	0					
ANR	1223	Identifier	i		1200	1					
ANR	1224	IdentifierDeclStatement	int cpu ;	7:4:158:165	1200	4	True				
ANR	1225	IdentifierDecl	cpu		1200	0					
ANR	1226	IdentifierDeclType	int		1200	0					
ANR	1227	Identifier	cpu		1200	1					
ANR	1228	IdentifierDeclStatement	int cm ;	8:4:171:177	1200	5	True				
ANR	1229	IdentifierDecl	cm		1200	0					
ANR	1230	IdentifierDeclType	int		1200	0					
ANR	1231	Identifier	cm		1200	1					
ANR	1232	IdentifierDeclStatement	int mask ;	9:4:183:191	1200	6	True				
ANR	1233	IdentifierDecl	mask		1200	0					
ANR	1234	IdentifierDeclType	int		1200	0					
ANR	1235	Identifier	mask		1200	1					
ANR	1236	ExpressionStatement	cpu = gic_get_current_cpu ( s )	11:4:198:226	1200	7	True				
ANR	1237	AssignmentExpression	cpu = gic_get_current_cpu ( s )		1200	0		=			
ANR	1238	Identifier	cpu		1200	0					
ANR	1239	CallExpression	gic_get_current_cpu ( s )		1200	1					
ANR	1240	Callee	gic_get_current_cpu		1200	0					
ANR	1241	Identifier	gic_get_current_cpu		1200	0					
ANR	1242	ArgumentList	s		1200	1					
ANR	1243	Argument	s		1200	0					
ANR	1244	Identifier	s		1200	0					
ANR	1245	ExpressionStatement	cm = 1 << cpu	12:4:232:245	1200	8	True				
ANR	1246	AssignmentExpression	cm = 1 << cpu		1200	0		=			
ANR	1247	Identifier	cm		1200	0					
ANR	1248	ShiftExpression	1 << cpu		1200	1		<<			
ANR	1249	PrimaryExpression	1		1200	0					
ANR	1250	Identifier	cpu		1200	1					
ANR	1251	IfStatement	if ( offset < 0x100 )		1200	9					
ANR	1252	Condition	offset < 0x100	13:8:255:268	1200	0	True				
ANR	1253	RelationalExpression	offset < 0x100		1200	0		<			
ANR	1254	Identifier	offset		1200	0					
ANR	1255	PrimaryExpression	0x100		1200	1					
ANR	1256	CompoundStatement		12:24:198:198	1200	1					
ANR	1257	IfStatement	if ( offset == 0 )		1200	0					
ANR	1258	Condition	offset == 0	14:12:285:295	1200	0	True				
ANR	1259	EqualityExpression	offset == 0		1200	0		==			
ANR	1260	Identifier	offset		1200	0					
ANR	1261	PrimaryExpression	0		1200	1					
ANR	1262	ReturnStatement	return s -> enabled ;	15:12:310:327	1200	1	True				
ANR	1263	PtrMemberAccess	s -> enabled		1200	0					
ANR	1264	Identifier	s		1200	0					
ANR	1265	Identifier	enabled		1200	1					
ANR	1266	IfStatement	if ( offset == 4 )		1200	1					
ANR	1267	Condition	offset == 4	16:12:341:351	1200	0	True				
ANR	1268	EqualityExpression	offset == 4		1200	0		==			
ANR	1269	Identifier	offset		1200	0					
ANR	1270	PrimaryExpression	4		1200	1					
ANR	1271	ReturnStatement	return ( ( s -> num_irq / 32 ) - 1 ) | ( ( NUM_CPU ( s ) - 1 ) << 5 ) ;	17:12:366:422	1200	1	True				
ANR	1272	InclusiveOrExpression	( ( s -> num_irq / 32 ) - 1 ) | ( ( NUM_CPU ( s ) - 1 ) << 5 )		1200	0		|			
ANR	1273	AdditiveExpression	( s -> num_irq / 32 ) - 1		1200	0		-			
ANR	1274	MultiplicativeExpression	s -> num_irq / 32		1200	0		/			
ANR	1275	PtrMemberAccess	s -> num_irq		1200	0					
ANR	1276	Identifier	s		1200	0					
ANR	1277	Identifier	num_irq		1200	1					
ANR	1278	PrimaryExpression	32		1200	1					
