start	end	type	var
1825	1826	IS_AST_PARENT	
1825	1827	IS_AST_PARENT	
1828	1829	IS_AST_PARENT	
1828	1830	IS_AST_PARENT	
1825	1828	IS_AST_PARENT	
1824	1825	IS_AST_PARENT	
1823	1824	IS_AST_PARENT	
1832	1833	IS_AST_PARENT	
1832	1834	IS_AST_PARENT	
1831	1832	IS_AST_PARENT	
1823	1831	IS_AST_PARENT	
1836	1837	IS_AST_PARENT	
1839	1840	IS_AST_PARENT	
1838	1839	IS_AST_PARENT	
1843	1844	IS_AST_PARENT	
1843	1845	IS_AST_PARENT	
1842	1843	IS_AST_PARENT	
1841	1842	IS_AST_PARENT	
1838	1841	IS_AST_PARENT	
1836	1838	IS_AST_PARENT	
1835	1836	IS_AST_PARENT	
1823	1835	IS_AST_PARENT	
1849	1850	IS_AST_PARENT	
1849	1851	IS_AST_PARENT	
1848	1849	IS_AST_PARENT	
1852	1853	IS_AST_PARENT	
1852	1854	IS_AST_PARENT	
1848	1852	IS_AST_PARENT	
1847	1848	IS_AST_PARENT	
1846	1847	IS_AST_PARENT	
1858	1859	IS_AST_PARENT	
1857	1858	IS_AST_PARENT	
1862	1863	IS_AST_PARENT	
1864	1865	IS_AST_PARENT	
1864	1866	IS_AST_PARENT	
1862	1864	IS_AST_PARENT	
1861	1862	IS_AST_PARENT	
1860	1861	IS_AST_PARENT	
1867	1868	IS_AST_PARENT	
1860	1867	IS_AST_PARENT	
1869	1870	IS_AST_PARENT	
1860	1869	IS_AST_PARENT	
1857	1860	IS_AST_PARENT	
1856	1857	IS_AST_PARENT	
1855	1856	IS_AST_PARENT	
1872	1873	IS_AST_PARENT	
1872	1874	IS_AST_PARENT	
1871	1872	IS_AST_PARENT	
1855	1871	IS_AST_PARENT	
1846	1855	IS_AST_PARENT	
1823	1846	IS_AST_PARENT	
1879	1880	IS_AST_PARENT	
1879	1881	IS_AST_PARENT	
1878	1879	IS_AST_PARENT	
1878	1882	IS_AST_PARENT	
1877	1878	IS_AST_PARENT	
1877	1883	IS_AST_PARENT	
1876	1877	IS_AST_PARENT	
1885	1886	IS_AST_PARENT	
1884	1885	IS_AST_PARENT	
1888	1889	IS_AST_PARENT	
1887	1888	IS_AST_PARENT	
1890	1891	IS_AST_PARENT	
1887	1890	IS_AST_PARENT	
1884	1887	IS_AST_PARENT	
1876	1884	IS_AST_PARENT	
1875	1876	IS_AST_PARENT	
1823	1875	IS_AST_PARENT	
