command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1820	File	tmp/qemu_d4cd4502_16533.c								
ANR	1821	Function	xen_pt_bar_reg_init	1:0:0:631							
ANR	1822	FunctionDef	"xen_pt_bar_reg_init (XenPCIPassthroughState * s , XenPTRegInfo * reg , uint32_t real_offset , uint32_t * data)"		1821	0					
ANR	1823	CompoundStatement		3:0:146:631	1821	0					
ANR	1824	IdentifierDeclStatement	uint32_t reg_field = 0 ;	4:4:152:174	1821	0	True				
ANR	1825	IdentifierDecl	reg_field = 0		1821	0					
ANR	1826	IdentifierDeclType	uint32_t		1821	0					
ANR	1827	Identifier	reg_field		1821	1					
ANR	1828	AssignmentExpression	reg_field = 0		1821	2		=			
ANR	1829	Identifier	reg_field		1821	0					
ANR	1830	PrimaryExpression	0		1821	1					
ANR	1831	IdentifierDeclStatement	int index ;	5:4:180:189	1821	1	True				
ANR	1832	IdentifierDecl	index		1821	0					
ANR	1833	IdentifierDeclType	int		1821	0					
ANR	1834	Identifier	index		1821	1					
ANR	1835	ExpressionStatement	index = xen_pt_bar_offset_to_index ( reg -> offset )	7:4:196:243	1821	2	True				
ANR	1836	AssignmentExpression	index = xen_pt_bar_offset_to_index ( reg -> offset )		1821	0		=			
ANR	1837	Identifier	index		1821	0					
ANR	1838	CallExpression	xen_pt_bar_offset_to_index ( reg -> offset )		1821	1					
ANR	1839	Callee	xen_pt_bar_offset_to_index		1821	0					
ANR	1840	Identifier	xen_pt_bar_offset_to_index		1821	0					
ANR	1841	ArgumentList	reg -> offset		1821	1					
ANR	1842	Argument	reg -> offset		1821	0					
ANR	1843	PtrMemberAccess	reg -> offset		1821	0					
ANR	1844	Identifier	reg		1821	0					
ANR	1845	Identifier	offset		1821	1					
ANR	1846	IfStatement	if ( index < 0 || index >= PCI_NUM_REGIONS )		1821	3					
ANR	1847	Condition	index < 0 || index >= PCI_NUM_REGIONS	8:8:253:289	1821	0	True				
