start	end	type	var
1959	1960	IS_AST_PARENT	
1959	1961	IS_AST_PARENT	
1962	1963	IS_AST_PARENT	
1965	1966	IS_AST_PARENT	
1964	1965	IS_AST_PARENT	
1970	1971	IS_AST_PARENT	
1969	1970	IS_AST_PARENT	
1969	1972	IS_AST_PARENT	
1968	1969	IS_AST_PARENT	
1967	1968	IS_AST_PARENT	
1964	1967	IS_AST_PARENT	
1962	1964	IS_AST_PARENT	
1959	1962	IS_AST_PARENT	
1958	1959	IS_AST_PARENT	
1957	1958	IS_AST_PARENT	
1974	1975	IS_AST_PARENT	
1974	1976	IS_AST_PARENT	
1973	1974	IS_AST_PARENT	
1957	1973	IS_AST_PARENT	
1978	1979	IS_AST_PARENT	
1978	1980	IS_AST_PARENT	
1977	1978	IS_AST_PARENT	
1981	1982	IS_AST_PARENT	
1981	1983	IS_AST_PARENT	
1984	1985	IS_AST_PARENT	
1986	1987	IS_AST_PARENT	
1986	1988	IS_AST_PARENT	
1984	1986	IS_AST_PARENT	
1981	1984	IS_AST_PARENT	
1977	1981	IS_AST_PARENT	
1957	1977	IS_AST_PARENT	
1990	1991	IS_AST_PARENT	
1990	1992	IS_AST_PARENT	
1990	1993	IS_AST_PARENT	
1989	1990	IS_AST_PARENT	
1957	1989	IS_AST_PARENT	
1995	1996	IS_AST_PARENT	
1998	1999	IS_AST_PARENT	
1997	1998	IS_AST_PARENT	
2002	2003	IS_AST_PARENT	
2004	2005	IS_AST_PARENT	
2004	2006	IS_AST_PARENT	
2002	2004	IS_AST_PARENT	
2001	2002	IS_AST_PARENT	
2000	2001	IS_AST_PARENT	
1997	2000	IS_AST_PARENT	
1995	1997	IS_AST_PARENT	
1994	1995	IS_AST_PARENT	
1957	1994	IS_AST_PARENT	
2009	2010	IS_AST_PARENT	
2009	2011	IS_AST_PARENT	
2008	2009	IS_AST_PARENT	
2013	2014	IS_AST_PARENT	
2012	2013	IS_AST_PARENT	
2016	2017	IS_AST_PARENT	
2015	2016	IS_AST_PARENT	
2012	2015	IS_AST_PARENT	
2008	2012	IS_AST_PARENT	
2007	2008	IS_AST_PARENT	
1957	2007	IS_AST_PARENT	
2020	2021	IS_AST_PARENT	
2020	2022	IS_AST_PARENT	
2019	2020	IS_AST_PARENT	
2024	2025	IS_AST_PARENT	
2023	2024	IS_AST_PARENT	
2027	2028	IS_AST_PARENT	
2026	2027	IS_AST_PARENT	
2030	2031	IS_AST_PARENT	
2030	2032	IS_AST_PARENT	
2029	2030	IS_AST_PARENT	
2026	2029	IS_AST_PARENT	
2023	2026	IS_AST_PARENT	
2019	2023	IS_AST_PARENT	
2018	2019	IS_AST_PARENT	
1957	2018	IS_AST_PARENT	
1956	1957	IS_AST_PARENT	
1956	2033	IS_AST_PARENT	
1956	2034	IS_AST_PARENT	
2036	2037	IS_AST_PARENT	
2036	2038	IS_AST_PARENT	
2035	2036	IS_AST_PARENT	
2039	2040	IS_AST_PARENT	
2039	2041	IS_AST_PARENT	
2035	2039	IS_AST_PARENT	
2042	2043	IS_AST_PARENT	
2042	2044	IS_AST_PARENT	
2035	2042	IS_AST_PARENT	
2045	2046	IS_AST_PARENT	
2045	2047	IS_AST_PARENT	
2035	2045	IS_AST_PARENT	
2048	2049	IS_AST_PARENT	
2048	2050	IS_AST_PARENT	
2035	2048	IS_AST_PARENT	
2051	2052	IS_AST_PARENT	
2051	2053	IS_AST_PARENT	
2035	2051	IS_AST_PARENT	
1956	2035	IS_AST_PARENT	
2054	2036	FLOWS_TO	
2036	2039	FLOWS_TO	
2039	2042	FLOWS_TO	
2042	2045	FLOWS_TO	
2045	2048	FLOWS_TO	
2048	2051	FLOWS_TO	
2051	1958	FLOWS_TO	
1958	1973	FLOWS_TO	
1973	1977	FLOWS_TO	
1977	1989	FLOWS_TO	
1989	1994	FLOWS_TO	
1994	2007	FLOWS_TO	
2007	2018	FLOWS_TO	
2018	2055	FLOWS_TO	
1989	2056	DEF	
1990	2056	DEF	
2018	2057	USE	
2019	2057	USE	
2048	2058	DEF	
2051	2059	DEF	
1958	2060	USE	
1968	2060	USE	
2018	2061	USE	
2027	2061	USE	
1958	2062	USE	
1962	2062	USE	
2018	2063	DEF	
2019	2063	DEF	
1973	2064	DEF	
1974	2064	DEF	
1994	2064	DEF	
1995	2064	DEF	
1994	2064	USE	
2004	2064	USE	
2007	2064	USE	
2009	2064	USE	
2018	2064	USE	
2020	2064	USE	
2030	2064	USE	
1977	2065	DEF	
1978	2065	DEF	
2036	2066	DEF	
2007	2066	USE	
2016	2066	USE	
2045	2067	DEF	
1958	2068	DEF	
1959	2068	DEF	
1962	2068	DEF	
2039	2069	DEF	
2007	2070	USE	
2008	2070	USE	
2007	2071	DEF	
2008	2071	DEF	
2018	2071	USE	
2029	2071	USE	
1994	2072	USE	
2001	2072	USE	
2007	2072	DEF	
2008	2072	DEF	
2018	2072	DEF	
2019	2072	DEF	
2018	2072	USE	
2029	2072	USE	
1994	2073	USE	
1995	2073	USE	
2042	2074	DEF	
1977	2075	DEF	
1981	2075	DEF	
1984	2075	DEF	
1973	1994	REACHES	rom
1994	2007	REACHES	rom
1994	2018	REACHES	rom
2036	2007	REACHES	file
2007	2018	REACHES	rom -> name
2007	2018	REACHES	* rom
2054	2036	CONTROLS	
2054	2039	CONTROLS	
2054	2042	CONTROLS	
2054	2045	CONTROLS	
2054	2048	CONTROLS	
2054	2051	CONTROLS	
2054	1958	CONTROLS	
2054	1973	CONTROLS	
2054	1977	CONTROLS	
2054	1989	CONTROLS	
2054	1994	CONTROLS	
2054	2007	CONTROLS	
2054	2018	CONTROLS	
2039	2042	DOM	
1994	2007	DOM	
2045	2048	DOM	
2054	2036	DOM	
2048	2051	DOM	
2036	2039	DOM	
2018	2055	DOM	
1958	1973	DOM	
1989	1994	DOM	
2051	1958	DOM	
2054	2054	DOM	
2042	2045	DOM	
2007	2018	DOM	
1973	1977	DOM	
1977	1989	DOM	
2018	2007	POST_DOM	
2045	2042	POST_DOM	
2051	2048	POST_DOM	
2039	2036	POST_DOM	
1958	2051	POST_DOM	
2042	2039	POST_DOM	
2055	2055	POST_DOM	
2007	1994	POST_DOM	
1977	1973	POST_DOM	
1973	1958	POST_DOM	
2036	2054	POST_DOM	
2055	2018	POST_DOM	
2048	2045	POST_DOM	
1989	1977	POST_DOM	
1994	1989	POST_DOM	
1955	1956	IS_FUNCTION_OF_AST	
1955	2054	IS_FUNCTION_OF_CFG	
1954	1955	IS_FILE_OF	
