command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1954	File	tmp/qemu_ed2f3bc1_1142.c								
ANR	1955	Function	rom_add_file	1:0:0:2470							
ANR	1956	FunctionDef	"rom_add_file (const char * file , const char * fw_dir , hwaddr addr , int32_t bootindex , bool option_rom , MemoryRegion * mr)"		1955	0					
ANR	1957	CompoundStatement		4:0:156:2470	1955	0					
ANR	1958	IdentifierDeclStatement	MachineClass * mc = MACHINE_GET_CLASS ( qdev_get_machine ( ) ) ;	5:4:162:218	1955	0	True				
ANR	1959	IdentifierDecl	* mc = MACHINE_GET_CLASS ( qdev_get_machine ( ) )		1955	0					
ANR	1960	IdentifierDeclType	MachineClass *		1955	0					
ANR	1961	Identifier	mc		1955	1					
ANR	1962	AssignmentExpression	* mc = MACHINE_GET_CLASS ( qdev_get_machine ( ) )		1955	2		=			
ANR	1963	Identifier	mc		1955	0					
ANR	1964	CallExpression	MACHINE_GET_CLASS ( qdev_get_machine ( ) )		1955	1					
ANR	1965	Callee	MACHINE_GET_CLASS		1955	0					
ANR	1966	Identifier	MACHINE_GET_CLASS		1955	0					
ANR	1967	ArgumentList	qdev_get_machine ( )		1955	1					
ANR	1968	Argument	qdev_get_machine ( )		1955	0					
ANR	1969	CallExpression	qdev_get_machine ( )		1955	0					
ANR	1970	Callee	qdev_get_machine		1955	0					
ANR	1971	Identifier	qdev_get_machine		1955	0					
ANR	1972	ArgumentList			1955	1					
ANR	1973	IdentifierDeclStatement	Rom * rom ;	6:4:224:232	1955	1	True				
ANR	1974	IdentifierDecl	* rom		1955	0					
ANR	1975	IdentifierDeclType	Rom *		1955	0					
ANR	1976	Identifier	rom		1955	1					
ANR	1977	IdentifierDeclStatement	"int rc , fd = - 1 ;"	7:4:238:253	1955	2	True				
ANR	1978	IdentifierDecl	rc		1955	0					
ANR	1979	IdentifierDeclType	int		1955	0					
ANR	1980	Identifier	rc		1955	1					
ANR	1981	IdentifierDecl	fd = - 1		1955	1					
ANR	1982	IdentifierDeclType	int		1955	0					
ANR	1983	Identifier	fd		1955	1					
ANR	1984	AssignmentExpression	fd = - 1		1955	2		=			
ANR	1985	Identifier	fd		1955	0					
ANR	1986	UnaryOperationExpression	- 1		1955	1					
ANR	1987	UnaryOperator	-		1955	0					
ANR	1988	PrimaryExpression	1		1955	1					
ANR	1989	IdentifierDeclStatement	char devpath [ 100 ] ;	8:4:259:276	1955	3	True				
ANR	1990	IdentifierDecl	devpath [ 100 ]		1955	0					
ANR	1991	IdentifierDeclType	char [ 100 ]		1955	0					
ANR	1992	Identifier	devpath		1955	1					
ANR	1993	PrimaryExpression	100		1955	2					
ANR	1994	ExpressionStatement	rom = g_malloc0 ( sizeof ( * rom ) )	9:4:282:311	1955	4	True				
ANR	1995	AssignmentExpression	rom = g_malloc0 ( sizeof ( * rom ) )		1955	0		=			
ANR	1996	Identifier	rom		1955	0					
ANR	1997	CallExpression	g_malloc0 ( sizeof ( * rom ) )		1955	1					
ANR	1998	Callee	g_malloc0		1955	0					
