start	end	type	var
2081	2082	IS_AST_PARENT	
2081	2083	IS_AST_PARENT	
2080	2081	IS_AST_PARENT	
2079	2080	IS_AST_PARENT	
2085	2086	IS_AST_PARENT	
2085	2087	IS_AST_PARENT	
2084	2085	IS_AST_PARENT	
2079	2084	IS_AST_PARENT	
2089	2090	IS_AST_PARENT	
2089	2091	IS_AST_PARENT	
2088	2089	IS_AST_PARENT	
2079	2088	IS_AST_PARENT	
2093	2094	IS_AST_PARENT	
2093	2095	IS_AST_PARENT	
2092	2093	IS_AST_PARENT	
2079	2092	IS_AST_PARENT	
2097	2098	IS_AST_PARENT	
2100	2101	IS_AST_PARENT	
2099	2100	IS_AST_PARENT	
2104	2105	IS_AST_PARENT	
2104	2106	IS_AST_PARENT	
2103	2104	IS_AST_PARENT	
2102	2103	IS_AST_PARENT	
2099	2102	IS_AST_PARENT	
2097	2099	IS_AST_PARENT	
2096	2097	IS_AST_PARENT	
2079	2096	IS_AST_PARENT	
2108	2109	IS_AST_PARENT	
2111	2112	IS_AST_PARENT	
2110	2111	IS_AST_PARENT	
2115	2116	IS_AST_PARENT	
2115	2117	IS_AST_PARENT	
2114	2115	IS_AST_PARENT	
2113	2114	IS_AST_PARENT	
2110	2113	IS_AST_PARENT	
2108	2110	IS_AST_PARENT	
2107	2108	IS_AST_PARENT	
2079	2107	IS_AST_PARENT	
2119	2120	IS_AST_PARENT	
2122	2123	IS_AST_PARENT	
2121	2122	IS_AST_PARENT	
2126	2127	IS_AST_PARENT	
2126	2128	IS_AST_PARENT	
2125	2126	IS_AST_PARENT	
2124	2125	IS_AST_PARENT	
2121	2124	IS_AST_PARENT	
2119	2121	IS_AST_PARENT	
2118	2119	IS_AST_PARENT	
2079	2118	IS_AST_PARENT	
2130	2131	IS_AST_PARENT	
2133	2134	IS_AST_PARENT	
2132	2133	IS_AST_PARENT	
2138	2139	IS_AST_PARENT	
2137	2138	IS_AST_PARENT	
2141	2142	IS_AST_PARENT	
2140	2141	IS_AST_PARENT	
2137	2140	IS_AST_PARENT	
2136	2137	IS_AST_PARENT	
2135	2136	IS_AST_PARENT	
2132	2135	IS_AST_PARENT	
2130	2132	IS_AST_PARENT	
2129	2130	IS_AST_PARENT	
2079	2129	IS_AST_PARENT	
2144	2145	IS_AST_PARENT	
2143	2144	IS_AST_PARENT	
2147	2148	IS_AST_PARENT	
2146	2147	IS_AST_PARENT	
2151	2152	IS_AST_PARENT	
2150	2151	IS_AST_PARENT	
2155	2156	IS_AST_PARENT	
2155	2157	IS_AST_PARENT	
2154	2155	IS_AST_PARENT	
2153	2154	IS_AST_PARENT	
2158	2159	IS_AST_PARENT	
2153	2158	IS_AST_PARENT	
2161	2162	IS_AST_PARENT	
2161	2163	IS_AST_PARENT	
2160	2161	IS_AST_PARENT	
2153	2160	IS_AST_PARENT	
2164	2165	IS_AST_PARENT	
2153	2164	IS_AST_PARENT	
2150	2153	IS_AST_PARENT	
2149	2150	IS_AST_PARENT	
2146	2149	IS_AST_PARENT	
2146	2166	IS_AST_PARENT	
2167	2168	IS_AST_PARENT	
2146	2167	IS_AST_PARENT	
2171	2172	IS_AST_PARENT	
2170	2171	IS_AST_PARENT	
2175	2176	IS_AST_PARENT	
2177	2178	IS_AST_PARENT	
2177	2179	IS_AST_PARENT	
2175	2177	IS_AST_PARENT	
2174	2175	IS_AST_PARENT	
2173	2174	IS_AST_PARENT	
2181	2182	IS_AST_PARENT	
2181	2183	IS_AST_PARENT	
2180	2181	IS_AST_PARENT	
2173	2180	IS_AST_PARENT	
2184	2185	IS_AST_PARENT	
2173	2184	IS_AST_PARENT	
2186	2187	IS_AST_PARENT	
2173	2186	IS_AST_PARENT	
2170	2173	IS_AST_PARENT	
2169	2170	IS_AST_PARENT	
2146	2169	IS_AST_PARENT	
2146	2188	IS_AST_PARENT	
2189	2190	IS_AST_PARENT	
2146	2189	IS_AST_PARENT	
2193	2194	IS_AST_PARENT	
2192	2193	IS_AST_PARENT	
2197	2198	IS_AST_PARENT	
2199	2200	IS_AST_PARENT	
2199	2201	IS_AST_PARENT	
2197	2199	IS_AST_PARENT	
2196	2197	IS_AST_PARENT	
