command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	2076	File	tmp/qemu_f678f671_13347.c								
ANR	2077	Function	decode_abs_store	1:0:0:820							
ANR	2078	FunctionDef	"decode_abs_store (CPUTriCoreState * env , DisasContext * ctx)"		2077	0					
ANR	2079	CompoundStatement		2:0:70:820	2077	0					
ANR	2080	IdentifierDeclStatement	int32_t op2 ;	3:4:76:87	2077	0	True				
ANR	2081	IdentifierDecl	op2		2077	0					
ANR	2082	IdentifierDeclType	int32_t		2077	0					
ANR	2083	Identifier	op2		2077	1					
ANR	2084	IdentifierDeclStatement	int32_t r1 ;	4:4:93:103	2077	1	True				
ANR	2085	IdentifierDecl	r1		2077	0					
ANR	2086	IdentifierDeclType	int32_t		2077	0					
ANR	2087	Identifier	r1		2077	1					
ANR	2088	IdentifierDeclStatement	uint32_t address ;	5:4:109:125	2077	2	True				
ANR	2089	IdentifierDecl	address		2077	0					
ANR	2090	IdentifierDeclType	uint32_t		2077	0					
ANR	2091	Identifier	address		2077	1					
ANR	2092	IdentifierDeclStatement	TCGv temp ;	6:4:131:140	2077	3	True				
ANR	2093	IdentifierDecl	temp		2077	0					
ANR	2094	IdentifierDeclType	TCGv		2077	0					
ANR	2095	Identifier	temp		2077	1					
ANR	2096	ExpressionStatement	r1 = MASK_OP_ABS_S1D ( ctx -> opcode )	8:4:147:180	2077	4	True				
ANR	2097	AssignmentExpression	r1 = MASK_OP_ABS_S1D ( ctx -> opcode )		2077	0		=			
ANR	2098	Identifier	r1		2077	0					
ANR	2099	CallExpression	MASK_OP_ABS_S1D ( ctx -> opcode )		2077	1					
ANR	2100	Callee	MASK_OP_ABS_S1D		2077	0					
ANR	2101	Identifier	MASK_OP_ABS_S1D		2077	0					
ANR	2102	ArgumentList	ctx -> opcode		2077	1					
ANR	2103	Argument	ctx -> opcode		2077	0					
ANR	2104	PtrMemberAccess	ctx -> opcode		2077	0					
ANR	2105	Identifier	ctx		2077	0					
ANR	2106	Identifier	opcode		2077	1					
ANR	2107	ExpressionStatement	address = MASK_OP_ABS_OFF18 ( ctx -> opcode )	9:4:186:226	2077	5	True				
ANR	2108	AssignmentExpression	address = MASK_OP_ABS_OFF18 ( ctx -> opcode )		2077	0		=			
ANR	2109	Identifier	address		2077	0					
ANR	2110	CallExpression	MASK_OP_ABS_OFF18 ( ctx -> opcode )		2077	1					
ANR	2111	Callee	MASK_OP_ABS_OFF18		2077	0					
ANR	2112	Identifier	MASK_OP_ABS_OFF18		2077	0					
ANR	2113	ArgumentList	ctx -> opcode		2077	1					
ANR	2114	Argument	ctx -> opcode		2077	0					
ANR	2115	PtrMemberAccess	ctx -> opcode		2077	0					
ANR	2116	Identifier	ctx		2077	0					
ANR	2117	Identifier	opcode		2077	1					
ANR	2118	ExpressionStatement	op2 = MASK_OP_ABS_OP2 ( ctx -> opcode )	10:4:232:266	2077	6	True				
