start	end	type	var
4	5	IS_AST_PARENT	
4	6	IS_AST_PARENT	
4	7	IS_AST_PARENT	
9	10	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	13	IS_AST_PARENT	
9	11	IS_AST_PARENT	
8	9	IS_AST_PARENT	
4	8	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
18	19	IS_AST_PARENT	
20	21	IS_AST_PARENT	
20	22	IS_AST_PARENT	
18	20	IS_AST_PARENT	
15	18	IS_AST_PARENT	
14	15	IS_AST_PARENT	
4	14	IS_AST_PARENT	
24	25	IS_AST_PARENT	
24	26	IS_AST_PARENT	
23	24	IS_AST_PARENT	
27	28	IS_AST_PARENT	
27	29	IS_AST_PARENT	
23	27	IS_AST_PARENT	
4	23	IS_AST_PARENT	
31	32	IS_AST_PARENT	
34	35	IS_AST_PARENT	
33	34	IS_AST_PARENT	
38	39	IS_AST_PARENT	
40	41	IS_AST_PARENT	
40	42	IS_AST_PARENT	
38	40	IS_AST_PARENT	
37	38	IS_AST_PARENT	
36	37	IS_AST_PARENT	
43	44	IS_AST_PARENT	
36	43	IS_AST_PARENT	
33	36	IS_AST_PARENT	
31	33	IS_AST_PARENT	
30	31	IS_AST_PARENT	
4	30	IS_AST_PARENT	
50	51	IS_AST_PARENT	
50	52	IS_AST_PARENT	
49	50	IS_AST_PARENT	
49	53	IS_AST_PARENT	
48	49	IS_AST_PARENT	
55	56	IS_AST_PARENT	
55	57	IS_AST_PARENT	
54	55	IS_AST_PARENT	
54	58	IS_AST_PARENT	
48	54	IS_AST_PARENT	
47	48	IS_AST_PARENT	
60	61	IS_AST_PARENT	
60	62	IS_AST_PARENT	
59	60	IS_AST_PARENT	
59	63	IS_AST_PARENT	
47	59	IS_AST_PARENT	
46	47	IS_AST_PARENT	
45	46	IS_AST_PARENT	
67	68	IS_AST_PARENT	
66	67	IS_AST_PARENT	
72	73	IS_AST_PARENT	
72	74	IS_AST_PARENT	
71	72	IS_AST_PARENT	
71	75	IS_AST_PARENT	
70	71	IS_AST_PARENT	
69	70	IS_AST_PARENT	
76	77	IS_AST_PARENT	
69	76	IS_AST_PARENT	
78	79	IS_AST_PARENT	
69	78	IS_AST_PARENT	
80	81	IS_AST_PARENT	
69	80	IS_AST_PARENT	
66	69	IS_AST_PARENT	
65	66	IS_AST_PARENT	
64	65	IS_AST_PARENT	
83	84	IS_AST_PARENT	
83	85	IS_AST_PARENT	
82	83	IS_AST_PARENT	
64	82	IS_AST_PARENT	
45	64	IS_AST_PARENT	
89	90	IS_AST_PARENT	
89	91	IS_AST_PARENT	
92	93	IS_AST_PARENT	
95	96	IS_AST_PARENT	
95	97	IS_AST_PARENT	
94	95	IS_AST_PARENT	
94	98	IS_AST_PARENT	
92	94	IS_AST_PARENT	
89	92	IS_AST_PARENT	
88	89	IS_AST_PARENT	
87	88	IS_AST_PARENT	
101	102	IS_AST_PARENT	
101	103	IS_AST_PARENT	
100	101	IS_AST_PARENT	
106	107	IS_AST_PARENT	
105	106	IS_AST_PARENT	
110	111	IS_AST_PARENT	
112	113	IS_AST_PARENT	
112	114	IS_AST_PARENT	
110	112	IS_AST_PARENT	
109	110	IS_AST_PARENT	
108	109	IS_AST_PARENT	
105	108	IS_AST_PARENT	
104	105	IS_AST_PARENT	
116	117	IS_AST_PARENT	
119	120	IS_AST_PARENT	
118	119	IS_AST_PARENT	
123	124	IS_AST_PARENT	
125	126	IS_AST_PARENT	
125	127	IS_AST_PARENT	
123	125	IS_AST_PARENT	
122	123	IS_AST_PARENT	
121	122	IS_AST_PARENT	
129	130	IS_AST_PARENT	
129	131	IS_AST_PARENT	
128	129	IS_AST_PARENT	
121	128	IS_AST_PARENT	
118	121	IS_AST_PARENT	
116	118	IS_AST_PARENT	
115	116	IS_AST_PARENT	
132	133	IS_AST_PARENT	
132	134	IS_AST_PARENT	
115	132	IS_AST_PARENT	
104	115	IS_AST_PARENT	
100	104	IS_AST_PARENT	
99	100	IS_AST_PARENT	
87	99	IS_AST_PARENT	
138	139	IS_AST_PARENT	
138	140	IS_AST_PARENT	
137	138	IS_AST_PARENT	
142	143	IS_AST_PARENT	
142	144	IS_AST_PARENT	
141	142	IS_AST_PARENT	
141	145	IS_AST_PARENT	
137	141	IS_AST_PARENT	
136	137	IS_AST_PARENT	
135	136	IS_AST_PARENT	
149	150	IS_AST_PARENT	
148	149	IS_AST_PARENT	
154	155	IS_AST_PARENT	
154	156	IS_AST_PARENT	
153	154	IS_AST_PARENT	
153	157	IS_AST_PARENT	
152	153	IS_AST_PARENT	
151	152	IS_AST_PARENT	
158	159	IS_AST_PARENT	
151	158	IS_AST_PARENT	
160	161	IS_AST_PARENT	
151	160	IS_AST_PARENT	
148	151	IS_AST_PARENT	
147	148	IS_AST_PARENT	
146	147	IS_AST_PARENT	
163	164	IS_AST_PARENT	
163	165	IS_AST_PARENT	
162	163	IS_AST_PARENT	
146	162	IS_AST_PARENT	
135	146	IS_AST_PARENT	
87	135	IS_AST_PARENT	
169	170	IS_AST_PARENT	
169	171	IS_AST_PARENT	
168	169	IS_AST_PARENT	
168	172	IS_AST_PARENT	
167	168	IS_AST_PARENT	
174	175	IS_AST_PARENT	
174	176	IS_AST_PARENT	
173	174	IS_AST_PARENT	
177	178	IS_AST_PARENT	
179	180	IS_AST_PARENT	
179	181	IS_AST_PARENT	
177	179	IS_AST_PARENT	
173	177	IS_AST_PARENT	
167	173	IS_AST_PARENT	
166	167	IS_AST_PARENT	
87	166	IS_AST_PARENT	
184	185	IS_AST_PARENT	
183	184	IS_AST_PARENT	
188	189	IS_AST_PARENT	
190	191	IS_AST_PARENT	
190	192	IS_AST_PARENT	
188	190	IS_AST_PARENT	
187	188	IS_AST_PARENT	
186	187	IS_AST_PARENT	
193	194	IS_AST_PARENT	
186	193	IS_AST_PARENT	
183	186	IS_AST_PARENT	
182	183	IS_AST_PARENT	
87	182	IS_AST_PARENT	
197	198	IS_AST_PARENT	
197	199	IS_AST_PARENT	
196	197	IS_AST_PARENT	
195	196	IS_AST_PARENT	
202	203	IS_AST_PARENT	
202	204	IS_AST_PARENT	
205	206	IS_AST_PARENT	
208	209	IS_AST_PARENT	
207	208	IS_AST_PARENT	
212	213	IS_AST_PARENT	
216	217	IS_AST_PARENT	
216	218	IS_AST_PARENT	
215	216	IS_AST_PARENT	
215	219	IS_AST_PARENT	
214	215	IS_AST_PARENT	
223	224	IS_AST_PARENT	
222	223	IS_AST_PARENT	
227	228	IS_AST_PARENT	
229	230	IS_AST_PARENT	
229	231	IS_AST_PARENT	
227	229	IS_AST_PARENT	
226	227	IS_AST_PARENT	
225	226	IS_AST_PARENT	
222	225	IS_AST_PARENT	
221	222	IS_AST_PARENT	
221	232	IS_AST_PARENT	
220	221	IS_AST_PARENT	
220	233	IS_AST_PARENT	
214	220	IS_AST_PARENT	
212	214	IS_AST_PARENT	
211	212	IS_AST_PARENT	
210	211	IS_AST_PARENT	
207	210	IS_AST_PARENT	
205	207	IS_AST_PARENT	
202	205	IS_AST_PARENT	
201	202	IS_AST_PARENT	
