command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/FFmpeg_3b606e71_6805.c								
ANR	2	Function	svq3_decode_slice_header	1:0:0:2690							
ANR	3	FunctionDef	svq3_decode_slice_header (H264Context * h)		2	0					
ANR	4	CompoundStatement		2:0:52:2690	2	0					
ANR	5	Statement	MpegEncContext	3:4:58:71	2	0	True				
ANR	6	Statement	*	3:19:73:73	2	1	True				
ANR	7	Statement	const	3:20:74:78	2	2	True				
ANR	8	ExpressionStatement	s = ( MpegEncContext * ) h	3:26:80:104	2	3	True				
ANR	9	AssignmentExpression	s = ( MpegEncContext * ) h		2	0		=			
ANR	10	Identifier	s		2	0					
ANR	11	CastExpression	( MpegEncContext * ) h		2	1					
ANR	12	CastTarget	MpegEncContext *		2	0					
ANR	13	Identifier	h		2	1					
ANR	14	IdentifierDeclStatement	const int mb_xy = h -> mb_xy ;	4:4:110:136	2	4	True				
ANR	15	IdentifierDecl	mb_xy = h -> mb_xy		2	0					
ANR	16	IdentifierDeclType	const int		2	0					
ANR	17	Identifier	mb_xy		2	1					
ANR	18	AssignmentExpression	mb_xy = h -> mb_xy		2	2		=			
ANR	19	Identifier	mb_xy		2	0					
ANR	20	PtrMemberAccess	h -> mb_xy		2	1					
ANR	21	Identifier	h		2	0					
ANR	22	Identifier	mb_xy		2	1					
ANR	23	IdentifierDeclStatement	"int i , header ;"	5:4:142:155	2	5	True				
ANR	24	IdentifierDecl	i		2	0					
ANR	25	IdentifierDeclType	int		2	0					
ANR	26	Identifier	i		2	1					
ANR	27	IdentifierDecl	header		2	1					
ANR	28	IdentifierDeclType	int		2	0					
ANR	29	Identifier	header		2	1					
ANR	30	ExpressionStatement	"header = get_bits ( & s -> gb , 8 )"	7:4:162:190	2	6	True				
ANR	31	AssignmentExpression	"header = get_bits ( & s -> gb , 8 )"		2	0		=			
ANR	32	Identifier	header		2	0					
ANR	33	CallExpression	"get_bits ( & s -> gb , 8 )"		2	1					
ANR	34	Callee	get_bits		2	0					
ANR	35	Identifier	get_bits		2	0					
ANR	36	ArgumentList	& s -> gb		2	1					
ANR	37	Argument	& s -> gb		2	0					
ANR	38	UnaryOperationExpression	& s -> gb		2	0					
ANR	39	UnaryOperator	&		2	0					
ANR	40	PtrMemberAccess	s -> gb		2	1					
ANR	41	Identifier	s		2	0					
ANR	42	Identifier	gb		2	1					
ANR	43	Argument	8		2	1					
ANR	44	PrimaryExpression	8		2	0					
ANR	45	IfStatement	if ( ( ( header & 0x9F ) != 1 && ( header & 0x9F ) != 2 ) || ( header & 0x60 ) == 0 )		2	7					
ANR	46	Condition	( ( header & 0x9F ) != 1 && ( header & 0x9F ) != 2 ) || ( header & 0x60 ) == 0	9:8:201:270	2	0	True				
ANR	47	OrExpression	( ( header & 0x9F ) != 1 && ( header & 0x9F ) != 2 ) || ( header & 0x60 ) == 0		2	0		||			
ANR	48	AndExpression	( header & 0x9F ) != 1 && ( header & 0x9F ) != 2		2	0		&&			
ANR	49	EqualityExpression	( header & 0x9F ) != 1		2	0		!=			
ANR	50	BitAndExpression	header & 0x9F		2	0		&			
ANR	51	Identifier	header		2	0					
ANR	52	PrimaryExpression	0x9F		2	1					
ANR	53	PrimaryExpression	1		2	1					
ANR	54	EqualityExpression	( header & 0x9F ) != 2		2	1		!=			
ANR	55	BitAndExpression	header & 0x9F		2	0		&			
ANR	56	Identifier	header		2	0					
ANR	57	PrimaryExpression	0x9F		2	1					
ANR	58	PrimaryExpression	2		2	1					
ANR	59	EqualityExpression	( header & 0x60 ) == 0		2	1		==			
ANR	60	BitAndExpression	header & 0x60		2	0		&			
ANR	61	Identifier	header		2	0					
ANR	62	PrimaryExpression	0x60		2	1					
ANR	63	PrimaryExpression	0		2	1					
ANR	64	CompoundStatement		8:80:220:220	2	1					
ANR	65	ExpressionStatement	"av_log ( h -> s . avctx , AV_LOG_ERROR , ""unsupported slice header (%02X)\\n"" , header )"	11:8:309:386	2	0	True				
ANR	66	CallExpression	"av_log ( h -> s . avctx , AV_LOG_ERROR , ""unsupported slice header (%02X)\\n"" , header )"		2	0					
ANR	67	Callee	av_log		2	0					
ANR	68	Identifier	av_log		2	0					
ANR	69	ArgumentList	h -> s . avctx		2	1					
ANR	70	Argument	h -> s . avctx		2	0					
ANR	71	MemberAccess	h -> s . avctx		2	0					
ANR	72	PtrMemberAccess	h -> s		2	0					
ANR	73	Identifier	h		2	0					
ANR	74	Identifier	s		2	1					
ANR	75	Identifier	avctx		2	1					
ANR	76	Argument	AV_LOG_ERROR		2	1					
ANR	77	Identifier	AV_LOG_ERROR		2	0					
ANR	78	Argument	"""unsupported slice header (%02X)\\n"""		2	2					
ANR	79	PrimaryExpression	"""unsupported slice header (%02X)\\n"""		2	0					
ANR	80	Argument	header		2	3					
ANR	81	Identifier	header		2	0					
ANR	82	ReturnStatement	return - 1 ;	12:8:396:405	2	1	True				
ANR	83	UnaryOperationExpression	- 1		2	0					
ANR	84	UnaryOperator	-		2	0					
ANR	85	PrimaryExpression	1		2	1					
ANR	86	ElseStatement	else		2	0					
ANR	87	CompoundStatement		13:8:375:405	2	0					
ANR	88	IdentifierDeclStatement	int length = ( header >> 5 ) & 3 ;	14:8:428:458	2	0	True				
ANR	89	IdentifierDecl	length = ( header >> 5 ) & 3		2	0					
ANR	90	IdentifierDeclType	int		2	0					
ANR	91	Identifier	length		2	1					
ANR	92	AssignmentExpression	length = ( header >> 5 ) & 3		2	2		=			
ANR	93	Identifier	length		2	0					
ANR	94	BitAndExpression	( header >> 5 ) & 3		2	1		&			
ANR	95	ShiftExpression	header >> 5		2	0		>>			
ANR	96	Identifier	header		2	0					
ANR	97	PrimaryExpression	5		2	1					
ANR	98	PrimaryExpression	3		2	1					
ANR	99	ExpressionStatement	"h -> next_slice_index = get_bits_count ( & s -> gb ) + 8 * show_bits ( & s -> gb , 8 * length ) + 8 * length"	16:8:469:556	2	1	True				
ANR	100	AssignmentExpression	"h -> next_slice_index = get_bits_count ( & s -> gb ) + 8 * show_bits ( & s -> gb , 8 * length ) + 8 * length"		2	0		=			
ANR	101	PtrMemberAccess	h -> next_slice_index		2	0					
ANR	102	Identifier	h		2	0					
ANR	103	Identifier	next_slice_index		2	1					
ANR	104	AdditiveExpression	"get_bits_count ( & s -> gb ) + 8 * show_bits ( & s -> gb , 8 * length ) + 8 * length"		2	1		+			
ANR	105	CallExpression	get_bits_count ( & s -> gb )		2	0					
ANR	106	Callee	get_bits_count		2	0					
ANR	107	Identifier	get_bits_count		2	0					
ANR	108	ArgumentList	& s -> gb		2	1					
ANR	109	Argument	& s -> gb		2	0					
ANR	110	UnaryOperationExpression	& s -> gb		2	0					
ANR	111	UnaryOperator	&		2	0					
ANR	112	PtrMemberAccess	s -> gb		2	1					
ANR	113	Identifier	s		2	0					
ANR	114	Identifier	gb		2	1					
ANR	115	AdditiveExpression	"8 * show_bits ( & s -> gb , 8 * length ) + 8 * length"		2	1		+			
ANR	116	MultiplicativeExpression	"8 * show_bits ( & s -> gb , 8 * length )"		2	0		*			
ANR	117	PrimaryExpression	8		2	0					
ANR	118	CallExpression	"show_bits ( & s -> gb , 8 * length )"		2	1					
ANR	119	Callee	show_bits		2	0					
ANR	120	Identifier	show_bits		2	0					
ANR	121	ArgumentList	& s -> gb		2	1					
ANR	122	Argument	& s -> gb		2	0					
ANR	123	UnaryOperationExpression	& s -> gb		2	0					
ANR	124	UnaryOperator	&		2	0					
