start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
11	12	IS_AST_PARENT	
10	11	IS_AST_PARENT	
10	13	IS_AST_PARENT	
9	10	IS_AST_PARENT	
4	9	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	14	IS_AST_PARENT	
3	15	IS_AST_PARENT	
3	16	IS_AST_PARENT	
17	5	FLOWS_TO	
5	9	FLOWS_TO	
9	18	FLOWS_TO	
5	19	DEF	
6	19	DEF	
17	5	CONTROLS	
17	9	CONTROLS	
17	5	DOM	
17	17	DOM	
5	9	DOM	
9	18	DOM	
9	5	POST_DOM	
5	17	POST_DOM	
18	9	POST_DOM	
18	18	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	17	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
