command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_f186d64d_26199.c								
ANR	2	Function	replay_finish_event	1:0:0:95							
ANR	3	FunctionDef	replay_finish_event ()		2	0					
ANR	4	CompoundStatement		2:0:31:95	2	0					
ANR	5	ExpressionStatement	replay_has_unread_data = 0	3:4:37:63	2	0	True				
ANR	6	AssignmentExpression	replay_has_unread_data = 0		2	0		=			
ANR	7	Identifier	replay_has_unread_data		2	0					
ANR	8	PrimaryExpression	0		2	1					
ANR	9	ExpressionStatement	replay_fetch_data_kind ( )	4:4:69:93	2	1	True				
ANR	10	CallExpression	replay_fetch_data_kind ( )		2	0					
ANR	11	Callee	replay_fetch_data_kind		2	0					
ANR	12	Identifier	replay_fetch_data_kind		2	0					
ANR	13	ArgumentList			2	1					
ANR	14	ReturnType	void		2	1					
ANR	15	Identifier	replay_finish_event		2	2					
ANR	16	ParameterList			2	3					
ANR	17	CFGEntryNode	ENTRY		2		True				
ANR	18	CFGExitNode	EXIT		2		True				
ANR	19	Symbol	replay_has_unread_data		2						
