command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	394	File	tmp/FFmpeg_1dd797e3_21886.c								
ANR	395	Function	ff_yuv2rgb_c_init_tables	1:0:0:9221							
ANR	396	FunctionDef	"ff_yuv2rgb_c_init_tables (SwsContext * c , const int inv_table [ 4 ] , int fullRange , int brightness , int contrast , int saturation)"		395	0					
ANR	397	CompoundStatement		4:0:211:9221	395	0					
ANR	398	IdentifierDeclStatement	const int isRgb = c -> dstFormat == AV_PIX_FMT_RGB32 || c -> dstFormat == AV_PIX_FMT_RGB32_1 || c -> dstFormat == AV_PIX_FMT_BGR24 || c -> dstFormat == AV_PIX_FMT_RGB565BE || c -> dstFormat == AV_PIX_FMT_RGB565LE || c -> dstFormat == AV_PIX_FMT_RGB555BE || c -> dstFormat == AV_PIX_FMT_RGB555LE || c -> dstFormat == AV_PIX_FMT_RGB444BE || c -> dstFormat == AV_PIX_FMT_RGB444LE || c -> dstFormat == AV_PIX_FMT_RGB8 || c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK ;	5:4:217:1015	395	0	True				
ANR	399	IdentifierDecl	isRgb = c -> dstFormat == AV_PIX_FMT_RGB32 || c -> dstFormat == AV_PIX_FMT_RGB32_1 || c -> dstFormat == AV_PIX_FMT_BGR24 || c -> dstFormat == AV_PIX_FMT_RGB565BE || c -> dstFormat == AV_PIX_FMT_RGB565LE || c -> dstFormat == AV_PIX_FMT_RGB555BE || c -> dstFormat == AV_PIX_FMT_RGB555LE || c -> dstFormat == AV_PIX_FMT_RGB444BE || c -> dstFormat == AV_PIX_FMT_RGB444LE || c -> dstFormat == AV_PIX_FMT_RGB8 || c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK		395	0					
ANR	400	IdentifierDeclType	const int		395	0					
ANR	401	Identifier	isRgb		395	1					
ANR	402	AssignmentExpression	isRgb = c -> dstFormat == AV_PIX_FMT_RGB32 || c -> dstFormat == AV_PIX_FMT_RGB32_1 || c -> dstFormat == AV_PIX_FMT_BGR24 || c -> dstFormat == AV_PIX_FMT_RGB565BE || c -> dstFormat == AV_PIX_FMT_RGB565LE || c -> dstFormat == AV_PIX_FMT_RGB555BE || c -> dstFormat == AV_PIX_FMT_RGB555LE || c -> dstFormat == AV_PIX_FMT_RGB444BE || c -> dstFormat == AV_PIX_FMT_RGB444LE || c -> dstFormat == AV_PIX_FMT_RGB8 || c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK		395	2		=			
ANR	403	Identifier	isRgb		395	0					
ANR	404	OrExpression	c -> dstFormat == AV_PIX_FMT_RGB32 || c -> dstFormat == AV_PIX_FMT_RGB32_1 || c -> dstFormat == AV_PIX_FMT_BGR24 || c -> dstFormat == AV_PIX_FMT_RGB565BE || c -> dstFormat == AV_PIX_FMT_RGB565LE || c -> dstFormat == AV_PIX_FMT_RGB555BE || c -> dstFormat == AV_PIX_FMT_RGB555LE || c -> dstFormat == AV_PIX_FMT_RGB444BE || c -> dstFormat == AV_PIX_FMT_RGB444LE || c -> dstFormat == AV_PIX_FMT_RGB8 || c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK		395	1		||			
ANR	405	EqualityExpression	c -> dstFormat == AV_PIX_FMT_RGB32		395	0		==			
ANR	406	PtrMemberAccess	c -> dstFormat		395	0					
ANR	407	Identifier	c		395	0					
ANR	408	Identifier	dstFormat		395	1					
ANR	409	Identifier	AV_PIX_FMT_RGB32		395	1					
ANR	410	OrExpression	c -> dstFormat == AV_PIX_FMT_RGB32_1 || c -> dstFormat == AV_PIX_FMT_BGR24 || c -> dstFormat == AV_PIX_FMT_RGB565BE || c -> dstFormat == AV_PIX_FMT_RGB565LE || c -> dstFormat == AV_PIX_FMT_RGB555BE || c -> dstFormat == AV_PIX_FMT_RGB555LE || c -> dstFormat == AV_PIX_FMT_RGB444BE || c -> dstFormat == AV_PIX_FMT_RGB444LE || c -> dstFormat == AV_PIX_FMT_RGB8 || c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK		395	1		||			
ANR	411	EqualityExpression	c -> dstFormat == AV_PIX_FMT_RGB32_1		395	0		==			
ANR	412	PtrMemberAccess	c -> dstFormat		395	0					
ANR	413	Identifier	c		395	0					
ANR	414	Identifier	dstFormat		395	1					
ANR	415	Identifier	AV_PIX_FMT_RGB32_1		395	1					
ANR	416	OrExpression	c -> dstFormat == AV_PIX_FMT_BGR24 || c -> dstFormat == AV_PIX_FMT_RGB565BE || c -> dstFormat == AV_PIX_FMT_RGB565LE || c -> dstFormat == AV_PIX_FMT_RGB555BE || c -> dstFormat == AV_PIX_FMT_RGB555LE || c -> dstFormat == AV_PIX_FMT_RGB444BE || c -> dstFormat == AV_PIX_FMT_RGB444LE || c -> dstFormat == AV_PIX_FMT_RGB8 || c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK		395	1		||			
ANR	417	EqualityExpression	c -> dstFormat == AV_PIX_FMT_BGR24		395	0		==			
ANR	418	PtrMemberAccess	c -> dstFormat		395	0					
ANR	419	Identifier	c		395	0					
ANR	420	Identifier	dstFormat		395	1					
ANR	421	Identifier	AV_PIX_FMT_BGR24		395	1					
ANR	422	OrExpression	c -> dstFormat == AV_PIX_FMT_RGB565BE || c -> dstFormat == AV_PIX_FMT_RGB565LE || c -> dstFormat == AV_PIX_FMT_RGB555BE || c -> dstFormat == AV_PIX_FMT_RGB555LE || c -> dstFormat == AV_PIX_FMT_RGB444BE || c -> dstFormat == AV_PIX_FMT_RGB444LE || c -> dstFormat == AV_PIX_FMT_RGB8 || c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK		395	1		||			
ANR	423	EqualityExpression	c -> dstFormat == AV_PIX_FMT_RGB565BE		395	0		==			
ANR	424	PtrMemberAccess	c -> dstFormat		395	0					
ANR	425	Identifier	c		395	0					
ANR	426	Identifier	dstFormat		395	1					
ANR	427	Identifier	AV_PIX_FMT_RGB565BE		395	1					
ANR	428	OrExpression	c -> dstFormat == AV_PIX_FMT_RGB565LE || c -> dstFormat == AV_PIX_FMT_RGB555BE || c -> dstFormat == AV_PIX_FMT_RGB555LE || c -> dstFormat == AV_PIX_FMT_RGB444BE || c -> dstFormat == AV_PIX_FMT_RGB444LE || c -> dstFormat == AV_PIX_FMT_RGB8 || c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK		395	1		||			
ANR	429	EqualityExpression	c -> dstFormat == AV_PIX_FMT_RGB565LE		395	0		==			
ANR	430	PtrMemberAccess	c -> dstFormat		395	0					
ANR	431	Identifier	c		395	0					
ANR	432	Identifier	dstFormat		395	1					
ANR	433	Identifier	AV_PIX_FMT_RGB565LE		395	1					
ANR	434	OrExpression	c -> dstFormat == AV_PIX_FMT_RGB555BE || c -> dstFormat == AV_PIX_FMT_RGB555LE || c -> dstFormat == AV_PIX_FMT_RGB444BE || c -> dstFormat == AV_PIX_FMT_RGB444LE || c -> dstFormat == AV_PIX_FMT_RGB8 || c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK		395	1		||			
ANR	435	EqualityExpression	c -> dstFormat == AV_PIX_FMT_RGB555BE		395	0		==			
ANR	436	PtrMemberAccess	c -> dstFormat		395	0					
ANR	437	Identifier	c		395	0					
ANR	438	Identifier	dstFormat		395	1					
ANR	439	Identifier	AV_PIX_FMT_RGB555BE		395	1					
ANR	440	OrExpression	c -> dstFormat == AV_PIX_FMT_RGB555LE || c -> dstFormat == AV_PIX_FMT_RGB444BE || c -> dstFormat == AV_PIX_FMT_RGB444LE || c -> dstFormat == AV_PIX_FMT_RGB8 || c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK		395	1		||			
ANR	441	EqualityExpression	c -> dstFormat == AV_PIX_FMT_RGB555LE		395	0		==			
ANR	442	PtrMemberAccess	c -> dstFormat		395	0					
ANR	443	Identifier	c		395	0					
ANR	444	Identifier	dstFormat		395	1					
ANR	445	Identifier	AV_PIX_FMT_RGB555LE		395	1					
ANR	446	OrExpression	c -> dstFormat == AV_PIX_FMT_RGB444BE || c -> dstFormat == AV_PIX_FMT_RGB444LE || c -> dstFormat == AV_PIX_FMT_RGB8 || c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK		395	1		||			
ANR	447	EqualityExpression	c -> dstFormat == AV_PIX_FMT_RGB444BE		395	0		==			
ANR	448	PtrMemberAccess	c -> dstFormat		395	0					
ANR	449	Identifier	c		395	0					
ANR	450	Identifier	dstFormat		395	1					
ANR	451	Identifier	AV_PIX_FMT_RGB444BE		395	1					
ANR	452	OrExpression	c -> dstFormat == AV_PIX_FMT_RGB444LE || c -> dstFormat == AV_PIX_FMT_RGB8 || c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK		395	1		||			
ANR	453	EqualityExpression	c -> dstFormat == AV_PIX_FMT_RGB444LE		395	0		==			
ANR	454	PtrMemberAccess	c -> dstFormat		395	0					
ANR	455	Identifier	c		395	0					
ANR	456	Identifier	dstFormat		395	1					
ANR	457	Identifier	AV_PIX_FMT_RGB444LE		395	1					
ANR	458	OrExpression	c -> dstFormat == AV_PIX_FMT_RGB8 || c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK		395	1		||			
ANR	459	EqualityExpression	c -> dstFormat == AV_PIX_FMT_RGB8		395	0		==			
ANR	460	PtrMemberAccess	c -> dstFormat		395	0					
ANR	461	Identifier	c		395	0					
ANR	462	Identifier	dstFormat		395	1					
ANR	463	Identifier	AV_PIX_FMT_RGB8		395	1					
ANR	464	OrExpression	c -> dstFormat == AV_PIX_FMT_RGB4 || c -> dstFormat == AV_PIX_FMT_RGB4_BYTE || c -> dstFormat == AV_PIX_FMT_MONOBLACK		395	1		||			
ANR	465	EqualityExpression	c -> dstFormat == AV_PIX_FMT_RGB4		395	0		==			
ANR	466	PtrMemberAccess	c -> dstFormat		395	0					
