command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	2490	File	tmp/FFmpeg_8d0a2180_13740.c								
ANR	2491	Function	ff_jni_exception_get_summary	1:0:0:3242							
ANR	2492	FunctionDef	"ff_jni_exception_get_summary (JNIEnv * env , jthrowable exception , char * * error , void * log_ctx)"		2491	0					
ANR	2493	CompoundStatement		2:0:97:3242	2491	0					
ANR	2494	IdentifierDeclStatement	int ret = 0 ;	3:4:103:114	2491	0	True				
ANR	2495	IdentifierDecl	ret = 0		2491	0					
ANR	2496	IdentifierDeclType	int		2491	0					
ANR	2497	Identifier	ret		2491	1					
ANR	2498	AssignmentExpression	ret = 0		2491	2		=			
ANR	2499	Identifier	ret		2491	0					
ANR	2500	PrimaryExpression	0		2491	1					
ANR	2501	IdentifierDeclStatement	AVBPrint bp ;	5:4:121:132	2491	1	True				
ANR	2502	IdentifierDecl	bp		2491	0					
ANR	2503	IdentifierDeclType	AVBPrint		2491	0					
ANR	2504	Identifier	bp		2491	1					
ANR	2505	IdentifierDeclStatement	char * name = NULL ;	7:4:139:156	2491	2	True				
ANR	2506	IdentifierDecl	* name = NULL		2491	0					
ANR	2507	IdentifierDeclType	char *		2491	0					
ANR	2508	Identifier	name		2491	1					
ANR	2509	AssignmentExpression	* name = NULL		2491	2		=			
ANR	2510	Identifier	NULL		2491	0					
ANR	2511	Identifier	NULL		2491	1					
ANR	2512	IdentifierDeclStatement	char * message = NULL ;	8:4:162:182	2491	3	True				
ANR	2513	IdentifierDecl	* message = NULL		2491	0					
ANR	2514	IdentifierDeclType	char *		2491	0					
ANR	2515	Identifier	message		2491	1					
ANR	2516	AssignmentExpression	* message = NULL		2491	2		=			
ANR	2517	Identifier	NULL		2491	0					
ANR	2518	Identifier	NULL		2491	1					
ANR	2519	IdentifierDeclStatement	jclass class_class = NULL ;	10:4:189:214	2491	4	True				
ANR	2520	IdentifierDecl	class_class = NULL		2491	0					
ANR	2521	IdentifierDeclType	jclass		2491	0					
ANR	2522	Identifier	class_class		2491	1					
ANR	2523	AssignmentExpression	class_class = NULL		2491	2		=			
ANR	2524	Identifier	NULL		2491	0					
ANR	2525	Identifier	NULL		2491	1					
ANR	2526	IdentifierDeclStatement	jmethodID get_name_id = NULL ;	11:4:220:248	2491	5	True				
ANR	2527	IdentifierDecl	get_name_id = NULL		2491	0					
ANR	2528	IdentifierDeclType	jmethodID		2491	0					
ANR	2529	Identifier	get_name_id		2491	1					
ANR	2530	AssignmentExpression	get_name_id = NULL		2491	2		=			
ANR	2531	Identifier	NULL		2491	0					
ANR	2532	Identifier	NULL		2491	1					
ANR	2533	IdentifierDeclStatement	jclass exception_class = NULL ;	13:4:255:284	2491	6	True				
ANR	2534	IdentifierDecl	exception_class = NULL		2491	0					
ANR	2535	IdentifierDeclType	jclass		2491	0					
ANR	2536	Identifier	exception_class		2491	1					
ANR	2537	AssignmentExpression	exception_class = NULL		2491	2		=			
ANR	2538	Identifier	NULL		2491	0					
ANR	2539	Identifier	NULL		2491	1					
ANR	2540	IdentifierDeclStatement	jmethodID get_message_id = NULL ;	14:4:290:321	2491	7	True				
ANR	2541	IdentifierDecl	get_message_id = NULL		2491	0					
ANR	2542	IdentifierDeclType	jmethodID		2491	0					
ANR	2543	Identifier	get_message_id		2491	1					
ANR	2544	AssignmentExpression	get_message_id = NULL		2491	2		=			
ANR	2545	Identifier	NULL		2491	0					
ANR	2546	Identifier	NULL		2491	1					
ANR	2547	IdentifierDeclStatement	jstring string ;	16:4:328:342	2491	8	True				
ANR	2548	IdentifierDecl	string		2491	0					
ANR	2549	IdentifierDeclType	jstring		2491	0					
ANR	2550	Identifier	string		2491	1					
ANR	2551	ExpressionStatement	"av_bprint_init ( & bp , 0 , AV_BPRINT_SIZE_AUTOMATIC )"	18:4:349:397	2491	9	True				
