command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	3776	File	tmp/qemu_498f2140_20291.c								
ANR	3777	Function	sd_open	1:0:0:2768							
ANR	3778	FunctionDef	"sd_open (BlockDriverState * bs , QDict * options , int flags , Error * * errp)"		3777	0					
ANR	3779	CompoundStatement		3:0:101:2768	3777	0					
ANR	3780	IdentifierDeclStatement	"int ret , fd ;"	4:4:107:118	3777	0	True				
ANR	3781	IdentifierDecl	ret		3777	0					
ANR	3782	IdentifierDeclType	int		3777	0					
ANR	3783	Identifier	ret		3777	1					
ANR	3784	IdentifierDecl	fd		3777	1					
ANR	3785	IdentifierDeclType	int		3777	0					
ANR	3786	Identifier	fd		3777	1					
ANR	3787	IdentifierDeclStatement	uint32_t vid = 0 ;	5:4:124:140	3777	1	True				
ANR	3788	IdentifierDecl	vid = 0		3777	0					
ANR	3789	IdentifierDeclType	uint32_t		3777	0					
ANR	3790	Identifier	vid		3777	1					
ANR	3791	AssignmentExpression	vid = 0		3777	2		=			
ANR	3792	Identifier	vid		3777	0					
ANR	3793	PrimaryExpression	0		3777	1					
ANR	3794	IdentifierDeclStatement	BDRVSheepdogState * s = bs -> opaque ;	6:4:146:179	3777	2	True				
ANR	3795	IdentifierDecl	* s = bs -> opaque		3777	0					
ANR	3796	IdentifierDeclType	BDRVSheepdogState *		3777	0					
ANR	3797	Identifier	s		3777	1					
ANR	3798	AssignmentExpression	* s = bs -> opaque		3777	2		=			
ANR	3799	Identifier	s		3777	0					
ANR	3800	PtrMemberAccess	bs -> opaque		3777	1					
ANR	3801	Identifier	bs		3777	0					
ANR	3802	Identifier	opaque		3777	1					
ANR	3803	IdentifierDeclStatement	"char vdi [ SD_MAX_VDI_LEN ] , tag [ SD_MAX_VDI_TAG_LEN ] ;"	7:4:185:234	3777	3	True				
ANR	3804	IdentifierDecl	vdi [ SD_MAX_VDI_LEN ]		3777	0					
ANR	3805	IdentifierDeclType	char [ SD_MAX_VDI_LEN ]		3777	0					
ANR	3806	Identifier	vdi		3777	1					
ANR	3807	Identifier	SD_MAX_VDI_LEN		3777	2					
ANR	3808	IdentifierDecl	tag [ SD_MAX_VDI_TAG_LEN ]		3777	1					
ANR	3809	IdentifierDeclType	char [ SD_MAX_VDI_TAG_LEN ]		3777	0					
ANR	3810	Identifier	tag		3777	1					
ANR	3811	Identifier	SD_MAX_VDI_TAG_LEN		3777	2					
ANR	3812	IdentifierDeclStatement	uint32_t snapid ;	8:4:240:255	3777	4	True				
ANR	3813	IdentifierDecl	snapid		3777	0					
ANR	3814	IdentifierDeclType	uint32_t		3777	0					
ANR	3815	Identifier	snapid		3777	1					
ANR	3816	IdentifierDeclStatement	char * buf = NULL ;	9:4:261:277	3777	5	True				
ANR	3817	IdentifierDecl	* buf = NULL		3777	0					
ANR	3818	IdentifierDeclType	char *		3777	0					
ANR	3819	Identifier	buf		3777	1					
ANR	3820	AssignmentExpression	* buf = NULL		3777	2		=			
ANR	3821	Identifier	NULL		3777	0					
ANR	3822	Identifier	NULL		3777	1					
ANR	3823	IdentifierDeclStatement	QemuOpts * opts ;	10:4:283:297	3777	6	True				
ANR	3824	IdentifierDecl	* opts		3777	0					
ANR	3825	IdentifierDeclType	QemuOpts *		3777	0					
ANR	3826	Identifier	opts		3777	1					
ANR	3827	IdentifierDeclStatement	Error * local_err = NULL ;	11:4:303:326	3777	7	True				
ANR	3828	IdentifierDecl	* local_err = NULL		3777	0					
ANR	3829	IdentifierDeclType	Error *		3777	0					
ANR	3830	Identifier	local_err		3777	1					
ANR	3831	AssignmentExpression	* local_err = NULL		3777	2		=			
ANR	3832	Identifier	NULL		3777	0					
ANR	3833	Identifier	NULL		3777	1					
ANR	3834	IdentifierDeclStatement	const char * filename ;	12:4:332:352	3777	8	True				
ANR	3835	IdentifierDecl	* filename		3777	0					
ANR	3836	IdentifierDeclType	const char *		3777	0					
ANR	3837	Identifier	filename		3777	1					
ANR	3838	ExpressionStatement	s -> bs = bs	14:4:359:369	3777	9	True				
ANR	3839	AssignmentExpression	s -> bs = bs		3777	0		=			
ANR	3840	PtrMemberAccess	s -> bs		3777	0					
ANR	3841	Identifier	s		3777	0					
ANR	3842	Identifier	bs		3777	1					
ANR	3843	Identifier	bs		3777	1					
ANR	3844	ExpressionStatement	s -> aio_context = bdrv_get_aio_context ( bs )	15:4:375:416	3777	10	True				
ANR	3845	AssignmentExpression	s -> aio_context = bdrv_get_aio_context ( bs )		3777	0		=			
ANR	3846	PtrMemberAccess	s -> aio_context		3777	0					
ANR	3847	Identifier	s		3777	0					
ANR	3848	Identifier	aio_context		3777	1					
ANR	3849	CallExpression	bdrv_get_aio_context ( bs )		3777	1					
ANR	3850	Callee	bdrv_get_aio_context		3777	0					
ANR	3851	Identifier	bdrv_get_aio_context		3777	0					
ANR	3852	ArgumentList	bs		3777	1					
ANR	3853	Argument	bs		3777	0					
ANR	3854	Identifier	bs		3777	0					
ANR	3855	ExpressionStatement	"opts = qemu_opts_create ( & runtime_opts , NULL , 0 , & error_abort )"	17:4:423:484	3777	11	True				
ANR	3856	AssignmentExpression	"opts = qemu_opts_create ( & runtime_opts , NULL , 0 , & error_abort )"		3777	0		=			
ANR	3857	Identifier	opts		3777	0					
ANR	3858	CallExpression	"qemu_opts_create ( & runtime_opts , NULL , 0 , & error_abort )"		3777	1					
ANR	3859	Callee	qemu_opts_create		3777	0					
ANR	3860	Identifier	qemu_opts_create		3777	0					
ANR	3861	ArgumentList	& runtime_opts		3777	1					
ANR	3862	Argument	& runtime_opts		3777	0					
ANR	3863	UnaryOperationExpression	& runtime_opts		3777	0					
ANR	3864	UnaryOperator	&		3777	0					
ANR	3865	Identifier	runtime_opts		3777	1					
ANR	3866	Argument	NULL		3777	1					
ANR	3867	Identifier	NULL		3777	0					
ANR	3868	Argument	0		3777	2					
ANR	3869	PrimaryExpression	0		3777	0					
ANR	3870	Argument	& error_abort		3777	3					
ANR	3871	UnaryOperationExpression	& error_abort		3777	0					
ANR	3872	UnaryOperator	&		3777	0					
ANR	3873	Identifier	error_abort		3777	1					
ANR	3874	ExpressionStatement	"qemu_opts_absorb_qdict ( opts , options , & local_err )"	18:4:490:539	3777	12	True				
