start	end	type	var
4487	4488	IS_AST_PARENT	
4487	4489	IS_AST_PARENT	
4486	4487	IS_AST_PARENT	
4485	4486	IS_AST_PARENT	
4492	4493	IS_AST_PARENT	
4495	4496	IS_AST_PARENT	
4494	4495	IS_AST_PARENT	
4499	4500	IS_AST_PARENT	
4501	4502	IS_AST_PARENT	
4501	4503	IS_AST_PARENT	
4499	4501	IS_AST_PARENT	
4498	4499	IS_AST_PARENT	
4497	4498	IS_AST_PARENT	
4494	4497	IS_AST_PARENT	
4492	4494	IS_AST_PARENT	
4491	4492	IS_AST_PARENT	
4490	4491	IS_AST_PARENT	
4505	4506	IS_AST_PARENT	
4504	4505	IS_AST_PARENT	
4490	4504	IS_AST_PARENT	
4485	4490	IS_AST_PARENT	
4509	4510	IS_AST_PARENT	
4508	4509	IS_AST_PARENT	
4513	4514	IS_AST_PARENT	
4515	4516	IS_AST_PARENT	
4515	4517	IS_AST_PARENT	
4513	4515	IS_AST_PARENT	
4512	4513	IS_AST_PARENT	
4511	4512	IS_AST_PARENT	
4508	4511	IS_AST_PARENT	
4507	4508	IS_AST_PARENT	
4485	4507	IS_AST_PARENT	
4520	4521	IS_AST_PARENT	
4522	4523	IS_AST_PARENT	
4522	4524	IS_AST_PARENT	
4520	4522	IS_AST_PARENT	
4519	4520	IS_AST_PARENT	
4518	4519	IS_AST_PARENT	
4528	4529	IS_AST_PARENT	
4527	4528	IS_AST_PARENT	
4532	4533	IS_AST_PARENT	
4534	4535	IS_AST_PARENT	
4534	4536	IS_AST_PARENT	
4532	4534	IS_AST_PARENT	
4531	4532	IS_AST_PARENT	
4530	4531	IS_AST_PARENT	
4527	4530	IS_AST_PARENT	
4526	4527	IS_AST_PARENT	
4525	4526	IS_AST_PARENT	
4537	4538	IS_AST_PARENT	
4525	4537	IS_AST_PARENT	
4518	4525	IS_AST_PARENT	
4485	4518	IS_AST_PARENT	
4540	4541	IS_AST_PARENT	
4543	4544	IS_AST_PARENT	
4543	4545	IS_AST_PARENT	
4542	4543	IS_AST_PARENT	
4542	4546	IS_AST_PARENT	
4540	4542	IS_AST_PARENT	
4539	4540	IS_AST_PARENT	
4485	4539	IS_AST_PARENT	
4549	4550	IS_AST_PARENT	
4548	4549	IS_AST_PARENT	
4553	4554	IS_AST_PARENT	
4555	4556	IS_AST_PARENT	
4555	4557	IS_AST_PARENT	
4553	4555	IS_AST_PARENT	
4552	4553	IS_AST_PARENT	
4551	4552	IS_AST_PARENT	
4548	4551	IS_AST_PARENT	
4547	4548	IS_AST_PARENT	
4485	4547	IS_AST_PARENT	
4559	4560	IS_AST_PARENT	
4562	4563	IS_AST_PARENT	
4561	4562	IS_AST_PARENT	
4567	4568	IS_AST_PARENT	
4567	4569	IS_AST_PARENT	
4566	4567	IS_AST_PARENT	
4566	4570	IS_AST_PARENT	
4565	4566	IS_AST_PARENT	
4564	4565	IS_AST_PARENT	
4561	4564	IS_AST_PARENT	
4559	4561	IS_AST_PARENT	
4558	4559	IS_AST_PARENT	
4485	4558	IS_AST_PARENT	
4484	4485	IS_AST_PARENT	
4484	4571	IS_AST_PARENT	
4484	4572	IS_AST_PARENT	
4574	4575	IS_AST_PARENT	
4574	4576	IS_AST_PARENT	
4573	4574	IS_AST_PARENT	
4484	4573	IS_AST_PARENT	
4577	4574	FLOWS_TO	
