start	end	type	var
4599	4600	IS_AST_PARENT	
4599	4601	IS_AST_PARENT	
4602	4603	IS_AST_PARENT	
4605	4606	IS_AST_PARENT	
4604	4605	IS_AST_PARENT	
4609	4610	IS_AST_PARENT	
4611	4612	IS_AST_PARENT	
4611	4613	IS_AST_PARENT	
4609	4611	IS_AST_PARENT	
4608	4609	IS_AST_PARENT	
4607	4608	IS_AST_PARENT	
4614	4615	IS_AST_PARENT	
4607	4614	IS_AST_PARENT	
4604	4607	IS_AST_PARENT	
4602	4604	IS_AST_PARENT	
4599	4602	IS_AST_PARENT	
4598	4599	IS_AST_PARENT	
4597	4598	IS_AST_PARENT	
4617	4618	IS_AST_PARENT	
4617	4619	IS_AST_PARENT	
4620	4621	IS_AST_PARENT	
4623	4624	IS_AST_PARENT	
4622	4623	IS_AST_PARENT	
4626	4627	IS_AST_PARENT	
4625	4626	IS_AST_PARENT	
4622	4625	IS_AST_PARENT	
4620	4622	IS_AST_PARENT	
4617	4620	IS_AST_PARENT	
4616	4617	IS_AST_PARENT	
4597	4616	IS_AST_PARENT	
4629	4630	IS_AST_PARENT	
4629	4631	IS_AST_PARENT	
4632	4633	IS_AST_PARENT	
4632	4634	IS_AST_PARENT	
4629	4632	IS_AST_PARENT	
4628	4629	IS_AST_PARENT	
4597	4628	IS_AST_PARENT	
4636	4637	IS_AST_PARENT	
4636	4638	IS_AST_PARENT	
4639	4640	IS_AST_PARENT	
4642	4643	IS_AST_PARENT	
4641	4642	IS_AST_PARENT	
4645	4646	IS_AST_PARENT	
4644	4645	IS_AST_PARENT	
4647	4648	IS_AST_PARENT	
4644	4647	IS_AST_PARENT	
4641	4644	IS_AST_PARENT	
4639	4641	IS_AST_PARENT	
4636	4639	IS_AST_PARENT	
4635	4636	IS_AST_PARENT	
4597	4635	IS_AST_PARENT	
4650	4651	IS_AST_PARENT	
4650	4652	IS_AST_PARENT	
4653	4654	IS_AST_PARENT	
4656	4657	IS_AST_PARENT	
4655	4656	IS_AST_PARENT	
4659	4660	IS_AST_PARENT	
4658	4659	IS_AST_PARENT	
4655	4658	IS_AST_PARENT	
4653	4655	IS_AST_PARENT	
4650	4653	IS_AST_PARENT	
4649	4650	IS_AST_PARENT	
4597	4649	IS_AST_PARENT	
4662	4663	IS_AST_PARENT	
4662	4664	IS_AST_PARENT	
4665	4666	IS_AST_PARENT	
4668	4669	IS_AST_PARENT	
4667	4668	IS_AST_PARENT	
4672	4673	IS_AST_PARENT	
4672	4674	IS_AST_PARENT	
4671	4672	IS_AST_PARENT	
4670	4671	IS_AST_PARENT	
4667	4670	IS_AST_PARENT	
4665	4667	IS_AST_PARENT	
4662	4665	IS_AST_PARENT	
4661	4662	IS_AST_PARENT	
4597	4661	IS_AST_PARENT	
4676	4677	IS_AST_PARENT	
4676	4678	IS_AST_PARENT	
4675	4676	IS_AST_PARENT	
4597	4675	IS_AST_PARENT	
4680	4681	IS_AST_PARENT	
4680	4682	IS_AST_PARENT	
4683	4684	IS_AST_PARENT	
4683	4685	IS_AST_PARENT	
4680	4683	IS_AST_PARENT	
4679	4680	IS_AST_PARENT	
4597	4679	IS_AST_PARENT	
4688	4689	IS_AST_PARENT	
4687	4688	IS_AST_PARENT	
4692	4693	IS_AST_PARENT	
4692	4694	IS_AST_PARENT	
4691	4692	IS_AST_PARENT	
4690	4691	IS_AST_PARENT	
4687	4690	IS_AST_PARENT	
4686	4687	IS_AST_PARENT	
4597	4686	IS_AST_PARENT	
4697	4698	IS_AST_PARENT	
4696	4697	IS_AST_PARENT	
4702	4703	IS_AST_PARENT	
4704	4705	IS_AST_PARENT	
4704	4706	IS_AST_PARENT	
4702	4704	IS_AST_PARENT	
4701	4702	IS_AST_PARENT	
4701	4707	IS_AST_PARENT	
4700	4701	IS_AST_PARENT	
4699	4700	IS_AST_PARENT	
4696	4699	IS_AST_PARENT	
4695	4696	IS_AST_PARENT	
4597	4695	IS_AST_PARENT	
4710	4711	IS_AST_PARENT	
4712	4713	IS_AST_PARENT	
4712	4714	IS_AST_PARENT	
4710	4712	IS_AST_PARENT	
4709	4710	IS_AST_PARENT	
4708	4709	IS_AST_PARENT	
4716	4717	IS_AST_PARENT	
4716	4718	IS_AST_PARENT	
4715	4716	IS_AST_PARENT	
4708	4715	IS_AST_PARENT	
4719	4720	IS_AST_PARENT	
4721	4722	IS_AST_PARENT	
4721	4723	IS_AST_PARENT	
4719	4721	IS_AST_PARENT	
4708	4719	IS_AST_PARENT	
4725	4726	IS_AST_PARENT	
4728	4729	IS_AST_PARENT	
4727	4728	IS_AST_PARENT	
4731	4732	IS_AST_PARENT	
4730	4731	IS_AST_PARENT	
4733	4734	IS_AST_PARENT	
4730	4733	IS_AST_PARENT	
4727	4730	IS_AST_PARENT	
4725	4727	IS_AST_PARENT	
4724	4725	IS_AST_PARENT	
4708	4724	IS_AST_PARENT	
4597	4708	IS_AST_PARENT	
4736	4737	IS_AST_PARENT	
4739	4740	IS_AST_PARENT	
4738	4739	IS_AST_PARENT	
4743	4744	IS_AST_PARENT	
4743	4745	IS_AST_PARENT	
4742	4743	IS_AST_PARENT	
4741	4742	IS_AST_PARENT	
4747	4748	IS_AST_PARENT	
4749	4750	IS_AST_PARENT	
4749	4751	IS_AST_PARENT	
4747	4749	IS_AST_PARENT	
4746	4747	IS_AST_PARENT	
4741	4746	IS_AST_PARENT	
4752	4753	IS_AST_PARENT	
4741	4752	IS_AST_PARENT	
4738	4741	IS_AST_PARENT	
4736	4738	IS_AST_PARENT	
4735	4736	IS_AST_PARENT	
4597	4735	IS_AST_PARENT	
4756	4757	IS_AST_PARENT	
4756	4758	IS_AST_PARENT	
4755	4756	IS_AST_PARENT	
4754	4755	IS_AST_PARENT	
4762	4763	IS_AST_PARENT	
4761	4762	IS_AST_PARENT	
4765	4766	IS_AST_PARENT	
4764	4765	IS_AST_PARENT	
4767	4768	IS_AST_PARENT	
4764	4767	IS_AST_PARENT	
4770	4771	IS_AST_PARENT	
4770	4772	IS_AST_PARENT	
4769	4770	IS_AST_PARENT	
4764	4769	IS_AST_PARENT	
4775	4776	IS_AST_PARENT	
4774	4775	IS_AST_PARENT	
4778	4779	IS_AST_PARENT	
4777	4778	IS_AST_PARENT	
4774	4777	IS_AST_PARENT	
4773	4774	IS_AST_PARENT	
4764	4773	IS_AST_PARENT	
4780	4781	IS_AST_PARENT	
4764	4780	IS_AST_PARENT	
4761	4764	IS_AST_PARENT	
4760	4761	IS_AST_PARENT	
4759	4760	IS_AST_PARENT	
4782	4783	IS_AST_PARENT	
4759	4782	IS_AST_PARENT	
4754	4759	IS_AST_PARENT	
4597	4754	IS_AST_PARENT	
4786	4787	IS_AST_PARENT	
4786	4788	IS_AST_PARENT	
4785	4786	IS_AST_PARENT	
4784	4785	IS_AST_PARENT	
4793	4794	IS_AST_PARENT	
4792	4793	IS_AST_PARENT	
4796	4797	IS_AST_PARENT	
4795	4796	IS_AST_PARENT	
4798	4799	IS_AST_PARENT	
4795	4798	IS_AST_PARENT	
4800	4801	IS_AST_PARENT	
4795	4800	IS_AST_PARENT	
4792	4795	IS_AST_PARENT	
4791	4792	IS_AST_PARENT	
4791	4802	IS_AST_PARENT	
4790	4791	IS_AST_PARENT	
4789	4790	IS_AST_PARENT	
4804	4805	IS_AST_PARENT	
4804	4806	IS_AST_PARENT	
4803	4804	IS_AST_PARENT	
4789	4803	IS_AST_PARENT	
4784	4789	IS_AST_PARENT	
4597	4784	IS_AST_PARENT	
4809	4810	IS_AST_PARENT	
4809	4811	IS_AST_PARENT	
4808	4809	IS_AST_PARENT	
4807	4808	IS_AST_PARENT	
4814	4815	IS_AST_PARENT	
