command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4594	File	tmp/qemu_ce137829_11094.c								
ANR	4595	Function	commit_one_file	1:0:0:1534							
ANR	4596	FunctionDef	"commit_one_file (BDRVVVFATState * s , int dir_index , uint32_t offset)"		4595	0					
ANR	4597	CompoundStatement		3:0:79:1534	4595	0					
ANR	4598	IdentifierDeclStatement	"direntry_t * direntry = array_get ( & ( s -> directory ) , dir_index ) ;"	4:4:85:145	4595	0	True				
ANR	4599	IdentifierDecl	"* direntry = array_get ( & ( s -> directory ) , dir_index )"		4595	0					
ANR	4600	IdentifierDeclType	direntry_t *		4595	0					
ANR	4601	Identifier	direntry		4595	1					
ANR	4602	AssignmentExpression	"* direntry = array_get ( & ( s -> directory ) , dir_index )"		4595	2		=			
ANR	4603	Identifier	direntry		4595	0					
ANR	4604	CallExpression	"array_get ( & ( s -> directory ) , dir_index )"		4595	1					
ANR	4605	Callee	array_get		4595	0					
ANR	4606	Identifier	array_get		4595	0					
ANR	4607	ArgumentList	& ( s -> directory )		4595	1					
ANR	4608	Argument	& ( s -> directory )		4595	0					
ANR	4609	UnaryOperationExpression	& ( s -> directory )		4595	0					
ANR	4610	UnaryOperator	&		4595	0					
ANR	4611	PtrMemberAccess	s -> directory		4595	1					
ANR	4612	Identifier	s		4595	0					
ANR	4613	Identifier	directory		4595	1					
ANR	4614	Argument	dir_index		4595	1					
ANR	4615	Identifier	dir_index		4595	0					
ANR	4616	IdentifierDeclStatement	uint32_t c = begin_of_direntry ( direntry ) ;	5:4:151:191	4595	1	True				
ANR	4617	IdentifierDecl	c = begin_of_direntry ( direntry )		4595	0					
ANR	4618	IdentifierDeclType	uint32_t		4595	0					
ANR	4619	Identifier	c		4595	1					
ANR	4620	AssignmentExpression	c = begin_of_direntry ( direntry )		4595	2		=			
ANR	4621	Identifier	c		4595	0					
ANR	4622	CallExpression	begin_of_direntry ( direntry )		4595	1					
ANR	4623	Callee	begin_of_direntry		4595	0					
ANR	4624	Identifier	begin_of_direntry		4595	0					
ANR	4625	ArgumentList	direntry		4595	1					
ANR	4626	Argument	direntry		4595	0					
ANR	4627	Identifier	direntry		4595	0					
ANR	4628	IdentifierDeclStatement	uint32_t first_cluster = c ;	6:4:197:223	4595	2	True				
ANR	4629	IdentifierDecl	first_cluster = c		4595	0					
ANR	4630	IdentifierDeclType	uint32_t		4595	0					
ANR	4631	Identifier	first_cluster		4595	1					
ANR	4632	AssignmentExpression	first_cluster = c		4595	2		=			
ANR	4633	Identifier	c		4595	0					
ANR	4634	Identifier	c		4595	1					
ANR	4635	IdentifierDeclStatement	"mapping_t * mapping = find_mapping_for_cluster ( s , c ) ;"	7:4:229:280	4595	3	True				
ANR	4636	IdentifierDecl	"* mapping = find_mapping_for_cluster ( s , c )"		4595	0					
ANR	4637	IdentifierDeclType	mapping_t *		4595	0					
ANR	4638	Identifier	mapping		4595	1					
ANR	4639	AssignmentExpression	"* mapping = find_mapping_for_cluster ( s , c )"		4595	2		=			
ANR	4640	Identifier	mapping		4595	0					
ANR	4641	CallExpression	"find_mapping_for_cluster ( s , c )"		4595	1					
ANR	4642	Callee	find_mapping_for_cluster		4595	0					
ANR	4643	Identifier	find_mapping_for_cluster		4595	0					
ANR	4644	ArgumentList	s		4595	1					
ANR	4645	Argument	s		4595	0					
ANR	4646	Identifier	s		4595	0					
ANR	4647	Argument	c		4595	1					
ANR	4648	Identifier	c		4595	0					
ANR	4649	IdentifierDeclStatement	uint32_t size = filesize_of_direntry ( direntry ) ;	8:4:286:332	4595	4	True				
ANR	4650	IdentifierDecl	size = filesize_of_direntry ( direntry )		4595	0					
ANR	4651	IdentifierDeclType	uint32_t		4595	0					
ANR	4652	Identifier	size		4595	1					
ANR	4653	AssignmentExpression	size = filesize_of_direntry ( direntry )		4595	2		=			
ANR	4654	Identifier	size		4595	0					
ANR	4655	CallExpression	filesize_of_direntry ( direntry )		4595	1					
ANR	4656	Callee	filesize_of_direntry		4595	0					
ANR	4657	Identifier	filesize_of_direntry		4595	0					
ANR	4658	ArgumentList	direntry		4595	1					
ANR	4659	Argument	direntry		4595	0					
ANR	4660	Identifier	direntry		4595	0					
ANR	4661	IdentifierDeclStatement	char * cluster = g_malloc ( s -> cluster_size ) ;	9:4:338:379	4595	5	True				
ANR	4662	IdentifierDecl	* cluster = g_malloc ( s -> cluster_size )		4595	0					
ANR	4663	IdentifierDeclType	char *		4595	0					
ANR	4664	Identifier	cluster		4595	1					
ANR	4665	AssignmentExpression	* cluster = g_malloc ( s -> cluster_size )		4595	2		=			
ANR	4666	Identifier	cluster		4595	0					
ANR	4667	CallExpression	g_malloc ( s -> cluster_size )		4595	1					
ANR	4668	Callee	g_malloc		4595	0					
ANR	4669	Identifier	g_malloc		4595	0					
ANR	4670	ArgumentList	s -> cluster_size		4595	1					
