start	end	type	var
5060	5061	IS_AST_PARENT	
5060	5062	IS_AST_PARENT	
5060	5063	IS_AST_PARENT	
5060	5064	IS_AST_PARENT	
5060	5065	IS_AST_PARENT	
5060	5066	IS_AST_PARENT	
5060	5067	IS_AST_PARENT	
5068	5069	IS_AST_PARENT	
5068	5070	IS_AST_PARENT	
5068	5071	IS_AST_PARENT	
5068	5072	IS_AST_PARENT	
5068	5073	IS_AST_PARENT	
5068	5074	IS_AST_PARENT	
5068	5075	IS_AST_PARENT	
5068	5076	IS_AST_PARENT	
5068	5077	IS_AST_PARENT	
5068	5078	IS_AST_PARENT	
5068	5079	IS_AST_PARENT	
5068	5080	IS_AST_PARENT	
5068	5081	IS_AST_PARENT	
5068	5082	IS_AST_PARENT	
5068	5083	IS_AST_PARENT	
5068	5084	IS_AST_PARENT	
5068	5085	IS_AST_PARENT	
5068	5086	IS_AST_PARENT	
5068	5087	IS_AST_PARENT	
5068	5088	IS_AST_PARENT	
5068	5089	IS_AST_PARENT	
5068	5090	IS_AST_PARENT	
5068	5091	IS_AST_PARENT	
5068	5092	IS_AST_PARENT	
5068	5093	IS_AST_PARENT	
5068	5094	IS_AST_PARENT	
5068	5095	IS_AST_PARENT	
5068	5096	IS_AST_PARENT	
5068	5097	IS_AST_PARENT	
5068	5098	IS_AST_PARENT	
5060	5068	IS_AST_PARENT	
5060	5099	IS_AST_PARENT	
5102	5103	IS_AST_PARENT	
5102	5104	IS_AST_PARENT	
5101	5102	IS_AST_PARENT	
5100	5101	IS_AST_PARENT	
5107	5108	IS_AST_PARENT	
5107	5109	IS_AST_PARENT	
5106	5107	IS_AST_PARENT	
5105	5106	IS_AST_PARENT	
5100	5105	IS_AST_PARENT	
5060	5100	IS_AST_PARENT	
5112	5113	IS_AST_PARENT	
5112	5114	IS_AST_PARENT	
5111	5112	IS_AST_PARENT	
5110	5111	IS_AST_PARENT	
5117	5118	IS_AST_PARENT	
5117	5119	IS_AST_PARENT	
5116	5117	IS_AST_PARENT	
5115	5116	IS_AST_PARENT	
5110	5115	IS_AST_PARENT	
5060	5110	IS_AST_PARENT	
5123	5124	IS_AST_PARENT	
5123	5125	IS_AST_PARENT	
5122	5123	IS_AST_PARENT	
5122	5126	IS_AST_PARENT	
5121	5122	IS_AST_PARENT	
5120	5121	IS_AST_PARENT	
5127	5128	IS_AST_PARENT	
