command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5057	File	tmp/qemu_d20a580b_8068.c								
ANR	5058	Function	spice_update_buttons	1:0:0:696							
ANR	5059	FunctionDef	"spice_update_buttons (QemuSpicePointer * pointer , int wheel , uint32_t button_mask)"		5058	0					
ANR	5060	CompoundStatement		3:0:126:696	5058	0					
ANR	5061	Statement	static	4:4:132:137	5058	0	True				
ANR	5062	Statement	uint32_t	4:11:139:146	5058	1	True				
ANR	5063	Statement	bmap	4:20:148:151	5058	2	True				
ANR	5064	Statement	[	4:24:152:152	5058	3	True				
ANR	5065	Statement	INPUT_BUTTON__MAX	4:25:153:169	5058	4	True				
ANR	5066	Statement	]	4:42:170:170	5058	5	True				
ANR	5067	Statement	=	4:44:172:172	5058	6	True				
ANR	5068	CompoundStatement		2:46:47:47	5058	7					
ANR	5069	Statement	[	5:8:184:184	5058	0	True				
ANR	5070	Statement	INPUT_BUTTON_LEFT	5:9:185:201	5058	1	True				
ANR	5071	Statement	]	5:26:202:202	5058	2	True				
ANR	5072	Statement	=	5:35:211:211	5058	3	True				
ANR	5073	Statement	0x01	5:37:213:216	5058	4	True				
ANR	5074	Statement	","	5:41:217:217	5058	5	True				
ANR	5075	Statement	[	6:8:227:227	5058	6	True				
ANR	5076	Statement	INPUT_BUTTON_MIDDLE	6:9:228:246	5058	7	True				
ANR	5077	Statement	]	6:28:247:247	5058	8	True				
ANR	5078	Statement	=	6:35:254:254	5058	9	True				
ANR	5079	Statement	0x04	6:37:256:259	5058	10	True				
ANR	5080	Statement	","	6:41:260:260	5058	11	True				
ANR	5081	Statement	[	7:8:270:270	5058	12	True				
ANR	5082	Statement	INPUT_BUTTON_RIGHT	7:9:271:288	5058	13	True				
ANR	5083	Statement	]	7:27:289:289	5058	14	True				
ANR	5084	Statement	=	7:35:297:297	5058	15	True				
ANR	5085	Statement	0x02	7:37:299:302	5058	16	True				
ANR	5086	Statement	","	7:41:303:303	5058	17	True				
ANR	5087	Statement	[	8:8:313:313	5058	18	True				
ANR	5088	Statement	INPUT_BUTTON_WHEEL_UP	8:9:314:334	5058	19	True				
ANR	5089	Statement	]	8:30:335:335	5058	20	True				
ANR	5090	Statement	=	8:35:340:340	5058	21	True				
