command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_bf55b7af_8662.c								
ANR	2	Function	s390_translate_iommu	1:0:0:1199							
ANR	3	FunctionDef	"s390_translate_iommu (MemoryRegion * mr , hwaddr addr , bool is_write)"		2	0					
ANR	4	CompoundStatement		3:0:130:1199	2	0					
ANR	5	IdentifierDeclStatement	uint64_t pte ;	4:4:136:148	2	0	True				
ANR	6	IdentifierDecl	pte		2	0					
ANR	7	IdentifierDeclType	uint64_t		2	0					
ANR	8	Identifier	pte		2	1					
ANR	9	IdentifierDeclStatement	uint32_t flags ;	5:4:154:168	2	1	True				
ANR	10	IdentifierDecl	flags		2	0					
ANR	11	IdentifierDeclType	uint32_t		2	0					
ANR	12	Identifier	flags		2	1					
ANR	13	IdentifierDeclStatement	"S390PCIIOMMU * iommu = container_of ( mr , S390PCIIOMMU , iommu_mr ) ;"	6:4:174:236	2	2	True				
ANR	14	IdentifierDecl	"* iommu = container_of ( mr , S390PCIIOMMU , iommu_mr )"		2	0					
ANR	15	IdentifierDeclType	S390PCIIOMMU *		2	0					
ANR	16	Identifier	iommu		2	1					
ANR	17	AssignmentExpression	"* iommu = container_of ( mr , S390PCIIOMMU , iommu_mr )"		2	2		=			
ANR	18	Identifier	iommu		2	0					
ANR	19	CallExpression	"container_of ( mr , S390PCIIOMMU , iommu_mr )"		2	1					
ANR	20	Callee	container_of		2	0					
ANR	21	Identifier	container_of		2	0					
ANR	22	ArgumentList	mr		2	1					
ANR	23	Argument	mr		2	0					
ANR	24	Identifier	mr		2	0					
ANR	25	Argument	S390PCIIOMMU		2	1					
ANR	26	Identifier	S390PCIIOMMU		2	0					
ANR	27	Argument	iommu_mr		2	2					
ANR	28	Identifier	iommu_mr		2	0					
ANR	29	Statement	IOMMUTLBEntry	7:4:242:254	2	3	True				
ANR	30	Statement	ret	7:18:256:258	2	4	True				
ANR	31	Statement	=	7:22:260:260	2	5	True				
ANR	32	CompoundStatement		5:24:131:131	2	6					
ANR	33	Statement	.	8:8:272:272	2	0	True				
ANR	34	Statement	target_as	8:9:273:281	2	1	True				
ANR	35	Statement	=	8:19:283:283	2	2	True				
ANR	36	Statement	&	8:21:285:285	2	3	True				
ANR	37	Statement	address_space_memory	8:22:286:305	2	4	True				
ANR	38	Statement	","	8:42:306:306	2	5	True				
ANR	39	Statement	.	9:8:316:316	2	6	True				
ANR	40	Statement	iova	9:9:317:320	2	7	True				
ANR	41	Statement	=	9:14:322:322	2	8	True				
ANR	42	Statement	0	9:16:324:324	2	9	True				
ANR	43	Statement	","	9:17:325:325	2	10	True				
ANR	44	Statement	.	10:8:335:335	2	11	True				
ANR	45	Statement	translated_addr	10:9:336:350	2	12	True				
ANR	46	Statement	=	10:25:352:352	2	13	True				
ANR	47	Statement	0	10:27:354:354	2	14	True				
ANR	48	Statement	","	10:28:355:355	2	15	True				
ANR	49	Statement	.	11:8:365:365	2	16	True				
ANR	50	Statement	addr_mask	11:9:366:374	2	17	True				
ANR	51	Statement	=	11:19:376:376	2	18	True				
ANR	52	Statement	~	11:21:378:378	2	19	True				
ANR	53	Statement	(	11:22:379:379	2	20	True				
ANR	54	Statement	hwaddr	11:23:380:385	2	21	True				
ANR	55	Statement	)	11:29:386:386	2	22	True				
ANR	56	Statement	0	11:30:387:387	2	23	True				
ANR	57	Statement	","	11:31:388:388	2	24	True				
ANR	58	Statement	.	12:8:398:398	2	25	True				
ANR	59	Statement	perm	12:9:399:402	2	26	True				
ANR	60	Statement	=	12:14:404:404	2	27	True				
ANR	61	Statement	IOMMU_NONE	12:16:406:415	2	28	True				
ANR	62	Statement	","	12:26:416:416	2	29	True				
ANR	63	ExpressionStatement		13:5:423:423	2	7	True				
ANR	64	SwitchStatement	switch ( iommu -> pbdev -> state )		2	8					
ANR	65	Condition	iommu -> pbdev -> state	15:12:438:456	2	0	True				
ANR	66	PtrMemberAccess	iommu -> pbdev -> state		2	0					
ANR	67	PtrMemberAccess	iommu -> pbdev		2	0					
ANR	68	Identifier	iommu		2	0					
ANR	69	Identifier	pbdev		2	1					
ANR	70	Identifier	state		2	1					
ANR	71	CompoundStatement		13:33:328:328	2	1					
ANR	72	Label	case ZPCI_FS_ENABLED :	16:4:465:485	2	0	True				
ANR	73	Identifier	ZPCI_FS_ENABLED		2	0					
ANR	74	Label	case ZPCI_FS_BLOCKED :	17:4:491:511	2	1	True				
ANR	75	Identifier	ZPCI_FS_BLOCKED		2	0					
ANR	76	IfStatement	if ( ! iommu -> enabled )		2	2					
ANR	77	Condition	! iommu -> enabled	18:12:525:539	2	0	True				
ANR	78	UnaryOperationExpression	! iommu -> enabled		2	0					
ANR	79	UnaryOperator	!		2	0					
ANR	80	PtrMemberAccess	iommu -> enabled		2	1					
