start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
10	11	IS_AST_PARENT	
10	12	IS_AST_PARENT	
9	10	IS_AST_PARENT	
4	9	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
14	15	IS_AST_PARENT	
14	18	IS_AST_PARENT	
13	14	IS_AST_PARENT	
4	13	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	19	IS_AST_PARENT	
3	20	IS_AST_PARENT	
22	23	IS_AST_PARENT	
22	24	IS_AST_PARENT	
21	22	IS_AST_PARENT	
25	26	IS_AST_PARENT	
25	27	IS_AST_PARENT	
21	25	IS_AST_PARENT	
28	29	IS_AST_PARENT	
28	30	IS_AST_PARENT	
21	28	IS_AST_PARENT	
3	21	IS_AST_PARENT	
31	22	FLOWS_TO	
22	25	FLOWS_TO	
25	28	FLOWS_TO	
28	5	FLOWS_TO	
5	9	FLOWS_TO	
9	13	FLOWS_TO	
13	32	FLOWS_TO	
25	33	DEF	
28	34	DEF	
13	34	USE	
15	34	USE	
5	35	DEF	
6	35	DEF	
13	36	USE	
14	36	USE	
22	37	DEF	
13	38	DEF	
14	38	DEF	
9	39	DEF	
10	39	DEF	
28	13	REACHES	dataplane
13	32	REACHES	* dataplane
31	22	CONTROLS	
31	25	CONTROLS	
31	28	CONTROLS	
31	5	CONTROLS	
31	9	CONTROLS	
31	13	CONTROLS	
31	31	DOM	
28	5	DOM	
13	32	DOM	
25	28	DOM	
31	22	DOM	
22	25	DOM	
5	9	DOM	
9	13	DOM	
32	32	POST_DOM	
9	5	POST_DOM	
22	31	POST_DOM	
5	28	POST_DOM	
25	22	POST_DOM	
32	13	POST_DOM	
13	9	POST_DOM	
28	25	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	31	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
