start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
10	11	IS_AST_PARENT	
13	14	IS_AST_PARENT	
12	13	IS_AST_PARENT	
17	18	IS_AST_PARENT	
17	19	IS_AST_PARENT	
16	17	IS_AST_PARENT	
15	16	IS_AST_PARENT	
12	15	IS_AST_PARENT	
10	12	IS_AST_PARENT	
9	10	IS_AST_PARENT	
4	9	IS_AST_PARENT	
22	23	IS_AST_PARENT	
22	24	IS_AST_PARENT	
21	22	IS_AST_PARENT	
21	25	IS_AST_PARENT	
20	21	IS_AST_PARENT	
4	20	IS_AST_PARENT	
28	29	IS_AST_PARENT	
28	30	IS_AST_PARENT	
27	28	IS_AST_PARENT	
27	31	IS_AST_PARENT	
26	27	IS_AST_PARENT	
4	26	IS_AST_PARENT	
34	35	IS_AST_PARENT	
34	36	IS_AST_PARENT	
33	34	IS_AST_PARENT	
33	37	IS_AST_PARENT	
32	33	IS_AST_PARENT	
4	32	IS_AST_PARENT	
40	41	IS_AST_PARENT	
40	42	IS_AST_PARENT	
39	40	IS_AST_PARENT	
39	43	IS_AST_PARENT	
38	39	IS_AST_PARENT	
4	38	IS_AST_PARENT	
47	48	IS_AST_PARENT	
46	47	IS_AST_PARENT	
50	51	IS_AST_PARENT	
49	50	IS_AST_PARENT	
46	49	IS_AST_PARENT	
45	46	IS_AST_PARENT	
44	45	IS_AST_PARENT	
55	56	IS_AST_PARENT	
54	55	IS_AST_PARENT	
59	60	IS_AST_PARENT	
59	61	IS_AST_PARENT	
58	59	IS_AST_PARENT	
57	58	IS_AST_PARENT	
62	63	IS_AST_PARENT	
57	62	IS_AST_PARENT	
54	57	IS_AST_PARENT	
53	54	IS_AST_PARENT	
52	53	IS_AST_PARENT	
66	67	IS_AST_PARENT	
65	66	IS_AST_PARENT	
69	70	IS_AST_PARENT	
68	69	IS_AST_PARENT	
65	68	IS_AST_PARENT	
64	65	IS_AST_PARENT	
52	64	IS_AST_PARENT	
52	71	IS_AST_PARENT	
44	52	IS_AST_PARENT	
4	44	IS_AST_PARENT	
74	75	IS_AST_PARENT	
74	76	IS_AST_PARENT	
73	74	IS_AST_PARENT	
73	77	IS_AST_PARENT	
72	73	IS_AST_PARENT	
4	72	IS_AST_PARENT	
80	81	IS_AST_PARENT	
79	80	IS_AST_PARENT	
84	85	IS_AST_PARENT	
86	87	IS_AST_PARENT	
86	88	IS_AST_PARENT	
84	86	IS_AST_PARENT	
83	84	IS_AST_PARENT	
82	83	IS_AST_PARENT	
79	82	IS_AST_PARENT	
78	79	IS_AST_PARENT	
4	78	IS_AST_PARENT	
91	92	IS_AST_PARENT	
90	91	IS_AST_PARENT	
94	95	IS_AST_PARENT	
93	94	IS_AST_PARENT	
90	93	IS_AST_PARENT	
89	90	IS_AST_PARENT	
4	89	IS_AST_PARENT	
97	98	IS_AST_PARENT	
96	97	IS_AST_PARENT	
102	103	IS_AST_PARENT	
101	102	IS_AST_PARENT	
106	107	IS_AST_PARENT	
108	109	IS_AST_PARENT	
108	110	IS_AST_PARENT	
106	108	IS_AST_PARENT	
105	106	IS_AST_PARENT	
104	105	IS_AST_PARENT	
111	112	IS_AST_PARENT	
104	111	IS_AST_PARENT	
113	114	IS_AST_PARENT	
104	113	IS_AST_PARENT	
101	104	IS_AST_PARENT	
100	101	IS_AST_PARENT	
99	100	IS_AST_PARENT	
117	118	IS_AST_PARENT	
116	117	IS_AST_PARENT	
120	121	IS_AST_PARENT	
119	120	IS_AST_PARENT	
116	119	IS_AST_PARENT	
115	116	IS_AST_PARENT	
99	115	IS_AST_PARENT	
96	99	IS_AST_PARENT	
4	96	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	122	IS_AST_PARENT	
3	123	IS_AST_PARENT	
125	126	IS_AST_PARENT	
125	127	IS_AST_PARENT	
124	125	IS_AST_PARENT	
128	129	IS_AST_PARENT	
128	130	IS_AST_PARENT	
124	128	IS_AST_PARENT	
131	132	IS_AST_PARENT	
131	133	IS_AST_PARENT	
124	131	IS_AST_PARENT	
3	124	IS_AST_PARENT	
134	125	FLOWS_TO	
125	128	FLOWS_TO	
128	131	FLOWS_TO	
131	5	FLOWS_TO	
5	9	FLOWS_TO	
9	20	FLOWS_TO	
20	26	FLOWS_TO	
26	32	FLOWS_TO	
32	38	FLOWS_TO	
38	45	FLOWS_TO	
45	53	FLOWS_TO	
45	72	FLOWS_TO	
53	64	FLOWS_TO	
64	71	FLOWS_TO	
71	135	FLOWS_TO	
72	78	FLOWS_TO	
78	89	FLOWS_TO	
89	97	FLOWS_TO	
97	100	FLOWS_TO	
97	135	FLOWS_TO	
100	115	FLOWS_TO	
115	135	FLOWS_TO	
100	136	USE	
113	136	USE	
20	137	DEF	
21	137	DEF	
38	138	DEF	
39	138	DEF	
32	139	DEF	
33	139	DEF	
53	139	USE	
58	139	USE	
20	140	DEF	
21	140	DEF	
26	140	DEF	
27	140	DEF	
32	140	DEF	
33	140	DEF	
38	140	DEF	
39	140	DEF	
53	140	USE	
58	140	USE	
72	140	DEF	
73	140	DEF	
131	141	DEF	
72	141	USE	
73	141	USE	
45	142	USE	
100	143	USE	
105	143	USE	
128	144	DEF	
32	144	USE	
33	144	USE	
72	145	DEF	
73	145	DEF	
78	146	USE	
83	146	USE	
38	147	USE	
39	147	USE	
5	148	DEF	
6	148	DEF	
9	148	DEF	
10	148	DEF	
20	148	USE	
22	148	USE	
26	148	USE	
28	148	USE	
32	148	USE	
34	148	USE	
38	148	USE	
40	148	USE	
45	148	USE	
50	148	USE	
53	148	USE	
59	148	USE	
64	148	USE	
69	148	USE	
72	148	USE	
74	148	USE	
78	148	USE	
86	148	USE	
83	148	USE	
89	148	USE	
94	148	USE	
100	148	USE	
111	148	USE	
9	149	USE	
10	149	USE	
125	150	DEF	
26	150	USE	
27	150	USE	
97	150	USE	
100	150	USE	
108	150	USE	
105	150	USE	
115	150	USE	
120	150	USE	
26	151	DEF	
27	151	DEF	
38	53	REACHES	* client
131	72	REACHES	close_fn
128	32	REACHES	csock
9	26	REACHES	client
9	20	REACHES	client
9	32	REACHES	client
9	38	REACHES	client
9	45	REACHES	client
9	53	REACHES	client
9	64	REACHES	client
9	72	REACHES	client
9	78	REACHES	client
9	100	REACHES	client
9	89	REACHES	client
125	26	REACHES	exp
125	97	REACHES	exp
125	100	REACHES	exp
125	115	REACHES	exp
32	53	REACHES	client -> sock
134	125	CONTROLS	
134	128	CONTROLS	
134	131	CONTROLS	
134	5	CONTROLS	
134	9	CONTROLS	
134	20	CONTROLS	
134	26	CONTROLS	
134	32	CONTROLS	
134	38	CONTROLS	
134	45	CONTROLS	
45	53	CONTROLS	
45	64	CONTROLS	
45	71	CONTROLS	
45	72	CONTROLS	
45	78	CONTROLS	
45	89	CONTROLS	
45	97	CONTROLS	
97	100	CONTROLS	
97	115	CONTROLS	
134	125	DOM	
26	32	DOM	
128	131	DOM	
32	38	DOM	
131	5	DOM	
125	128	DOM	
78	89	DOM	
134	134	DOM	
20	26	DOM	
45	53	DOM	
72	78	DOM	
38	45	DOM	
45	72	DOM	
89	97	DOM	
45	135	DOM	
5	9	DOM	
9	20	DOM	
53	64	DOM	
100	115	DOM	
64	71	DOM	
97	100	DOM	
38	32	POST_DOM	
128	125	POST_DOM	
5	131	POST_DOM	
45	38	POST_DOM	
9	5	POST_DOM	
131	128	POST_DOM	
97	89	POST_DOM	
32	26	POST_DOM	
125	134	POST_DOM	
64	53	POST_DOM	
89	78	POST_DOM	
135	45	POST_DOM	
78	72	POST_DOM	
135	97	POST_DOM	
135	135	POST_DOM	
26	20	POST_DOM	
20	9	POST_DOM	
71	64	POST_DOM	
135	115	POST_DOM	
135	71	POST_DOM	
115	100	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	134	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
