command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_1a6245a5_14719.c								
ANR	2	Function	nbd_client_new	1:0:0:583							
ANR	3	FunctionDef	"nbd_client_new (NBDExport * exp , int csock , void ( * close_fn ) ( NBDClient * ))"		2	0					
ANR	4	CompoundStatement		2:0:78:583	2	0					
ANR	5	IdentifierDeclStatement	NBDClient * client ;	3:4:84:101	2	0	True				
ANR	6	IdentifierDecl	* client		2	0					
ANR	7	IdentifierDeclType	NBDClient *		2	0					
ANR	8	Identifier	client		2	1					
ANR	9	ExpressionStatement	client = g_malloc0 ( sizeof ( NBDClient ) )	4:4:107:144	2	1	True				
ANR	10	AssignmentExpression	client = g_malloc0 ( sizeof ( NBDClient ) )		2	0		=			
ANR	11	Identifier	client		2	0					
ANR	12	CallExpression	g_malloc0 ( sizeof ( NBDClient ) )		2	1					
ANR	13	Callee	g_malloc0		2	0					
ANR	14	Identifier	g_malloc0		2	0					
ANR	15	ArgumentList	sizeof ( NBDClient )		2	1					
ANR	16	Argument	sizeof ( NBDClient )		2	0					
ANR	17	SizeofExpression	sizeof ( NBDClient )		2	0					
ANR	18	Sizeof	sizeof		2	0					
ANR	19	SizeofOperand	NBDClient		2	1					
ANR	20	ExpressionStatement	client -> refcount = 1	5:4:150:170	2	2	True				
ANR	21	AssignmentExpression	client -> refcount = 1		2	0		=			
ANR	22	PtrMemberAccess	client -> refcount		2	0					
ANR	23	Identifier	client		2	0					
ANR	24	Identifier	refcount		2	1					
ANR	25	PrimaryExpression	1		2	1					
ANR	26	ExpressionStatement	client -> exp = exp	6:4:176:193	2	3	True				
ANR	27	AssignmentExpression	client -> exp = exp		2	0		=			
ANR	28	PtrMemberAccess	client -> exp		2	0					
ANR	29	Identifier	client		2	0					
ANR	30	Identifier	exp		2	1					
ANR	31	Identifier	exp		2	1					
ANR	32	ExpressionStatement	client -> sock = csock	7:4:199:219	2	4	True				
ANR	33	AssignmentExpression	client -> sock = csock		2	0		=			
ANR	34	PtrMemberAccess	client -> sock		2	0					
ANR	35	Identifier	client		2	0					
ANR	36	Identifier	sock		2	1					
ANR	37	Identifier	csock		2	1					
ANR	38	ExpressionStatement	client -> can_read = true	8:4:225:248	2	5	True				
ANR	39	AssignmentExpression	client -> can_read = true		2	0		=			
ANR	40	PtrMemberAccess	client -> can_read		2	0					
ANR	41	Identifier	client		2	0					
ANR	42	Identifier	can_read		2	1					
ANR	43	Identifier	true		2	1					
ANR	44	IfStatement	if ( nbd_send_negotiate ( client ) )		2	6					
ANR	45	Condition	nbd_send_negotiate ( client )	9:8:258:283	2	0	True				
