command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	2857	File	tmp/FFmpeg_8d0a2180_13740.c								
ANR	2858	Function	ff_jni_exception_get_summary	1:0:0:3242							
ANR	2859	FunctionDef	"ff_jni_exception_get_summary (JNIEnv * env , jthrowable exception , char * * error , void * log_ctx)"		2858	0					
ANR	2860	CompoundStatement		2:0:97:3242	2858	0					
ANR	2861	IdentifierDeclStatement	int ret = 0 ;	3:4:103:114	2858	0	True				
ANR	2862	IdentifierDecl	ret = 0		2858	0					
ANR	2863	IdentifierDeclType	int		2858	0					
ANR	2864	Identifier	ret		2858	1					
ANR	2865	AssignmentExpression	ret = 0		2858	2		=			
ANR	2866	Identifier	ret		2858	0					
ANR	2867	PrimaryExpression	0		2858	1					
ANR	2868	IdentifierDeclStatement	AVBPrint bp ;	5:4:121:132	2858	1	True				
ANR	2869	IdentifierDecl	bp		2858	0					
ANR	2870	IdentifierDeclType	AVBPrint		2858	0					
ANR	2871	Identifier	bp		2858	1					
ANR	2872	IdentifierDeclStatement	char * name = NULL ;	7:4:139:156	2858	2	True				
ANR	2873	IdentifierDecl	* name = NULL		2858	0					
ANR	2874	IdentifierDeclType	char *		2858	0					
ANR	2875	Identifier	name		2858	1					
ANR	2876	AssignmentExpression	* name = NULL		2858	2		=			
ANR	2877	Identifier	NULL		2858	0					
ANR	2878	Identifier	NULL		2858	1					
ANR	2879	IdentifierDeclStatement	char * message = NULL ;	8:4:162:182	2858	3	True				
ANR	2880	IdentifierDecl	* message = NULL		2858	0					
ANR	2881	IdentifierDeclType	char *		2858	0					
ANR	2882	Identifier	message		2858	1					
ANR	2883	AssignmentExpression	* message = NULL		2858	2		=			
ANR	2884	Identifier	NULL		2858	0					
ANR	2885	Identifier	NULL		2858	1					
ANR	2886	IdentifierDeclStatement	jclass class_class = NULL ;	10:4:189:214	2858	4	True				
ANR	2887	IdentifierDecl	class_class = NULL		2858	0					
ANR	2888	IdentifierDeclType	jclass		2858	0					
ANR	2889	Identifier	class_class		2858	1					
ANR	2890	AssignmentExpression	class_class = NULL		2858	2		=			
ANR	2891	Identifier	NULL		2858	0					
ANR	2892	Identifier	NULL		2858	1					
ANR	2893	IdentifierDeclStatement	jmethodID get_name_id = NULL ;	11:4:220:248	2858	5	True				
ANR	2894	IdentifierDecl	get_name_id = NULL		2858	0					
ANR	2895	IdentifierDeclType	jmethodID		2858	0					
ANR	2896	Identifier	get_name_id		2858	1					
ANR	2897	AssignmentExpression	get_name_id = NULL		2858	2		=			
ANR	2898	Identifier	NULL		2858	0					
ANR	2899	Identifier	NULL		2858	1					
ANR	2900	IdentifierDeclStatement	jclass exception_class = NULL ;	13:4:255:284	2858	6	True				
ANR	2901	IdentifierDecl	exception_class = NULL		2858	0					
ANR	2902	IdentifierDeclType	jclass		2858	0					
ANR	2903	Identifier	exception_class		2858	1					
ANR	2904	AssignmentExpression	exception_class = NULL		2858	2		=			
ANR	2905	Identifier	NULL		2858	0					
ANR	2906	Identifier	NULL		2858	1					
ANR	2907	IdentifierDeclStatement	jmethodID get_message_id = NULL ;	14:4:290:321	2858	7	True				
ANR	2908	IdentifierDecl	get_message_id = NULL		2858	0					
ANR	2909	IdentifierDeclType	jmethodID		2858	0					
ANR	2910	Identifier	get_message_id		2858	1					
ANR	2911	AssignmentExpression	get_message_id = NULL		2858	2		=			
ANR	2912	Identifier	NULL		2858	0					
ANR	2913	Identifier	NULL		2858	1					
ANR	2914	IdentifierDeclStatement	jstring string ;	16:4:328:342	2858	8	True				
ANR	2915	IdentifierDecl	string		2858	0					
ANR	2916	IdentifierDeclType	jstring		2858	0					
ANR	2917	Identifier	string		2858	1					
ANR	2918	ExpressionStatement	"av_bprint_init ( & bp , 0 , AV_BPRINT_SIZE_AUTOMATIC )"	18:4:349:397	2858	9	True				
ANR	2919	CallExpression	"av_bprint_init ( & bp , 0 , AV_BPRINT_SIZE_AUTOMATIC )"		2858	0					
ANR	2920	Callee	av_bprint_init		2858	0					
ANR	2921	Identifier	av_bprint_init		2858	0					
ANR	2922	ArgumentList	& bp		2858	1					
ANR	2923	Argument	& bp		2858	0					
ANR	2924	UnaryOperationExpression	& bp		2858	0					
ANR	2925	UnaryOperator	&		2858	0					
ANR	2926	Identifier	bp		2858	1					
ANR	2927	Argument	0		2858	1					
ANR	2928	PrimaryExpression	0		2858	0					
ANR	2929	Argument	AV_BPRINT_SIZE_AUTOMATIC		2858	2					
ANR	2930	Identifier	AV_BPRINT_SIZE_AUTOMATIC		2858	0					
ANR	2931	ExpressionStatement	"exception_class = ( * env ) -> GetObjectClass ( env , exception )"	20:4:404:460	2858	10	True				
ANR	2932	AssignmentExpression	"exception_class = ( * env ) -> GetObjectClass ( env , exception )"		2858	0		=			
ANR	2933	Identifier	exception_class		2858	0					
ANR	2934	CallExpression	"( * env ) -> GetObjectClass ( env , exception )"		2858	1					
ANR	2935	Callee	( * env ) -> GetObjectClass		2858	0					
ANR	2936	PtrMemberAccess	( * env ) -> GetObjectClass		2858	0					
ANR	2937	UnaryOperationExpression	* env		2858	0					
ANR	2938	UnaryOperator	*		2858	0					
ANR	2939	Identifier	env		2858	1					
ANR	2940	Identifier	GetObjectClass		2858	1					
ANR	2941	ArgumentList	env		2858	1					
ANR	2942	Argument	env		2858	0					
ANR	2943	Identifier	env		2858	0					
ANR	2944	Argument	exception		2858	1					
ANR	2945	Identifier	exception		2858	0					
ANR	2946	IfStatement	if ( ( * env ) -> ExceptionCheck ( env ) )		2858	11					
ANR	2947	Condition	( * env ) -> ExceptionCheck ( env )	21:8:470:496	2858	0	True				
ANR	2948	CallExpression	( * env ) -> ExceptionCheck ( env )		2858	0					
ANR	2949	Callee	( * env ) -> ExceptionCheck		2858	0					
ANR	2950	PtrMemberAccess	( * env ) -> ExceptionCheck		2858	0					
