command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	3649	File	tmp/qemu_041d95f4_9629.c								
ANR	3650	Function	ppc4xx_tlb_invalidate_virt	1:0:0:740							
ANR	3651	FunctionDef	"ppc4xx_tlb_invalidate_virt (CPUPPCState * env , target_ulong eaddr , uint32_t pid)"		3650	0					
ANR	3652	CompoundStatement		3:0:144:740	3650	0					
ANR	3653	IdentifierDeclStatement	CPUState * cs = CPU ( ppc_env_get_cpu ( env ) ) ;	5:4:179:219	3650	0	True				
ANR	3654	IdentifierDecl	* cs = CPU ( ppc_env_get_cpu ( env ) )		3650	0					
ANR	3655	IdentifierDeclType	CPUState *		3650	0					
ANR	3656	Identifier	cs		3650	1					
ANR	3657	AssignmentExpression	* cs = CPU ( ppc_env_get_cpu ( env ) )		3650	2		=			
ANR	3658	Identifier	cs		3650	0					
ANR	3659	CallExpression	CPU ( ppc_env_get_cpu ( env ) )		3650	1					
ANR	3660	Callee	CPU		3650	0					
ANR	3661	Identifier	CPU		3650	0					
ANR	3662	ArgumentList	ppc_env_get_cpu ( env )		3650	1					
ANR	3663	Argument	ppc_env_get_cpu ( env )		3650	0					
ANR	3664	CallExpression	ppc_env_get_cpu ( env )		3650	0					
ANR	3665	Callee	ppc_env_get_cpu		3650	0					
ANR	3666	Identifier	ppc_env_get_cpu		3650	0					
ANR	3667	ArgumentList	env		3650	1					
ANR	3668	Argument	env		3650	0					
ANR	3669	Identifier	env		3650	0					
ANR	3670	IdentifierDeclStatement	ppcemb_tlb_t * tlb ;	6:4:225:242	3650	1	True				
ANR	3671	IdentifierDecl	* tlb		3650	0					
ANR	3672	IdentifierDeclType	ppcemb_tlb_t *		3650	0					
ANR	3673	Identifier	tlb		3650	1					
ANR	3674	IdentifierDeclStatement	hwaddr raddr ;	7:4:248:260	3650	2	True				
ANR	3675	IdentifierDecl	raddr		3650	0					
ANR	3676	IdentifierDeclType	hwaddr		3650	0					
ANR	3677	Identifier	raddr		3650	1					
ANR	3678	IdentifierDeclStatement	"target_ulong page , end ;"	8:4:266:288	3650	3	True				
ANR	3679	IdentifierDecl	page		3650	0					
ANR	3680	IdentifierDeclType	target_ulong		3650	0					
ANR	3681	Identifier	page		3650	1					
ANR	3682	IdentifierDecl	end		3650	1					
ANR	3683	IdentifierDeclType	target_ulong		3650	0					
ANR	3684	Identifier	end		3650	1					
ANR	3685	IdentifierDeclStatement	int i ;	9:4:294:299	3650	4	True				
ANR	3686	IdentifierDecl	i		3650	0					
ANR	3687	IdentifierDeclType	int		3650	0					
ANR	3688	Identifier	i		3650	1					
ANR	3689	ForStatement	for ( i = 0 ; i < env -> nb_tlb ; i ++ )		3650	5					
