start	end	type	var
3824	3825	IS_AST_PARENT	
3824	3826	IS_AST_PARENT	
3823	3824	IS_AST_PARENT	
3822	3823	IS_AST_PARENT	
3830	3831	IS_AST_PARENT	
3830	3832	IS_AST_PARENT	
3829	3830	IS_AST_PARENT	
3829	3833	IS_AST_PARENT	
3828	3829	IS_AST_PARENT	
3827	3828	IS_AST_PARENT	
3837	3838	IS_AST_PARENT	
3836	3837	IS_AST_PARENT	
3836	3839	IS_AST_PARENT	
3835	3836	IS_AST_PARENT	
3834	3835	IS_AST_PARENT	
3842	3843	IS_AST_PARENT	
3842	3844	IS_AST_PARENT	
3841	3842	IS_AST_PARENT	
3846	3847	IS_AST_PARENT	
3845	3846	IS_AST_PARENT	
3849	3850	IS_AST_PARENT	
3848	3849	IS_AST_PARENT	
3845	3848	IS_AST_PARENT	
3841	3845	IS_AST_PARENT	
3840	3841	IS_AST_PARENT	
3834	3840	IS_AST_PARENT	
3853	3854	IS_AST_PARENT	
3852	3853	IS_AST_PARENT	
3856	3857	IS_AST_PARENT	
3855	3856	IS_AST_PARENT	
3852	3855	IS_AST_PARENT	
3851	3852	IS_AST_PARENT	
3834	3851	IS_AST_PARENT	
3860	3861	IS_AST_PARENT	
3860	3862	IS_AST_PARENT	
3859	3860	IS_AST_PARENT	
3864	3865	IS_AST_PARENT	
3863	3864	IS_AST_PARENT	
3863	3866	IS_AST_PARENT	
3859	3863	IS_AST_PARENT	
3858	3859	IS_AST_PARENT	
3834	3858	IS_AST_PARENT	
3868	3869	IS_AST_PARENT	
3871	3872	IS_AST_PARENT	
3870	3871	IS_AST_PARENT	
3870	3873	IS_AST_PARENT	
3868	3870	IS_AST_PARENT	
3867	3868	IS_AST_PARENT	
3834	3867	IS_AST_PARENT	
3876	3877	IS_AST_PARENT	
3876	3878	IS_AST_PARENT	
3875	3876	IS_AST_PARENT	
3874	3875	IS_AST_PARENT	
3881	3882	IS_AST_PARENT	
3884	3885	IS_AST_PARENT	
3883	3884	IS_AST_PARENT	
3887	3888	IS_AST_PARENT	
3886	3887	IS_AST_PARENT	
3883	3886	IS_AST_PARENT	
3881	3883	IS_AST_PARENT	
3880	3881	IS_AST_PARENT	
3879	3880	IS_AST_PARENT	
3891	3892	IS_AST_PARENT	
3891	3893	IS_AST_PARENT	
3890	3891	IS_AST_PARENT	
3889	3890	IS_AST_PARENT	
3896	3897	IS_AST_PARENT	
3899	3900	IS_AST_PARENT	
3898	3899	IS_AST_PARENT	
3898	3901	IS_AST_PARENT	
3896	3898	IS_AST_PARENT	
3895	3896	IS_AST_PARENT	
3894	3895	IS_AST_PARENT	
3889	3894	IS_AST_PARENT	
3879	3889	IS_AST_PARENT	
3904	3905	IS_AST_PARENT	
3904	3906	IS_AST_PARENT	
3903	3904	IS_AST_PARENT	
3902	3903	IS_AST_PARENT	
3910	3911	IS_AST_PARENT	
3909	3910	IS_AST_PARENT	
3914	3915	IS_AST_PARENT	
3914	3916	IS_AST_PARENT	
3913	3914	IS_AST_PARENT	
3912	3913	IS_AST_PARENT	
3917	3918	IS_AST_PARENT	
3912	3917	IS_AST_PARENT	
3909	3912	IS_AST_PARENT	
3908	3909	IS_AST_PARENT	
3907	3908	IS_AST_PARENT	
3921	3922	IS_AST_PARENT	
3920	3921	IS_AST_PARENT	
3925	3926	IS_AST_PARENT	
3925	3927	IS_AST_PARENT	
3924	3925	IS_AST_PARENT	
3923	3924	IS_AST_PARENT	
3928	3929	IS_AST_PARENT	
3923	3928	IS_AST_PARENT	
3920	3923	IS_AST_PARENT	
3919	3920	IS_AST_PARENT	
3907	3919	IS_AST_PARENT	
3902	3907	IS_AST_PARENT	
3879	3902	IS_AST_PARENT	
3874	3879	IS_AST_PARENT	
3834	3874	IS_AST_PARENT	
3932	3933	IS_AST_PARENT	
3931	3932	IS_AST_PARENT	
3931	3934	IS_AST_PARENT	
3930	3931	IS_AST_PARENT	
3834	3930	IS_AST_PARENT	
3937	3938	IS_AST_PARENT	
3937	3939	IS_AST_PARENT	
3936	3937	IS_AST_PARENT	
3935	3936	IS_AST_PARENT	
3941	3942	IS_AST_PARENT	
3940	3941	IS_AST_PARENT	
3935	3940	IS_AST_PARENT	
3834	3935	IS_AST_PARENT	
3827	3834	IS_AST_PARENT	
3947	3948	IS_AST_PARENT	
3947	3949	IS_AST_PARENT	
3946	3947	IS_AST_PARENT	
3946	3950	IS_AST_PARENT	
3945	3946	IS_AST_PARENT	
3944	3945	IS_AST_PARENT	
3954	3955	IS_AST_PARENT	
3953	3954	IS_AST_PARENT	
3953	3956	IS_AST_PARENT	
3952	3953	IS_AST_PARENT	
3951	3952	IS_AST_PARENT	
3959	3960	IS_AST_PARENT	
3958	3959	IS_AST_PARENT	
3963	3964	IS_AST_PARENT	
3963	3965	IS_AST_PARENT	
3962	3963	IS_AST_PARENT	
3961	3962	IS_AST_PARENT	
3958	3961	IS_AST_PARENT	
3957	3958	IS_AST_PARENT	
3951	3957	IS_AST_PARENT	
3968	3969	IS_AST_PARENT	
3967	3968	IS_AST_PARENT	
3967	3970	IS_AST_PARENT	
3966	3967	IS_AST_PARENT	
3951	3966	IS_AST_PARENT	
3944	3951	IS_AST_PARENT	
3943	3944	IS_AST_PARENT	
3827	3943	IS_AST_PARENT	
3822	3827	IS_AST_PARENT	
3974	3975	IS_AST_PARENT	
3973	3974	IS_AST_PARENT	
3973	3976	IS_AST_PARENT	
3972	3973	IS_AST_PARENT	
3971	3972	IS_AST_PARENT	
3979	3980	IS_AST_PARENT	
3979	3981	IS_AST_PARENT	
3978	3979	IS_AST_PARENT	
3977	3978	IS_AST_PARENT	
3984	3985	IS_AST_PARENT	
3983	3984	IS_AST_PARENT	
3983	3986	IS_AST_PARENT	
3982	3983	IS_AST_PARENT	
3977	3982	IS_AST_PARENT	
3988	3989	IS_AST_PARENT	
3991	3992	IS_AST_PARENT	
3990	3991	IS_AST_PARENT	
3994	3995	IS_AST_PARENT	
3993	3994	IS_AST_PARENT	
3990	3993	IS_AST_PARENT	
3988	3990	IS_AST_PARENT	
3987	3988	IS_AST_PARENT	
3977	3987	IS_AST_PARENT	
3998	3999	IS_AST_PARENT	
3997	3998	IS_AST_PARENT	
4001	4002	IS_AST_PARENT	
4000	4001	IS_AST_PARENT	
3997	4000	IS_AST_PARENT	
3996	3997	IS_AST_PARENT	
3977	3996	IS_AST_PARENT	
