command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	3819	File	tmp/qemu_0b827d5e_2764.c								
ANR	3820	Function	migration_completion	1:0:0:2509							
ANR	3821	FunctionDef	"migration_completion (MigrationState * s , int current_active_state , bool * old_vm_running , int64_t * start_time)"		3820	0					
ANR	3822	CompoundStatement		4:0:187:2509	3820	0					
ANR	3823	IdentifierDeclStatement	int ret ;	5:4:193:200	3820	0	True				
ANR	3824	IdentifierDecl	ret		3820	0					
ANR	3825	IdentifierDeclType	int		3820	0					
ANR	3826	Identifier	ret		3820	1					
ANR	3827	IfStatement	if ( s -> state == MIGRATION_STATUS_ACTIVE )		3820	1					
ANR	3828	Condition	s -> state == MIGRATION_STATUS_ACTIVE	7:8:211:245	3820	0	True				
ANR	3829	EqualityExpression	s -> state == MIGRATION_STATUS_ACTIVE		3820	0		==			
ANR	3830	PtrMemberAccess	s -> state		3820	0					
ANR	3831	Identifier	s		3820	0					
ANR	3832	Identifier	state		3820	1					
ANR	3833	Identifier	MIGRATION_STATUS_ACTIVE		3820	1					
ANR	3834	CompoundStatement		4:45:60:60	3820	1					
ANR	3835	ExpressionStatement	qemu_mutex_lock_iothread ( )	8:8:258:284	3820	0	True				
ANR	3836	CallExpression	qemu_mutex_lock_iothread ( )		3820	0					
ANR	3837	Callee	qemu_mutex_lock_iothread		3820	0					
ANR	3838	Identifier	qemu_mutex_lock_iothread		3820	0					
ANR	3839	ArgumentList			3820	1					
ANR	3840	ExpressionStatement	* start_time = qemu_clock_get_ms ( QEMU_CLOCK_REALTIME )	9:8:294:346	3820	1	True				
ANR	3841	AssignmentExpression	* start_time = qemu_clock_get_ms ( QEMU_CLOCK_REALTIME )		3820	0		=			
ANR	3842	UnaryOperationExpression	* start_time		3820	0					
ANR	3843	UnaryOperator	*		3820	0					
ANR	3844	Identifier	start_time		3820	1					
ANR	3845	CallExpression	qemu_clock_get_ms ( QEMU_CLOCK_REALTIME )		3820	1					
ANR	3846	Callee	qemu_clock_get_ms		3820	0					
ANR	3847	Identifier	qemu_clock_get_ms		3820	0					
ANR	3848	ArgumentList	QEMU_CLOCK_REALTIME		3820	1					
ANR	3849	Argument	QEMU_CLOCK_REALTIME		3820	0					
ANR	3850	Identifier	QEMU_CLOCK_REALTIME		3820	0					
ANR	3851	ExpressionStatement	qemu_system_wakeup_request ( QEMU_WAKEUP_REASON_OTHER )	10:8:356:408	3820	2	True				
ANR	3852	CallExpression	qemu_system_wakeup_request ( QEMU_WAKEUP_REASON_OTHER )		3820	0					
ANR	3853	Callee	qemu_system_wakeup_request		3820	0					
ANR	3854	Identifier	qemu_system_wakeup_request		3820	0					
ANR	3855	ArgumentList	QEMU_WAKEUP_REASON_OTHER		3820	1					
ANR	3856	Argument	QEMU_WAKEUP_REASON_OTHER		3820	0					
ANR	3857	Identifier	QEMU_WAKEUP_REASON_OTHER		3820	0					
ANR	3858	ExpressionStatement	* old_vm_running = runstate_is_running ( )	11:8:418:457	3820	3	True				
ANR	3859	AssignmentExpression	* old_vm_running = runstate_is_running ( )		3820	0		=			
ANR	3860	UnaryOperationExpression	* old_vm_running		3820	0					
ANR	3861	UnaryOperator	*		3820	0					
ANR	3862	Identifier	old_vm_running		3820	1					
ANR	3863	CallExpression	runstate_is_running ( )		3820	1					
ANR	3864	Callee	runstate_is_running		3820	0					
ANR	3865	Identifier	runstate_is_running		3820	0					
ANR	3866	ArgumentList			3820	1					
ANR	3867	ExpressionStatement	ret = global_state_store ( )	12:8:467:493	3820	4	True				
ANR	3868	AssignmentExpression	ret = global_state_store ( )		3820	0		=			
ANR	3869	Identifier	ret		3820	0					
ANR	3870	CallExpression	global_state_store ( )		3820	1					
ANR	3871	Callee	global_state_store		3820	0					
ANR	3872	Identifier	global_state_store		3820	0					
ANR	3873	ArgumentList			3820	1					
ANR	3874	IfStatement	if ( ! ret )		3820	5					
ANR	3875	Condition	! ret	14:12:508:511	3820	0	True				
ANR	3876	UnaryOperationExpression	! ret		3820	0					
ANR	3877	UnaryOperator	!		3820	0					
ANR	3878	Identifier	ret		3820	1					
ANR	3879	CompoundStatement		11:18:326:326	3820	1					
ANR	3880	ExpressionStatement	ret = vm_stop_force_state ( RUN_STATE_FINISH_MIGRATE )	15:12:528:579	3820	0	True				
ANR	3881	AssignmentExpression	ret = vm_stop_force_state ( RUN_STATE_FINISH_MIGRATE )		3820	0		=			
ANR	3882	Identifier	ret		3820	0					
ANR	3883	CallExpression	vm_stop_force_state ( RUN_STATE_FINISH_MIGRATE )		3820	1					
ANR	3884	Callee	vm_stop_force_state		3820	0					
ANR	3885	Identifier	vm_stop_force_state		3820	0					
ANR	3886	ArgumentList	RUN_STATE_FINISH_MIGRATE		3820	1					
ANR	3887	Argument	RUN_STATE_FINISH_MIGRATE		3820	0					
ANR	3888	Identifier	RUN_STATE_FINISH_MIGRATE		3820	0					
ANR	3889	IfStatement	if ( ret >= 0 )		3820	1					
ANR	3890	Condition	ret >= 0	16:16:597:604	3820	0	True				
ANR	3891	RelationalExpression	ret >= 0		3820	0		>=			
ANR	3892	Identifier	ret		3820	0					
ANR	3893	PrimaryExpression	0		3820	1					
ANR	3894	CompoundStatement		13:26:419:419	3820	1					
ANR	3895	ExpressionStatement	ret = bdrv_inactivate_all ( )	17:16:625:652	3820	0	True				
ANR	3896	AssignmentExpression	ret = bdrv_inactivate_all ( )		3820	0		=			
ANR	3897	Identifier	ret		3820	0					
ANR	3898	CallExpression	bdrv_inactivate_all ( )		3820	1					
ANR	3899	Callee	bdrv_inactivate_all		3820	0					
ANR	3900	Identifier	bdrv_inactivate_all		3820	0					
ANR	3901	ArgumentList			3820	1					
ANR	3902	IfStatement	if ( ret >= 0 )		3820	2					
ANR	3903	Condition	ret >= 0	19:16:684:691	3820	0	True				
ANR	3904	RelationalExpression	ret >= 0		3820	0		>=			
ANR	3905	Identifier	ret		3820	0					
ANR	3906	PrimaryExpression	0		3820	1					
ANR	3907	CompoundStatement		16:26:506:506	3820	1					
ANR	3908	ExpressionStatement	"qemu_file_set_rate_limit ( s -> to_dst_file , INT64_MAX )"	20:16:712:763	3820	0	True				
ANR	3909	CallExpression	"qemu_file_set_rate_limit ( s -> to_dst_file , INT64_MAX )"		3820	0					
ANR	3910	Callee	qemu_file_set_rate_limit		3820	0					
ANR	3911	Identifier	qemu_file_set_rate_limit		3820	0					
ANR	3912	ArgumentList	s -> to_dst_file		3820	1					
ANR	3913	Argument	s -> to_dst_file		3820	0					
ANR	3914	PtrMemberAccess	s -> to_dst_file		3820	0					
ANR	3915	Identifier	s		3820	0					
ANR	3916	Identifier	to_dst_file		3820	1					
ANR	3917	Argument	INT64_MAX		3820	1					
ANR	3918	Identifier	INT64_MAX		3820	0					
ANR	3919	ExpressionStatement	"qemu_savevm_state_complete_precopy ( s -> to_dst_file , false )"	21:16:781:838	3820	1	True				
ANR	3920	CallExpression	"qemu_savevm_state_complete_precopy ( s -> to_dst_file , false )"		3820	0					
ANR	3921	Callee	qemu_savevm_state_complete_precopy		3820	0					
