start	end	type	var
5472	5473	IS_AST_PARENT	
5472	5474	IS_AST_PARENT	
5471	5472	IS_AST_PARENT	
5470	5471	IS_AST_PARENT	
5476	5477	IS_AST_PARENT	
5476	5478	IS_AST_PARENT	
5475	5476	IS_AST_PARENT	
5470	5475	IS_AST_PARENT	
5480	5481	IS_AST_PARENT	
5480	5482	IS_AST_PARENT	
5479	5480	IS_AST_PARENT	
5470	5479	IS_AST_PARENT	
5484	5485	IS_AST_PARENT	
5484	5486	IS_AST_PARENT	
5483	5484	IS_AST_PARENT	
5470	5483	IS_AST_PARENT	
5488	5489	IS_AST_PARENT	
5491	5492	IS_AST_PARENT	
5490	5491	IS_AST_PARENT	
5494	5495	IS_AST_PARENT	
5493	5494	IS_AST_PARENT	
5490	5493	IS_AST_PARENT	
5488	5490	IS_AST_PARENT	
5487	5488	IS_AST_PARENT	
5470	5487	IS_AST_PARENT	
5497	5498	IS_AST_PARENT	
5497	5499	IS_AST_PARENT	
5496	5497	IS_AST_PARENT	
5470	5496	IS_AST_PARENT	
5501	5502	IS_AST_PARENT	
5501	5503	IS_AST_PARENT	
5500	5501	IS_AST_PARENT	
5470	5500	IS_AST_PARENT	
5507	5508	IS_AST_PARENT	
5506	5507	IS_AST_PARENT	
5510	5511	IS_AST_PARENT	
5509	5510	IS_AST_PARENT	
5513	5514	IS_AST_PARENT	
5513	5515	IS_AST_PARENT	
5512	5513	IS_AST_PARENT	
5509	5512	IS_AST_PARENT	
5506	5509	IS_AST_PARENT	
5505	5506	IS_AST_PARENT	
5504	5505	IS_AST_PARENT	
5518	5519	IS_AST_PARENT	
5518	5520	IS_AST_PARENT	
5517	5518	IS_AST_PARENT	
5516	5517	IS_AST_PARENT	
5522	5523	IS_AST_PARENT	
5525	5526	IS_AST_PARENT	
5524	5525	IS_AST_PARENT	
5529	5530	IS_AST_PARENT	
5529	5531	IS_AST_PARENT	
5528	5529	IS_AST_PARENT	
5527	5528	IS_AST_PARENT	
5533	5534	IS_AST_PARENT	
5533	5535	IS_AST_PARENT	
5532	5533	IS_AST_PARENT	
5527	5532	IS_AST_PARENT	
5524	5527	IS_AST_PARENT	
5522	5524	IS_AST_PARENT	
5521	5522	IS_AST_PARENT	
5516	5521	IS_AST_PARENT	
5538	5539	IS_AST_PARENT	
5538	5540	IS_AST_PARENT	
5537	5538	IS_AST_PARENT	
5536	5537	IS_AST_PARENT	
5544	5545	IS_AST_PARENT	
5543	5544	IS_AST_PARENT	
5547	5548	IS_AST_PARENT	
5546	5547	IS_AST_PARENT	
5543	5546	IS_AST_PARENT	
5542	5543	IS_AST_PARENT	
5541	5542	IS_AST_PARENT	
5550	5551	IS_AST_PARENT	
5553	5554	IS_AST_PARENT	
5552	5553	IS_AST_PARENT	
5556	5557	IS_AST_PARENT	
5555	5556	IS_AST_PARENT	
5552	5555	IS_AST_PARENT	
5550	5552	IS_AST_PARENT	
5549	5550	IS_AST_PARENT	
5541	5549	IS_AST_PARENT	
5559	5560	IS_AST_PARENT	
5559	5561	IS_AST_PARENT	
5558	5559	IS_AST_PARENT	
5541	5558	IS_AST_PARENT	
5536	5541	IS_AST_PARENT	
5516	5536	IS_AST_PARENT	
5564	5565	IS_AST_PARENT	
5563	5564	IS_AST_PARENT	
5568	5569	IS_AST_PARENT	
5568	5570	IS_AST_PARENT	
