command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5849	File	tmp/qemu_ce137829_11094.c								
ANR	5850	Function	commit_one_file	1:0:0:1534							
ANR	5851	FunctionDef	"commit_one_file (BDRVVVFATState * s , int dir_index , uint32_t offset)"		5850	0					
ANR	5852	CompoundStatement		3:0:79:1534	5850	0					
ANR	5853	IdentifierDeclStatement	"direntry_t * direntry = array_get ( & ( s -> directory ) , dir_index ) ;"	4:4:85:145	5850	0	True				
ANR	5854	IdentifierDecl	"* direntry = array_get ( & ( s -> directory ) , dir_index )"		5850	0					
ANR	5855	IdentifierDeclType	direntry_t *		5850	0					
ANR	5856	Identifier	direntry		5850	1					
ANR	5857	AssignmentExpression	"* direntry = array_get ( & ( s -> directory ) , dir_index )"		5850	2		=			
ANR	5858	Identifier	direntry		5850	0					
ANR	5859	CallExpression	"array_get ( & ( s -> directory ) , dir_index )"		5850	1					
ANR	5860	Callee	array_get		5850	0					
ANR	5861	Identifier	array_get		5850	0					
ANR	5862	ArgumentList	& ( s -> directory )		5850	1					
ANR	5863	Argument	& ( s -> directory )		5850	0					
ANR	5864	UnaryOperationExpression	& ( s -> directory )		5850	0					
ANR	5865	UnaryOperator	&		5850	0					
ANR	5866	PtrMemberAccess	s -> directory		5850	1					
ANR	5867	Identifier	s		5850	0					
ANR	5868	Identifier	directory		5850	1					
ANR	5869	Argument	dir_index		5850	1					
ANR	5870	Identifier	dir_index		5850	0					
ANR	5871	IdentifierDeclStatement	uint32_t c = begin_of_direntry ( direntry ) ;	5:4:151:191	5850	1	True				
ANR	5872	IdentifierDecl	c = begin_of_direntry ( direntry )		5850	0					
ANR	5873	IdentifierDeclType	uint32_t		5850	0					
ANR	5874	Identifier	c		5850	1					
ANR	5875	AssignmentExpression	c = begin_of_direntry ( direntry )		5850	2		=			
ANR	5876	Identifier	c		5850	0					
ANR	5877	CallExpression	begin_of_direntry ( direntry )		5850	1					
ANR	5878	Callee	begin_of_direntry		5850	0					
ANR	5879	Identifier	begin_of_direntry		5850	0					
ANR	5880	ArgumentList	direntry		5850	1					
ANR	5881	Argument	direntry		5850	0					
ANR	5882	Identifier	direntry		5850	0					
ANR	5883	IdentifierDeclStatement	uint32_t first_cluster = c ;	6:4:197:223	5850	2	True				
ANR	5884	IdentifierDecl	first_cluster = c		5850	0					
ANR	5885	IdentifierDeclType	uint32_t		5850	0					
ANR	5886	Identifier	first_cluster		5850	1					
ANR	5887	AssignmentExpression	first_cluster = c		5850	2		=			
ANR	5888	Identifier	c		5850	0					
ANR	5889	Identifier	c		5850	1					
ANR	5890	IdentifierDeclStatement	"mapping_t * mapping = find_mapping_for_cluster ( s , c ) ;"	7:4:229:280	5850	3	True				
ANR	5891	IdentifierDecl	"* mapping = find_mapping_for_cluster ( s , c )"		5850	0					
ANR	5892	IdentifierDeclType	mapping_t *		5850	0					
ANR	5893	Identifier	mapping		5850	1					
ANR	5894	AssignmentExpression	"* mapping = find_mapping_for_cluster ( s , c )"		5850	2		=			
ANR	5895	Identifier	mapping		5850	0					
ANR	5896	CallExpression	"find_mapping_for_cluster ( s , c )"		5850	1					
ANR	5897	Callee	find_mapping_for_cluster		5850	0					
ANR	5898	Identifier	find_mapping_for_cluster		5850	0					
ANR	5899	ArgumentList	s		5850	1					
ANR	5900	Argument	s		5850	0					
ANR	5901	Identifier	s		5850	0					
ANR	5902	Argument	c		5850	1					
ANR	5903	Identifier	c		5850	0					
ANR	5904	IdentifierDeclStatement	uint32_t size = filesize_of_direntry ( direntry ) ;	8:4:286:332	5850	4	True				
ANR	5905	IdentifierDecl	size = filesize_of_direntry ( direntry )		5850	0					
ANR	5906	IdentifierDeclType	uint32_t		5850	0					
ANR	5907	Identifier	size		5850	1					
ANR	5908	AssignmentExpression	size = filesize_of_direntry ( direntry )		5850	2		=			
ANR	5909	Identifier	size		5850	0					
ANR	5910	CallExpression	filesize_of_direntry ( direntry )		5850	1					
ANR	5911	Callee	filesize_of_direntry		5850	0					
ANR	5912	Identifier	filesize_of_direntry		5850	0					
ANR	5913	ArgumentList	direntry		5850	1					
ANR	5914	Argument	direntry		5850	0					
ANR	5915	Identifier	direntry		5850	0					
ANR	5916	IdentifierDeclStatement	char * cluster = g_malloc ( s -> cluster_size ) ;	9:4:338:379	5850	5	True				
ANR	5917	IdentifierDecl	* cluster = g_malloc ( s -> cluster_size )		5850	0					
ANR	5918	IdentifierDeclType	char *		5850	0					
ANR	5919	Identifier	cluster		5850	1					
ANR	5920	AssignmentExpression	* cluster = g_malloc ( s -> cluster_size )		5850	2		=			
ANR	5921	Identifier	cluster		5850	0					
ANR	5922	CallExpression	g_malloc ( s -> cluster_size )		5850	1					
ANR	5923	Callee	g_malloc		5850	0					
ANR	5924	Identifier	g_malloc		5850	0					
ANR	5925	ArgumentList	s -> cluster_size		5850	1					
ANR	5926	Argument	s -> cluster_size		5850	0					
ANR	5927	PtrMemberAccess	s -> cluster_size		5850	0					
ANR	5928	Identifier	s		5850	0					
ANR	5929	Identifier	cluster_size		5850	1					
ANR	5930	IdentifierDeclStatement	uint32_t i ;	10:4:385:395	5850	6	True				
ANR	5931	IdentifierDecl	i		5850	0					
ANR	5932	IdentifierDeclType	uint32_t		5850	0					
ANR	5933	Identifier	i		5850	1					
ANR	5934	IdentifierDeclStatement	int fd = 0 ;	11:4:401:411	5850	7	True				
ANR	5935	IdentifierDecl	fd = 0		5850	0					
ANR	5936	IdentifierDeclType	int		5850	0					
ANR	5937	Identifier	fd		5850	1					
ANR	5938	AssignmentExpression	fd = 0		5850	2		=			
ANR	5939	Identifier	fd		5850	0					
ANR	5940	PrimaryExpression	0		5850	1					
ANR	5941	ExpressionStatement	assert ( offset < size )	13:4:418:439	5850	8	True				
ANR	5942	CallExpression	assert ( offset < size )		5850	0					
ANR	5943	Callee	assert		5850	0					
ANR	5944	Identifier	assert		5850	0					
ANR	5945	ArgumentList	offset < size		5850	1					
ANR	5946	Argument	offset < size		5850	0					
ANR	5947	RelationalExpression	offset < size		5850	0		<			
ANR	5948	Identifier	offset		5850	0					
ANR	5949	Identifier	size		5850	1					
ANR	5950	ExpressionStatement	assert ( ( offset % s -> cluster_size ) == 0 )	14:4:445:484	5850	9	True				
ANR	5951	CallExpression	assert ( ( offset % s -> cluster_size ) == 0 )		5850	0					
ANR	5952	Callee	assert		5850	0					
ANR	5953	Identifier	assert		5850	0					
ANR	5954	ArgumentList	( offset % s -> cluster_size ) == 0		5850	1					
ANR	5955	Argument	( offset % s -> cluster_size ) == 0		5850	0					
ANR	5956	EqualityExpression	( offset % s -> cluster_size ) == 0		5850	0		==			
ANR	5957	MultiplicativeExpression	offset % s -> cluster_size		5850	0		%			
ANR	5958	Identifier	offset		5850	0					
ANR	5959	PtrMemberAccess	s -> cluster_size		5850	1					
ANR	5960	Identifier	s		5850	0					
ANR	5961	Identifier	cluster_size		5850	1					
ANR	5962	PrimaryExpression	0		5850	1					
ANR	5963	ForStatement	for ( i = s -> cluster_size ; i < offset ; i += s -> cluster_size )		5850	10					
ANR	5964	ForInit	i = s -> cluster_size ;	16:9:496:515	5850	0	True				
ANR	5965	AssignmentExpression	i = s -> cluster_size		5850	0		=			
ANR	5966	Identifier	i		5850	0					
ANR	5967	PtrMemberAccess	s -> cluster_size		5850	1					
ANR	5968	Identifier	s		5850	0					
ANR	5969	Identifier	cluster_size		5850	1					
ANR	5970	Condition	i < offset	16:30:517:526	5850	1	True				
ANR	5971	RelationalExpression	i < offset		5850	0		<			
ANR	5972	Identifier	i		5850	0					
ANR	5973	Identifier	offset		5850	1					
ANR	5974	AssignmentExpression	i += s -> cluster_size	16:42:529:548	5850	2	True	+=			
ANR	5975	Identifier	i		5850	0					
ANR	5976	PtrMemberAccess	s -> cluster_size		5850	1					
ANR	5977	Identifier	s		5850	0					
ANR	5978	Identifier	cluster_size		5850	1					
ANR	5979	ExpressionStatement	"c = modified_fat_get ( s , c )"	17:1:552:578	5850	3	True				
ANR	5980	AssignmentExpression	"c = modified_fat_get ( s , c )"		5850	0		=			
ANR	5981	Identifier	c		5850	0					
ANR	5982	CallExpression	"modified_fat_get ( s , c )"		5850	1					
ANR	5983	Callee	modified_fat_get		5850	0					
ANR	5984	Identifier	modified_fat_get		5850	0					
ANR	5985	ArgumentList	s		5850	1					
ANR	5986	Argument	s		5850	0					
ANR	5987	Identifier	s		5850	0					
ANR	5988	Argument	c		5850	1					
ANR	5989	Identifier	c		5850	0					
ANR	5990	ExpressionStatement	"fd = open ( mapping -> path , O_RDWR | O_CREAT | O_BINARY , 0666 )"	19:4:585:644	5850	11	True				
ANR	5991	AssignmentExpression	"fd = open ( mapping -> path , O_RDWR | O_CREAT | O_BINARY , 0666 )"		5850	0		=			
ANR	5992	Identifier	fd		5850	0					
ANR	5993	CallExpression	"open ( mapping -> path , O_RDWR | O_CREAT | O_BINARY , 0666 )"		5850	1					
ANR	5994	Callee	open		5850	0					
ANR	5995	Identifier	open		5850	0					
ANR	5996	ArgumentList	mapping -> path		5850	1					
ANR	5997	Argument	mapping -> path		5850	0					
ANR	5998	PtrMemberAccess	mapping -> path		5850	0					
ANR	5999	Identifier	mapping		5850	0					
ANR	6000	Identifier	path		5850	1					
ANR	6001	Argument	O_RDWR | O_CREAT | O_BINARY		5850	1					
