start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	13	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
16	17	IS_AST_PARENT	
16	18	IS_AST_PARENT	
15	16	IS_AST_PARENT	
14	15	IS_AST_PARENT	
20	21	IS_AST_PARENT	
19	20	IS_AST_PARENT	
14	19	IS_AST_PARENT	
4	14	IS_AST_PARENT	
24	25	IS_AST_PARENT	
24	26	IS_AST_PARENT	
23	24	IS_AST_PARENT	
22	23	IS_AST_PARENT	
29	30	IS_AST_PARENT	
29	31	IS_AST_PARENT	
28	29	IS_AST_PARENT	
27	28	IS_AST_PARENT	
33	34	IS_AST_PARENT	
33	35	IS_AST_PARENT	
32	33	IS_AST_PARENT	
27	32	IS_AST_PARENT	
22	27	IS_AST_PARENT	
4	22	IS_AST_PARENT	
38	39	IS_AST_PARENT	
37	38	IS_AST_PARENT	
41	42	IS_AST_PARENT	
40	41	IS_AST_PARENT	
43	44	IS_AST_PARENT	
40	43	IS_AST_PARENT	
45	46	IS_AST_PARENT	
40	45	IS_AST_PARENT	
37	40	IS_AST_PARENT	
36	37	IS_AST_PARENT	
4	36	IS_AST_PARENT	
47	48	IS_AST_PARENT	
4	47	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	49	IS_AST_PARENT	
3	50	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	54	IS_AST_PARENT	
51	52	IS_AST_PARENT	
55	56	IS_AST_PARENT	
55	57	IS_AST_PARENT	
51	55	IS_AST_PARENT	
58	59	IS_AST_PARENT	
58	60	IS_AST_PARENT	
51	58	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	63	IS_AST_PARENT	
51	61	IS_AST_PARENT	
64	65	IS_AST_PARENT	
64	66	IS_AST_PARENT	
51	64	IS_AST_PARENT	
3	51	IS_AST_PARENT	
67	52	FLOWS_TO	
52	55	FLOWS_TO	
55	58	FLOWS_TO	
58	61	FLOWS_TO	
61	64	FLOWS_TO	
64	5	FLOWS_TO	
5	15	FLOWS_TO	
15	20	FLOWS_TO	
15	23	FLOWS_TO	
20	68	FLOWS_TO	
23	28	FLOWS_TO	
23	36	FLOWS_TO	
28	32	FLOWS_TO	
32	68	FLOWS_TO	
36	47	FLOWS_TO	
47	68	FLOWS_TO	
55	69	DEF	
64	70	DEF	
23	70	USE	
28	71	DEF	
29	71	DEF	
5	72	DEF	
6	72	DEF	
9	72	DEF	
20	72	USE	
23	72	USE	
36	72	USE	
45	72	USE	
52	73	DEF	
58	74	DEF	
28	75	USE	
29	75	USE	
36	76	USE	
43	76	USE	
61	77	DEF	
15	77	USE	
36	77	USE	
41	77	USE	
64	23	REACHES	osize
5	20	REACHES	len
5	23	REACHES	len
5	36	REACHES	len
61	15	REACHES	value
61	36	REACHES	value
67	52	CONTROLS	
67	55	CONTROLS	
67	58	CONTROLS	
67	61	CONTROLS	
67	64	CONTROLS	
67	5	CONTROLS	
67	15	CONTROLS	
15	20	CONTROLS	
15	23	CONTROLS	
23	28	CONTROLS	
23	32	CONTROLS	
23	36	CONTROLS	
23	47	CONTROLS	
52	55	DOM	
55	58	DOM	
61	64	DOM	
15	68	DOM	
23	28	DOM	
64	5	DOM	
36	47	DOM	
15	23	DOM	
15	20	DOM	
58	61	DOM	
23	36	DOM	
67	67	DOM	
28	32	DOM	
67	52	DOM	
5	15	DOM	
58	55	POST_DOM	
68	68	POST_DOM	
5	64	POST_DOM	
61	58	POST_DOM	
32	28	POST_DOM	
15	5	POST_DOM	
68	47	POST_DOM	
68	23	POST_DOM	
68	20	POST_DOM	
64	61	POST_DOM	
47	36	POST_DOM	
52	67	POST_DOM	
68	32	POST_DOM	
68	15	POST_DOM	
55	52	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	67	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
