command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_4171853c_25758.c								
ANR	2	Function	e5500	1:0:0:1773							
ANR	3	FunctionDef	"e5500 (ObjectClass * oc , void * data)"		2	0					
ANR	4	CompoundStatement		2:0:51:1773	2	0					
ANR	5	IdentifierDeclStatement	DeviceClass * dc = DEVICE_CLASS ( oc ) ;	3:4:57:91	2	0	True				
ANR	6	IdentifierDecl	* dc = DEVICE_CLASS ( oc )		2	0					
ANR	7	IdentifierDeclType	DeviceClass *		2	0					
ANR	8	Identifier	dc		2	1					
ANR	9	AssignmentExpression	* dc = DEVICE_CLASS ( oc )		2	2		=			
ANR	10	Identifier	dc		2	0					
ANR	11	CallExpression	DEVICE_CLASS ( oc )		2	1					
ANR	12	Callee	DEVICE_CLASS		2	0					
ANR	13	Identifier	DEVICE_CLASS		2	0					
ANR	14	ArgumentList	oc		2	1					
ANR	15	Argument	oc		2	0					
ANR	16	Identifier	oc		2	0					
ANR	17	IdentifierDeclStatement	PowerPCCPUClass * pcc = POWERPC_CPU_CLASS ( oc ) ;	4:4:97:141	2	1	True				
ANR	18	IdentifierDecl	* pcc = POWERPC_CPU_CLASS ( oc )		2	0					
ANR	19	IdentifierDeclType	PowerPCCPUClass *		2	0					
ANR	20	Identifier	pcc		2	1					
ANR	21	AssignmentExpression	* pcc = POWERPC_CPU_CLASS ( oc )		2	2		=			
ANR	22	Identifier	pcc		2	0					
ANR	23	CallExpression	POWERPC_CPU_CLASS ( oc )		2	1					
ANR	24	Callee	POWERPC_CPU_CLASS		2	0					
ANR	25	Identifier	POWERPC_CPU_CLASS		2	0					
ANR	26	ArgumentList	oc		2	1					
ANR	27	Argument	oc		2	0					
ANR	28	Identifier	oc		2	0					
ANR	29	ExpressionStatement	"dc -> desc = ""e5500 core"""	6:4:148:171	2	2	True				
ANR	30	AssignmentExpression	"dc -> desc = ""e5500 core"""		2	0		=			
ANR	31	PtrMemberAccess	dc -> desc		2	0					
ANR	32	Identifier	dc		2	0					
ANR	33	Identifier	desc		2	1					
ANR	34	PrimaryExpression	"""e5500 core"""		2	1					
ANR	35	ExpressionStatement	pcc -> init_proc = init_proc_e5500	7:4:177:209	2	3	True				
ANR	36	AssignmentExpression	pcc -> init_proc = init_proc_e5500		2	0		=			
ANR	37	PtrMemberAccess	pcc -> init_proc		2	0					
ANR	38	Identifier	pcc		2	0					
ANR	39	Identifier	init_proc		2	1					
ANR	40	Identifier	init_proc_e5500		2	1					
ANR	41	ExpressionStatement	pcc -> check_pow = check_pow_none	8:4:215:246	2	4	True				
ANR	42	AssignmentExpression	pcc -> check_pow = check_pow_none		2	0		=			
ANR	43	PtrMemberAccess	pcc -> check_pow		2	0					
ANR	44	Identifier	pcc		2	0					
ANR	45	Identifier	check_pow		2	1					
ANR	46	Identifier	check_pow_none		2	1					
ANR	47	ExpressionStatement	pcc -> insns_flags = PPC_INSNS_BASE | PPC_ISEL | PPC_WRTEE | PPC_RFDI | PPC_RFMCI | PPC_CACHE | PPC_CACHE_LOCK | PPC_CACHE_ICBI | PPC_CACHE_DCBZ | PPC_CACHE_DCBA | PPC_FLOAT | PPC_FLOAT_FRES | PPC_FLOAT_FRSQRTE | PPC_FLOAT_FSEL | PPC_FLOAT_STFIWX | PPC_WAIT | PPC_MEM_TLBSYNC | PPC_TLBIVAX | PPC_MEM_SYNC | PPC_64B | PPC_POPCNTB | PPC_POPCNTWD	9:4:252:777	2	5	True				
ANR	48	AssignmentExpression	pcc -> insns_flags = PPC_INSNS_BASE | PPC_ISEL | PPC_WRTEE | PPC_RFDI | PPC_RFMCI | PPC_CACHE | PPC_CACHE_LOCK | PPC_CACHE_ICBI | PPC_CACHE_DCBZ | PPC_CACHE_DCBA | PPC_FLOAT | PPC_FLOAT_FRES | PPC_FLOAT_FRSQRTE | PPC_FLOAT_FSEL | PPC_FLOAT_STFIWX | PPC_WAIT | PPC_MEM_TLBSYNC | PPC_TLBIVAX | PPC_MEM_SYNC | PPC_64B | PPC_POPCNTB | PPC_POPCNTWD		2	0		=			
ANR	49	PtrMemberAccess	pcc -> insns_flags		2	0					
ANR	50	Identifier	pcc		2	0					
ANR	51	Identifier	insns_flags		2	1					
ANR	52	InclusiveOrExpression	PPC_INSNS_BASE | PPC_ISEL | PPC_WRTEE | PPC_RFDI | PPC_RFMCI | PPC_CACHE | PPC_CACHE_LOCK | PPC_CACHE_ICBI | PPC_CACHE_DCBZ | PPC_CACHE_DCBA | PPC_FLOAT | PPC_FLOAT_FRES | PPC_FLOAT_FRSQRTE | PPC_FLOAT_FSEL | PPC_FLOAT_STFIWX | PPC_WAIT | PPC_MEM_TLBSYNC | PPC_TLBIVAX | PPC_MEM_SYNC | PPC_64B | PPC_POPCNTB | PPC_POPCNTWD		2	1		|			
ANR	53	Identifier	PPC_INSNS_BASE		2	0					
ANR	54	InclusiveOrExpression	PPC_ISEL | PPC_WRTEE | PPC_RFDI | PPC_RFMCI | PPC_CACHE | PPC_CACHE_LOCK | PPC_CACHE_ICBI | PPC_CACHE_DCBZ | PPC_CACHE_DCBA | PPC_FLOAT | PPC_FLOAT_FRES | PPC_FLOAT_FRSQRTE | PPC_FLOAT_FSEL | PPC_FLOAT_STFIWX | PPC_WAIT | PPC_MEM_TLBSYNC | PPC_TLBIVAX | PPC_MEM_SYNC | PPC_64B | PPC_POPCNTB | PPC_POPCNTWD		2	1		|			
ANR	55	Identifier	PPC_ISEL		2	0					
ANR	56	InclusiveOrExpression	PPC_WRTEE | PPC_RFDI | PPC_RFMCI | PPC_CACHE | PPC_CACHE_LOCK | PPC_CACHE_ICBI | PPC_CACHE_DCBZ | PPC_CACHE_DCBA | PPC_FLOAT | PPC_FLOAT_FRES | PPC_FLOAT_FRSQRTE | PPC_FLOAT_FSEL | PPC_FLOAT_STFIWX | PPC_WAIT | PPC_MEM_TLBSYNC | PPC_TLBIVAX | PPC_MEM_SYNC | PPC_64B | PPC_POPCNTB | PPC_POPCNTWD		2	1		|			
ANR	57	Identifier	PPC_WRTEE		2	0					
ANR	58	InclusiveOrExpression	PPC_RFDI | PPC_RFMCI | PPC_CACHE | PPC_CACHE_LOCK | PPC_CACHE_ICBI | PPC_CACHE_DCBZ | PPC_CACHE_DCBA | PPC_FLOAT | PPC_FLOAT_FRES | PPC_FLOAT_FRSQRTE | PPC_FLOAT_FSEL | PPC_FLOAT_STFIWX | PPC_WAIT | PPC_MEM_TLBSYNC | PPC_TLBIVAX | PPC_MEM_SYNC | PPC_64B | PPC_POPCNTB | PPC_POPCNTWD		2	1		|			
ANR	59	Identifier	PPC_RFDI		2	0					
ANR	60	InclusiveOrExpression	PPC_RFMCI | PPC_CACHE | PPC_CACHE_LOCK | PPC_CACHE_ICBI | PPC_CACHE_DCBZ | PPC_CACHE_DCBA | PPC_FLOAT | PPC_FLOAT_FRES | PPC_FLOAT_FRSQRTE | PPC_FLOAT_FSEL | PPC_FLOAT_STFIWX | PPC_WAIT | PPC_MEM_TLBSYNC | PPC_TLBIVAX | PPC_MEM_SYNC | PPC_64B | PPC_POPCNTB | PPC_POPCNTWD		2	1		|			
ANR	61	Identifier	PPC_RFMCI		2	0					
ANR	62	InclusiveOrExpression	PPC_CACHE | PPC_CACHE_LOCK | PPC_CACHE_ICBI | PPC_CACHE_DCBZ | PPC_CACHE_DCBA | PPC_FLOAT | PPC_FLOAT_FRES | PPC_FLOAT_FRSQRTE | PPC_FLOAT_FSEL | PPC_FLOAT_STFIWX | PPC_WAIT | PPC_MEM_TLBSYNC | PPC_TLBIVAX | PPC_MEM_SYNC | PPC_64B | PPC_POPCNTB | PPC_POPCNTWD		2	1		|			
ANR	63	Identifier	PPC_CACHE		2	0					
ANR	64	InclusiveOrExpression	PPC_CACHE_LOCK | PPC_CACHE_ICBI | PPC_CACHE_DCBZ | PPC_CACHE_DCBA | PPC_FLOAT | PPC_FLOAT_FRES | PPC_FLOAT_FRSQRTE | PPC_FLOAT_FSEL | PPC_FLOAT_STFIWX | PPC_WAIT | PPC_MEM_TLBSYNC | PPC_TLBIVAX | PPC_MEM_SYNC | PPC_64B | PPC_POPCNTB | PPC_POPCNTWD		2	1		|			
ANR	65	Identifier	PPC_CACHE_LOCK		2	0					
ANR	66	InclusiveOrExpression	PPC_CACHE_ICBI | PPC_CACHE_DCBZ | PPC_CACHE_DCBA | PPC_FLOAT | PPC_FLOAT_FRES | PPC_FLOAT_FRSQRTE | PPC_FLOAT_FSEL | PPC_FLOAT_STFIWX | PPC_WAIT | PPC_MEM_TLBSYNC | PPC_TLBIVAX | PPC_MEM_SYNC | PPC_64B | PPC_POPCNTB | PPC_POPCNTWD		2	1		|			
ANR	67	Identifier	PPC_CACHE_ICBI		2	0					
ANR	68	InclusiveOrExpression	PPC_CACHE_DCBZ | PPC_CACHE_DCBA | PPC_FLOAT | PPC_FLOAT_FRES | PPC_FLOAT_FRSQRTE | PPC_FLOAT_FSEL | PPC_FLOAT_STFIWX | PPC_WAIT | PPC_MEM_TLBSYNC | PPC_TLBIVAX | PPC_MEM_SYNC | PPC_64B | PPC_POPCNTB | PPC_POPCNTWD		2	1		|			
ANR	69	Identifier	PPC_CACHE_DCBZ		2	0					
ANR	70	InclusiveOrExpression	PPC_CACHE_DCBA | PPC_FLOAT | PPC_FLOAT_FRES | PPC_FLOAT_FRSQRTE | PPC_FLOAT_FSEL | PPC_FLOAT_STFIWX | PPC_WAIT | PPC_MEM_TLBSYNC | PPC_TLBIVAX | PPC_MEM_SYNC | PPC_64B | PPC_POPCNTB | PPC_POPCNTWD		2	1		|			
ANR	71	Identifier	PPC_CACHE_DCBA		2	0					
