command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/FFmpeg_87e87886_18420.c								
ANR	2	Function	mtv_probe	1:0:0:226							
ANR	3	FunctionDef	mtv_probe (AVProbeData * p)		2	0					
ANR	4	CompoundStatement		2:0:37:226	2	0					
ANR	5	IfStatement	if ( p -> buf_size < 3 )		2	0					
ANR	6	Condition	p -> buf_size < 3	3:7:46:60	2	0	True				
ANR	7	RelationalExpression	p -> buf_size < 3		2	0		<			
ANR	8	PtrMemberAccess	p -> buf_size		2	0					
ANR	9	Identifier	p		2	0					
ANR	10	Identifier	buf_size		2	1					
ANR	11	PrimaryExpression	3		2	1					
ANR	12	ReturnStatement	return 0 ;	4:8:71:79	2	1	True				
ANR	13	PrimaryExpression	0		2	0					
ANR	14	IfStatement	if ( * ( p -> buf ) != 'A' || * ( p -> buf + 1 ) != 'M' || * ( p -> buf + 2 ) != 'V' )		2	1					
ANR	15	Condition	* ( p -> buf ) != 'A' || * ( p -> buf + 1 ) != 'M' || * ( p -> buf + 2 ) != 'V'	8:7:115:174	2	0	True				
ANR	16	OrExpression	* ( p -> buf ) != 'A' || * ( p -> buf + 1 ) != 'M' || * ( p -> buf + 2 ) != 'V'		2	0		||			
ANR	17	EqualityExpression	* ( p -> buf ) != 'A'		2	0		!=			
ANR	18	UnaryOperationExpression	* ( p -> buf )		2	0					
ANR	19	UnaryOperator	*		2	0					
ANR	20	PtrMemberAccess	p -> buf		2	1					
ANR	21	Identifier	p		2	0					
ANR	22	Identifier	buf		2	1					
ANR	23	PrimaryExpression	'A'		2	1					
ANR	24	OrExpression	* ( p -> buf + 1 ) != 'M' || * ( p -> buf + 2 ) != 'V'		2	1		||			
ANR	25	EqualityExpression	* ( p -> buf + 1 ) != 'M'		2	0		!=			
ANR	26	UnaryOperationExpression	* ( p -> buf + 1 )		2	0					
ANR	27	UnaryOperator	*		2	0					
ANR	28	AdditiveExpression	p -> buf + 1		2	1		+			
ANR	29	PtrMemberAccess	p -> buf		2	0					
ANR	30	Identifier	p		2	0					
ANR	31	Identifier	buf		2	1					
ANR	32	PrimaryExpression	1		2	1					
ANR	33	PrimaryExpression	'M'		2	1					
ANR	34	EqualityExpression	* ( p -> buf + 2 ) != 'V'		2	1		!=			
ANR	35	UnaryOperationExpression	* ( p -> buf + 2 )		2	0					
ANR	36	UnaryOperator	*		2	0					
ANR	37	AdditiveExpression	p -> buf + 2		2	1		+			
ANR	38	PtrMemberAccess	p -> buf		2	0					
ANR	39	Identifier	p		2	0					
ANR	40	Identifier	buf		2	1					
ANR	41	PrimaryExpression	2		2	1					
ANR	42	PrimaryExpression	'V'		2	1					
ANR	43	ReturnStatement	return 0 ;	9:8:185:193	2	1	True				
ANR	44	PrimaryExpression	0		2	0					
ANR	45	ReturnStatement	return AVPROBE_SCORE_MAX ;	11:4:200:224	2	2	True				
ANR	46	Identifier	AVPROBE_SCORE_MAX		2	0					
ANR	47	ReturnType	static int		2	1					
ANR	48	Identifier	mtv_probe		2	2					
ANR	49	ParameterList	AVProbeData * p		2	3					
ANR	50	Parameter	AVProbeData * p	1:21:21:34	2	0	True				
ANR	51	ParameterType	AVProbeData *		2	0					
ANR	52	Identifier	p		2	1					
ANR	53	CFGEntryNode	ENTRY		2		True				
ANR	54	CFGExitNode	EXIT		2		True				
ANR	55	Symbol	p		2						
ANR	56	Symbol	* ( p -> buf + 1 )		2						
ANR	57	Symbol	p -> buf_size		2						
ANR	58	Symbol	* ( p -> buf )		2						
ANR	59	Symbol	* p -> buf		2						
ANR	60	Symbol	* p		2						
ANR	61	Symbol	p -> buf		2						
ANR	62	Symbol	* * p		2						
ANR	63	Symbol	AVPROBE_SCORE_MAX		2						
ANR	64	Symbol	* ( p -> buf + 2 )		2						
