start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	13	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
18	19	IS_AST_PARENT	
20	21	IS_AST_PARENT	
20	22	IS_AST_PARENT	
18	20	IS_AST_PARENT	
15	18	IS_AST_PARENT	
14	15	IS_AST_PARENT	
4	14	IS_AST_PARENT	
24	25	IS_AST_PARENT	
24	26	IS_AST_PARENT	
27	28	IS_AST_PARENT	
29	30	IS_AST_PARENT	
29	31	IS_AST_PARENT	
27	29	IS_AST_PARENT	
24	27	IS_AST_PARENT	
23	24	IS_AST_PARENT	
4	23	IS_AST_PARENT	
33	34	IS_AST_PARENT	
33	35	IS_AST_PARENT	
36	37	IS_AST_PARENT	
38	39	IS_AST_PARENT	
38	40	IS_AST_PARENT	
36	38	IS_AST_PARENT	
33	36	IS_AST_PARENT	
32	33	IS_AST_PARENT	
4	32	IS_AST_PARENT	
42	43	IS_AST_PARENT	
42	44	IS_AST_PARENT	
45	46	IS_AST_PARENT	
45	47	IS_AST_PARENT	
42	45	IS_AST_PARENT	
41	42	IS_AST_PARENT	
48	49	IS_AST_PARENT	
48	50	IS_AST_PARENT	
41	48	IS_AST_PARENT	
4	41	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	54	IS_AST_PARENT	
52	55	IS_AST_PARENT	
51	52	IS_AST_PARENT	
4	51	IS_AST_PARENT	
57	58	IS_AST_PARENT	
57	59	IS_AST_PARENT	
60	61	IS_AST_PARENT	
60	62	IS_AST_PARENT	
57	60	IS_AST_PARENT	
56	57	IS_AST_PARENT	
4	56	IS_AST_PARENT	
64	65	IS_AST_PARENT	
64	66	IS_AST_PARENT	
67	68	IS_AST_PARENT	
70	71	IS_AST_PARENT	
70	72	IS_AST_PARENT	
69	70	IS_AST_PARENT	
69	73	IS_AST_PARENT	
67	69	IS_AST_PARENT	
64	67	IS_AST_PARENT	
63	64	IS_AST_PARENT	
4	63	IS_AST_PARENT	
75	76	IS_AST_PARENT	
75	77	IS_AST_PARENT	
74	75	IS_AST_PARENT	
4	74	IS_AST_PARENT	
81	82	IS_AST_PARENT	
81	83	IS_AST_PARENT	
80	81	IS_AST_PARENT	
80	84	IS_AST_PARENT	
79	80	IS_AST_PARENT	
78	79	IS_AST_PARENT	
86	87	IS_AST_PARENT	
85	86	IS_AST_PARENT	
89	90	IS_AST_PARENT	
91	92	IS_AST_PARENT	
91	93	IS_AST_PARENT	
89	91	IS_AST_PARENT	
88	89	IS_AST_PARENT	
85	88	IS_AST_PARENT	
85	94	IS_AST_PARENT	
95	96	IS_AST_PARENT	
85	95	IS_AST_PARENT	
98	99	IS_AST_PARENT	
100	101	IS_AST_PARENT	
102	103	IS_AST_PARENT	
104	105	IS_AST_PARENT	
104	106	IS_AST_PARENT	
102	104	IS_AST_PARENT	
100	102	IS_AST_PARENT	
98	100	IS_AST_PARENT	
97	98	IS_AST_PARENT	
85	97	IS_AST_PARENT	
85	107	IS_AST_PARENT	
108	109	IS_AST_PARENT	
85	108	IS_AST_PARENT	
111	112	IS_AST_PARENT	
113	114	IS_AST_PARENT	
115	116	IS_AST_PARENT	
117	118	IS_AST_PARENT	
117	119	IS_AST_PARENT	
115	117	IS_AST_PARENT	
113	115	IS_AST_PARENT	
111	113	IS_AST_PARENT	
110	111	IS_AST_PARENT	
85	110	IS_AST_PARENT	
85	120	IS_AST_PARENT	
121	122	IS_AST_PARENT	
85	121	IS_AST_PARENT	
126	127	IS_AST_PARENT	
126	128	IS_AST_PARENT	
125	126	IS_AST_PARENT	
125	129	IS_AST_PARENT	
124	125	IS_AST_PARENT	
123	124	IS_AST_PARENT	
131	132	IS_AST_PARENT	
133	134	IS_AST_PARENT	
133	135	IS_AST_PARENT	
131	133	IS_AST_PARENT	
130	131	IS_AST_PARENT	
123	130	IS_AST_PARENT	
138	139	IS_AST_PARENT	
138	140	IS_AST_PARENT	
137	138	IS_AST_PARENT	
136	137	IS_AST_PARENT	
123	136	IS_AST_PARENT	
85	123	IS_AST_PARENT	
85	141	IS_AST_PARENT	
78	85	IS_AST_PARENT	
4	78	IS_AST_PARENT	
144	145	IS_AST_PARENT	
144	146	IS_AST_PARENT	
143	144	IS_AST_PARENT	
142	143	IS_AST_PARENT	
150	151	IS_AST_PARENT	
149	150	IS_AST_PARENT	
153	154	IS_AST_PARENT	
152	153	IS_AST_PARENT	
155	156	IS_AST_PARENT	
152	155	IS_AST_PARENT	
157	158	IS_AST_PARENT	
152	157	IS_AST_PARENT	
149	152	IS_AST_PARENT	
148	149	IS_AST_PARENT	
147	148	IS_AST_PARENT	
161	162	IS_AST_PARENT	
160	161	IS_AST_PARENT	
164	165	IS_AST_PARENT	
163	164	IS_AST_PARENT	
160	163	IS_AST_PARENT	
159	160	IS_AST_PARENT	
147	159	IS_AST_PARENT	
142	147	IS_AST_PARENT	
4	142	IS_AST_PARENT	
169	170	IS_AST_PARENT	
169	171	IS_AST_PARENT	
168	169	IS_AST_PARENT	
168	172	IS_AST_PARENT	
167	168	IS_AST_PARENT	
173	174	IS_AST_PARENT	
175	176	IS_AST_PARENT	
175	177	IS_AST_PARENT	
173	175	IS_AST_PARENT	
167	173	IS_AST_PARENT	
166	167	IS_AST_PARENT	
4	166	IS_AST_PARENT	
181	182	IS_AST_PARENT	
185	186	IS_AST_PARENT	
185	187	IS_AST_PARENT	
184	185	IS_AST_PARENT	
183	184	IS_AST_PARENT	
189	190	IS_AST_PARENT	
188	189	IS_AST_PARENT	
192	193	IS_AST_PARENT	
194	195	IS_AST_PARENT	
194	196	IS_AST_PARENT	
192	194	IS_AST_PARENT	
191	192	IS_AST_PARENT	
188	191	IS_AST_PARENT	
183	188	IS_AST_PARENT	
181	183	IS_AST_PARENT	
180	181	IS_AST_PARENT	
180	197	IS_AST_PARENT	
179	180	IS_AST_PARENT	
178	179	IS_AST_PARENT	
201	202	IS_AST_PARENT	
200	201	IS_AST_PARENT	
204	205	IS_AST_PARENT	
203	204	IS_AST_PARENT	
206	207	IS_AST_PARENT	
203	206	IS_AST_PARENT	
208	209	IS_AST_PARENT	
203	208	IS_AST_PARENT	
200	203	IS_AST_PARENT	
199	200	IS_AST_PARENT	
198	199	IS_AST_PARENT	
210	211	IS_AST_PARENT	
198	210	IS_AST_PARENT	
178	198	IS_AST_PARENT	
4	178	IS_AST_PARENT	
213	214	IS_AST_PARENT	
215	216	IS_AST_PARENT	
219	220	IS_AST_PARENT	
219	221	IS_AST_PARENT	
218	219	IS_AST_PARENT	
218	222	IS_AST_PARENT	
217	218	IS_AST_PARENT	
217	223	IS_AST_PARENT	
215	217	IS_AST_PARENT	
213	215	IS_AST_PARENT	
212	213	IS_AST_PARENT	
4	212	IS_AST_PARENT	
227	228	IS_AST_PARENT	
227	229	IS_AST_PARENT	
226	227	IS_AST_PARENT	
226	230	IS_AST_PARENT	
225	226	IS_AST_PARENT	
224	225	IS_AST_PARENT	
232	233	IS_AST_PARENT	
231	232	IS_AST_PARENT	
235	236	IS_AST_PARENT	
235	237	IS_AST_PARENT	
234	235	IS_AST_PARENT	
231	234	IS_AST_PARENT	
239	240	IS_AST_PARENT	
238	239	IS_AST_PARENT	
244	245	IS_AST_PARENT	
244	246	IS_AST_PARENT	
243	244	IS_AST_PARENT	
247	248	IS_AST_PARENT	
251	252	IS_AST_PARENT	
250	251	IS_AST_PARENT	
255	256	IS_AST_PARENT	
255	257	IS_AST_PARENT	
254	255	IS_AST_PARENT	
253	254	IS_AST_PARENT	
250	253	IS_AST_PARENT	
249	250	IS_AST_PARENT	
249	258	IS_AST_PARENT	
247	249	IS_AST_PARENT	
243	247	IS_AST_PARENT	
242	243	IS_AST_PARENT	
241	242	IS_AST_PARENT	
261	262	IS_AST_PARENT	
261	263	IS_AST_PARENT	
260	261	IS_AST_PARENT	
264	265	IS_AST_PARENT	
268	269	IS_AST_PARENT	
267	268	IS_AST_PARENT	
272	273	IS_AST_PARENT	
272	274	IS_AST_PARENT	
271	272	IS_AST_PARENT	
270	271	IS_AST_PARENT	
267	270	IS_AST_PARENT	
266	267	IS_AST_PARENT	
266	275	IS_AST_PARENT	
264	266	IS_AST_PARENT	
260	264	IS_AST_PARENT	
259	260	IS_AST_PARENT	
241	259	IS_AST_PARENT	
238	241	IS_AST_PARENT	
280	281	IS_AST_PARENT	
280	282	IS_AST_PARENT	
279	280	IS_AST_PARENT	
283	284	IS_AST_PARENT	
286	287	IS_AST_PARENT	
285	286	IS_AST_PARENT	
290	291	IS_AST_PARENT	
290	292	IS_AST_PARENT	
289	290	IS_AST_PARENT	
288	289	IS_AST_PARENT	
285	288	IS_AST_PARENT	
283	285	IS_AST_PARENT	
279	283	IS_AST_PARENT	
278	279	IS_AST_PARENT	
277	278	IS_AST_PARENT	
276	277	IS_AST_PARENT	
238	276	IS_AST_PARENT	
231	238	IS_AST_PARENT	
295	296	IS_AST_PARENT	
295	297	IS_AST_PARENT	
294	295	IS_AST_PARENT	
293	294	IS_AST_PARENT	
301	302	IS_AST_PARENT	
301	303	IS_AST_PARENT	
300	301	IS_AST_PARENT	
305	306	IS_AST_PARENT	
305	307	IS_AST_PARENT	
304	305	IS_AST_PARENT	
308	309	IS_AST_PARENT	
310	311	IS_AST_PARENT	
310	312	IS_AST_PARENT	
308	310	IS_AST_PARENT	
304	308	IS_AST_PARENT	
300	304	IS_AST_PARENT	
299	300	IS_AST_PARENT	
298	299	IS_AST_PARENT	
315	316	IS_AST_PARENT	
315	317	IS_AST_PARENT	
314	315	IS_AST_PARENT	
319	320	IS_AST_PARENT	
318	319	IS_AST_PARENT	
323	324	IS_AST_PARENT	
323	325	IS_AST_PARENT	
322	323	IS_AST_PARENT	
321	322	IS_AST_PARENT	
318	321	IS_AST_PARENT	
314	318	IS_AST_PARENT	
313	314	IS_AST_PARENT	
298	313	IS_AST_PARENT	
328	329	IS_AST_PARENT	
330	331	IS_AST_PARENT	
330	332	IS_AST_PARENT	
328	330	IS_AST_PARENT	
327	328	IS_AST_PARENT	
333	334	IS_AST_PARENT	
333	335	IS_AST_PARENT	
327	333	IS_AST_PARENT	
326	327	IS_AST_PARENT	
298	326	IS_AST_PARENT	
337	338	IS_AST_PARENT	
337	339	IS_AST_PARENT	
336	337	IS_AST_PARENT	
298	336	IS_AST_PARENT	
293	298	IS_AST_PARENT	
231	293	IS_AST_PARENT	
231	340	IS_AST_PARENT	
341	342	IS_AST_PARENT	
231	341	IS_AST_PARENT	
344	345	IS_AST_PARENT	
344	346	IS_AST_PARENT	
343	344	IS_AST_PARENT	
231	343	IS_AST_PARENT	
349	350	IS_AST_PARENT	
349	351	IS_AST_PARENT	
348	349	IS_AST_PARENT	
347	348	IS_AST_PARENT	
353	354	IS_AST_PARENT	
355	356	IS_AST_PARENT	
355	357	IS_AST_PARENT	
353	355	IS_AST_PARENT	
352	353	IS_AST_PARENT	
347	352	IS_AST_PARENT	
358	359	IS_AST_PARENT	
358	360	IS_AST_PARENT	
347	358	IS_AST_PARENT	
364	365	IS_AST_PARENT	
364	366	IS_AST_PARENT	
363	364	IS_AST_PARENT	
367	368	IS_AST_PARENT	
370	371	IS_AST_PARENT	
369	370	IS_AST_PARENT	
374	375	IS_AST_PARENT	
374	376	IS_AST_PARENT	
373	374	IS_AST_PARENT	
372	373	IS_AST_PARENT	
369	372	IS_AST_PARENT	
367	369	IS_AST_PARENT	
363	367	IS_AST_PARENT	
362	363	IS_AST_PARENT	
361	362	IS_AST_PARENT	
379	380	IS_AST_PARENT	
381	382	IS_AST_PARENT	
381	383	IS_AST_PARENT	
379	381	IS_AST_PARENT	
378	379	IS_AST_PARENT	
384	385	IS_AST_PARENT	
384	386	IS_AST_PARENT	
378	384	IS_AST_PARENT	
377	378	IS_AST_PARENT	
361	377	IS_AST_PARENT	
347	361	IS_AST_PARENT	
231	347	IS_AST_PARENT	
388	389	IS_AST_PARENT	
388	390	IS_AST_PARENT	
387	388	IS_AST_PARENT	
231	387	IS_AST_PARENT	
393	394	IS_AST_PARENT	
393	395	IS_AST_PARENT	
392	393	IS_AST_PARENT	
391	392	IS_AST_PARENT	
399	400	IS_AST_PARENT	
399	401	IS_AST_PARENT	
398	399	IS_AST_PARENT	
402	403	IS_AST_PARENT	
404	405	IS_AST_PARENT	
406	407	IS_AST_PARENT	
406	408	IS_AST_PARENT	
404	406	IS_AST_PARENT	
402	404	IS_AST_PARENT	
398	402	IS_AST_PARENT	
397	398	IS_AST_PARENT	
396	397	IS_AST_PARENT	
411	412	IS_AST_PARENT	
411	413	IS_AST_PARENT	
410	411	IS_AST_PARENT	
415	416	IS_AST_PARENT	
414	415	IS_AST_PARENT	
419	420	IS_AST_PARENT	
419	421	IS_AST_PARENT	
418	419	IS_AST_PARENT	
417	418	IS_AST_PARENT	
414	417	IS_AST_PARENT	
410	414	IS_AST_PARENT	
409	410	IS_AST_PARENT	
396	409	IS_AST_PARENT	
424	425	IS_AST_PARENT	
426	427	IS_AST_PARENT	
426	428	IS_AST_PARENT	
424	426	IS_AST_PARENT	
423	424	IS_AST_PARENT	
429	430	IS_AST_PARENT	
429	431	IS_AST_PARENT	
423	429	IS_AST_PARENT	
422	423	IS_AST_PARENT	
396	422	IS_AST_PARENT	
433	434	IS_AST_PARENT	
433	435	IS_AST_PARENT	
432	433	IS_AST_PARENT	
396	432	IS_AST_PARENT	
391	396	IS_AST_PARENT	
231	391	IS_AST_PARENT	
231	436	IS_AST_PARENT	
437	438	IS_AST_PARENT	
231	437	IS_AST_PARENT	
441	442	IS_AST_PARENT	
441	443	IS_AST_PARENT	
441	444	IS_AST_PARENT	
445	446	IS_AST_PARENT	
447	448	IS_AST_PARENT	
447	449	IS_AST_PARENT	
445	447	IS_AST_PARENT	
441	445	IS_AST_PARENT	
440	441	IS_AST_PARENT	
439	440	IS_AST_PARENT	
452	453	IS_AST_PARENT	
452	454	IS_AST_PARENT	
451	452	IS_AST_PARENT	
450	451	IS_AST_PARENT	
456	457	IS_AST_PARENT	
458	459	IS_AST_PARENT	
458	460	IS_AST_PARENT	
456	458	IS_AST_PARENT	
455	456	IS_AST_PARENT	
450	455	IS_AST_PARENT	
461	462	IS_AST_PARENT	
461	463	IS_AST_PARENT	
450	461	IS_AST_PARENT	
466	467	IS_AST_PARENT	
466	468	IS_AST_PARENT	
465	466	IS_AST_PARENT	
469	470	IS_AST_PARENT	
472	473	IS_AST_PARENT	
471	472	IS_AST_PARENT	
476	477	IS_AST_PARENT	
476	478	IS_AST_PARENT	
475	476	IS_AST_PARENT	
474	475	IS_AST_PARENT	
471	474	IS_AST_PARENT	
469	471	IS_AST_PARENT	
465	469	IS_AST_PARENT	
464	465	IS_AST_PARENT	
450	464	IS_AST_PARENT	
439	450	IS_AST_PARENT	
480	481	IS_AST_PARENT	
480	482	IS_AST_PARENT	
479	480	IS_AST_PARENT	
439	479	IS_AST_PARENT	
485	486	IS_AST_PARENT	
485	487	IS_AST_PARENT	
484	485	IS_AST_PARENT	
483	484	IS_AST_PARENT	
490	491	IS_AST_PARENT	
490	492	IS_AST_PARENT	
493	494	IS_AST_PARENT	
495	496	IS_AST_PARENT	
497	498	IS_AST_PARENT	
497	499	IS_AST_PARENT	
495	497	IS_AST_PARENT	
493	495	IS_AST_PARENT	
490	493	IS_AST_PARENT	
489	490	IS_AST_PARENT	
488	489	IS_AST_PARENT	
501	502	IS_AST_PARENT	
501	503	IS_AST_PARENT	
504	505	IS_AST_PARENT	
507	508	IS_AST_PARENT	
507	509	IS_AST_PARENT	
506	507	IS_AST_PARENT	
506	510	IS_AST_PARENT	
504	506	IS_AST_PARENT	
501	504	IS_AST_PARENT	
500	501	IS_AST_PARENT	
488	500	IS_AST_PARENT	
514	515	IS_AST_PARENT	
514	516	IS_AST_PARENT	
513	514	IS_AST_PARENT	
513	517	IS_AST_PARENT	
512	513	IS_AST_PARENT	
511	512	IS_AST_PARENT	
520	521	IS_AST_PARENT	
520	522	IS_AST_PARENT	
519	520	IS_AST_PARENT	
519	523	IS_AST_PARENT	
518	519	IS_AST_PARENT	
511	518	IS_AST_PARENT	
527	528	IS_AST_PARENT	
527	529	IS_AST_PARENT	
526	527	IS_AST_PARENT	
530	531	IS_AST_PARENT	
