start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
10	11	IS_AST_PARENT	
10	12	IS_AST_PARENT	
9	10	IS_AST_PARENT	
4	9	IS_AST_PARENT	
14	15	IS_AST_PARENT	
14	16	IS_AST_PARENT	
17	18	IS_AST_PARENT	
20	21	IS_AST_PARENT	
19	20	IS_AST_PARENT	
23	24	IS_AST_PARENT	
22	23	IS_AST_PARENT	
19	22	IS_AST_PARENT	
17	19	IS_AST_PARENT	
14	17	IS_AST_PARENT	
13	14	IS_AST_PARENT	
4	13	IS_AST_PARENT	
26	27	IS_AST_PARENT	
26	28	IS_AST_PARENT	
25	26	IS_AST_PARENT	
29	30	IS_AST_PARENT	
29	31	IS_AST_PARENT	
32	33	IS_AST_PARENT	
35	36	IS_AST_PARENT	
34	35	IS_AST_PARENT	
38	39	IS_AST_PARENT	
37	38	IS_AST_PARENT	
40	41	IS_AST_PARENT	
37	40	IS_AST_PARENT	
34	37	IS_AST_PARENT	
32	34	IS_AST_PARENT	
29	32	IS_AST_PARENT	
25	29	IS_AST_PARENT	
4	25	IS_AST_PARENT	
43	44	IS_AST_PARENT	
43	45	IS_AST_PARENT	
46	47	IS_AST_PARENT	
46	48	IS_AST_PARENT	
43	46	IS_AST_PARENT	
42	43	IS_AST_PARENT	
49	50	IS_AST_PARENT	
49	51	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	54	IS_AST_PARENT	
49	52	IS_AST_PARENT	
42	49	IS_AST_PARENT	
55	56	IS_AST_PARENT	
55	57	IS_AST_PARENT	
58	59	IS_AST_PARENT	
58	60	IS_AST_PARENT	
55	58	IS_AST_PARENT	
42	55	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	63	IS_AST_PARENT	
64	65	IS_AST_PARENT	
64	66	IS_AST_PARENT	
61	64	IS_AST_PARENT	
42	61	IS_AST_PARENT	
4	42	IS_AST_PARENT	
68	69	IS_AST_PARENT	
68	70	IS_AST_PARENT	
71	72	IS_AST_PARENT	
71	73	IS_AST_PARENT	
68	71	IS_AST_PARENT	
67	68	IS_AST_PARENT	
74	75	IS_AST_PARENT	
74	76	IS_AST_PARENT	
77	78	IS_AST_PARENT	
77	79	IS_AST_PARENT	
74	77	IS_AST_PARENT	
67	74	IS_AST_PARENT	
80	81	IS_AST_PARENT	
80	82	IS_AST_PARENT	
83	84	IS_AST_PARENT	
83	85	IS_AST_PARENT	
80	83	IS_AST_PARENT	
67	80	IS_AST_PARENT	
86	87	IS_AST_PARENT	
86	88	IS_AST_PARENT	
89	90	IS_AST_PARENT	
89	91	IS_AST_PARENT	
86	89	IS_AST_PARENT	
67	86	IS_AST_PARENT	
4	67	IS_AST_PARENT	
93	94	IS_AST_PARENT	
93	95	IS_AST_PARENT	
96	97	IS_AST_PARENT	
98	99	IS_AST_PARENT	
98	100	IS_AST_PARENT	
96	98	IS_AST_PARENT	
93	96	IS_AST_PARENT	
92	93	IS_AST_PARENT	
101	102	IS_AST_PARENT	
101	103	IS_AST_PARENT	
104	105	IS_AST_PARENT	
106	107	IS_AST_PARENT	
106	108	IS_AST_PARENT	
104	106	IS_AST_PARENT	
101	104	IS_AST_PARENT	
92	101	IS_AST_PARENT	
109	110	IS_AST_PARENT	
109	111	IS_AST_PARENT	
112	113	IS_AST_PARENT	
114	115	IS_AST_PARENT	
114	116	IS_AST_PARENT	
112	114	IS_AST_PARENT	
109	112	IS_AST_PARENT	
92	109	IS_AST_PARENT	
4	92	IS_AST_PARENT	
118	119	IS_AST_PARENT	
118	120	IS_AST_PARENT	
117	118	IS_AST_PARENT	
4	117	IS_AST_PARENT	
123	124	IS_AST_PARENT	
123	125	IS_AST_PARENT	
122	123	IS_AST_PARENT	
121	122	IS_AST_PARENT	
127	128	IS_AST_PARENT	
130	131	IS_AST_PARENT	
129	130	IS_AST_PARENT	
133	134	IS_AST_PARENT	
132	133	IS_AST_PARENT	
129	132	IS_AST_PARENT	
127	129	IS_AST_PARENT	
126	127	IS_AST_PARENT	
121	126	IS_AST_PARENT	
135	136	IS_AST_PARENT	
135	137	IS_AST_PARENT	
121	135	IS_AST_PARENT	
143	144	IS_AST_PARENT	
142	143	IS_AST_PARENT	
146	147	IS_AST_PARENT	
145	146	IS_AST_PARENT	
150	151	IS_AST_PARENT	
150	152	IS_AST_PARENT	
149	150	IS_AST_PARENT	
149	153	IS_AST_PARENT	
148	149	IS_AST_PARENT	
145	148	IS_AST_PARENT	
142	145	IS_AST_PARENT	
141	142	IS_AST_PARENT	
141	154	IS_AST_PARENT	
140	141	IS_AST_PARENT	
139	140	IS_AST_PARENT	
157	158	IS_AST_PARENT	
159	160	IS_AST_PARENT	
161	162	IS_AST_PARENT	
161	163	IS_AST_PARENT	
159	161	IS_AST_PARENT	
157	159	IS_AST_PARENT	
156	157	IS_AST_PARENT	
155	156	IS_AST_PARENT	
155	164	IS_AST_PARENT	
139	155	IS_AST_PARENT	
138	139	IS_AST_PARENT	
121	138	IS_AST_PARENT	
4	121	IS_AST_PARENT	
169	170	IS_AST_PARENT	
168	169	IS_AST_PARENT	
168	171	IS_AST_PARENT	
167	168	IS_AST_PARENT	
174	175	IS_AST_PARENT	
173	174	IS_AST_PARENT	
177	178	IS_AST_PARENT	
176	177	IS_AST_PARENT	
179	180	IS_AST_PARENT	
176	179	IS_AST_PARENT	
173	176	IS_AST_PARENT	
172	173	IS_AST_PARENT	
172	181	IS_AST_PARENT	
167	172	IS_AST_PARENT	
166	167	IS_AST_PARENT	
165	166	IS_AST_PARENT	
185	186	IS_AST_PARENT	
184	185	IS_AST_PARENT	
188	189	IS_AST_PARENT	
187	188	IS_AST_PARENT	
184	187	IS_AST_PARENT	
183	184	IS_AST_PARENT	
182	183	IS_AST_PARENT	
165	182	IS_AST_PARENT	
193	194	IS_AST_PARENT	
193	195	IS_AST_PARENT	
192	193	IS_AST_PARENT	
191	192	IS_AST_PARENT	
197	198	IS_AST_PARENT	
196	197	IS_AST_PARENT	
191	196	IS_AST_PARENT	
203	204	IS_AST_PARENT	
202	203	IS_AST_PARENT	
206	207	IS_AST_PARENT	
205	206	IS_AST_PARENT	
208	209	IS_AST_PARENT	
205	208	IS_AST_PARENT	
211	212	IS_AST_PARENT	
213	214	IS_AST_PARENT	
213	215	IS_AST_PARENT	
211	213	IS_AST_PARENT	
210	211	IS_AST_PARENT	
205	210	IS_AST_PARENT	
202	205	IS_AST_PARENT	
201	202	IS_AST_PARENT	
200	201	IS_AST_PARENT	
199	200	IS_AST_PARENT	
191	199	IS_AST_PARENT	
190	191	IS_AST_PARENT	
165	190	IS_AST_PARENT	
4	165	IS_AST_PARENT	
218	219	IS_AST_PARENT	
217	218	IS_AST_PARENT	
221	222	IS_AST_PARENT	
220	221	IS_AST_PARENT	
224	225	IS_AST_PARENT	
224	226	IS_AST_PARENT	
223	224	IS_AST_PARENT	
220	223	IS_AST_PARENT	
228	229	IS_AST_PARENT	
228	230	IS_AST_PARENT	
227	228	IS_AST_PARENT	
220	227	IS_AST_PARENT	
232	233	IS_AST_PARENT	
232	234	IS_AST_PARENT	
231	232	IS_AST_PARENT	
220	231	IS_AST_PARENT	
236	237	IS_AST_PARENT	
236	238	IS_AST_PARENT	
235	236	IS_AST_PARENT	
220	235	IS_AST_PARENT	
217	220	IS_AST_PARENT	
216	217	IS_AST_PARENT	
4	216	IS_AST_PARENT	
240	241	IS_AST_PARENT	
243	244	IS_AST_PARENT	
242	243	IS_AST_PARENT	
246	247	IS_AST_PARENT	
245	246	IS_AST_PARENT	
248	249	IS_AST_PARENT	
245	248	IS_AST_PARENT	
242	245	IS_AST_PARENT	
240	242	IS_AST_PARENT	
239	240	IS_AST_PARENT	
4	239	IS_AST_PARENT	
251	252	IS_AST_PARENT	
250	251	IS_AST_PARENT	
255	256	IS_AST_PARENT	
255	257	IS_AST_PARENT	
254	255	IS_AST_PARENT	
253	254	IS_AST_PARENT	
261	262	IS_AST_PARENT	
261	263	IS_AST_PARENT	
260	261	IS_AST_PARENT	
260	264	IS_AST_PARENT	
259	260	IS_AST_PARENT	
258	259	IS_AST_PARENT	
268	269	IS_AST_PARENT	
267	268	IS_AST_PARENT	
272	273	IS_AST_PARENT	
272	274	IS_AST_PARENT	
271	272	IS_AST_PARENT	
270	271	IS_AST_PARENT	
276	277	IS_AST_PARENT	
276	278	IS_AST_PARENT	
275	276	IS_AST_PARENT	
270	275	IS_AST_PARENT	
280	281	IS_AST_PARENT	
280	282	IS_AST_PARENT	
279	280	IS_AST_PARENT	
270	279	IS_AST_PARENT	
284	285	IS_AST_PARENT	
284	286	IS_AST_PARENT	
283	284	IS_AST_PARENT	
270	283	IS_AST_PARENT	
288	289	IS_AST_PARENT	
288	290	IS_AST_PARENT	
287	288	IS_AST_PARENT	
270	287	IS_AST_PARENT	
267	270	IS_AST_PARENT	
266	267	IS_AST_PARENT	
265	266	IS_AST_PARENT	
258	265	IS_AST_PARENT	
295	296	IS_AST_PARENT	
295	297	IS_AST_PARENT	
294	295	IS_AST_PARENT	
294	298	IS_AST_PARENT	
293	294	IS_AST_PARENT	
292	293	IS_AST_PARENT	
302	303	IS_AST_PARENT	
301	302	IS_AST_PARENT	
306	307	IS_AST_PARENT	
306	308	IS_AST_PARENT	
305	306	IS_AST_PARENT	
304	305	IS_AST_PARENT	
310	311	IS_AST_PARENT	
310	312	IS_AST_PARENT	
309	310	IS_AST_PARENT	
304	309	IS_AST_PARENT	
314	315	IS_AST_PARENT	
314	316	IS_AST_PARENT	
313	314	IS_AST_PARENT	
304	313	IS_AST_PARENT	
318	319	IS_AST_PARENT	
318	320	IS_AST_PARENT	
317	318	IS_AST_PARENT	
304	317	IS_AST_PARENT	
322	323	IS_AST_PARENT	
322	324	IS_AST_PARENT	
321	322	IS_AST_PARENT	
304	321	IS_AST_PARENT	
301	304	IS_AST_PARENT	
300	301	IS_AST_PARENT	
299	300	IS_AST_PARENT	
292	299	IS_AST_PARENT	
328	329	IS_AST_PARENT	
331	332	IS_AST_PARENT	
330	331	IS_AST_PARENT	
334	335	IS_AST_PARENT	
333	334	IS_AST_PARENT	
336	337	IS_AST_PARENT	
333	336	IS_AST_PARENT	
330	333	IS_AST_PARENT	
328	330	IS_AST_PARENT	
327	328	IS_AST_PARENT	
326	327	IS_AST_PARENT	
341	342	IS_AST_PARENT	
341	343	IS_AST_PARENT	
340	341	IS_AST_PARENT	
340	344	IS_AST_PARENT	
339	340	IS_AST_PARENT	
338	339	IS_AST_PARENT	
346	347	IS_AST_PARENT	
346	348	IS_AST_PARENT	
345	346	IS_AST_PARENT	
338	345	IS_AST_PARENT	
351	352	IS_AST_PARENT	
354	355	IS_AST_PARENT	
353	354	IS_AST_PARENT	
357	358	IS_AST_PARENT	
356	357	IS_AST_PARENT	
359	360	IS_AST_PARENT	
356	359	IS_AST_PARENT	
353	356	IS_AST_PARENT	
351	353	IS_AST_PARENT	
350	351	IS_AST_PARENT	
349	350	IS_AST_PARENT	
363	364	IS_AST_PARENT	
363	365	IS_AST_PARENT	
362	363	IS_AST_PARENT	
361	362	IS_AST_PARENT	
367	368	IS_AST_PARENT	
370	371	IS_AST_PARENT	
369	370	IS_AST_PARENT	
373	374	IS_AST_PARENT	
372	373	IS_AST_PARENT	
376	377	IS_AST_PARENT	
376	378	IS_AST_PARENT	
375	376	IS_AST_PARENT	
372	375	IS_AST_PARENT	
379	380	IS_AST_PARENT	
372	379	IS_AST_PARENT	
369	372	IS_AST_PARENT	
367	369	IS_AST_PARENT	
366	367	IS_AST_PARENT	
361	366	IS_AST_PARENT	
384	385	IS_AST_PARENT	
386	387	IS_AST_PARENT	
386	388	IS_AST_PARENT	
384	386	IS_AST_PARENT	
383	384	IS_AST_PARENT	
390	391	IS_AST_PARENT	
390	392	IS_AST_PARENT	
389	390	IS_AST_PARENT	
393	394	IS_AST_PARENT	
393	395	IS_AST_PARENT	
389	393	IS_AST_PARENT	
383	389	IS_AST_PARENT	
382	383	IS_AST_PARENT	
381	382	IS_AST_PARENT	
399	400	IS_AST_PARENT	
398	399	IS_AST_PARENT	
402	403	IS_AST_PARENT	
401	402	IS_AST_PARENT	
404	405	IS_AST_PARENT	
401	404	IS_AST_PARENT	
406	407	IS_AST_PARENT	
401	406	IS_AST_PARENT	
398	401	IS_AST_PARENT	
397	398	IS_AST_PARENT	
396	397	IS_AST_PARENT	
408	409	IS_AST_PARENT	
396	408	IS_AST_PARENT	
381	396	IS_AST_PARENT	
361	381	IS_AST_PARENT	
412	413	IS_AST_PARENT	
412	414	IS_AST_PARENT	
411	412	IS_AST_PARENT	
411	415	IS_AST_PARENT	
410	411	IS_AST_PARENT	
361	410	IS_AST_PARENT	
349	361	IS_AST_PARENT	
419	420	IS_AST_PARENT	
422	423	IS_AST_PARENT	
421	422	IS_AST_PARENT	
425	426	IS_AST_PARENT	
424	425	IS_AST_PARENT	
427	428	IS_AST_PARENT	
424	427	IS_AST_PARENT	
421	424	IS_AST_PARENT	
419	421	IS_AST_PARENT	
418	419	IS_AST_PARENT	
417	418	IS_AST_PARENT	
431	432	IS_AST_PARENT	
431	433	IS_AST_PARENT	
430	431	IS_AST_PARENT	
429	430	IS_AST_PARENT	
435	436	IS_AST_PARENT	
438	439	IS_AST_PARENT	
437	438	IS_AST_PARENT	
441	442	IS_AST_PARENT	
440	441	IS_AST_PARENT	
444	445	IS_AST_PARENT	
444	446	IS_AST_PARENT	
443	444	IS_AST_PARENT	
440	443	IS_AST_PARENT	
447	448	IS_AST_PARENT	
440	447	IS_AST_PARENT	
437	440	IS_AST_PARENT	
435	437	IS_AST_PARENT	
434	435	IS_AST_PARENT	
429	434	IS_AST_PARENT	
452	453	IS_AST_PARENT	
454	455	IS_AST_PARENT	
454	456	IS_AST_PARENT	
452	454	IS_AST_PARENT	
451	452	IS_AST_PARENT	
458	459	IS_AST_PARENT	
458	460	IS_AST_PARENT	
457	458	IS_AST_PARENT	
462	463	IS_AST_PARENT	
462	464	IS_AST_PARENT	
461	462	IS_AST_PARENT	
465	466	IS_AST_PARENT	
465	467	IS_AST_PARENT	
461	465	IS_AST_PARENT	
457	461	IS_AST_PARENT	
451	457	IS_AST_PARENT	
450	451	IS_AST_PARENT	
449	450	IS_AST_PARENT	
471	472	IS_AST_PARENT	
470	471	IS_AST_PARENT	
474	475	IS_AST_PARENT	
473	474	IS_AST_PARENT	
476	477	IS_AST_PARENT	
473	476	IS_AST_PARENT	
478	479	IS_AST_PARENT	
473	478	IS_AST_PARENT	
470	473	IS_AST_PARENT	
469	470	IS_AST_PARENT	
468	469	IS_AST_PARENT	
480	481	IS_AST_PARENT	
468	480	IS_AST_PARENT	
449	468	IS_AST_PARENT	
429	449	IS_AST_PARENT	
484	485	IS_AST_PARENT	
484	486	IS_AST_PARENT	
483	484	IS_AST_PARENT	
483	487	IS_AST_PARENT	
482	483	IS_AST_PARENT	
429	482	IS_AST_PARENT	
417	429	IS_AST_PARENT	
491	492	IS_AST_PARENT	
494	495	IS_AST_PARENT	
493	494	IS_AST_PARENT	
497	498	IS_AST_PARENT	
496	497	IS_AST_PARENT	
499	500	IS_AST_PARENT	
496	499	IS_AST_PARENT	
493	496	IS_AST_PARENT	
491	493	IS_AST_PARENT	
490	491	IS_AST_PARENT	
489	490	IS_AST_PARENT	
503	504	IS_AST_PARENT	
503	505	IS_AST_PARENT	
502	503	IS_AST_PARENT	
501	502	IS_AST_PARENT	
507	508	IS_AST_PARENT	
510	511	IS_AST_PARENT	
509	510	IS_AST_PARENT	
513	514	IS_AST_PARENT	
512	513	IS_AST_PARENT	
516	517	IS_AST_PARENT	
516	518	IS_AST_PARENT	
515	516	IS_AST_PARENT	
512	515	IS_AST_PARENT	
519	520	IS_AST_PARENT	
512	519	IS_AST_PARENT	
509	512	IS_AST_PARENT	
507	509	IS_AST_PARENT	
506	507	IS_AST_PARENT	
501	506	IS_AST_PARENT	
524	525	IS_AST_PARENT	
526	527	IS_AST_PARENT	
526	528	IS_AST_PARENT	
524	526	IS_AST_PARENT	
523	524	IS_AST_PARENT	
530	531	IS_AST_PARENT	
530	532	IS_AST_PARENT	
529	530	IS_AST_PARENT	
534	535	IS_AST_PARENT	
534	536	IS_AST_PARENT	
533	534	IS_AST_PARENT	
537	538	IS_AST_PARENT	
537	539	IS_AST_PARENT	
533	537	IS_AST_PARENT	
529	533	IS_AST_PARENT	
